子曰:學而時習之，不亦說乎?	Đức Khổng tử nói: “Học rồi mà tùy thời ôn tập, lại chẳng đẹp lòng sao?
孟子曰：“由堯舜至於湯，五百有餘歲，若禹，皋陶，則見而知之；若湯，則聞而知之。	Mạnh Tử nói: “Từ vua Nghiêu, vua Thuấn cho đến vua Thang có trên năm trăm năm. Tự nhiên vua Vũ, ông Cao Dao được thấy mà biết.
由湯至於文王，五百有餘歲，若伊尹，莱朱則見而知之；若文王，則聞而知之。	Còn như vua Thang được nghe mà biết. “Từ vua Thang cho đến vua Văn Vương, có trên năm trăm năm. Tự nhiên ông Y Doãn, ông Lai Châu được thấy mà biết. Còn như vua Văn Vương được nghe mà biết. “Từ vua Văn Vương cho đến Khổng Tử, có trên năm trăm năm. Tự nhiên ông Thái Công Vọng (Khương Tử Nha), ông Tản Nghi Sinh được thấy mà biết.
由文王至於孔子，五百有餘歲，若太公望，散宜生，則見而知之；若孔子，則聞而知之。	Còn như Khổng Tử được nghe mà biết.
由孔子而来至於今，百有餘歲，去聖人之世，若此其未遠也；近聖人之居，若此其甚也，然而無有乎爾，則亦無有乎爾。”	“Từ Khổng Tử cho đến bây giờ (thời Mạnh Tử), có trên một trăm năm. Từ đây mà đến đời Thánh nhân, tự nhiên thời gian đó chưa xa gì; những người ở gần Thánh nhân dường như nhiều lắm; vậy mà không có ai thấy mà biết được ư! Lại cũng không có ai nghe mà biết được ư!”.
子程子曰：大學，孔氏之遺書，而初學入德之門也。	Thầy Trình tử nói: “Đại Học, sách của họ Khổng để lại, là cửa vào đức hạnh của người mới học.
於今可見古人為學次第者，獨賴此篇之存，而論，孟次之。	Vào thời nay, có thể thấy người xưa học hành có thứ tự là nhờ đọc thiên sách còn lại này, rồi đến sách Luận Ngữ, sách Mạnh tử.
學者必由是而學焉，則庶乎其不差矣。	Người học ắt do đấy mà học, thì gần như không sai lầm vậy.”.
古之欲明明德於天下者，先治其國；欲治其國者，先齊其家；欲齊其家者，先脩其身；欲脩其身者，先正其心；欲正其心者，先誠其意；欲誠其意者，先致其知；致知在格物。	Người xưa muốn làm sáng tỏ cái năng lực sáng láng ở trong thiên hạ, trước là sửa trị nước mình. Muốn sửa trị nước mình, trước là điều chỉnh nhà mình. Muốn điều chỉnh nhà mình, trước là sửa thân mình. Muốn sửa thân mình, trước là làm cho lòng mình được chính đáng. Muốn lòng mình được chính đáng, trước là làm cho ý mình được thành thật. Muốn ý mình được thành thật, trước là đạt đến cùng sự hiểu biết.
物格而后知至，知至而后意誠，意誠而后心正，心正而后身脩，身脩而后家齊，家齊而后國治，國治而后天下平。	Hiểu biết đến cùng ở tại sự tìm xét đến cùng sự vật. Sự vật được xét đến cùng rồi sau mới hiểu biết thấu đáo. Hiểu biết thấu đáo rồi sau mới có ý thành thật. Ý thành thật rồi sau mới có lòng chính đáng. Lòng chính đáng rồi sau mới có thân được sửa. Thân được sửa rồi sau mới có nhà được điều chỉnh. Nhà được điều chỉnh rồi sau mới có nước được sửa trị. Nước được sửa trị, rồi sau thiên hạ mới được thái bình.
自天子以至於庶人，壹是皆以脩身為本。	Từ thiên tử cho tới thường dân, tất cả đều phải lấy việc sửa mình làm gốc.
其本亂而末治者否矣；其所厚者薄，而其所薄者厚，未之有也。	Gốc rối loạn, mà ngọn được sửa trị, chẳng có vậy. Nơi đáng dày lại mỏng, mà nơi đáng mỏng lại dày, chưa hề có vậy.
(右經一章，蓋孔子之言，而曾子述之。其傳十章，則曾子之意，而門人記之也。	“Trên đây là một chương Kinh, đó là lời Khổng tử, mà Tăng tử thuật lại, phần Truyện có mười chương, là ý của Tăng tử mà các đệ tử ghi chép lại.
舊本頗有錯簡，今因程子所定，而更考經文，別為序次如左。	Bản sách cũ có lắm chỗ (thẻ tre) lẫn lộn, nay nhân có sự xác định của Trình tử, (tôi) khảo cứu thêm kinh văn, đem phân biệt thứ tự như dưới đây” (Chu Hy).
)康誥曰：克明德。	Thiên Khang Cáo nói rằng: “Hay làm sáng tỏ đức.”.
大甲曰：顧諟天之明命。	Thiên Thái Giáp nói rằng: “Nhìn lại xét cho rõ cái phần sáng láng của Trời.”.
帝典曰：克明峻德。	Thiên Đế Điển nói rằng: “Hay làm sáng tỏ đức lớn lao.”.
湯之盤銘曰：茍日新，日日新，又日新。	Bồn tắm của vua Thang có bài văn để ghi nhớ rằng: “Ví như mỗi ngày một mới, thì ngày ngày phải đổi mới, ngày lại ngày đổi mới.”.
康誥曰，作新民。	Thiên Khang Cáo nói rằng: “Hãy tạo nên sự đổi mới trong dân chúng.”.
詩曰：周雖舊邦。其命維新。	Kinh Thi nói rằng: “Nhà Chu tuy là nước đã lâu đời, nhưng có mệnh đổi mới.”.
右傳之二章，釋新民。	Trên đây là chương thứ hai của phần Truyện, giải rõ [ý nghĩa] “tân dân.”.
詩云：邦畿千里，惟民所止。	Kinh Thi rằng: “Chốn kinh kỳ nghìn dặm, là nơi dân dừng lại.”.
詩云：緡蠻黃鳥，止于丘隅。子曰：於止，知其所止，可以人而不如鳥乎？	Kinh Thi rằng: “Chim vàng líu lo, đậu lại góc gò.” Đức Khổng nói: “Ôi đậu lại, biết chỗ nào đậu, có thể nào người mà không như chim sao?”.
詩云：穆穆文王，於緝熙敬止。	Kinh Thi rằng: “Văn Vương sâu xa chừng nào!
為人君，止於仁；為人臣，止於敬；為人子，止於孝；為人父，止於慈；與國人交，止於信。	Ôi, biết dừng cùng với sự sáng suốt kết với niềm cung kính.” Ở địa vị vua, (ngài) dừng lại trong đức nhân; ở địa vị bầy tôi, dừng lại trong đức kính; ở địa vị người con, dừng lại trong đức hiếu; ở địa vị người cha, dừng lại trong đức từ; cùng với người trong nước kết giao, dừng lại trong đức tín.”.
詩云：瞻彼淇澳，菉竹猗猗；有斐君子，如切如磋，如琢如磨；瑟兮僩兮，赫兮喧兮；有斐君子，終不可諠兮。	Kinh Thi rằng:. “Nhìn bên khuỷu sông Kỳ kia,. Bụi tre xanh ngăn ngắt.
如切如磋者，道學也；如琢如磨者，自脩也；瑟兮僩兮者，恂慄也；赫兮喧兮者，威儀也；有斐君子，終不可諠兮者，道盛德至善，民之不能忘也。	Có người quân tử nhã nhặn,. Như khắc, như giũa,. Như trau, như mài!. Nghiêm biết bao, mạnh biết bao,.
詩云：於戲!	Sáng tỏ biết bao, rực rỡ biết bao!. Có người quân tử nhã nhặn,. Trọn đời chẳng thể nào quên!”. Như khắc như giũa, ấy là đường lối học tập. Như trau, như mài, ấy là tự sửa mình. Nghiêm biết bao, mạnh biết bao, ấy là đáng kính nể. Sáng tỏ biết bao, rực rỡ biết bao, ấy là thật uy nghi. Có người quân tử nhã nhặn, trọn đời chẳng thể nào quên, ấy là đường lối thịnh đức chí thiện, dân không thể quên được vậy.
前王不忘。君子賢其賢而親其親，小人樂其樂而利其利，此以沒世不忘也。	Kinh Thi rằng: “Hỡi ôi, các vua đời trước, người ta chẳng quên.” Người quân tử quí trọng tài năng đức hạnh, mà thân yêu người thân; kẻ tiểu nhân yêu thích điều vui, mà hưởng nhờ điều lợi. Vì thế hết đời người ta chẳng quên vậy.
子曰：聽訟，吾猶人也；必也使無訟乎!	Đức Khổng nói: “Xử kiện, ta cũng như người. Ắt là phải khiến cho không có việc kiện chứ.”.
無情者不得盡其辭，大畏民志；此謂知本。	(Khiến cho) những kẻ gian dối không nói được hết lời, (khiến cho) lòng dân rất sợ sệt.
右傳之四章，釋本末。此謂知本。此謂知之至也。	Đó gọi là biết gốc. Trên đây là chương thứ tư của phần Truyện, giải rõ [ý nghĩa] “gốc, ngọn.” Đó gọi là biết gốc, đó gọi là biết cùng tột vậy.
閒嘗竊取程子之意以補之曰：所謂“致知在格物”者，言欲致吾之知，在即物而窮其理也。	Khoảng thời gian trước, (tôi) đã từng trộm lấy ý của thầy Trình tử để thêm vào rằng: Cái gọi là “trí tri tại cách vật” ấy là muốn nói cho sự hiểu biết của ta đạt tới chỗ thấu đáo, thì phải tìm đến cùng cái lý của sự vật.
蓋人心之靈莫不有知?	Bởi vì tính thiêng liêng của tâm hồn con người, chẳng có gì không biết!
而天下之物，莫不有理?	Thế mà, sự vật trong thiên hạ, chẳng có gì không có lý do!
惟於理有未窮，故其知有不盡也。	Duy chưa xét đến cùng cái lý, cho nên sự hiểu biết không được rốt ráo.
是以大學始教，必使學者即凡天下之物，莫不因其已知之理而益窮之，以求至乎其極。	Vì vậy, bậc đại học bắt đầu dạy dỗ, ắt khiến cho người học biết rằng sự vật trong thiên hạ chẳng có gì mà không nhân cái lý đã biết, rồi mở rộng đến cùng để tìm đến chỗ tột bậc.
至於用力之久，而一旦豁然貫通焉，則眾物之表裡精粗無不到，而吾心之全體大用，無不明矣。	Đến khi dùng sức được lâu dài, mà một sớm thấu rõ thông suốt hết, thì mọi vật từ ngoài vào trong, từ tinh túy đến thô sơ, không có gì không thấu đáo; thế là toàn thể tâm hồn ta, dùng vào mọi sự, không chỗ nào không thấu suốt.
此謂“物格”。此謂知之至也。	Đó gọi là “vật cách”; đó gọi là biết cùng tột vậy.
所謂誠其意者，毋自欺也。如惡惡臭，如好好色。	Điều gọi là “thành thật ý mình”, ấy là đừng tự lừa dối mình; như ghét mùi hôi thối, như ưa thích cảnh tượng đẹp.
此之謂自謙。	Đó gọi là tự cảm thấy thỏa ý.
故君子必慎其獨也。	Cho nên bậc quân tử ắt phải thận trọng lúc ở một mình.
小人閒居為不善，無所不至；見君子而后厭然，揜其不善而著其善；人之視己，如見其肺肝然，則何益矣?	Kẻ tiểu nhân ở rảnh rỗi thì làm điều chẳng tốt lành; chẳng có gì không làm. Thấy bậc quân tử thì e ngại, che đậy điều xấu của mình, mà bày tỏ điều tốt ra. Người ta nhìn mình như trông thấy cả phổi gan. Thế thì ích lợi gì?
此謂誠於中，形於外。	Đó gọi là thành tựu ở trong thì hiện rõ ra ngoài.
故君子必慎其獨也。	Cho nên bậc quân tử ắt phải thận trọng lúc ở một mình.
曾子曰：十目所視，十手所指，其嚴乎!	Tăng tử nói rằng: “Mười mắt nhìn vào, mười tay chỉ vào đáng sợ lắm thay!”.
富潤屋，德潤身，心廣，體胖。	Giàu có làm cho nhà cửa đẹp đẽ; đức hạnh làm cho thân thể nhuần nhã. Tâm hồn rộng mở, thân thể thư thái.
故君子必誠其意。	Cho nên bậc quân tử ắt phải thành thật ý mình.
(右傳之七章，釋正心修身。	Trên đây là chương thứ bảy của phần Truyện, giải rõ [ý nghĩa] “chính tâm, tu thân”.
)所謂“齊其家在修其身”者，人之其所親愛，而辟焉，之其所賤惡而辟焉，之其所畏敬而辟焉。之其所哀矜而辟焉，之其所敖惰而辟焉。	Điều gọi là “điều chỉnh nhà mình ở tại sửa thân mình” ấy là người ta đối với kẻ mình yêu mến thì hay thiên lệch; đối với kẻ mình khinh ghét thì hay thiên lệch; đối với kẻ mình kính sợ, thì hay thiên lệch; đối với kẻ mình thương xót, thì hay thiên lệch; đối với kẻ mình coi thường, thì hay thiên lệch.
故好而知其惡，惡而知其美者，天下鮮矣。	Cho nên, ưa thích ai mà biết đến cái xấu của họ, ghét ai mà biết đến cái đẹp của họ, thiên hạ ít có vậy.
故諺有之曰：人莫知其子之惡，莫知其苗之碩。	Vì thế có câu tục ngữ nói rằng: “Người ta chẳng biết cái xấu của con mình, chẳng biết cái tốt của lúa nhà mình.”.
(右傳之八章，釋修身齊家。	Trên đây là chương thứ tám của phần Truyện, giải rõ [ý nghĩa của] “tu thân, tề gia”.
)所謂“治國必先齊其家”者，其家不可教，而能教人者，無之。	Điều gọi là “trị nước trước hết điều chỉnh nhà mình” ấy là nhà mình không giáo dục được mà có thể giáo dục được người khác, điều đó không có.
故君子不出家，而成教於國。	Cho nên bậc quân tử không ra khỏi nhà mà thành tựu được việc giáo dục dân nước.
孝者，所以事君也；弟者，所以事長也；慈者，所以使眾也。	Đức hiếu cốt để thờ vua; đức đễ cốt để tôn trọng người trên; đức từ cốt để sai khiến dân chúng.
康誥曰：如保赤子。心誠求之，雖不中，不遠矣。	Thiên Khang Cáo nói rằng: “Như giữ gìn con đỏ.” Có lòng thành tìm hiểu tuy không trúng thì cũng không xa.
未有學養子，而後嫁者也。	Chưa từng có ai học nuôi con rồi sau mới lấy chồng.
一家仁，一國興仁；一家讓，一國興讓；一人貪戾，一國作亂；其機如此。	Một nhà làm điều nhân, một nước cũng dấy lên điều nhân; một nhà có sự nhường nhịn, một nước cũng dấy lên sự nhường nhịn. Một người tham lam ngang ngược, một nước phát khởi rối loạn. Cái mầm mống phát động là như thế.
此謂一言僨事，一人定國。	Thế gọi là: “Một lời làm hỏng việc, một người ổn định được nước.”.
堯舜帥天下以仁，而民從之；桀紂帥天下以暴，而民從之。	Vua Nghiêu, vua Thuấn lấy đức nhân điều khiển thiên hạ, thì dân theo; vua Kiệt, vua Trụ lấy bạo tàn điều khiển thiên hạ, thì dân theo.
其所令反其所好，而民不從。	Mệnh lệnh của mình mà trái với điều mình ưa thích thì dân không theo.
故君子有諸己，而后求諸人；無諸己，而后非諸人。	Cho nên bậc quân tử có điều gì ở mình rồi sau mới đòi hỏi ở người; không có mình rồi sau mới khiến không có ở người được.
所藏乎身不怒，而能喻諸人者，未之有也。	Điều mà thân mình chẳng tự suy mình ra người, lại đem dạy bảo cho người, chưa hề có vậy.
故治國在齊其家。	Cho nên việc trị nước ở tại việc điều chỉnh gia đình.
詩云：其儀不忒，正是四國。其為父子兄弟足法，而后民法之也。	Kinh Thi rằng: “Dáng mạo không sai lầm, làm cho bốn nước được ngay thẳng.” Làm cha, con, anh, em đều giữ đủ phép tắc, rồi sau dân chúng mới bắt chước.
此謂治國，在齊其家。	Thế là việc trị nước ở tại điều chỉnh nhà mình.
所謂平天下在治其國者，上老老而民興孝；上長長，而民興弟；上恤孤而民不倍。	Điều gọi là “làm cho thiên hạ được bình an ở tại trị quốc” ấy là người trên hết lòng tôn kính người già, thì dân dấy lên đức hiếu, người trên hết lòng trọng vọng bậc đàn anh, thì dân dấy lên đức đễ; người trên thương xót kẻ mồ côi, thì dân không làm điều trái nghịch.
是以君子有絜矩之道也。	Vậy nên bậc quân tử có đường lối chuẩn mực.
詩云：節彼南山，維石巖巖；赫赫師尹，民具爾瞻。	Kinh Thi rằng: “Núi Nam kia cao ngất, chỉ có đá chập chồng.
有國者不可以不慎，辟，則為天下僇矣。	Lẫm liệt thay Sư Doãn, dân chúng đều ngắm ông.” Người có nước không thể không thận trọng, lệch lạc thì bị thiên hạ giết chết.
是故君子先慎乎德。	Vậy nên, bậc quân tử trước hết là thận trọng giữ đức.
有德此有人；有人此有土，有土此有財，有財此有用。	Có đức, ấy là có người; có người ấy là có đất; có đất ấy là có của cải; có của cải ấy là có chỗ dùng.
德者，本也；財者，末也。	Đức là gốc, của cải là ngọn.
外本內末，爭民施奪。	Gốc đặt ở ngoài, ngọn đem vào trong, ấy là tranh giành với dân bày ra việc cướp giật.
是故財聚則民散，財散則民聚。	Vậy nên, của cải họp lại, thì dân tản ra; của cải tản ra thì dân họp lại.
是故言悖而出者，亦悖而入；貨悖而入者，亦悖而出。	Vậy nên, có lời ngang trái đưa ra, cũng có điều ngang trái theo vào; tiền của vào theo cách ngang trái, cũng đi ra theo cách ngang trái.
楚書曰：楚國無以為寶；惟善以為寶。	Sách nước Sở nói: “Nước Sở không lấy gì làm quí, riêng lấy điều thiện làm quí.”.
舅犯曰：亡人無以為寶，仁親以為寶。	Ông Cữu Phạm nói: “Người mất nước chẳng lấy gì làm quí; lấy việc yêu người thân làm quí thôi.”.
秦誓曰：若有一個臣，斷斷兮，無他技；其心休休焉，其如有容焉；人之有技，若己有之；人之彥聖，其心好之；不啻若自其口出，實能容之，以能保我子孫黎民，尚亦有利哉!	Thiên Tần thệ nói rằng: “Ví bằng có một người bầy tôi nào đó, thật là thành khẩn, không có tài năng nào khác, mà lòng thì thảnh thơi cởi mở, dường như có khả năng bao dung. (Thấy) người có tài năng, coi như mình có, (thấy) người tốt đẹp thông tỏ, lòng thấy ưa thích, dường như chẳng những nói ra miệng, còn thật lòng bao dung, dùng người ấy có thể giữ gìn được con cháu và dân đen của ta, ngõ hầu cũng có lợi biết bao!.
人之有技，媢嫉以惡之；人之彥聖，而違之俾不通，實不能容，以不能保我子孫黎民，亦曰殆哉!	“(Thấy) người có tài năng, ghen tuông ghét bỏ; (thấy) người tốt đẹp thông tỏ, thì ngăn trở, khiến cho không thăng tiến được, thật chẳng có lòng bao dung; dùng người ấy không thể giữ gìn được con cháu và dân den của ta, cũng là nguy hại biết bao!”.
唯仁人放流之，迸諸四夷，不與同中國。	Chỉ có người nhân mới biết trục xuất kẻ đó, đuổi đi bốn xứ mọi rợ, không cho cùng ở trong nước.
此謂唯仁人為能愛人，能惡人。	Như thế thật là chỉ có người nhân mới biết yêu người, biết ghét người.
好人之所惡，惡人之所好，是謂拂人之性，菑必逮夫身。	Ưa thích cái thứ người ta ghét, ghét cái thứ người ta ưa thích, ấy gọi là trái với tính con người. Tai họa ắt theo đến thân.
是故君子有大道，必忠信以得之，驕泰以失之。	Vậy nên bậc quân tử có đường lối lớn này: hễ trung thành tín thực thì được, kiêu căng xa xỉ thì mất.
孟獻子曰：畜馬乘，不察於雞豚；伐冰之家，不畜牛羊；百乘之家，不畜聚歛之臣；與其有聚歛之臣，寧有盜臣。	Ông Mạnh Hiến tử nói rằng: “Nuôi ngựa kéo xe, không xét đến gà, heo. Nhà có chứa nước đá không nuôi bò dê. Nhà có trăm cỗ xe không nuôi bầy tôi vơ vét.
此謂國不以利為利，以義為利也。	Ví thử có bầy tôi vơ vét, thà rằng có bầy tôi trộm cắp.” Như thế gọi là “Nước không lấy lợi làm lợi, mà lấy nghĩa làm lợi vậy.”.
長國家而務財用者，必自小人矣，彼為善之。	Đứng đầu quốc gia mà chăm chắm vào việc dùng tiền của, ắt là do kẻ tiểu nhân, cho đó là ngay lành.
小人之使為國家，菑害並至，雖有善者，亦無如之何矣。	Sai khiến kẻ tiểu nhân điều khiển quốc gia, thì tai họa, tổn hại đều đến. Dẫu có bậc ngay lành, cũng không biết làm như thế nào.
此謂國不以利為利，以義為利也。	Như thế gọi là “Nước không lấy lợi làm lợi, mà lấy nghĩa làm lợi vậy.”.
子程子曰：“不偏之謂中，不易之謂庸。	Thầy Trình tử nói: Không thiên lệch gọi là trung, không dời đổi gọi là dung.
中者天下之正道；庸者天下之定理。”	Trung là con đường chính đáng của mọi người, dung là cái lẽ nhất định của mọi người.
此篇乃孔門傳授心法，子思恐其久而差也，故筆之於書，以授孟子。	Bản văn này là tâm pháp được trao truyền trong Cửa Khổng, ông Tử Tư sợ rằng lâu dần bị sai lạc đi, cho nên viết thành sách, để trao cho ông Mạnh Tử.
其書始言一理，中散為萬事，末復合為一理。	Sách ấy, những lời ban đầu nói đến một lý duy nhất, ở đoạn giữa trải ra muôn việc, phần cuối lại kết hợp thành một lý duy nhất.
放之則彌六合，卷之則退藏於密，其味無窮，皆實學也。	Mở rộng ra thì đầy sáu cõi, thu lại thì lui vào ẩn náu nơi kín đáo. Vị của nó vô cùng, đều là thực học.
善讀者，玩索而有得焉，則終身用之，有能盡者矣。	Người khéo đọc sách suy nghĩ tìm tòi mà đạt được, thì dùng suốt đời; không thể cạn hết vậy.”.
道也者，不可須臾離也；可離，非道也。	Đạo là cái không thể lìa xa giây phút nào, có thể lìa được thì chẳng phải đạo nữa.
是故，君子戒慎乎其所不睹，恐懼乎其所不聞。	Vì vậy người quân tử câu thúc lấy mình, cẩn thận chỗ không (ai) xem thấy, sợ hãi ở chỗ không (ai) nghe thấy.
莫見乎隱，莫顯乎微，故君子慎其獨也。	Đừng cho rằng giấu kín mà không bày ra, đừng cho rằng nhỏ bé mà không sáng rõ, cho nên người quân tử cẩn thận lúc ở một mình.
喜怒哀樂之未發，謂之中；發而皆中節，謂之和。	Mừng, giận, thương, vui chưa phát ra, gọi là trung; phát ra mà đều đúng mực, gọi là hoà.
中也者，天下之大本也；和也者，天下之達道也。	Trung là cái gốc lớn của mọi người, hoà là đường lối thành tựu của mọi người.
致中和，天地位焉，萬物育焉。	Làm hết mức đạo trung hoà, thì trời đất được đúng ngôi, muôn vật được nuôi nấng vậy.
首明道之本原出於天而不可易，其實體備於己而不可離次言存養省察之要。	Phần đầu (nói về) nguồn gốc của đạo sáng xuất phát ở Trời không thể dời đổi, thực thể của đạo đầy đủ ở ta không thể lìa bỏ. Tiếp theo nói đến tính cách quan yếu của sự bảo tồn, bồi dưỡng, suy nghĩ, xem xét (tâm hồn mình).
仲尼曰：“君子中庸,小人反中庸。	Trọng Ni (Đức Khổng tử) nói: “Người quân tử giữ đạo trung dung, kẻ tiểu nhân trái đạo trung dung.
君子之中庸也，君子而時中；小人之反中庸也，小人而無忌憚也。”	Đường lối trung dung của người quân tử là quân tử thì tùy thời giữ trung. Đường lối trung dung của kẻ tiểu nhân là tiểu nhân thì không kiêng sợ gì.”.
子曰：“中庸其至矣乎！	Đức Khổng nói: “Trung dung cao siêu vậy thay!
民鮮能久矣。”	Ít người theo được lâu rồi!”.
子曰：“道之不行也，我知之矣；知者過之，愚者不及也。道之不明也，我知之矣；賢者過之，不肖者不及也。	Đức Khổng nói: “Đạo (trung dung) không thi hành được, ta biết rồi, người trí thì vượt quá, người ngu si thì chẳng kịp. “Đạo (trung dung) không sáng tỏ ra được, ta biết rồi, người đức hạnh thì vượt quá, người hư đốn thì chẳng kịp.
子曰：“道其不行矣夫！”	Đức Khổng nói: “Đạo (trung dung) không được thi hành nữa rồi!”.
子曰：“舜其大知也與！	Đức Khổng nói: “Vua Thuấn là bậc rất sáng suốt vậy thay!
舜好問而好察邇言；隱惡而揚善；執其兩端，用其中於民；其斯以為舜乎！”	Thuấn thích hỏi han, rồi thích suy xét những lời tầm thường gần gũi. Giấu điều xấu mà lại phô trương điều tốt. Nắm hai đầu mối, áp dụng chỗ vừa phải cho dân. Ấy mới là vua Thuấn vậy!”.
子曰：“人皆曰：予知；驅而納諸罟，擭陷阱之中，而莫之知辟也。	Đức Khổng nói: “Người ta đều nói: ‘Tôi sáng suốt’, thế mà bị xua đuổi vào lưới, mắc bẫy ở trong hầm hố, lại chẳng biết trốn đi.
人皆曰：予知；擇乎中庸，而不能期月守也。”	Người ta đều nói: ‘Tôi sáng suốt’, thế mà chọn đạo trung dung, không thể giữ được trọn một tháng.
子曰：“回之為人也，擇乎中庸；得一善，則拳拳服膺而弗失之矣。”	Đức Khổng nói: “Hồi là một con người (đích thực) vậy. Chọn đạo trung dung, được một điều lành, thì khư khư ôm vào lòng, mà chẳng để mất.”.
子曰：“天下國家可均也，爵祿可辭也，白刃可蹈也，中庸不可能也！”	Đức Khổng nói: “Thiên hạ, các chư hầu có thể bình trị được; chức tước bổng lộc có thể khước từ được; gươm giáo sáng quắc có thể giẫm lên được; đạo trung dung không thể làm nổi vậy.”.
子曰：“南方之強與？	Đức Khổng nói: “Sức mạnh của người phương Nam ư?
北方之強與？	Sức mạnh của người phương Bắc ư?
抑而強與？	Hay sức mạnh của ngươi ư?
寬柔以教，不報無道；南方之強也，君子居之。	Lấy khoan dung, mềm dẻo để dạy dỗ, không báo thù kẻ vô đạo: đó là sức mạnh của người phương Nam. Người quân tử sống với sức mạnh ấy.
故君子和而不流，強哉矯！	Vì vậy, người quân tử hoà thuận mà không a dua. Sức mạnh ấy mạnh mẽ thay!
中立而不倚，強哉矯！	Đứng trong đạo Trung dung mà không ỷ lại. Sức mạnh ấy mạnh mẽ thay!
國有道，不變塞焉，強哉矯！	Khi nước có đạo, thì không thay đổi ý hướng ban đầu. Sức mạnh ấy mạnh mẽ thay!
國無道，至死不變，強哉矯！”	Khi nước vô đạo, thì đến chết cũng không thay đổi khí tiết. Sức mạnh ấy mạnh mẽ thay!”.
子曰：“素隱，行怪，後世有述焉，吾弗為之矣。	Đức Khổng nói: “Tìm tòi những điều bí ẩn, thi hành những việc lạ lùng, cho đời sau nhắc nhở, ta chẳng làm như vậy.
君子遵道而行，半塗而廢，吾弗能已矣。	Người quân tử theo đạo mà hành động; nửa đường bỏ dở, ta chẳng có thể như thế.
君子依乎中庸，遯世，不見知而不悔，唯聖者能之。”	Người quân tử nương vào đạo Trung dung thôi. Lánh đời, không ai thấy biết mà không hối tiếc, riêng có bậc thánh mới được vậy.”.
君子之道，費而隱。	Đạo người quân tử rộng rãi mà lại kín nhẹm.
夫婦之愚，可以與知焉；及其至也，雖聖人亦有所不知焉。	Hạng đàn ông, đàn bà không học có thể dự biết được. Đến chỗ cùng cực của đạo ấy, tuy bậc thánh nhân cũng có chỗ không biết.
天地之大也，人猶有所憾。	Trời đất thì bao la, người ta vẫn có chỗ oán trách.
故君子語大，天下莫能載焉；語小，天下莫能破焉。	Vậy mà quân tử nói về chỗ lớn lao của đạo, thì thiên hạ chẳng thể chứa chở nổi; nói về chỗ nhỏ nhặt của đạo, thì thiên hạ chẳng thể phân tách ra được.
君子之道，造端乎夫婦，及其至也，察乎天地。	Đạo người quân tử khởi đầu mối từ vợ chồng; đến chỗ cùng cực của đạo ấy thì thấu triệt trời đất.
右第十二章。	(Lời của Tử Tư).
子思之言，蓋以申明首章道不可離之意也。	Trên đây là chương thứ mười hai, lời của Tử Tư vốn để làm sáng tỏ chương đầu về ý tứ “đạ o không thể lìa bỏ”.
其下八章，雜引孔子之言以明之。	Còn tám chương dưới đây dẫn chứng những lời lẽ khác nhau của Khổng tử để làm sáng tỏ.
子曰：“道不遠人；人之為道而遠人，不可以為道。”	(Lời của Chu Hy). Đức Khổng nói: “Đạo chẳng xa người. Người nào lập ra đạo mà rời xa người, chẳng thể làm nên đạo.”.
詩云：“伐柯伐柯其則不遠；執柯以伐柯，睨而視之猶以為遠。”	Kinh Thi nói rằng: “Đẽo cán búa, đẽo cán búa, khuôn mẫu của nó không xa.” Cầm cái cán búa để đẽo cán búa, liếc mắt nhìn, còn xa (cán mẫu).
故君子以人治人，改而止。	Cho nên người quân tử dùng “người” trị người, sửa đổi cho được mới thôi.
“君子之道四，丘未能一焉；所求乎子，以事父未能也；所求乎臣，以事君未能也；所求乎弟，以事兄未能也；所求乎朋友，先施之未能也。	“Đạo người quân tử có bốn điều: Khâu này chưa làm trọn được một. Cái mà cầu mong nơi người con để đối với cha, ta chưa làm được. Cái mà cầu mong nơi bầy tôi để đối với vua, ta chưa làm được. Cái mà cầu mong nơi người em để đối với anh, ta chưa làm được. Cái mà cầu mong nơi bạn bè để thi hành trước, ta chưa làm được.
庸德之行，庸言之謹；有所不足，不敢不勉；有餘，不敢盡。	Thi hành những nhân đức thông thường, cẩn thận giữ những lời nói thông thường, có chỗ nào không đủ, không dám không cố gắng; có chỗ nào thừa, không dám cho là trọn.
言顧行，行顧言：君子胡不慥慥爾！”	Nói năng thì trông lại hành động, hành động thì trông lại nói năng, người quân tử chẳng chăm chắm vậy sao?”.
君子素其位而行，不願乎其外。	Người quân tử hành động ở trong địa vị hiện tại của mình; không mong ước gì ở ngoài.
素富貴，行乎富貴；素貧賤，行乎貧賤；素夷狄，行乎夷狄；素患難，行乎患難。	Vốn sẵn giàu sang, hành động theo giàu sang. Vốn sẵn nghèo hèn, hành động theo nghèo hèn. Vốn sẵn là mọi rợ (quê mùa), hành động theo mọi rợ (quê mùa). Vốn sẵn hoạn nạn, hành động theo hoạn nạn.
君子無入而不自得焉！	Người quân tử không vào đâu mà không được vui lòng.
在上位，不陵下；在下位，不援上。	Ở địa vị trên, không ức hiếp người dưới; ở địa vị dưới, không níu bám người trên.
正己而不求於人，則無怨；上不怨天，下不尤人。	Làm cho mình trở nên công chính, mà không phải cầu cạnh vào người, thì không có oán hận. Trên không oán hận Trời, dưới không trách người.
