大南寔錄/大南正編列傳初集/卷01。	QUYỂN 1.
又勅禮臣撰具公文，由嘉定派人，齎交伐稜轉達。	Lại sắc cho Lễ thần làm công văn do thành Gia Định phái người giao cho Phật Lăng để chuyển đạt đến vua Xiêm.
去秋，忽見乂安馳報，所派該隊潘文統、協守黎廷遹及通言、土兵、蠻兵五十人齎諭之萬象，纔抵鋪嶔堡，爲暹將樁爲差詐邀掩殺，惟畱廷遹與蠻屬二人，及敕諭龍筒納于醜頗禍移，以送于暹。	Mùa thu năm ngoái, chợt thấy trấn Nghệ An chạy ngựa báo là: Có phái Cai đội là Phan Văn Thống và Hiệp thủ là Lê Đình Duật cùng thông ngôn lính thổ lĩnh Man 50 người mang tờ dụ đi Vạn Tượng, mới đến bảo Bộ Khâm bị tướng Xiêm là Thung Vi Sai giả làm đến đón rồi đánh úp giết chết, chỉ để lại Lê Đình Duật cùng 2 người Man thuộc và tờ sắc dụ để đưa cho nước Xiêm.
去冬，又接甘露道奏稱，暹裨將爲掣森鈐隴那羅等將兵分駐尋湓州，擅拘吏目，勒索財物，託以追問九土司貢稅及索取流民爲辭，經勅疆吏以理曉之而不肯退，直待我兵進至然後撤去，且稱所掠牛馬俟後交還，此等事具有樂凡部落昭芃謹麻𤁕、昭蛇湼報結可據。	Mùa đông năm ngoái, lại tiếp tờ tấu của đạo Cam Lộ nói là kỳ tướng nước Xiêm là bọn: Vi Tiết Sâm Kiềm và Lũng Na La đem binh chia nhau đóng ở châu Tầm Bôn tự tiện bắt lại mục đòi hỏi tài vật, mượn tiếng là truy hỏi thuế cống của 9 thổ ty và đòi lại dân lưu tán, đã sắc cho quan ở biên giới, lấy lễ hiểu dụ mà không chịu lui, đợi đến khi quân ta tiến đến rồi sau mới chịu rút đi, và nói là số trâu ngựa đã cướp lấy đợi sau sẽ giao trả. Những việc ấy có đủ tờ bảo kết của bọn: Chiêu Bông Cẩn Ma Lạt và Chiêu Xà thuộc bộ lạc Lạc Hoàn làm bằng cứ.
以若所爲，非所以敦信好而全厚道，且我之於暹，率循舊典，世守鄰交，暹之難船泊我洋分者，皆賙卹之，暹之流蠻投我邊者，亦賑給之。	Xem những việc ấy, không phải là đôn đốc về tín hiếu để trọng hậu đạo. Và ta đối với nước Xiêm, vẫn noi theo điển cũ, đời đời giữ tình giao hiếu với nước láng giềng, như thuyền bị nạn của Xiêm giạt vào phần biển của ta, đều chẩn phát cứu giúp cho; những dân Man người Xiêm lưu tán sang biên giới ta, cũng chẩn cấp cho.
緬甸，暹之敵國，昔曾委使通款以圖暹，我亦拒之而不納。	Nước Miến Điện là địch quốc của Xiêm, khi xưa từng sai sứ sang thông hiếu để mưu tính nước Xiêm, ta cũng cự tuyệt không nhận.
其講信修睦之誠，固有以質於神明播於遐邇矣。	Về việc giữ điều tín thực, sửa việc hòa mục, có thể đối chất với thần minh và vang khắp xa gần vậy.
至於區處萬象之事，正爲恤難撫孤，義所在也，非利其土地人民也。	Đến như việc khu xửượng, chính là thương kẻ có nạn, vỗ về kẻ cô đơn, nghĩa phải như thế, không phải là lợi về đất cát nhân dân của nước ấy vậy.
乃文書往來，委曲道達。而暹未曾遣一介之使以相通。	Bèn làm văn thư qua lại dặn bảo cặn kẽ, mà nước Xiêm chưa từng sai một người sứ thần đến để thông báo cho nhau.
且萬象臣事二大，卽使阿弩果獲咎於暹，亦須與我通知，別擇賢者立之，以存其祀。	Vả lại nước Vạn Tượng làm tôi thờ hai nước lớn, nếu A Nỗ quả có lỗi với Xiêm, cũng nên thông báo cho ta biết, để chọn người hiền khác lập lên, cho có người kế tự.
今寂然不以相聞，輒俘其民而空其地，是何義耶。	Nay im lặng không cho biết, tự tiện bắt dân, bỏ không đất cát, là nghĩa gì?
至若派人齎諭萬象，向暹謝過，本爲好事而來，樁爲差何仇，而遽起惡機。行人何辜，而橫遭毒手。	Còn như phái người mang tờ dụ bảo nước Vạn Tượng đến tạ lỗi nước Xiêm vốn là vì việc tốt mà đến, tên Thung Vi Sai có thù hằn gì mà vội dùng cơ mưu gian ác, bọn hành nhân có tội gì mà gặp phải tay thâm độc như thế, việc ấy rất là trái lẽ.
此事尤爲逆理，况乎彼此疆域界限截然，九土司原隸我朝版籍，於暹不相關。	Huống hồ bờ cõi nước nọ nước kia, giới hạn đã định, 9 thổ ty nguyên vẫn lệ thuộc bản đồ của triều đình ta, đối với Xiêm từ trước không có quan hệ giao thiệp gì.
年前欣麻𤁕難民投依，我憐其竆而暫容之。	Năm trước, nạn dân là Hân Ma Lạt đến trú ngụ nhờ, ta thương là cùng khổ tạm dung cho, rồi lại cho về.
隨復聽其歸去，爲掣等卻無端託故，軋我疆土，擾我邊氓，安有禮義相與之國而乃容邊將如此越界妄爲者乎。	Bọn Vi Liệt tự dưng mượn cớ sấn sang bờ cõi của ta, nhiễu hại dân ngoài biển của ta, đâu có nước lễ nghĩa đối đãi với nhau mà dung túng cho tướng ngoài biên vượt cõi làm càn như thế ư?
順逆之理，蓋已瞭然，不待辯而自明矣。	Về lễ thuận nghịch đã tỏ rõ rồi, không đợi phải biện luận mà tự sáng tỏ rồi.
念重親睦之情，特遣使臣齎書以往。卽宜自省而審度之。	Nhưng ta nghĩ đến tình thân mục, đặc cách sai sứ thần mang thư đưa đến thì phải nên tự xét mà lo tính lấy?
萬象如當別置君長，其處置事體須早回答。黎廷遹與敕書一道，仍卽交還。再併交首惡樁爲差，問其擅殺使人知罪。偏裨爲掣等，自當嚴懲，俾知所戒。	Nước Vạn Tượng nếu nên đặt quân trưởng khác, thì sự thể xếp đặt nên sớm trả lời lại Lê Đình Duật với một đạo sắc thư, rồi tức khắc giao trả về nước, lại giao cả tên thủ là Thung Vi Sai để hỏi cái tội tự tiện giết sứ giả; còn tù trưởng là bọn Vi Liệt phải nên nghiêm răn để biết răn sợ.
如此，則來者可追，猶足以不愆於好事。否則起釁，寔自暹始。	Như thế thời sau này còn có thể sửa chữa được, còn đủ không hại đến việc hòa hiếu, không thể vì việc gây hấn là tự nước Xiêm trước.
至此曲直是非，上有天鑒，下有列國諸藩聲口，毋謂我國有負於暹也。」三月，暹遣使來謝好。	Đến lúc bấy giờ cong thẳng phải trái trên có trời soi xét, dưới có miệng tiếng các quốc và các phiên bàn xét. Chớ bảo là nước ta phụ nước Xiêm Tháng 3, nước Xiêm sai sứ lại tạ và hòa hiếu.
使至嘉定，城臣先以其國書草本飛遞入奏。	Sứ đến Gia Định, thành thần trước hết lấy bản thảo quốc thư đệ tâu lên ngay.
帝曰：「前者朝廷遣使如暹，正爲區處萬象，及問明容縱將弁越境妄爲等事。	Vua nói trước đây ta sai sứ sang Xiêm, chính vì việc khu xử nước Vạn Tượng và hỏi rõ các việc dong túng các tướng biên vượt cõi làm bậy.
今其使來，書中所敍，率皆掩過。特卑辭屈禮，以悅我心。	Nay sứ mang thư lại, trong thư đã nói đều để che lỗi, chỉ nhũn lời chịu khuất để đẹp lòng ta.
但彼旣藉以通好，若峻拒之，則是示人以不廣也。」	Nhưng họ đã nhờ đó để thông hiếu, nếu cự tuyệt đi thì tỏ ra là không được rộng lượng.
乃諭城臣送使者上京。	Bèn dụ cho thành thần đưa sứ giả tới kinh.
旣至，命禮部以前事問難，使者惟善辭以答。	Khi sứ đến sai bộ Lễ đem việc nước vặn hỏi, sứ giả chỉ lấy lời nói khéo để đáp lại.
明命十一年六月，暹遣使齎國書、方物來謝。	Năm Minh Mạng thứ 11, tháng 6, Xiêm sai sứ mang quốc thư và phương vật đến ta.
使至嘉定，城臣譯其書以聞，略言彼國嗣後不敢復擾我國土司，其擇立萬象國長，姑俟得人，通書關報；至於寵衫之殺行人，於彼爲功，請赦之。	Sứ đến Gia Định, thành thần dịch tờ thư tâu lên. Tờ thư nói đại lược rằng: Nước họ tự nay về sau không dám quấy nhiễu thổ ty nước ta nữa, còn việc chọn lập Quốc trưởng nước Vạn Tượng tạm đợi chọn được người sẽ đưa thư trình báo sau. Đến như việc Sủng Sam giết bọn hành nhân đối với họ là có công, xin tha cho.
城臣經以事理，再三竆詰，其使應答無異辭。	Thành thần đã đem mọi lẽ vặn hỏi hai ba lần, nhưng sứ giả ứng đáp không khác gì lời nói ban đầu.
下廷議，皆言：「我國與暹，世爲鄰交。近因萬象之役，自他先構釁端。則我直彼曲，固已不待辯而自明矣。	Việc giao xuống đình thần bàn, đều nói: Nước ta cùng với nước Xiêm đời đời làm làm nước láng giềng giao hiếu, gần đây việc nước Vạn Tượng, tự họ khởi hấn ra trước, thời ta lẽ thẳng họ lẽ trái cố nhiên chẳng cần phải đợi biện luận mà đã tự rõ vậy.
惟彼國從來囿於習俗，旣不知名義所在，辭命亦無文雅可觀。	Duy nước họ tự xưa đến nay quen theo tập tục, đã không danh nghĩa gì, mà giấy tờ cũng không có văn nhã khả quan.
而此次來書，一則曰請罪，二則曰鄰誼無間。其有敍及本國，則明著皇帝徽稱。有誤用諱字，一經曉示，卽行改繕。	Mà tờ thư đưa đến chuyến này, một là nói xin tội một lần, hai là nói tình lân nghị không bao giờ khác, mà có kể đến nước ta, thì biên rõ húy xưng của hoàng đế; có dùng làm chữ húy, một khi đã hiểu báo thị tức thì sửa chữa ngay.
以敵國之體，而俯首怗耳如此，豈敢仍然爲梗者乎。	Lấy thể diện một nước đối địch, mà cúi đầu im tai như thế, há dám còn giữ ngạnh bướng đâu.
若峻絕之，恐非朝廷講信修睦、不輕絕人之初意。	Nếu cự tuyệt đi sợ không phải là ý của triều đình là giữ điều tin, dốc hòa mục, không có khinh suất cự tuyệt ngư̖ ta.
但寵衫之罪，誠不可原。而彼反以爲功，爲之請。止此一事，自有不可恝然者。	Nhưng tội của tên Sủng Sam thực không thể tha thứ được, mà họ lại cho là công, xin tha cho, chỉ có việc đó, không thể bỏ mặc được.
請復令城臣詰折，俾他知所屈服，庶以正名義、明曲直，然後以禮接之，未爲晚也。」	Xin lại sai thành thần vặn hỏi để họ biết khuất phục, mới chính danh nghĩa, rõ được trái phải, rồi sau sẽ lấy lễ tiếp đãi cũng chưa muộn gì.
帝然之。命禮部員外郎阮有識等齎諭旨，往會城臣妥辦。	Vua cho là phải, sai Viên ngoại lang bộ Lễ là bọn Nguyễn Hữu Thức mang tờ dụ tới hội với thành thần mà làm cho thỏa đáng.
及還，奏言：「暹使情辭恭順，無有一毫抗梗之意。」	Khi trở về tâu nói: Sứ Xiêm lời lẽ kính thuận, không có ý chống cự chút nào.
帝曰：「彼旣心服，朕亦何求。」	Vua nói: Họ đã tâm phục, trẫm còn cần gì.
因謂羣臣曰：「暹之爲國，南鄰赤毛，西界緬甸，東則與我接壤。平日所以誇雄於西南諸國者，以有我爲在援耳。	Nhân bảo quần thần rằng: Nước Xiêm Nam giáp nước Xích Mao, Tây giáp nước Diến Điện, đồng thời cùng ta tiếp giáp bờ cõi, ngày thường sở dĩ khoe khoang hùng cường với các nước Tây Nam, là vì có ta làm viện trợ mà thôi.
今若構釁於我，兵端一開，則西南諸國乘而襲之於後，不亦危乎。	Nay nếu gây hấn với ta, thì việc binh đã gây ra, tất các nước Tây Nam nhân đó mà đánh úp ở mặt sau chẳng là nguy ư?
朕固知暹之不敢背我也。」	Trẫm vẫn biết nước Xiêm không dám bội bạc với dân ta đâu.
乃諭嘉定派送暹使來京。	Bèn dụ cho Gia Định phải đưa sứ Xiêm tới kinh.
旣至，宣召上殿。帝問之曰：「暹國與我情好旣絕，今復遣使來此何幹。」	Khi đến, cho triệu lên điện hỏi rằng: Nước Xiêm cùng với ta tình hiếu đã tuyệt, nay lại sai sứ sang đây có việc gì?
使者對曰：「佛王以暹與天朝世通鄰好，故遣陪臣致謝。」	Sứ giả thưa rằng: Phật vương cho nước Xiêm cùng với thiên triều đời đời không bỏ tình lân hiếu, nên sai bồi thần đến tạ.
帝曰：「曩者萬象與暹構隙，朕命官兵諭萬象，使之歸順于暹，亦好意也。乃暹將寵衫肆行殺戮，至五十餘人之多。	Vua nói: Trước đây, nước Vạn Tượng cùng với nước Xiêm gây hiềm khích, trẫm sai quan binh đến dụ nước Vạn Tượng bảo quy thuận với nước Xiêm cùng là ý tốt, thế mà tướng Xiêm là Sủng Sam càn dỡ giết chết đến hơn 50 người.
朕嘗遣使追問其事，佛王何不拏下寵衫，早正憲典，以存兩國之好乎。」	Trẫm thường sai sứ truy hỏi việc ấy, Phật vương sao không bắt tên Sủng Sam sớm chính pháp, để giữ hòa hiếu của hai nước ư?
使者對曰：「前者寵衫，疑是萬象扮做官兵以𠺱嚇暹人，故誤而殺之。	Sứ giả thưa rằng: Trước đây Sủng Sam ngờ là nước Vạn Tượng giả dạng làm quan binh, để hống hách người Xiêm, nên lầm mà giết đi.
今暹王爲此，使來請罪耳。」	Nay vua Xiêm vì thế mới sai sứ sang xin tội mà thôi.
帝曰：「萬象得罪於暹，暹王殺之，朕未嘗爲他庇護。至如寵衫，一裨將耳，妄開兩國之隙，罪莫大焉。而暹王爲之請解。然則佛王之臣子得罪於佛王，而人爲之請解，亦赦之乎。」	Vua nói: Nước Vạn Tượng có tội với nước Xiêm, vua Xiêm giết đi, trẫm chưa hề giúp hộ họ; đến như việc Sủng Sam là một tên kỳ tướng mà thôi, dám làm càn gây mối hiềm khích của hai nước, tội không gì lớn bằng, mà vua Xiêm vì hắn xin tha tội cho, thế thời những thần tử của Phật vương có tội với Phật vương, mà ta vì nó xin tha tội cho, thì vua Xiêm tha ư?
使者無以對。	Sứ giả không trả lời được.
帝復謂之曰：「交鄰有道，非徒爲外貌之禮也。	Vua lại bảo rằng: Việc giao hiếu với nước láng giềng phải có đạo lý, không phải chỉ có lễ ở ngoài mặt mà thôi.
我與暹相好，只爲緩急相助，榮辱相關。若夫外合中離，則情誼已疎，雖玉帛交贄，徒虛文耳，豈交鄰之道乎。	Nếu ngoài mặt thì hợp với nhau mà trong lòng thời lìa nhau, thì tình nghĩa đã sơ, dẫu có ngọc lụa đưa cho nhau làm tin, chỉ là hư văn thôi, há phải là đạo giao lân ư?
此次送好品物，一一璧還，朕不受也。	Lần này các phẩm vật tặng cho nhất nhất trả về hết, trẫm không nhận đâu.
歸語佛王，毋以一裨將之故而妄開邊釁。其早圖之。」	Về nói với Phật vương chớ lấy cớ một tên tỳ tướng mà gây càn hấn khích ở cõi ven, nên sớm phải mưu tính đấy.
使者拜謝而退。	Sứ giả lạy tạ lui ra.
及還，命修書付之。	Khi về vua sai làm thư trả lời giao cho.
十二年三月，嘉定奏言：「探聞暹國聲言舉兵備禦萬象之子曷蛇芃，其寔欲乘間來侵。」	Năm thứ 12, tháng 3, thành Gia Định tâu nói: Do thám được tin nước Xiêm, nói phao lên là đem binh để dự bị chống lại với con vua nước Vạn Tượng là Hạt Xà Bông, nhưng thực ra muốn nhân khi sơ hở đến xâm lấn nước ta.
諭曰：「探子之言，虛寔未辯。但防邊要著，亦先準備。	Dụ rằng: Lời nói của thám tử, hư thực chưa rõ, nhưng đề phòng ở ngoài biên là cốt yếu, cũng nên chuẩn bị trước.
儻得寔信，一面飛章入奏，一面隨機備禦。」	Nếu được tin thực, một mặt làm tờ tâu lên ngay; một mặt liệu cợ dự bị chống giữ.
又命兵部傳旨乂安鎭臣，派人打探萬象國城有無暹屯札，及曷蛇芃聲息、暹國動靜情狀如何。	Lại sai bộ binh truyền chỉ cho trấn thành Nghệ An phái người tới do thám quốc thành nước Vạn Tượng, có quân nước Xiêm đóng đồn không? Và tin tức của Hạt Xà Bông cùng tình trạng động tĩnh của nước Xiêm thế nào?
鎭臣尋奏：「諜者抵萬象國城，其城荒廢無人居，亦無暹兵屯札。	Rồi trấn thần tâu là người thám về tâu rằng: Đến quốc thành Vạn Tượng thấy thành bỏ hoang, không có ai ở, cũng không có quân Xiêm đóng đồn.
惟儂開堡有土兵數十人居，招集萬象遺民而已。	Duy ở bản Nùng Khai có vài chục người lính thổ ở đấy giữ để chiêu tập di dân của Vạn Tượng mà thôi.
訪之，皆云：『自阿弩失守之後，曷蛇芃走竄林中，不知存沒。暹王疑心今已稍釋，不復提及曷蛇芃事。』」。	Hỏi ra đều nói: Tự sau khi A Nỗ bị thua, thì Hạt Xà Bông trốn chạy trong rừng, không biết còn sống hay chết, bụng ngờ vực của vua Xiêm nay đã hơi đỡ đi, không đề cập tới việc Hạt Xà Bông nữa.
十三年，暹二王勉噴羅渉死，遣使來報哀。使至河僊，嘉定城臣以事聞，候取進止。帝諭曰：「年前彼國所爲，於鄰誼多屬欠好。經我致書責問，極爲確切，許久未見回覆。	Năm thứ 13, Xiêm Nhị vương là Miễn Phồn La Thiệp chết, sai sứ sang báo tang, sứ đến Hà Tiên, thành thần Gia Định đem việc tâu lên đợi chỉ cho đến kinh hay không, vua dụ rằng: Năm trước nước họ hành động, đối ới tình lân nghị phần nhiều thiếu sự hòa hiếu, ta đã đưa thư trách hỏi, rất là phải lẽ, mà lâu nay không thấy đưa thư trả lời.
今卻只遣使告哀，其中意向如何，豈應置之不問。	Nay chỉ sai sứ giả sang báo tang, thì ý ở trong thế nào há bỏ đó không hỏi.
使者抵城之日，卽委曹臣鄧璋、白春元向他詰問萬象國長事，何以向茲未通報本國，會議冊立，及犯弁寵衫已未治罪。此二事何不提及，乃止單敍告哀何也。」	Ngày sứ giả tới thành Gia Định, lập tức cho tào thần là Đặng Chương và Bạch Xuân Nguyên đến vặn hỏi về việc Quốc trưởng nước Vạn Tượng sao tới nay vẫn chưa thấy thông báo cho nước ta, để hội nghị sách lập, và tên võ biền phạm tội là Sủng Sam đã trị tội chưa, hai việc đó sao không nói đến, mà chỉ nói riêng một việc báo tang là làm sao?
璋等以問使，使者言：「萬象儲積未充，民未案堵，未便擇立。至如寵衫，坐以革職。	Bọn Chương đem hỏi sứ giả, sứ giả nói: Nước Vạn Tượng kho tàng chứa để chưa sung túc, dân chưa được yên ở, chưa tiện chọn người lập lên; đến như tên Sủng Sam đã phải tội cách chức rồi.
且其國二王物故，暹王憂慮殊深。故先遣使報告，致此二事未及提起。」	Vả lại Nhị vương nước ấy mới chết, Xiêm vương rất là đau xót, nên sai sứ báo tang trước, vì thế hai việc ấy chưa kịp đề cập tới.
帝謂禮部曰：「固知彼不過卑辭取悅耳。	Vua bảo bộ Lễ rằng: Ta biết họ chẳng qua nhún lời để làm cho ta hài lòng mà thôi.
惟念其國現遭喪事，災難頻仍，情亦可憫。其前事未應遽行責備。」	Duy ta nghĩ nước họ đang có tang, mà tai nạn xảy ra luôn, tình cũng đáng thương, về việc trước chưa nên vội vã trách hỏi.
遂準其使來京瞻覲，厚加賞賚遣還。	Bèn cho sứ tới kinh triều yết, ban đồ thưởng cấp hậu rồi cho về.
復遣禮部郎中阮有識等充使往弔之。	Lại sai Lang trung bộ Lễ là bọn Nguyễn Hữu Phúc sung đi sứ sang viếng.
及辭行，帝謂之曰：「使臣有專對之責，爾等此行，可問他以寵衫之罪。辯論間，亦須以義責之。若他知過認咎，則使命已不辱矣。不必過爲苛責，以存國體。」	Kịp khi bọn Thức vào cáo từ để đi, vua bảo rằng: Sứ thần có trách nhiệm tự mình trả lời lấy, lũ ngươi đi chuyến này, nên hỏi họ về tội Sủng Sam, trong khi biện luận cũng nên lấy nghĩa mà trách hỏi, nếu họ biết sự trái mà nhận lỗi, thì sứ mệnh đã không nhục đến mệnh lệnh của vua rồi, bất tất phải trách mỗi khắt khe quá để còn quốc thể.
。十四年十一月，藩安遭變，首逆黎文𠐤委人投書于暹，乞派兵攻高蠻，直抵嘉定，約以事成之後納地稱臣。	Năm thứ 14, tháng 11, trấn Nghệ An gặp có biến loạn, tên đầu giặc là Lê Văn Khôi ủy người đưa thư cho Xiêm xin phái binh đánh nước Cao Man, thẳng tới Gia Định, ước hẹn là sau khi việc thành nộp đất xưng thần.
暹酋乃大發水步兵船，三道竝進。一由北尋奔陸路而來，以丕雅質知爲調撥，挾高蠻國長二弟名俺、名𧑒偕行；一由江路而來，以丕雅肥目涉茫爲調撥；一由眞奔海程而來，以丕雅伐稜爲調撥。	Tù trưởng nước Xiêm bèn đem nhiều thủy bộ binh thuyền ba đường đều tiến: Một đạo quân do con đường bộ ở Bắc Tầm Bôn tới, cho Phi nhã Chất Tri điều bát, đem theo hai em Quốc trưởng Cao Man là tên Yểm, tên Dun đều đi; một đạo quân do đường sông tới, cho Phi nhã Phi Mục Thiệp Mang làm điều bát; một đạo quân do con đường biển ở Châu Bôn tới, cho Phi nhã Phật Lăng làm điều bát.
兵部員外郎承辦南榮邊務胡公祉據藩僚探報，轉達于安江。省臣鄧文朋以所報多出傳聞，未爲明確，乃量派省兵五十人往，與南榮原戍嚴防竝密，咨嘉定軍次隨宜規措。	Binh bộ Viên ngoại lang làm thừa biện công việc ngoài biên ở Nam Vang là Hồ Công chỉ căn cứ vào lời thám báo của quan chuyển đạt An Giang biết, tỉnh thần An Giang là Đặng Văn Bằng cho là tin báo phần nhiều do ở truyền văn, chưa rõ đích xác bèn liệu lượng phái 50 người lính tỉnh tới cùng với lính nguyên thủ ở Nam Vang nghiêm cẩn phòng giữ, và mật tư cho quân thứ ở Gia Định tùy nghi xếp đặt.
暹兵至徒師滀界，高蠻撫栗府、安江省臣得報，卽派兵一百，續往南榮。再咨調永隆弁兵三百防護省莅，竝飛咨嘉定軍次調度。	Quân Xiêm đến địa giới Súc Đồ Sứ thuộc phủ luật nước Cao Man, tỉnh thần An Giang được tin báo, lập tức phái 100 lính tiếp tục tới Nam Vang, lại tư gọi biền binh ở trấn Vĩnh Long 300 người để phòng hộ tỉnh lỵ, và tư ngay cho quân thứ ở Gia Định để điều độ.
疏入，帝令密諭嘉定軍次將軍、參贊等曰：「茲據安江續報邊情，如果有其事，其陳文能、張明講、阮春，卽帶領官兵及蔡公朝鄉勇各一千五百人，分乘船艘，迅往安江。	Tờ sớ dâng lên, vua mật dụ cho bọn tướng quân tham tán ở quấn thứ Gia Định rằng: Nay cứ lời tỉnh An Giang báo tiếp về tình hình ngoài biên, nếu quả có việc ấy thì Trần Văn Năng, Trương Minh Giảng, Nguyễn Xuân lập tức đới lĩnh quan binh và lính hương dũng của Thái Công Triều mỗi nơi đều 1500 người chia ngồi vào các thuyền kíp tới An Giang.
陳文能畱此守護，張明講、阮春仍領大兵一半，直抵南榮駐防。	Trần Văn Năng thì ở đó thủ hộ, còn Trương Minh Giảng và Nguyễn Xuân mỗi người đều lĩnh một nửa đại binh thẳng tới Nam Vang đóng giữ.
再另已勅部擬撰咨文，發到日，可派往北尋奔暹兵駐處投遞，以折其心，使他屈服退回固好。儻先動兵端，侵到高蠻地轄，準卽相機征勦，務合事宜。」。	Lại sắc riêng cho bộ nghĩ soạn tờ tư, hôm nào tờ tư ấy phát đệ đến, nên phái người đem đến Bắc Tâm Bôn chỗ quân Xiêm đóng, để giao để làm nhụt bớt lòng họ khiến cho họ phải khuất phục lui về thì cố nhiên là hay, nếu họ động binh trước xâm!ấn đến địa hạt Cao Man thì chuẩn cho lập tức tùy cơ mà đánh dẹp, cốt cho mọi việc hợp với cơ nghi.
十二月，暹寇侵奪高蠻芃吹府，進蛇能澳。	Tháng 12, giặc Xiêm lấn cướp phủ Bông Xuy của Cao Man rồi tiến đến vọng Xà Năng.
藩王匿螉禛聞之惶恐，單舸奔安江。省臣具以情形入奏。帝諭嘉定軍次陳文能、張明講、阮春等卽遵前諭，管領兵船，迅往南榮。如暹兵現已到此，須先準備，仍問來意，看他舉動如何，相機而行。	Vua Phiên là Nặc Ông Chân nghe thấy sợ hãi đi chiếc thuyền một mình chạy đến An Giang, tỉnh thần đem tình hình trình tâu lên; vua dụ cho quân thú là bọn Trần Văn Năng, Trương Minh Giảng và Nguyễn Xuân phải lập tức theo lời dụ trước, quản lĩnh binh thuyền tới ngay Nam Vang, nếu quân Xiêm hiện đã tới đó thì nên chuẩn bị trước, và hỏi ý kiến họ đến làm gì?
不必遽爾交鋒，先自起釁。若他託以和好爲言，亦須設屯防備。	Xem họ cử động thế nào, liệu cơ mà làm, bất tất vội đánh nhau trước, để mang tiếng tự mình gây hấn; nếu họ mượn tiếng là hòa hiếu, cũng nên đặt đồn phòng bị.
至如高蠻藩王，由安江派人護送于永隆省城，擇地頓駐。	Đến như Phiên vương nước Cao Man, do tỉnh An Giang phái người hộ tống tới tỉnh thành Vĩnh Long, chọn đất để đóng tạm.
暹寇侵據南榮，河僊、朱篤等處諸將軍、參贊分兵勦禦，大破之，殺暹將六七人，擒斬賊黨術數千餘人，收復其地。暹寇又分兵二道，一由乂安置鎭寧、鎭靜，一由甘露之巴欄州，節次來侵。	Giặc Xiêm lấn giữ các xứ: Nam Vang, Hà Tiên, Châu Đốc, các tướng quân, tham tán chia quân chống cự cản phá quân Xiêm, giết được 6, tên tướng Xiêm, bắt chém bọn giặc vài nghìn người, thu lại đất cát Giặc Xiêm lại chia quân làm hai đường, một đạo do phủ Trấn Ninh, Trấn Tĩnh ở Nghệ An; một đạo do châu Ba Lan ở Cam Lộ nhiều lần đến lấn.
分命官兵往勦，連克之。	Bèn chia sai quan binh tới dẹp đánh được luôn mấy trận.
自是暹虜懾不敢動，邊境肅清。	Từ đó giặc Xiêm sợ không dám động nữa, cõi ven được êm lặng.
二十一年，發出匿螉禛女玉卞通書與舅逆魔謀逃于暹之案。暹酋因之，從中慫慂，以立名𧑒辭爲名。𧑒倚暹爲援，與質知皆來。	Năm thứ 21, phát ra cái án là con gái Nặc Ông Chân tên là Ngọc Biện tư thông đưa thư cho cậu là nghịch Mao mưu trốn sang Xiêm, tù trưởng nước Xiêm nhân đó ở trong xui giục mượn tiếng là lập tên Dun để làm cớ, tên Dun thì dựa Xiêm làm viện trợ cùng với Chất Tri đều đến Hải Tây.
海西提督武德忠、宣撫阮雙淸爲匪圍住。	Đô đốc là Vũ Đức Trung, Tuyên phủ là Nguyễn Song Thanh bị giặc vây giữ.
初，不知爲暹目質知援兵。及覺，卽屈意擅與之和，棄海西歸。	Lúc đầu không rõ là viện binh của Xiêm mục Chất Tri, đến khi biết ra, bèn khuất ý tự tiện giảng hòa, bỏ Hải Tây về.
范文典、阮進林等馳往會勦，弁兵雲集。	Bọn Phạm Văn Điển, Nguyễn Tiến Lâm đến ngay hội quân để đánh dẹp.
海東一戰，暹土爲之奪魄。而海西助虐之暹目質知來書講和，言已差人回奏暹酋，今該回北尋奔，俟接得暹酋詞來，卽差人前往鎭西通報。	Các biền binh họp đông như mây, một trận đánh nhau ở Hải Đông, quân Xiêm mất vía mà Xiêm mục là Chất Tri giúp kẻ làm bậy ở Hải Tây, đưa thư đến xin giảng hòa, nói là đã sai người về tâu với Tù trưởng Xiêm rồi, nay hắn về Bắc Tâm Bôn đợi tiếp được tờ của Tù trưởng Xiêm đưa đến thì lập tức sai người đến Trấn Tây thông báo.
鎭西將軍張明講等以事聞。疏下廷議，僉曰：「請由將軍、參贊修書投交質知，大約敍本國之與暹向前通好，原無間隙。茲暹酋輕聽名𧑒之言，越境而來。	Tướng quân ở Trấn Tây là Trương Minh Giảng đem việc tâu lên, sớ ấy giao xuống đình thần bàn, đình thần đều nói rằng, xin cho tướng quân, tham tán biên thư đưa giao cho Chất Tri, đại ước nói nước ta cùng với nước Xiêm từ trước vẫn thông hiếu, nguyên không có hiềm khích gì, nay Xiêm tù nhẹ dạ nghe lời tên Dun vượt cõi tới đây.
今已明知曲直，先自求和，撤兵而去。	Nay đã biết rõ phải trái, tự cầu hòa trước rút quân lui về.
本國官兵須按守疆界，毋得妄生邊隙。	Quan binh của bản quốc vẫn đóng giữ bờ cõi, không được làm càn sinh ra hiềm khích ở ngoài biên.
