武功耆定。	vũ công đại định .
年十五岁，母使游学，尝师事郑玄、卢植，与公孙瓒等为友。	Huyền Đức, năm mười tám tuổi, mẹ cho đi học, thờ Trịnh Huyền và Lưu Thực làm thầy và cùng với Công Tôn Toản kết bạn học.
及刘焉发榜招军时，玄德年已二十八岁矣。	Lúc Lưu Yên treo bảng mộ quân, thì Huyền Đức hai mươi tám tuổi.
当日见了榜文，慨然长叹。	Bấy giờ Huyền Đức đọc bảng văn rồi thở dài.
随后一人厉声言曰：“大丈夫不与国家出力，何故长叹？”	Có một người đứng phía sau nói lớn lên rằng: - Đại trượng phu như ông, không ra giúp nước, đứng thở dài đó, được việc chi?
玄德回视其人，身长八尺，豹头环眼，燕颔虎须，声若巨雷，势如奔马。玄德见他形貌异常，问其姓名。	Huyền Đức ngoảnh lại nhìn: Người ấy mình cao tám thước, đầu báo, mắt tròn, râu hùm, hàm én, tiếng vang như sấm, dáng như ngựa phi, Huyền Đức thấy dung mạo khác thường, liền hỏi họ tên.
其人曰：“某姓张名飞，字翼德。世居涿郡，颇有庄田，卖酒屠猪，专好结交天下豪杰。	Người ấy nói: - Tôi họ Trương tên Phi, tự là Dực Đức, ở Trác quận đã lâu đời. Gia tư có trang trại ruộng vườn, lại có lò mổ lợn và ngôi hàng bán rượu. Tôi chỉ thích kết giao với hào kiệt trong thiên hạ.
恰才见公看榜而叹，故此相问。”	Vừa rồi thấy ông xem bảng văn rồi thở dài, nên tôi mới hỏi.
玄德曰：“我本汉室宗亲，姓刘，名备。今闻黄巾倡乱，有志欲破贼安民，恨力不能，故长叹耳。”	Huyền Đức nói: Tôi đây vốn dòng dõi nhà Hán, họ Lưu tên Bị; nay thấy giặc Khăn Vàng nổi loạn, muốn ra dẹp giặc yên dân, chỉ hiềm sức mình không làm nổi, nên mới thở dài.
飞曰：“吾颇有资财，当招募乡勇，与公同举大事，如何。”	Phi nói: - Nhà tôi gia tư cũng khá. Ý tôi muốn chiêu mộ trai tráng trong làng, cùng ông mưu đồ việc lớn, ông tính sao?
玄德甚喜，遂与同入村店中饮酒。	Huyền Đức mừng lắm. Hai người bèn rủ nhau vào hàng uống rượu.
正饮间，见一大汉，推着一辆车子，到店门首歇了，入店坐下，便唤酒保：“快斟酒来吃，我待赶入城去投军。”	Đương đánh chén, thấy một người cao lớn lực lưỡng, đẩy một cỗ xe đến cửa, vào hàng ngồi phịch xuống gọi nhà hàng: - Rượu mau lên! Để ta uống xong còn vào thành ứng mộ!
玄德看其人：身长九尺，髯长二尺；面如重枣，唇若涂脂；丹凤眼，卧蚕眉，相貌堂堂，威风凛凛。	Huyền Đức nhìn xem thấy người ấy mình cao chín thước, râu dài hai thước, mặt đỏ như gấc, môi như tô son, mắt phượng, mày tằm, oai phong lẫm liệt.
玄德就邀他同坐，叩其姓名。	Huyền Đức bèn mời cùng ngồi và hỏi họ tên.
其人曰：“吾姓关名羽，字长生，后改云长，河东解良人也。	Người ấy nói: - Tôi họ Quan tên Vũ, tự là Trương Sinh, sau đổi là Vân Trường, người làng Giải Lương, tỉnh Hà Đông.
因本处势豪倚势凌人，被吾杀了，逃难江湖，五六年矣。	Nhân thấy có đứa thổ hào ỷ thế hiếp người, tôi bèn giết chết rồi đi làm kẻ giang hồ đã năm, sáu năm rồi.
今闻此处招军破贼，特来应募。”	Nay nghe ở đây có lệnh chiêu binh phá giặc nên tôi đến ứng mộ.
玄德遂以己志告之，云长大喜。	Huyền Đức cũng đem chí mình ra nói, Vân Trường rất mừng.
同到张飞庄上，共议大事。	Bèn cùng đến trại của Trương Phi bàn tính việc lớn.
飞曰：“吾庄后有一桃园，花开正盛；明日当于园中祭告天地，我三人结为兄弟，协力同心，然后可图大事。”	Phi nói: - Sau trại tôi có một vườn đào đang nở hoa đẹp lắm, ngày mai ta nên làm lễ tế trời đất ở trong vườn, rồi ba chúng ta kết làm anh em, cùng lòng hợp sức, sau mới có thể tính được việc lớn.
玄德、云长齐声应曰：“如此甚好。”	Huyền Đức, Vân Trường đều nói: - Như thế tốt lắm!
乌牛白马祭礼等项，三人焚香再拜而说誓曰：“念刘备、关羽、张飞，虽然异姓，既结为兄弟，则同心协力，救困扶危；上报国家，下安黎庶。	Ngày hôm sau sửa soạn trâu đen ngựa trắng và các lễ vật ở trong vườn đào, ba người đốt hương lạy hai lạy thề rằng: - Chúng tôi là Lưu Bị, Quan Vũ, Trương Phi, dẫu rằng khác họ, song đã kết làm anh em, thì phải cùng lòng hợp sức, cứu khốn phù nguy, trên báo đền nợ nước, dưới yên định muôn dân.
不求同年同月同日生，只愿同年同月同日死。	Chúng tôi không cần sinh cùng ngày, cùng tháng, cùng năm, chỉ muốn chết cùng năm, cùng ngày, cùng tháng.
皇天后土，实鉴此心，背义忘恩，天人共戮！”	Hoàng thiên hậu thổ soi xét lòng này. Nếu ai bội nghĩa quên ơn thì trời người cùng giết.
誓毕，拜玄德为兄，关羽次之，张飞为弟。	Thề xong tôn Huyền Đức làm anh cả, Quan Vũ thứ hai, Trương Phi em út.
祭罢天地，复宰牛设酒，聚乡中勇士，得三百余人，就桃园中痛饮一醉。	Rồi mổ trâu đặt tiệc, tụ họp dũng sĩ trong làng được ba trăm người, cũng đến vườn đào uống một bữa rượu thật say.
来日收拾军器，但恨无马匹可乘。正思虑间，人报有两个客人，引一伙伴当，赶一群马，投庄上来。	Hôm sau ba người sửa soạn khí giới, đương lo còn thiếu ngựa cưỡi, thì thấy báo có hai người buôn dắt một đàn ngựa đến trại.
玄德曰：“此天佑我也！”	Huyền Đức nói: - Thực là trời giúp chúng ta!
三人出庄迎接。	Nói đoạn ba người cùng ra cửa trại đón.
原来二客乃中山大商：一名张世平，一名苏双，每年往北贩马，近因寇发而回。	Nguyên hai người khách ấy đều là lái buôn lớn ở Trung Sơn, một người tên Trương Thế Bình, một người tên Tô Song, hàng năm vẫn đem ngựa lên bán miền Bắc, chỉ vì lúc ấy dọc đường có nhiều giặc cướp nên quay trở về.
玄德请二人到庄，置酒管待，诉说欲讨贼安民之意。	Huyền Đức mời hai người vào trại, làm rượu khoản đãi và nói rõ ý mình đang muốn dẹp giặc yên dân.
二客大喜，愿将良马五十匹相送；又赠金银五百两，镔铁一千斤，以资器用。	Hai người cả mừng, tình nguyện tặng năm mươi con ngựa tốt, năm trăm lạng vàng bạc và một nghìn cân sắt để làm khí giới.
玄德谢别二客，便命良匠打造双股剑。	Huyền Đức cảm tạ hai người khách và tiễn lên đường, rồi sai gọi thợ đến rèn hai thanh kiếm.
云长造青龙偃月刀，又名“冷艳锯”，重八十二斤。张飞造丈八点钢矛。	Vân Trường đánh một thanh long đao nặng tám mươi hai cân, Trương Phi đánh một ngọn xà mâu dài một trượng tám thước.
各置全身铠甲。共聚乡勇五百余人，来见邹靖。	Mỗi người làm một bộ áo giáp, họp hương dũng được hơn năm trăm người đem nhau đến gặp Châu Tĩnh.
邹靖引见太守刘焉。	Châu Tĩnh đưa đi yết kiến quan thái thú Lưu Yên.
三人参见毕，各通姓名。	Ba người thi lễ xong, đều xưng họ tên.
玄德说起宗派，刘焉大喜，遂认玄德为侄。	Huyền Đức kể rõ tôn phái. Lưu Yên cả mừng nhận Huyền Đức là cháu.
不数日，人报黄巾贼将程远志统兵五万来犯涿郡。	Vài hôm sau, có tin báo tướng giặc Khăn Vàng là Trình Viễn Chí đem năm vạn quân đến đánh Trác Quận.
刘焉令邹靖引玄德等三人，统兵五百，前去破敌。	Lưu Yên sai Châu Tĩnh dẫn ba anh em Huyền Đức đem năm trăm quân đi trước phá giặc.
玄德等欣然领军前进，直至大兴山下，与贼相见。贼众皆披发，以黄巾抹额。	Ba anh em Huyền Đức vui mừng hớn hở đi ngay. Lúc đến dưới núi Đại Hưng, thấy quân giặc đều xõa tóc chít khăn vàng.
当下两军相对，玄德出马，左有云长，右有翼德，扬鞭大骂：“反国逆贼，何不早降！”	Hai bên đối trận, Huyền Đức nhảy ngựa vụt ra, tả có Vân Trường, hữu có Dực Đức, giơ roi mắng lớn: - Quân giặc phản nước kia! Sao không xuống ngựa hàng ngay đi?
程远志大怒，遣副将邓茂出战。	Trình Viễn Chí cả giận, sai phó tướng Đặng Mậu ra đánh.
张飞挺丈八蛇矛直出，手起处，刺中邓茂心窝，翻身落马。	Trương Phi cầm mâu xông ra đâm trúng vào bụng Đặng Mậu. Đặng Mậu ngã lăn xuống ngựa chết.
程远志见折了邓茂，拍马舞刀，直取张飞。	Trình Viễn Chí thấy vậy, thúc ngựa múa đao xông thẳng vào định chém Trương Phi.
云长舞动大刀，纵马飞迎。	Tức thì Vân Trường múa long đao tế ngựa ra đón địch.
程远志见了，早吃一惊，措手不及，被云长刀起处，挥为两段。	Trình Viễn Chí trông thấy hoảng sợ, chưa kịp trở tay đã bị đao Vân Trường xả làm hai đoạn.
后人有诗赞二人曰：英雄露颖在今朝，一试矛兮一试刀。初出便将威力展，三分好把姓名标。	Đời sau có thơ khen hai người rằng: Anh hùng xuất hiện buổi sơ đầu, Người thử long đao kẻ thử mâu, Mới bước chân ra uy đã dữ, Tiếng tăm lừng lẫy cuộc ganh nhau.
众贼见程远志被斩，皆倒戈而走。玄德挥军追赶，投降者不计其数，大胜而回。	Quân giặc thấy Trình Viễn Chí bị chém, đều vác ngược giáo ù té chạy, Huyền Đức thúc quân đuổi theo, giặc ra hàng không biết bao nhiêu mà kể. Ba người đại thắng kéo quân trở về.
刘焉亲自迎接，赏劳军士。	Lưu Yên thân ra đón tiếp, khao thưởng ba quân.
次日，接得青州太守龚景牒文，言黄巾贼围城将陷，乞赐救援。	Hôm sau Lưu Yên tiếp được tờ điệp của quan thái thú Thanh Châu tên là Cung Cảnh, báo tin bị giặc Khăn Vàng bao vây, thành sắp vỡ, kịp xin cho quân đến cứu.
刘焉与玄德商议。	Lưu Yên bàn với Huyền Đức.
玄德曰：“备愿往救之。”	Huyền Đức nói: - Bị này tình nguyện đem quân đi cứu.
刘焉令邹靖将兵五千，同玄德、关、张，投青州来。	Lưu Yên bèn sai Châu Tĩnh đem năm nghìn quân cùng Huyền Đức, Quan, Trương kéo đến Thanh Châu.
贼众见救军至，分兵混战。	Giặc thấy có quân đến cứu, chia quân đón đánh.
玄德兵寡不胜，退三十里下寨。	Huyền Đức thấy quân mình ít, khó đánh được, lui ba mươi dặm đóng trại, rồi bảo Quan, Trương rằng:
玄德谓关、张曰：“贼众我寡；必出奇兵，方可取胜。”	- Giặc nhiều, ta ít, tất phải dùng kỳ binh mới có thể thắng được.
乃分关公引一千军伏山左，张飞引一千军伏山右，鸣金为号，齐出接应。	Bèn sai Vân Trường dẫn một nghìn quân phục bên tả núi, Trương Phi dẫn một nghìn quân phục bên hữu núi, hẹn rằng nghe tiếng chiêng thì cùng kéo ra tiếp ứng.
次日，玄德与邹靖引军鼓噪而进。	Ngày hôm sau Huyền Đức cùng Châu Tĩnh dẫn quân đánh trống hò reo thẳng tiến.
贼众迎战，玄德引军便退。	Quân giặc vội vã kéo ra đón đánh, Huyền Đức lui binh ngay.
贼众乘势追赶，方过山岭，玄德军中一齐鸣金，左右两军齐出，玄德摩军回身复杀。三路夹攻，贼众大溃。直赶至青州城下，太守龚景亦率民兵出城助战。贼势大败，剿戮极多，遂解青州之围。	Giặc thừa thế đuổi tràn. Vừa qua sườn núi, trong quân Huyền Đức khua chiêng vang lên. Hai đạo quân tả hữu xô ra. Huyền Đức thúc quân quay lại, ba mặt giáp đánh, quân giặc thua to, chạy đến dưới thành Thanh Châu, quan thái thú Cung Cảnh cũng đem dân binh ra trợ chiến, quân giặc bị chết rất nhiều, giải được vòng vây.
后人有诗赞玄德曰：运筹决算有神功，二虎还须逊一龙。	Đời sau có thơ khen Huyền Đức rằng: Bầy mưu đặt mẹo khéo ra công, Đôi hổ chung quy kém một rồng.
初出便能垂伟绩，自应分鼎在孤穷。	Buổi mới đã nên công trạng lớn, Chia ba chân vạc đáng anh hùng.
龚景犒军毕，邹靖欲回。	Cung Cảnh khao quân xong, Châu Tĩnh muốn về.
玄德曰：“近闻中郎将卢植与贼首张角战于广宗，备昔曾师事卢植，欲往助之。”	Huyền Đức nói: - Mới rồi nghe tin quan trung lang tướng Lư Thực cùng Trương Giác đánh nhau ở Quảng Tôn. Bị này trước kia có học Lư tướng quân, nghĩa đạo thầy trò, muốn sang giúp sức.
于是邹靖引军自回，玄德与关、张引本部五百人投广宗来。	Châu Tĩnh dẫn quân về một mình, còn Huyền Đức cùng Quan, Trương dẫn năm trăm quân bản bộ sang Quảng Tôn.
至卢植军中，入帐施礼，具道来意。卢植大喜，留在帐前听调。	Khi ba người đến dinh quân Lư Thực, vào trướng thi lễ, bày tỏ ý kiến của mình, thì Lư Thực mừng lắm, lưu ở trướng tiền đợi khi dùng đến.
时张角贼众十五万，植兵五万，相拒于广宗，未见胜负。	Bấy giờ quân Trương Giác mười lăm vạn, quân Lư Thực năm vạn, đang chống nhau ở Quảng Tôn, chưa rõ bên nào thua được.
植谓玄德曰：“我今围贼在此，贼弟张梁、张宝在颍川，与皇甫嵩、朱儁对垒。	Một hôm Lư Thực bảo Huyền Đức rằng: - Trương Giác đã bị ta vây ở đây rồi. Duy hai em nó là Trương Bảo, Trương Lương đang chống nhau với Hoàng Phủ Tung và Chu Tuấn ở Dĩnh Xuyên.
汝可引本部人马，我更助汝一千官军，前去颍川打探消息，约期剿捕。”	Ông nên đem quân ngay bản bộ và một nghìn quân ta giúp thêm, đến thẳng Dĩnh Xuyên dò xem tin tức ra sao, rồi cùng nhau hẹn ngày tiến đánh.
玄德领命，引军星夜投颍川来。	Huyền Đức lĩnh mệnh, đem quân đi cả ngày đêm đến Dĩnh Xuyên.
时皇甫嵩、朱儁领军拒贼，贼战不利，退入长社，依草结营。	Lúc ấy Hoàng Phủ Tung, Chu Tuấn đem quân đánh giặc, giặc bị thua luôn, phải lui về Trường Xã, dựa theo bụi rậm đóng trại.
嵩与儁计曰：“贼依草结营，当用火攻之。”	Tung bàn với Tuấn rằng: - Quân giặc dựa vào chỗ có cỏ rậm đóng quân thì ta nên dùng mẹo hóa công.
遂令军士，每人束草一把，暗地埋伏。	Bèn sai quân sĩ mỗi người bó một bó cỏ, ngầm đi mai phục.
其夜大风忽起。二更以后，一齐纵火，嵩与儁各引兵攻击贼寨，火焰张天，贼众惊慌，马不及鞍，人不及甲，四散奔走。	Đêm ấy trời nổi cơn gió lớn, vào khoảng canh hai, quân phục kéo vào phóng hỏa, Tung và Tuấn đều dẫn quân đến đánh, khói lửa ngụt trời, quân giặc hoảng sợ, người không kịp mặt giáp, ngựa không kịp thắng yên, xô nhau mà chạy.
杀到天明，张梁、张宝引败残军士，夺路而走。	Đôi bên đánh nhau đến sáng, Trương Lương, Trương Bảo phải dẫn tàn quân cướp đường mà chạy.
忽见一彪军马，尽打红旗，当头来到，截住去路。	Bỗng thấy một toán quân mã kéo toàn cờ đỏ xông ra chặn đường.
为首闪出一将，身长七尺，细眼长髯，官拜骑都尉，沛国谯郡人也，姓曹名操字孟德。	Một tướng đi đầu, mình cao bảy thước, mắt nhỏ râu dài. Viên tướng ấy là ai? Tức là quan kỵ đô úy, người ở Tiên Quận nước Bái, họ Tào tên Tháo, tự xưng là Mạnh Đức.
操父曹嵩，本姓夏侯氏，因为中常侍曹腾之养子，故冒姓曹。	Cha Tào Tháo là Tào Tung, vốn xưa họ Hạ Hầu nhận làm con nuôi quan trung thường thị Tào Đằng, nên đổi theo họ Tào.
曹嵩生操，小字阿瞒，一名吉利。	Tháo tiểu tự là A Man và đặt một tên nữa là Cát Lợi.
操幼时，好游猎，喜歌舞，有权谋，多机变。	Lúc Tháo còn trẻ, thì chỉ thích săn bắn, ham múa hát, nổi tiếng là một tay cơ biến quyền mưu.
操有叔父，见操游荡无度，尝怒之，言于曹嵩。	Người chú Tháo thấy Tháo chơn bời vô độ, giận lắm, bèn mách với Tào Tung.
嵩责操。	Tung trách mắng Tháo.
操忽心生一计，见叔父来，诈倒于地，作中风之状。	Tháo nghĩ ngay một kế, lúc thấy chú đến, giả tảng nằm quay ra đất, làm như trúng phong.
叔父惊告嵩，嵩急视之。操故无恙。嵩曰：“叔言汝中风，今已愈乎？”	Chú Tháo thấy vậy cả sợ, chạy đến bảo Tung, Tung vội lại xem, thấy Tháo không có bệnh chi cả, bèn hỏi: - Chú mày nói mày trúng phong, đã khỏi rồi à?
操曰：“儿自来无此病；因失爱于叔父，故见罔耳。”	- Thưa cha, thuở bé đến giờ con có bệnh ấy đâu! Chẳng qua chú con ghét con, cho nên đặt điều ra thế.
嵩信其言。	Tung tưởng thật.
后叔父但言操过，嵩并不听。因此，操得恣意放荡。	Từ đấy người chú kể tội Tháo, Tung đều không nghe nữa, nhân thể Tháo càng được tự do phóng đãng hơn xưa.
时人有桥玄者，谓操曰：“天下将乱，非命世之才不能济。	Bấy giờ có người tên là Kiều Huyền bảo Tháo rằng: - Thiên hạ sắp loạn, phi có tay tài giỏi hơn đời thì không sao dẹp được loạn.
能安之者，其在君乎？”	Làm được như thế có lẽ chỉ có bác!
南阳何顒见操，言：“汉室将亡，安天下者，必此人也。”	Người đất Nam Dương là Hà Ngung, một hôm trông thấy Tháo cũng tán tụng rằng: - Nhà Hán sắp mất, yên được thiên hạ chắc chỉ có người này!
汝南许劭，有知人之名。操往见之，问曰：“我何如人？”	Người đất Nhữ Nam là Hứa Thiệu có tiếng là giỏi biết người, Tháo thân đến hỏi: - Như tôi là người thế nào?
劭不答。	Thiệu không trả lời.
又问，劭曰：“子治世之能臣，乱世之奸雄也。”	Tháo hỏi lại lần nữa. Thiệu nói: - Anh là năng thần của đời trị và gian hùng của đời loạn!
操闻言大喜。	Tháo nghe nói cả mừng.
年二十，举孝廉，为郎，除洛阳北部尉。	Năm Tháo hai mươi tuổi thi đỗ hiếu liêm, bổ làm quan lang, sau lại thăng chức đô úy huyện Lạc Dương.
初到任，即设五色棒十余条于县之四门，有犯禁者，不避豪贵，皆责之。	Lúc mới đến nhận chức, Tháo sai treo hơn mười cái roi ngũ sắc ở bốn cửa huyện, không kể hào quý, hễ ai phạm pháp đều không tha.
中常侍蹇硕之叔，提刀夜行，操巡夜拿住，就棒责之。	Chú quan trung thường thị Kiển Thạc vác dao đi đêm, Tháo đi tuần bắt được cũng đem nọc đánh ngay.
由是，内外莫敢犯者，威名颇震。	Bởi thế trong ngoài kinh sợ, không ai dám làm trái phép.
后为顿丘令，因黄巾起，拜为骑都尉，引马步军五千，前来颍川助战。	Sau Tháo được thăng chức lệnh doãn Đốn kỷ. Nhân giặc Khăn Vàng nổi loạn, Tháo lại được thăng làm quan kỵ đô úy, đem năm nghìn quân kỵ mã và bộ binh đến Dĩnh Xuyên giúp đánh.
正值张梁、张宝败走，曹操拦住，大杀一阵，斩首万余级，夺得旗幡、金鼓、马匹极多。	Tình cờ dọc đường, gặp Trương Lương, Trương Bảo thua chạy, Tháo đón đánh một trận kịch liệt, chém giết hơn một vạn người, cướp được cờ, trống, ngựa, khí giới rất nhiều.
张梁、张宝死战得脱。	Lương, Bảo cố chết mới chạy thoát.
操见过皇甫嵩、朱儁，随即引兵追袭张梁、张宝去了。	Tháo vào hội kiến Hoàng Phủ Tung, Chu Tuấn rồi lại dẫn quân đi đuổi Trương Lương, Trương Bảo ngay.
却说玄德引关、张来颍川，听得喊杀之声，又望见火光烛天，急引兵来时，贼已败散。	Nhắc lại Huyền Đức dẫn Quan, Trương đi gần đến Dĩnh Xuyên, nghe tiếng reo hò đánh nhau, lại trông thấy lửa sáng rực trời, vội thúc quân kéo đến, tới nơi giặc đã chạy tan hết rồi.
玄德见皇甫嵩、朱儁，具道卢植之意。	Huyền Đức vào yết kiến Hoàng Phủ Tung. Chu Tuấn lại nói ý kiến của Lư Thực.
嵩曰：“张梁、张宝势穷力乏，必投广宗去依张角。	Tung nói: - Nay Trương Lương, Trương Bảo thế cùng lực kiệt tất chạy đến Quảng Tôn nương nhờ Trương Giác.
玄德可即星夜往助。”	Ông nên đi gấp đường về giúp ngay Lư Thực.
玄德领命，遂引兵复回。	Huyền Đức nghe lời, dẫn quân trở lại.
到得半路，只见一簇军马，护送一辆槛车，车中之囚，乃卢植也。	Khi mới đi được nửa đường, gặp một toán người ngựa, áp giải một xe tù, trên xe có một cái cũi nhốt một người tù, tế ra chính là Lư Thực.
玄德大惊，滚鞍下马，问其缘故。	Huyền Đức giật mình kinh hãi, vội xuống ngựa chạy đến hỏi thăm.
植曰：“我围张角，将次可破；因角用妖术，未能即胜。	Thực nói: - Ta vây đánh Trương Giác, sắp sửa pháp tan, chỉ vì Giác dùng yêu thuật, nên còn nhùng nhằng chưa phá hẳn được.
朝廷差黄门左丰前来体探，问我索取贿赂。	Triều đình sai viên hoạn quan tên là Tả Phong đến dò xét quân tình.
我答曰：‘军粮尚缺，安有余钱奉承天使？’左丰挟恨，回奏朝廷，说我高垒不战，惰慢军心；因此朝廷震怒，遣中郎将董卓来代将我兵，取我回京问罪。”	Phong đòi ăn của đút mà không được, vì lương quân ta còn thiếu, tiền đâu mà cung đốn họ, bởi thế Tả Phong căm giận, về triều tâu man cho ta ru rú ở trong lũy cao không chịu đánh giặc, làm cho lòng quân chán nản. Triều đình nổi giận, sai quan trung lang tướng Đổng Trác đến cầm quân thay ta, và bắt ta về kinh hỏi tội.
张飞听罢，大怒，要斩护送军人，以救卢植。	Trương Phi nghe nói, nổi giận đùng đùng, toan giết hết toán quân áp giải để cứu Lư Thực.
玄德急止之曰：“朝廷自有公论，汝岂可造次？”	Huyền Đức vội ngăn lại bảo rằng: - Không nên, triều đình đã có công luận, chú không được xử sự một cách nóng nảy như thế.
军士簇拥卢植去了。	Quân sĩ lại giải Lư Thực đi.
关公曰：“卢中郎已被逮，别人领兵，我等去无所依，不如且回涿郡。”	Quan Công nói: - Nay Lư trung lang đã bị bắt, người khác thay quyền, chúng ta đến đấy cũng vô ích, chi bằng hãy về Trác quận.
玄德从其言，遂引军北行。	Huyền Đức lấy làm phải, bèn dẫn quân về phía bắc.
行无二日，忽闻山后喊声大震。	Đi được hai ngày, bỗng nghe sau núi có tiếng đánh nhau hò hét.
玄德引关、张纵马上高冈望之，见汉军大败，后面漫山塞野，黄巾盖地而来，旗上大书“天公将军”。	Huyền Đức cùng Quan, Trương cưỡi ngựa lên đồi cao trông xem, thấy quân Hán bị thua đương chạy, giặc khăn vàng đông như kiến cỏ đương đuổi theo sau, trên lá cờ viết bốn chữ "Thiên công tướng quân" rất lớn.
玄德曰：“此张角也！可速战！”	Huyền Đức nói: - Trương Giác đây rồi, đánh ngay đi!
三人飞马引军而出。	Ba người đều phi ngựa dẫn quân ra đánh.
张角正杀败董卓，乘势赴来，忽遇三人冲杀，角军大乱，败走五十余里。	Lúc ấy Trương Giác đương thừa thắng đuổi Đổng Trác, bỗng gặp ba người đem quân chẹn đánh, quân Giác hoảng loạn, phải thua chạy đến ngoài năm mươi dặm.
三人救了董卓回寨。	Ba người cứu được Đổng Trác về trại.
卓问三人现居何职。	Trác hỏi ba người hiện làm quan gì?
玄德曰：“白身。”卓甚轻之，不为礼。	Huyền Đức nói: "Chân trắng" Trác khinh thường, không thèm đáp tạ lại. Huyền Đức bỏ đi.
玄德出，张飞大怒曰：“我等亲赴血战，救了这厮，他却如此无礼。若不杀之，难消我气！”	Trương Phi cả giận nói rằng: - Thằng cha này láo quá! Chúng ta lăn lộn vào đất chết để cứu nó ra, nó không ơn thì chớ, lại còn làm phách khinh người đến thế, nếu không giết nó, sao hả được giận này?
便要提刀入帐来杀董卓。	Bèn cầm dao vào trướng định giết Đổng Trác.
正是：人情势利古犹今，谁识英雄是白身？安得快人如翼德，尽诛世上负心人！	Đó chính là: Nhân tình thế thái vẫn xưa nay, Ai biết anh hùng lúc trắng tay, Nếu được người người như Dực Đức, Trên đời hẳn hết kẻ không hay!
毕竟董卓性命如何，且听下文分解。	Muốn biết tính mạng Đổng Trác thế nào, xem hồi sau sẽ rõ.
第二回张翼德怒鞭督邮何国舅谋诛宦竖	HỒI 2 Trương Dực Đức giận đánh đốc bưu; Hà Quốc Cửu mưu giết quan hoạn
且说董卓字仲颖，陇西临洮人也，官拜河东太守，自来骄傲。	Trác tên chữ là Trọng Dĩnh, quê ở huyện Lâm Thao, quận Lũng Tây, làm quan thái thú ở Hà Đông, xưa nay vốn tính kiêu ngạo.
当日怠慢了玄德，张飞性发，便欲杀之。	Lúc ấy vì khinh Huyền Đức nên Trương Phi nổi nóng muốn vào giết ngay.
玄德与关公急止之曰；“他是朝廷命官，岂可擅杀？”	Huyền Đức, Quan Công vội ngăn mà rằng: - Không nên, hắn là quan triều đình, em chớ nên tự tiện giết hắn!
飞曰：“若不杀这厮，反要在他部下听令，其实不甘！	Phi nói: - Nếu không giết nó, mà lại ở đây làm đầy tớ cho nó sai khiến, thì tôi không thể chịu được!
二兄要便住在此，我自投别处去也！”	Nếu hai anh muốn ở đây thì tôi xin đi ngay nơi khác.
玄德曰：“我三人义同生死，岂可相离？	Huyền Đức nói: - Ba anh em ta kết nghĩa cùng sống chết, sao nỡ lìa nhau?
不若都投别处去便了。”	Thôi cùng đi nơi khác là hơn cả.
飞曰：“若如此，稍解吾恨。”	Phi nói: - Có thế thì cái tức này mới hơi hả.
