第一回宴桃园豪杰三结义斩黄巾英雄首立功 ||| HỒI 1 Tiệc vườn đào, anh hùng kết nghĩa; Chém Khăn Vàng, hào kiệt lập công
袁绍驱兵掩杀，曹军大败，尽退至官渡 ||| Trong vòng mười ngày, quân Thiệu đắp được hơn năm mươi cái đồi đất, trên dựng chòi cao, rồi quân cung nỏ đứng trên bắn xuống
袁绍移军逼近官渡下寨 ||| Quân Tào sợ hãi, người nào người ấy đội mộc đỡ tên
审配曰：“今可拨兵十万守官渡，就曹操寨前筑起土山，令军人下视寨中放箭 ||| Trên đồi cứ mỗi tiếng mõ, tên bắn xuống như mưa
操若弃此而去，吾得此隘口，许昌可破矣 ||| Quân Tào đều nép vào mộc nằm rạp xuống đất
”绍从之，于各寨内选精壮军人，用铁锹土担，齐来曹操寨边，垒土成山 ||| Quân Thiệu reo lên cười
曹操见军慌乱，集众谋士问计 ||| Tào Tháo thấy quân rối loạn, họp các mưu sĩ hỏi kế
刘晔进曰：“可作发石车以破之 ||| Lưu Hoa nói: - Nên làm xe bắn đá chống lại
”操令晔进车式，连夜造发石车数百乘，分布营墙内，正对着土山上云梯 ||| Tháo bảo Hoa vẽ kiểu xe, suốt đêm chế được vài trăm cỗ xe, đặt bên trong tường, chiếu thẳng vào những chòi trên đồi
候弓箭手射箭时，营内一齐拽动石车，炮石飞空，往上乱打 ||| Đợi lúc quân cung nỏ sắp bắn, đá bay lên đánh phá lung tung, người không chỗ nấp, quân cung nỏ chết vô số
人无躲处，弓箭手死者无数 ||| Quân Viên thiệu gọi xe ấy là xe sấm sét
袁军皆号其车为“霹雳车” ||| Từ đấy quân Thiệu không dám trèo lên cao bắn vào nữa
由是袁军不敢登高射箭 ||| Thẩm Phối lại hiến kế khác: - Ta nên sai quân dùng thuổng cuốc lén đào đường ngầm, thẳng vào trong trại tào Tháo
审配又献一计：令军人用铁锹暗打地道，直透曹营内，号为“掘子军” ||| Quân ấy gọi là quân đào hầm
曹兵望见袁军于山后掘土坑，报知曹操 ||| Quân Tào thấy quân Viên Thiệu đào cả sau những ụ đất, vào báo với Tháo
操又问计于刘晔 ||| Tháo hỏi Lưu Hoa
晔曰：“此袁军不能攻明而攻暗，发掘伏道，欲从地下透营而入耳 ||| Lưu Hoa nói: - Quân Viên đánh đường hoành không được, định đánh lén, họ đào đường ngầm dưới đất để theo đó mà tiến vào dinh ta
”操曰：“何以御之？”晔曰：“可绕营掘长堑，则彼伏道无用也 ||| Tháo hỏi: - Vậy ta phải làm thế nào? Hoa nói: - Đào một cái hào chung quanh trại thì đường hầm của nó cũng thành vô dụng
”操连夜差军掘堑 ||| Đêm hôm ấy Tào Tháo sai đào một cái hào rõ sâu
袁军掘伏道到堑边，果不能入，空费军力 ||| Quân Viên đào đến cạnh hào, không đánh vào được, mất công khó nhọc vô ích
却说曹操守官渡，自八月起，至九月终，军力渐乏，粮草不继 ||| Tào Tháo giữ Quan Độ từ tháng Tám đến tháng Chín, quân lực kém dần, lương thảo gần hết, ý muốn bỏ Quan Độ về Hứa Xương, nhưng ngần ngừ chưa định, bèn viết thư sai người đem về hỏi Tuân Úc
意欲弃官渡退回许昌，迟疑未决，乃作书遣人赴许昌问荀彧 ||| Úc viết thư đáp lại
彧以书报之 ||| Thư lại được nói: - "Trộm nghĩ Viên Thiệu đem đại quân họp cả ở Quan Độ cùng minh công quyết một trận được thua, minh công lấy yếu địch khỏe, nếu không chống nổi, tất bị nó đè tấn ngay: Lúc này chính là một cơ hội lớn phải dùng mưu trí
书略曰：“承尊命，使决进退之疑 ||| Quân Thiệu tuy nhiều, nhưng không biết sử dụng, minh công là bậc thần vũ minh triết, xoay sở thế nào mà chẳng được
愚以袁绍悉众聚于官渡，欲与明公决胜负，公以至弱当至强，若不能制，必为所乘：是天下之大机也 ||| Nay quân lương dù ít, cũng chưa đến nỗi nguy khốn như lúc Sở Hán đánh nhau ở Huỳnh Dương hay Thành Cao
绍军虽众，而不能用；以公之神武明哲，何向而不济！今军实虽少，未若楚、汉在荥阳、成皋间也 ||| Minh công vạch đất cố giữ, chẹn cuống họng kẻ địch, không cho nó tiến, tình thế sẽ thay đổi, thế nào cũng có biến, chính là lúc dùng mưu trí, xin công minh xét kỹ"
公今画地而守，扼其喉而使不能进，情见势竭，必将有变 ||| Tào tháo được thư, sai tướng sĩ cố sức giữ
绍军约退三十余里，操遣将出营巡哨 ||| Sau quân Thiệu phải lui hơn ba mươi cặm
有徐晃部将史涣获得袁军细作，解见徐晃 ||| Tháo sai tướng đi tuần tiễu, trong khi đi tuần, có bộ tướng của Từ Hoảng, tên là Sử Hoán, bắt được một tên do thám của Viên Thiệu, giải về nộp, Từ Hoảng hỏi về việc quân bên Viên, tên ấy thưa: - Nay mai đại tướng là Hàn Mãnh, đem lương đến tiếp tế, sai tôi đi dò đường trước
晃问其军中虚实 ||| Từ Hoảng đi báo ngay cho Tháo biết, Tuân Du nói: - Hàn Mãnh là một thằng vũ phu
答曰：“早晚大将韩猛运粮至军前接济，先令我等探路 ||| Chỉ sai một người dẫn vài nghìn khinh kỵ đón đường chẹn đánh, cướp được lương thảo, quân Viên Thiệu phải vỡ
”徐晃便将此事报知曹操 ||| Tháo hỏi: - Nên sai ai? Du nói: - Nên sai ngay Từ Hoảng
荀攸曰：“韩猛匹夫之勇耳 ||| Tháo bèn sai Từ Hoảng đem Sử Hoán và bản bộ của mình đi trước; lại cho Hứa Chử, Trương Liêu đi sau tiếp ứng
若遣一人引轻骑数千，从半路击之，断其粮草，绍军自乱 ||| Đang đêm, Hàn Mãnh đem vài nghìn xe lương đến trại Viên Thiệu
”操曰：“谁人可往？”攸曰：“即遣徐晃可也 ||| Đi đến chỗ đầu núi, Từ Hoảng, Sử Hoán đem quân ra chẹn đường
”操遂差徐晃将带史涣并所部兵先出，后使张辽、许褚引兵救应 ||| Mãnh tế ngựa lại đánh
当夜韩猛押粮车数千辆，解赴绍寨 ||| Từ Hoảng đón đánh Hàn Mãnh, Sử Hoán, đuổi tan những quân đi tải, rồi sai phóng lửa đốt xe lương thảo
正走之间，山谷内徐晃、史涣引军截住去路 ||| Hàn Mãnh thế địch không nổi, quay ngựa chạy về
韩猛飞马来战，徐晃接住厮杀 ||| Từ Hoảng thúc quân vào đốt sạch cả mấy nghìn cỗ xe
史涣便杀散人夫，放火焚烧粮车 ||| Quân Viên Thiệu trông mé tây bắc có ngọn lửa, còn đương hoảng hốt, thì có quân chạy về báo việc Từ Hoảng cướp lương
韩猛抵当不住，拨回马走 ||| Thiệu sai Trương Cáp, Cao Lãm đi cứu
徐晃催军烧尽辎重 ||| Vừa ra đến đường cái, thì gặp ngay Từ Hoảng, Sử hoán đã đốt hết xe lương, kéo quân trở về
袁绍军中，望见西北上火起，正惊疑间，败军投来：“粮草被劫！”绍急遣张邰、高览去截大路，正遇徐晃烧粮而回，恰欲交锋，背后张辽、许诸军到 ||| Hai bên định đánh nhau, thì Hứa Chử, Trương Liêu vừa đến
两下夹攻，杀散袁军，四将合兵一处，回官渡寨中 ||| Hai mặt giáp công, đánh tan quân Thiệu, họp binh kéo về Quan Độ
曹操大喜，重加赏劳 ||| Tào Tháo mừng lắm, trọng thưởng cho các tướng sĩ, rồi chia quân ra lập dinh ở trước trại mình để làm thế ỷ giốc
却说韩猛败军还营，绍大怒，欲斩韩猛，众官劝免 ||| Hàn Mãnh thua trận trở về
审配曰：“行军以粮食为重，不可不用心提防 ||| Viên Thiệu giận muốn đem chém, các quan kêu mãi cho được thoát tội
乌巢乃屯粮之处，必得重兵守之 ||| Thẩm Phối nói: - Đem quân đi, cốt có việc lương là trọng, việc phòng giữ lương thảo không nên bất cẩn
”袁绍曰：“吾筹策已定 ||| Lương ta nay chứa cả ở Ô Sào, thế nào cũng phải cho nhiều quân sĩ giữ gìn nơi ấy mới được
汝可回邺都监督粮草，休教缺乏 ||| Viên Thiệu nói: - Việc ấy ta cũng đã tính đâu vào đấy rồi, nhưng người cũng phải về Nghiệp Quận đôn đốc, chớ để lương thảo thiếu thốn
”审配领命而去 ||| Thẩm Phối vâng mệnh đi
袁绍遣大将淳于琼，部领督将眭元进、韩莒子、吕威璜、赵睿等，引二万人马，守乌巢 ||| Viên Thiệu lại sai đại tướng là Thuần Vu Quỳnh, bộ lĩnh đốc tướng là Mục Nguyên Tiến, Hàn Cử Tử, Lã Uy Hoàng và Triệu Hiếu, dẫn hai vạn quân mã đến giữ Ô Sào
那淳于琼性刚好酒，军士多畏之；既至乌巢，终日与诸将聚饮 ||| Thuần Vu Quỳnh vốn là người nóng tính, hay rượu, quân sĩ ai cũng sợ
且说曹操军粮告竭，急发使往许昌教荀彧作速措办粮草，星夜解赴军前接济 ||| Lúc đến Ô Sào, Quỳnh cả ngày chỉ cùng các tướng họp nhau uống rượu
使者赍书而往，行不上三十里，被袁军捉住，缚见谋士许攸 ||| Bên quân Tào, lương thảo cũng cạn Tháo sai về Hứa Xương, bảo Tuân Úc phải trú liệu cho mau
那许攸字子远，少时曾与曹操为友，此时却在袁绍处为谋士 ||| Sứ đi chưa được ba mươi dặm, bị quân Viên Thiệu bắt được, trói đem giải vào nộp mưu sĩ Thiệu là Hứa Du
当下搜得使者所赍曹操催粮书信，径来见绍曰：“曹操屯军官渡，与我相持已久，许昌必空虚；若分一军星夜掩袭许昌，则许昌可拔，而操可擒也 ||| Hứa Du, tự là Tử Viễn, khi nhỏ vốn là bạn của Tào Tháo, bấy giờ hiện đương làm mưu sĩ cho Viên Thiệu
今操粮草已尽，正可乘此机会，两路击之 ||| Khi bắt được sứ Tào Tháo mang thư đi giục lương, Hứa Du vào nói với Viên thiệu: - Tào Tháo đóng quân ở Quan Độ, chống với quân ta đã lâu
”绍曰：“曹操诡计极多，此书乃诱敌之计也 ||| Hứa Xương tất nhiên bỏ trống
”攸曰：“今若不取，后将反受其害 ||| Ta nay nhiều binh, giả thử chia một nửa quân về đánh úp Hứa Xương thì dễ như chơi
”正话间，忽有使者自邺郡来，呈上审配书 ||| Lấy được Hứa Xương, tất rồi bắt được Tào Tháo
书中先说运粮事；后言许攸在冀州时，尝滥受民间财物，且纵令子侄辈多科税，钱粮入己，今已收其子侄下狱矣 ||| Nay lương thảo quân Tào vừa cạn, ta nên thừa cơ đánh cả hai mặt
绍见书大怒曰：“滥行匹夫！尚有面目于吾前献计耶！汝与曹操有旧，想今亦受他财贿，为他作奸细，啜赚吾军耳！本当斩首，今权且寄头在项！可速退出，今后不许相见！”许攸出，仰天叹曰：“忠言逆耳，竖子不足与谋！吾子侄已遭审配之害，吾何颜复见冀州之人乎！”遂欲拔剑自刎 ||| Viên Thiệu nói: - Tào Tháo rất nhiều quỷ kế, thư này là kế dụ địch đây
左右夺剑劝曰：“公何轻生至此？袁绍不绝直言，后必为曹操所擒 ||| Du đáp: - Nay nếu không đánh ngay đi, về sau tất bị nó hại
公既与曹公有旧，何不弃暗投明？”只这两句言语，点醒许攸；于是许攸径投曹操 ||| Đang nói chuyện, chợt thấy sứ ở Nghiệp Quân đến đem trình thư của Thẩm Phối trước nói việc vận tải lương thảo, sau nói khi Hứa Du ở Ký Châu, thường hà lạm của dân nhiều, lại dung túng con cháu quấy nhiễu dân
后人有诗叹曰：“本初豪气盖中华，官渡相持枉叹嗟 ||| Trong thư lại nói: Con cháu Hứa Du, hiện đã bị bắt giam cả rồi
若使许攸谋见用，山河争得属曹家？” ||| Thiệu đọc thư xong, nổi giận đùng đùng, lại nhân không muốn nghe kế Hứa Du vừa bàn, bèn mắng: - Tên thất phu hà lạm kia! Còn mặt mũi nào bày mưu ở trước mặt ta! Mày vốn quen Tào Tháo, chắc mày ăn đút của giặc Tào, làm do thám cho nó rồi dử tao vào cạm phải không? Tội mày đáng chém, tao hãy gửi cái đầu ở trên cổ đó
却说许攸暗步出营，径投曹寨，伏路军人拿住 ||| Hứa Du đến gần trại Tào Tháo, quân canh đường bắt được
攸曰：“我是曹丞相故友，快与我通报，说南阳许攸来见 ||| Du nói: - Ta là bạn cũ của thừa tướng, vào bẩm ngay có Hứa Du ở Nam Dương lại hầu
”军士忙报入寨中 ||| Quân sĩ vội vàng vào bẩm
时操方解衣歇息，闻说许攸私奔到寨，大喜，不及穿履，跣足出迎，遥见许攸，抚掌欢笑，携手共入，操先拜于地 ||| Tào Tháo bấy giờ đã sắp đi ngủ, nghe thấy Hứa Du đến, mừng quá không kịp đi giầy, cứ chân không chạy ra đón vào
攸慌扶起曰：“公乃汉相，吾乃布衣，何谦恭如此？”操曰：“公乃操故友，岂敢以名爵相上下乎！”攸曰：“某不能择主，屈身袁绍，言不听，计不从，今特弃之来见故人 ||| Trông thấy Hứa Du, Tháo vỗ tay vui cười rồi hai người dắt tay đi vào
愿赐收录 ||| Tháo thụp xuống đất lạy trước, Du sợ hãi vội vàng đỡ lên nói: - Ông là tướng nhà Hán, tôi là một người áo vải, sao lại khiêm nhường quá thế? Tháo nói: - Ông là bạn của Tháo, há dám lấy tước vị phân biệt người trên kẻ dưới! Du nói: - Tôi nay không biết chọn chủ, hạ mình đi thờ Viên Thiệu, nói nó không nghe, bày kế nó không dùng, nay tôi bỏ nó đến gặp cố nhân, rất mong được thừa tướng thu dụng
”操曰：“子远肯来，吾事济矣！愿即教我以破绍之计：”攸曰：“吾曾教袁绍以轻骑乘虚袭许都，首尾相攻 ||| Tháo mừng nói: - Tử Viễn chịu đến với ta, việc gì của ta mà chẳng xong
”操大惊曰：“若袁绍用子言，吾事败矣 ||| Xin bảo ngay cho kế phá Viên Thiệu
”攸曰：“公今军粮尚有几何？”操曰：“可支一年 ||| Du đáp: - Tôi đã từng khuyên Viên Thiệu nhân thừa tướng đóng cả quân ở đây nên đem quân khinh kỵ đánh úp lấy Hứa Đô
”攸笑曰：“恐未必 ||| Tháo cả sợ, nói: - Nếu Thiệu dùng mưu ấy, việc ta hỏng mất
”操曰：有半年耳 ||| Hứa Du nói: - Nay lương thảo của ông còn bao nhiêu? Tháo nói: - Có thể chi dùng một năm
”攸拂袖而起，趋步出帐曰：“吾以诚相投，而公见欺如是，岂吾所望哉！”操挽留曰：“子远勿嗔，尚容实诉：军中粮实可支三月耳 ||| Du cười: - Sợ rằng không thể được thế
”攸笑曰：“世人皆言孟德奸雄，今果然也 ||| Tháo nói: - Độ sáu tháng thôi! Hứa Du rũ vạt áo, đứng phắt dậy, bước ra khỏi trường nói: - Tôi đã lấy bụng thực lại đây để giúp ông mà ông còn nói dối khá phải là điều mong thế hay sao! Tháo nắm áo Du kéo lại nói: - Xin Tử Viễn đừng giận, để tôi nói thực: Lương thảo quả thực chỉ còn độ ba tháng nữa thì hết
”操亦笑曰：“岂不闻兵不厌诈！”遂附耳低言曰：“军中止有此月之粮 ||| Du cười nói: - Thiên hạ thường vẫn đồn Mạnh Đức là gian hùng, quả đúng thế! Tháo cũng cười nói: - Ông còn lạ gì, người ta đã có câu nói: "Binh bất yếm trá"
”攸大声曰：“休瞒我！粮已尽矣！”操愕然曰：“何以知之？”攸乃出操与荀彧之书以示之曰：“此书何人所写？”操惊问曰：“何处得之？”攸以获使之事相告 ||| (Nghĩa là trong phép dùng binh tha hồ nói đối)
操执其手曰：“子远既念旧交而来，愿即有以教我 ||| Rồi lại ghé vào tai Hứa Du nói thầm: - Lương ăn chỉ còn đủ tháng này thôi! Du nói to: - Thôi đừng nói dối nữa, lương ông hết sạch rồi! Tháo ngạc nhiên hỏi: - Sao biết? Hứa Du lấy ngay lá thư bắt được, đem cho Tháo xem và hỏi: - Ai viết thư này? Tháo sợ hỏi: - Bắt được ở đâu? Du kể lại việc bắt được người đưa thư, Tháo cầm tay Du nói: - Tử Viễn đã có lòng nhờ đến bạn cũ mà lại đây, có mưu kế gì xin bảo cho biết ngay
”攸曰：“明公以孤军抗大敌，而不求急胜之方，此取死之道也 ||| Du nói: - Minh công đem quân ít chống với kẻ địch đông mà không tìm cách đánh mau cho được, ấy là con đường bại vong
攸有一策，不过三日，使袁绍百万之众，不战自破 ||| Du nay có một kế, chỉ trong ba ngày, chẳng đánh, quân trăm vạn của Viên Thiệu cũng vỡ, Minh công có chịu dùng không? Tháo nói: - Xin cho biết mưu hay đó! Du nói: - Lương thảo của Viên Thiệu chứa cả ở Ô Sào, nay sai Thuần Vu Quỳnh coi giữ, Quỳnh chỉ ham uống rượu, không biết phòng bị gì cả
明公还肯听否？”操喜曰：“愿闻良策 ||| Ông nên cho đem quân tinh binh đến Ô Sào, nói dối là Tưởng Kỳ tướng của Viên Thiệu, lĩnh binh đến đó hộ vệ lương thảo, lừa dịp nào thuận tiện thì đốt hết, quân Viên Thiệu chỉ trong ba ngày tất loạn ngay
”攸曰：“袁绍军粮辎重，尽积乌巢，今拨淳于琼守把，琼嗜酒无备 ||| Tào Tháo mừng lắm trọng đãi Hứa Du, rồi mới lưu lại trong trại
公可选精兵诈称袁将蒋奇领兵到彼护粮，乘间烧其粮草辎重，则绍军不三日将自乱矣 ||| Hôm sau, Tháo kén năm nghìn quân mã bộ, chuẩn bị cho đi cướp lương ở Ô Sào, Trương Liêu nói: - Chỗ Viên Thiệu chứa lương, sao họ lại không phòng bị, thừa tướng không nên khinh thường, lỡ mắc mưu Hứa Du
”操大喜，重待许攸，留于塞中 ||| Tháo nói: - Không phải thế! Hứa Du về với ta, tức là trời khiến Thiệu thua
次日，操自选马步军士五千，准备往乌巢劫粮 ||| Ta thiếu lương, không thể giữ lâu được, nếu không dùng mưu của Du là ngồi bó tay mà chịu khốn
张辽曰：“袁绍屯粮之所，安得无备？丞相未可轻往，恐许攸有诈 ||| Nếu Du định lừa ta, sao chịu ở lại với ta? Vả ta muốn cướp trại đã lâu rồi, nay cái mưu cướp lương nhất định phải thi hành, các người đừng nghi ngờ gì nữa
”操曰：“不然，许攸此来，天败袁绍 ||| Liêu nói: - Đành thế, nhưng cũng nên phòng Viên Thiệu thừa cơ đến đánh úp trại ta
今吾军粮不给，难以久持；若不用许攸之计，是坐而待困也 ||| Tháo nói: - Ta đã tính kỹ rồi
彼若有诈，安肯留我寨中？且吾亦欲劫寨久矣 ||| Liền sai Tuân Du, Giả Hủ, Tào Hồng cùng Hứa Du giữ trại lớn; Hạ Hầu Đôn, Hạ Hầu Uyên lĩnh quân phục bên tả; Tào Nhân; Lý Điển, lĩnh quân phục bên hữu để phòng việc bất trắc
今劫粮之举，计在必行，君请勿疑 ||| Lại sai Trương Liêu, Hứa Chử đi trước, Từ Hoảng, Vu Cấm đi sau, Tháo tự dẫn các tướng đi giữa, cả thảy năm nghìn quân mã, cầm cờ hiệu Viên Thiệu, quân sĩ mỗi người mang một bó cỏ, đội một đội cũi; người thì ngậm tăm, ngựa thì buộc mồm, sâm sẩm tối kéo sang Ô Sào
”辽曰：“亦须防袁绍乘虚来袭 ||| Đêm hôm ấy sao sáng đầy trời
”操笑曰：“吾已筹之熟矣 ||| Thư Thụ, bị Viên Thiệu giam ở trong quân, đêm thấy sao sáng bảo cai ngục đưa mình ra sân, ngắm xem thiên văn
”便教荀攸、贾诩、曹洪同许攸守大寨，夏侯惇、夏侯渊领一军伏于左，曹仁、李典领一军伏于右，以备不虞 ||| Chợt thấy sao Thái Bạch đi ngược, xâm phạm vào phận sao Đẩu, sao Ngưu, Thụ giật nẩy mình mà rằng: - Vạ sắp đến nơi rồi! Ngay đêm ấy, Thư Thụ xin vào ra mắtViênThiệu
教张辽、许褚在前，徐晃、于禁在后，操自引诸将居中：共五千人马，打着袁军旗号，军士皆束草负薪，人衔枚，马勒口，黄昏时分，望乌巢进发 ||| Bấy giờ Thiệu uống rượu say, nghe thấy báo Thư Thụ có việc mật vào nói, bèn cho gọi vào hỏi: Thụ thưa: - Tôi vừa xem thiên văn thấy sao Thái Bạch đi ngược đến vùng sao Liễu, sao Quy, khi ánh sáng sang cả vùng sao Ngưu, sao Đẩu, e có việc quân địch cướp trại
是夜星光满天 ||| Ô Sào là chỗ chứa lương, cần phải đề phòng, xin sai mãnh tướng, tinh binh đi tuần tiễu ở những chỗ đường tắt và chân núi để khỏi mắc mẹo Tào tháo
且说沮授被袁绍拘禁在军中，是夜因见众星朗列，乃命监者引出中庭，仰观天象 ||| Thiệu giận mắng: - Mày là thằng có tội, sao được nói càn làm rối loạn lòng quân! Thiệu lại mắng người coi: - Mày giữ nó sao lại dám thả nó ra
忽见太白逆行，侵犯牛、斗之分，大惊曰：“祸将至矣！”遂连夜求见袁绍 ||| Bèn sai chém người coi, gọi người khác ra coi giữ Thư Thụ, Thụ trở ra, gạt nước mắt than: - Quân ta sớm tối không biết mất lúc nào, nắm xương ta rồi không biết chôn vào đâu! Đời sau có thơ than rằng: Lời thẳng ngang tai lại hóa thù, Trách vì Viên Thiệu ít cơ mưu, Ô Sào lương cạn, cây long gốc, Còn muốn khư khư giữ Ký Châu
时绍已醉卧，听说沮授有密事启报，唤入问之 ||| Tào Tháo đêm hôm ấy đem quân đi, qua trại quân Viên Thiệu, lính trại ra hỏi quân nào
授曰：“适观天象，见太白逆行于柳、鬼之间，流光射入牛、斗之分，恐有贼兵劫掠之害 ||| Tào Tháo sai người ra nói là quân Tưởng Kỳ, phụng mệnh ra Ô Sào giữ lương
乌巢屯粮之所，不可不提备 ||| Quân Viên thấy cờ hiệu nhà mình, chẳng nghi ngờ gì, đi qua mấy chỗ đều nói dối là quân Tưởng Kỳ, trót lọt tất cả
宜速遣精兵猛将，于间道山路巡哨，免为曹操所算 ||| Khi đến Ô Sào đã hết canh tư, Tháo sai quân đem cỏ cất chung quanh đồn đốt lửa lên, rồi các tướng nổi trống reo ầm kéo vào
”绍怒叱曰：“汝乃得罪之人，何敢妄言惑众！”因叱监者曰：“吾令汝拘囚之，何敢放出！”遂命斩监者，别唤人监押沮授 ||| Bấy giờ Thầu Vu Quỳnh cùng các tướng vừa uống rượu say đã vào nằm trong trướng, bỗng nghe thấy xôn xao, vội vàng trở dậy, hỏi việc gì
授出，掩泪叹曰：“我军亡在旦夕，我尸骸不知落何处也！”后人有诗叹曰：“逆耳忠言反见仇，独夫袁绍少机谋 ||| Quỳnh chưa nói dứt câu đã bị ngay một lưỡi câu liêm lôi ngã xuống
乌巢粮尽根基拔，犹欲区区守冀州 ||| Mục Nguyên Tiến, Triệu Tuấn bấy giờ vừa tải lương về, trông thấy trên đồn có lửa cháy, vội vàng lại cứu chữa
”却说曹操领兵夜行，前过袁绍别寨，寨兵问是何处军马 ||| Quân Tào vào báo với tào tháo có quân địch ở đằng sau, xin chia binh để dánh, Tháo quát lên: - Các tướng cứ đằng trước mà đánh, lúc nào quân địch đến đằng sau, bấy giờ sẽ hay
操使人应曰：“蒋奇奉命往乌巢护粮 ||| Được một hồi, lửa cháy ngùn ngụt, khói tỏa khắp trời Mục, Triệu hai tướng đem quân đến cứu, Tháo quay lại đánh, hai tướng không địch nổi cùng bị giết cả lương thảo cháy hết sạch
”袁军见是自家旗号，遂不疑惑 ||| Quỳnh bị bắt, Tháo sai cắt cả tai mũi và mười ngón tay, trói vào mình ngựa rồi tha cho về trại Viên Thiệu để làm nhục Viên Thiệu
却说袁绍在帐中，闻报正北上火光满天，知是乌巢有失，急出帐召文武各官，商议遣兵往救 ||| Viên Thiệu đang ở trong trướng, thấy báo mé chính bắc lửa sáng rực trời, biết rằng Ô Sào có biến, vội vàng ra gọi các quan văn võ vào bàn bạc, sai quân đi cứu
张郃曰：“某与高览同往救之 ||| Trương Cáp nói: - Tôi cùng Cao lãm xin đi
”郭图曰：“不可 ||| Quách Đồ nói: - Không nên
曹军劫粮，曹操必然亲往；操既自出，寨必空虚，可纵兵先击曹操之寨；操闻之，必速还：此孙膑围魏救赵之计也 ||| Quân tào đi cướp lương ta
”张邰曰：“非也 ||| Tháo tất thân hành đi, trại hắn bỏ trống
曹操多谋，外出必为内备，以防不虞 ||| Nên thả binh vào cướp trại
今若攻操营而不拔，琼等见获，吾属皆被擒矣 ||| Tào Tháo tất phải bỏ Ô Sào về Quan Độ
”郭图曰：“曹操只顾劫粮，岂留兵在寨耶！”再三请劫曹营 ||| Ấy là mẹo Tôn Tẫn vây Ngụy cứu Hán ngày xưa đó
绍乃遣张郃、高览引军五千，往官渡击曹营；遣蒋奇领兵一万，往救乌巢 ||| Trương Cáp nói: - Tào Tháo lắm mưu, đi ra ngoài tất có phòng bị ở trong
且说曹操杀散淳于琼部率，尽夺其衣甲旗帜，伪作淳于琼部下收军回寨，至山僻小路，正遇蒋奇军马 ||| Nay nếu sang phá trại nó không được, lũ Quỳnh bị thua, chúng ta cũng sẽ bị bắt nốt
奇军问之，称是乌巢败军奔回，奇遂不疑，驱马径过 ||| Quách Đồ nói: - Tháo chỉ chú ý đi cướp lương, còn nghĩ gì đến việc để quân giữ trại
张辽、许褚忽至，大喝：“蒋奇休走！”奇措手不及，被张辽斩于马下，尽杀蒋奇之兵 ||| Hai ba lần Quách Đồ xin đi cướp trại Tào
又使人当先伪报云：“蒋奇已自杀散乌巢兵了” ||| Thiệu bèn sai Trương Cáp, Cao Lãm lĩnh năm nghìn quân sang Quan Độ phá trại Tào, rồi lại sai Tưởng Kỳ dẫn một vạn quân đi cứu Ô Sào
袁绍因不复遣人接应乌巢，只添兵往官渡 ||| Tào Tháo đánh tan quân Thuần Vu Quỳnh, cướp hết được cả áo giáp, cờ xí, lại giả làm quân Thuần Vu Quỳnh thua chạy về trại Viên Thiệu
却说张郃、高览攻打曹营，左边夏侯惇、右边曹仁，中路曹洪，一齐冲出：三下攻击，袁军大败 ||| Đây nói Trương Cáp, Cao Lãm đánh trại Tào Tháo
比及接应军到，曹操又从背后杀来，四下围住掩杀 ||| Bên tả Hạ Hầu Đôn, bên hữu Tào Nhân, ở giữa Tào Hồng kéo ùa cả ra, ba mặt đánh ập lại
张邰、高览夺路走脱 ||| Quân Viên Thiệu thua to
袁绍收得乌巢败残军马归寨，见淳于琼耳鼻皆无，手足尽落 ||| Khi quân tiếp ứng đến thì Tào Tháo ở Ô Sào về, bốn mặt vây kín chặn đánh
绍问：“如何失了乌巢？”败军告说：“淳于琼醉卧，因此不能抵敌 ||| Trương Cáp, Cao Lãm cướp đường chạy thoát
”绍怒，立斩之 ||| Viên Thiệu thu nhặt tàn quân ở Ô Sào về trại, thấy Thuần Vu Quỳnh mất cả tai, mũi, ngón tay
郭图恐张邰、高览回寨证对是非，先于袁绍前谮曰：“张邰、高览见主公兵败，心中必喜 ||| Thiệu hỏi: - Làm sao để mất Ô Sào? Quân thưa: - Quỳnh say rượu nên không chống được quân địch
”绍曰：“何出此言？”图曰：“二人素有降曹之意，今遣击寨，故意不肯用力，以致损折士卒 ||| Thiệu lập tức sai đem chém Thuần Vu Quỳnh
”绍大怒，遂遣使急召二人归寨问罪 ||| Quách Đồ sợ Trương Cáp, Cao Lãm thua về, đổ lỗi tại mình bèn nói dèm trước: - Trương Cáp, Cao Lãm thấy chúa công thua trận này trong lòng rất mừng
郭图先使人报二人云：“主公将杀汝矣 ||| Thiệu hỏi: - Sao lại nói thế? Quách Đồ thưa: - Hai người vẫn có ý hàng Tào đã lâu, nay sai đi phá trại, không có sức đánh đến nỗi làm thiệt mất nhiều quân
”及绍使至，高览问曰：“主公唤我等为何？”使者曰：“不知何故 ||| Thiệu giận lắm, cho đòi hai người vào hỏi tội
”览遂拔剑斩来使 ||| Quách Đồ lại cho người ra bảo trước với hai người: - Chúa công định giết các ông đấy
邰大惊 ||| Lúc sứ giả đến, Cao Lãm hỏi: - Chúa công gọi chúng tôi có việc gì? Sứ giả nói: - Không biết việc gì
览曰：“袁绍听信谗言，必为曹操所擒；吾等岂可坐而待死？不如去投曹操 ||| Lãm rút ngay gươm giết sứ giả, Cáp cả sợ, Lãm bảo Trương Cáp: - Viên Thiệu hay nghe lời sàm nịnh, tất rồi cũng bị Tào Tháo bắt được
