第一回宴桃园豪杰三结义斩黄巾英雄首立功	HỒI 1 Tiệc vườn đào, anh hùng kết nghĩa; Chém Khăn Vàng, hào kiệt lập công.
权部将凌操，轻舟当先，杀入夏口，被黄祖部将甘宁一箭射死。	Bộ tướng Tôn Quyền là Lăng Tháo, bơi một chiếc thuyền nhỏ vào Hạ Khẩu, bị tướng địch là Cam Ninh bắn chết.
凌操子凌统，时年方十五岁，奋力往夺父尸而归。	Con Lăng Tháo là Lăng Thống mới mười lăm tuổi, ráng sức cướp lại thây cha đem về.
权见风色不利，收军还东吴。	Quyền thấy chiều gió không lợi, thu quân về Đông Ngô.
却说孙权弟孙翊为丹阳太守，翊性刚好酒，醉后尝鞭挞士卒。	Lại nói, em Tôn Quyền là Tôn Dực làm thái thú ở Đan Dương, tính nóng lại hay rượu, khi say thường hay đánh đập quân lính.
丹阳督将妫览、郡丞戴员二人，常有杀翊之心；乃与翊从人边洪结为心腹，共谋杀翊。	Đốc tướng ở Đan Dương là Vỉ Lãm và quân thừa là Đái Viên vẫn có ý muốn giết Dực. Hai người liền kết bạn tâm phúc với tên tùy tùng của Tôn Dực là Biên Hồng cùng nhau bàn âm mưu giết Dực.
时诸将县令，皆集丹阳，翊设宴相待。	Hồi ấy các huyện lệnh và tướng tá đều họp nhau ở Đan Dương.
翊妻徐氏美而慧，极善卜《易》，是日卜一卦，其象大凶，劝翊勿出会客。	Dực mở tiệc khoản đãi, vợ Dực là Từ thị xinh đẹp, lại thông minh, có tài bói dịch. Hôm ấy, Từ thị bói một quẻ rất xấu, khuyên chồng đừng ra tiếp khách.
翊不从，遂与众大会。	Dực không nghe.
至晚席散，边洪带刀跟出门外，即抽刀砍死孙翊。	Đến chiều, tiệc tan, Biên Hồng theo Dực ra ngoài cửa sổ, và rút dao chém chết Dực.
妫览、戴员乃归罪边洪，斩之于市。	Vỉ Lãm, Đái Viên đổ tội cho Biên Hồng, bắt Hồng đem chém ở chợ.
二人乘势掳翊家资侍妾。	Dực chết rồi, hai người thừa thế cướp đoạt của cải, tỳ thiếp của Dực.
妫览见徐氏美貌，乃谓之曰：“吾为汝夫报仇，汝当从我；不从则死。”	Vỉ Lãm thấy Từ thị có nhan sắc, mới bảo rằng: - Ta đã báo thù cho chồng nàng, nàng nên theo ta, nếu không sẽ chết.
徐氏曰：“夫死未几，不忍便相从；可待至晦日，设祭除服，然后成亲未迟。”	Từ thị thưa: Chồng thiếp chết chưa được mấy ngày, thiếp đâu nỡ thế. Xin hãy gắng đợi đến ngày 30 sửa lễ trừ phục, rồi sẽ xin theo cũng chưa muộn.
览从之。	Lãm đồng ý.
徐氏乃密召孙翊心腹旧将孙高、傅婴二人入府，泣告曰：“先夫在日，常言二公忠义。	Từ thị lập tức sai người mật báo hai tướng tâm phúc cũ của chồng là Tôn Cao, và Phó Anh đến, khóc bảo rằng: - Khi chồng thiếp còn sống, vẫn thường bảo hai ông là người trung nghĩa.
今妫、戴二贼，谋杀我夫，只归罪边洪，将我家资童婢尽皆分去。	Nay hai thằng giặc Vỉ, Đái giết chồng thiếp, rồi vu cho Biên Hồng; cướp cả của cải cho chí kẻ hầu người ở, đem chia nhau.
妫览又欲强占妾身，妾已诈许之，以安其心。	Vỉ Lãm lại muốn chiếm cả thân thiếp nữa. Thiếp đã phải giả cách vâng lời cho yên lòng nó.
二将军可差人星夜报知吴侯，一面设密计以图二贼，雪此仇辱，生死衔恩！”	Hai tướng quân nên sai người sớm khuya báo tin với Ngô Hầu; một mặt lập kế để trừ hai thằng giặc ấy để rửa thù này, thì kẻ sống người thác ai cũng hàm ân.
言毕再拜。	Từ thị nói xong bèn sụp xuống lạy.
孙高、傅婴皆泣曰：“我等平日感府君恩遇，今日所以不即死难者，正欲为复仇计耳。	Tôn Cao, Phó Anh cùng khóc nói: - Hai chúng tôi ngày xưa đều được đội ơn phu quân. Nay chúng tôi còn cố sống lại, cũng là để tìm kế báo thù cho chủ.
夫人所命，敢不效力！”	Phu nhân đã sai khiến, dám đâu không hết sức!
于是密遣心腹使者往报孙权。	Bèn mật sai người tâm phúc đi báo Tôn Quyền.
至晦日，徐氏先召孙、傅二人，伏于密室韩幕之中，然后设祭于堂上。	Đến tối ba mươi, Từ thị gọi Tôn, Phó đến trước, mai phục ở sau màn trong phòng ngủ, rồi bày đồ tế lễ.
祭毕，即除去孝服，沐浴薰香，浓妆艳裹，言笑自若。	Tế xong, nàng bỏ áo tang ra, tắm gội xông hương, trang điểm lịch sự, cười nói tự nhiên.
妫览闻之甚喜。	Vỉ Lãm thấy vậy mừng lắm.
至夜，徐氏遗婢妾请览入府，设席堂中饮酒。	Đến đêm, Từ thị sai Hoàn ra mời Lãm vào phủ, mở tiệc uống rượu.
饮既醉，徐氏乃邀览入密室。 览喜，乘醉而入。	Rượu say rồi, Từ thị mời Lãm vào phòng ngủ, Lãm mừng quýnh, lảo đảo bước vào.
徐氏大呼曰：“孙、傅二将军何在！”	Từ thị bèn hô rằng: - Hai tướng quân Tôn, Phó đâu rồi?
二人即从帏幕中持刀跃出。	Hai tướng từ trong màn, vác đao nhảy ra.
妫览措手不及，被傅婴一刀砍倒在地，孙高再复一刀，登时杀死。	Vỉ Lãm chưa kịp trở tay, đã bị Phó Anh chém một nhát ngã vật xuống đất. Tôn Cao lại bồi thêm một nhát nữa, Lãm chết ngay.
徐氏复传请戴员赴宴。	Từ thị lại cho mời cả Đái Viên đến.
员入府来，至堂中，亦被孙、傅二将所杀。	Viên vừa đến cửa, cũng bị Tôn, Phó giết nốt.
一面使人诛戮二贼家小及其余党。	Hai người sai bắt giết sạch họ hàng, bè đảng của họ Vỉ và họ Đái.
徐氏遂重穿孝服，将妫览、戴员首级，祭于孙翊灵前。	Từ thị lại mặc đồ tang phục, và mang đầu Vỉ Lãm, Đái Viên tế trước linh vị chồng.
不一日，孙权自领军马至丹阳，见徐氏已杀妫、戴二贼，乃封孙高、傅婴为牙门将，令守丹阳，取徐氏归家养老。	Được mấy ngày, Tôn Quyền dẫn quân mã đến Đan Dương, thấy Từ thị đã trừ được hai tên giặc Vỉ, Đái rồi, liền phong cho Tôn Cao, Phó Anh làm nha môn tướng, sai giữ Đan Dương; rồi đem Từ thị về dưỡng lão.
江东人无不称徐氏之德。	Người Giang Đông ai cũng khen đức họ Từ.
后人有诗赞曰：“才节双全世所无，奸回一旦受摧锄。 庸臣从贼忠臣死，不及东吴女丈夫。	Đời sau có thơ rằng: Lập mẹo trừ gian báo nghĩa chồng Khôn ngoan tỏ mặt nữ anh hùng, Tục thần theo giặc, trung thần chết Mở mắt nhìn xem khách má hồng!
且说东吴各处山贼，尽皆平复。	Lại nói, Đông Ngô hồi ấy đã bình định được bọn giặc cướp ở các vùng rừng núi.
大江之中，有战船七千余只。	Trên sông Đại Giang, chiến thuyền có hơn bảy nghìn chiếc.
孙权拜周瑜为大都督，总统江东水陆军马。	Tôn Quyền cử Chu Du làm đại đô đốc, tổng chỉ huy cả thủy lục quân mã.
建安十二年，冬十月，权母吴太夫人病危，召周瑜、张昭二人至，谓曰：“我本吴人，幼亡父母，与弟吴景徒居越中。 后嫁与孙氏，生四子。	Đến tháng mười năm Kiến An thứ mười hai, mẹ Tôn quyền là Ngô Thái phu nhân bị bệnh nguy cấp lắm đòi Chu Du, Trương Chiêu đến trước màn bảo rằng: - Ta vốn là người nước Ngô, thuở nhỏ cha mẹ mất sớm, cùng với em ta là Ngô Cảnh dời sang Việt Trung, sau ta lấy họ Tôn, sinh được bốn con.
长子策生时，吾梦月入怀；后生次子权，又梦日入怀。	Con trưởng là Sách, lúc nó ra đời, ta nằm chiêm bao thấy nuốt mặt trăng vào bụng; con thứ hai là Quyền lúc đẻ ta nằm chiêm bao thấy nuốt mặt trời.
卜者云：梦日月入怀者，其子大贵。	Thầy bói nói rằng: Mơ thấy nặt trời, mặt trăng chui vào bụng tất sinh quý tử.
不幸策早丧，今将江东基业付权。	Chẳng may Sách mất sớm, nay trao cả cơ nghiệp Giang Đông giao phó cho Quyền.
望公等同心助之，吾死不朽矣！”	Mong các ngươi hết lòng giúp đỡ, ta có chết cũng được yên tâm.
又嘱权曰：“汝事子布、公瑾以师傅之礼，不可怠慢。	Lại dặn Tôn Quyền: - Con phải thờ Tử Bố và Công Cẩn như bậc thầy.
吾妹与我共嫁汝父，则亦汝之母也；吾死之后，事吾妹如事我。	Em gái ta cũng lấy cha con, tức là mẹ của con đấy, một mai ta nằm xuống, con phải thờ phụng như mẹ vậy.
汝妹亦当恩养，择佳婿以嫁之。”	Còn em gái con cũng phải nuôi dưỡng chu đáo và kén một người chồng giỏi cho nó.
言讫遂终。 孙权哀哭，具丧葬之礼，自不必说。	Nói xong thì mất, Tôn Quyền thương khóc, rồi làm lễ tống táng.
至来年春，孙权商议欲伐黄祖。	Đến mùa xuân năm sau, Tôn Quyền bàn muốn sang đánh Hoàng Tổ.
张昭曰：“居丧未及期年，不可动兵。”	Trương Chiêu can: - Có tang chưa đầy năm không nên cất quân vội.
周瑜曰：“报仇雪恨，何待期年？”	Chu Du nói: - Việc báo thù rửa hận, cần gì phải đợi hết tang?
权犹豫未决。 适平北都尉吕蒙入见，告权曰：“某把龙湫水口，忽有黄祖部将甘宁来降。	Quyền còn do dự chưa quyết, thì Bắc bình đô úy Lã Mông vào thưa rằng: - Tôi giữ cửa sông bỗng có Cam Ninh là bộ tướng của Hoàng Tổ đến hàng.
某细询之：宁字兴霸，巴郡临江人也；颇通书史，有气力，好游侠；尝招合亡命，纵横于江湖之中；腰悬铜铃，人听铃声，尽皆避之。	Tôi hỏi kỹ mới biết rằng Ninh tự là Hưng Bá, quê ở Lâm Giang, thuộc Ba Quận. Hắn làu thông kinh sử, sức khỏe mạnh. Tính hào hiệp, thường vẫn tụ họp những kẻ lánh nạn, tung hoành khắp chốn giang hồ. Hắn đeo một cái chuông đồng, lắc chuông lên ai nghe cũng phải xa lánh.
又尝以西川锦作帆幔，时人皆称为锦帆贼。	Lại thường dùng gấm Tây Xuyên làm buồm thuyền, người bấy giờ gọi là "Giặc buồm gấm."
后悔前非，改行从善，引众投刘表。 见表不能成事，即欲来投东吴，却被黄祖留住在夏口。	Về sau, Cam Ninh hối lại, đổi nét dữ, làm điều thiện, đem quân đến hàng Lưu Biểu, nhưng thấy Biểu hèn kém, muốn sang theo Đông Ngô, lại bị Hoàng Tổ giữ lại ở Hạ Khẩu.
前东吴破祖时，祖得甘宁之力，救回夏口；乃待宁甚薄。	Mới rồi, Đông Ngô đến đánh. Tổ cũng nhờ có sức Cam Ninh, mới lấy lại được Hạ Khẩu. Nhưng Tổ bạc đãi Cam Ninh lắm.
都督苏飞屡荐宁于祖。 祖曰：宁乃劫江之贼，岂可重用！	Đô đốc là Tô Phi nhiều lần tiến cử với Tổ, nhưng Tổ bảo: "Ninh là bọn thủy tặc, trọng dụng làm gì!"
宁因此怀恨。	Do đó Ninh oán giận.
苏飞知其意，乃置酒邀宁到家，谓之曰：吾荐公数次，奈主公不能用。 日月逾迈，人生几何，宜自远图。	Tô Phi biết ý, liền đặt tiệc mời Cam Ninh đến nhà, bảo rằng: "Tôi đã nhiều lần tiến cử ông, nhưng chúa công nhất định không dùng; ngày tháng thoi đưa, đời người thấm thoát, ông nên lo xa.
吾当保公为邾县长，自作去就之计。	Tôi đã xin cho ông làm huyện trưởng huyện Ngạc, để ông dễ đường ra đi hay ở lại."
宁因此得过夏口，欲投江东，恐江东恨其救黄祖杀凌操之事。	Nhờ đó Ninh qua được Hạ Khẩu, muốn đến Giang Đông, lại e Giang Đông oán việc giúp Hoàng Tổ giết Lăng Tháo ngày trước.
某具言主公求贤若渴，不记旧恨；况各为其主，又何恨焉？	Tôi nói: "Chúa công mong người hiền như lúc khát cầu nước, không nhớ oán cũ đâu. Vả lúc đó ai cũng thờ chủ người nấy, việc gì mà oán giận."
宁欣然引众渡江，来见主公。 乞钧旨定夺。”	Ninh mừng rỡ liền dẫn quân sang sông định ra mắt chúa công, xin chúa công định đoạt.
孙权大喜曰：“吾得兴霸，破黄祖必矣。”	Tôn Quyền mừng lắm, nói: - Ta được Hưng Bá, chắc phá được Hoàng Tổ.
遂命吕蒙引甘宁入见。	Rồi sai Lã Mông dẫn Cam Ninh vào.
参拜已毕，权曰：“兴霸来此，大获我心，岂有记恨之理？	Ninh chào lạy xong, Quyền nói: - Hưng Bá về đây, ta thật hả lòng, lẽ nào còn nhắc đến oán hờn?
请无怀疑。 愿教我以破黄祖之策。”	Xin chớ nghi ngờ, hãy cứ bảo ta kế phá Hoàng Tổ.
宁曰：“今汉祚日危，曹操终必篡窃。 南荆之地操所必争也。	Ninh nói: - Nay vận nhà Hán mỗi ngày một suy, Tào Tháo thế tất cướp lấy ngôi vua và cướp lấy Nam Kinh.
刘表无远虑，其子又愚劣，不能承业传基，明公宜早图之；若迟，则操先图之矣。	Lưu Biểu không có chí lớn, con lại ngu hèn, không thể giữ nổi cơ nghiệp. Minh công nên tính sớm, nếu để chậm thì Tào Tháo nhấc tay trên mất.
今宜先取黄祖。 祖今年老昏迈，务于货利；侵求吏民，人心皆怨；战具不修，军无法律。	Giờ đây, nên đánh Hoàng Tổ trước, Tổ già lẫn lại tham lam xâm phạm của dân, ai cũng oán ghét; khí giới bỏ rỉ, quân không có kỷ luật gì.
明公若往攻之，其势必破。	Nếu minh công sang đánh tất phá được Tổ.
既破祖军，鼓行而西，据楚关而图巴、蜀，霸业可定也。”	Phá được Hoàng Tổ rồi, khua trống vào phía tây, giữ cửa Sở đánh lấy Ba, Thục. Như thế nhất định nghiệp bá phải thành.
孙权曰：“此金玉之论也！”	Tôn Quyền mừng rỡ nói: - Đó thật là những lời vàng ngọc.
遂命周瑜为大都督，总水陆军兵；吕蒙为前部先锋；董袭与甘宁为副将；权自领大军十万，征讨黄祖。	Liền cử Chu Du làm đại đô đốc, tổng chỉ huy thủy lục quân, Lã Mông làm tiền bộ tiên phong, Đổng Tập, Cam Ninh làm phó tướng, Quyền tự dẫn mười vạn đại quân đi đánh Hoàng Tổ.
细作探知，报至江夏。	Quân do thám được tin vội về báo Giang Hạ.
黄祖急聚众商议，令苏飞为大将，陈就、邓龙为先锋，尽起江夏之兵迎敌。	Hoàng Tổ vội họp phó tướng lại bàn bạc; sai Tô Phi làm đại tướng; Trần Tựu, Đặng Long làm tiên phong đem hết quân Giang Hạ ra đón đánh.
陈就、邓龙各引一队艨艟截住沔口，艨艟上各设强弓硬弩千余张，将大索系定艨艟于水面上。	Trần Tựu, Đặng Long mỗi người dẫn một đội chiến thuyền, chẹn ngang Miện Khẩu. Trên mỗi chiến thuyền đều gài hơn nghìn cung nỏ cứng, lại lấy dây xích buộc dằng các thuyền vào với nhau.
东吴兵至，艨艟上鼓响，弓弩齐发，兵不敢进，约退数里水面。	Trống trên thuyền vang dậy, cung nỏ bắn ra tua tủa, quân Đông Ngô kéo đến, nhưng không sao tiến lên được, phải lùi xa vài dặm.
甘宁谓董袭曰：“事已至此，不得不进。”	Cam Ninh bảo Đông Tập rằng: - Việc đã thế này, không tiến cũng không xong.
乃选小船百余只，每船用精兵五十人：二十人撑船，三十人各披衣甲，手执铜刀，不避矢石，直至艨艟傍边，砍断大索，艨艟遂横。	Lập tức lựa hơn trăm chiếc xuồng, mỗi chiếc dùng năm mươi tên quân tinh tráng trong đó hai mươi người bơi xuồng, còn ba mươi người đều mặc áo giáp, tay cầm phạng, xông thẳng đến cạnh chiến thuyền bên địch, bất chấp tên đạn, lăn xả vào chặt đứt dây xích, các thuyền đều quay ngang cả.
甘宁飞上艨艟，将邓龙砍死。 陈就弃船而走。	Cam Ninh nhảy vọt lên thuyền, chém chết Đặng Long, Trần Tựu bỏ thuyền chạy.
吕蒙见了，跳下小船，自举橹棹，直入船队，放火烧船。	Lã Mông trông thấy, nhảy ngay xuống xuồng, cầm bơi chèo bơi thẳng vào đội thuyền bên địch, châm lửa đốt.
陈就急待上岸，吕蒙舍命赶到跟前，当胸一刀砍翻。	Trần Tựu sắp chạy được lên bờ. Lã Mông cố chèo đuổi theo, xấn đến tận trước mặt, chém một nhát, Trần Tựu chết lăn nhào ra đó.
比及苏飞引军于岸上接应时，东吴诸将一齐上岸，势不可当。	Đến khi Tô Phi dẫn quân tới bờ sông để tiếp ứng, thì các tướng Đông Ngô đã kéo ồ cả lên bờ.
祖军大败。	Thế không đương nổi, quân Tổ đại bại.
苏飞落荒而走，正遇东吴大将潘璋，两马相交，战不数合，被璋生擒过去，径至船中来见孙权。	Tô Phi đang cắm đầu chạy, gặp ngay đại tướng Đông Ngô là Phan Chương. Hai ngựa kề nhau, chỉ được vài hiệp, Tô Phi bị Chương bắt sống, đem đến nộp Tôn Quyền.
权命左右以槛车囚之，待活捉黄祖，一并诛戮。 催动三军，不分昼夜，攻打夏口。	Tôn Quyền sai tả hữu hãy bỏ vào xe tù, đợi bắt được Hoàng Tổ, sẽ giết luôn thể; rồi thúc ba quân đêm ngày đánh phá Hạ Khẩu.
正是：只因不用锦帆贼，至令冲开大索船。	Thế là: Chỉ vì không dùng giặc buồm gấm, Đến nỗi ra tro đội chiến thuyền.
未知黄祖胜负如何，且看下文分解。	Chưa biết Hoàng Tổ được thua thế nào, xem hồi sau sẽ rõ.
第三十九回荆州城公子三求计博望坡军师初用兵	HỒI 39 Thành Kinh Châu, công tử ba lần cầu kế; Gò Bác Vọng, quân sư bắt đầu dùng binh
却说孙权督众攻打夏口，黄祖兵败将亡，情知守把不住，遂弃江夏，望荆州而走。	Lại nói, Tôn Quyền thúc quân công phá Hạ Khẩu, Hoàng Tổ hao binh tổn tướng, biết chừng giữ không nổi, liền bỏ Giang Hạ, chạy về Kinh Châu.
甘宁料得黄祖必走荆州，乃于东门外伏兵等候。	Cam Ninh cũng đoán như thế, nên đem quân mai phục sẵn ngoài cửa Đông.
祖带数十骑突出东门，正走之间，一声喊起，甘宁拦住。	Tổ dẫn vài chục quân kỵ xông ra ngoài cửa đông, đang cắm cổ chạy bỗng có tiếng reo ầm ĩ, Cam Ninh chặn lại.
祖于马上谓宁曰：“我向日不曾轻待汝，今何相逼耶？”	Tổ ngồi trên ngựa bảo Ninh rằng: - Ta chưa hề bạc đãi nhà ngươi, nay sao bức nhau quá vậy?
宁叱曰：“吾昔在江夏，多立功绩，汝乃以劫江贼待我，今日尚有何说！”	Ninh mắng rằng: - Trước ở Giang Hạ, lập bao nhiêu công lao, thế mà ngươi vẫn coi ta là giặc cướp sông, nay còn muốn gì?
黄祖自知难免，拨马而走。	Hoàng Tổ thấy xin không được bèn tế ngựa chạy.
甘宁冲开士卒，直赶将来，只听得后面喊声起处，又有数骑赶来。	Cam Ninh thúc quân rượt tới. Đương đuổi lại nghe thấy sau núi có tiếng reo hò, Ninh ngoảnh lại xem ai thì hóa ra là Trình Phổ.
宁视之，乃程普也。	
宁恐普来争功，慌忙拈弓搭箭，背射黄祖，祖中箭翻身落马；宁枭其首级，回马与程普合兵一处，回见孙权，献黄祖首级。	Ninh sợ Phổ đến tranh công, vội giương cung đặt tên bắn một phát, Hoàng Tổ lăn xuống ngựa, Ninh chặt lấy đầu quay ngựa trở lại, phối hợp với quân Trình Phổ, cùng về ra mắt Tôn Quyền, dâng đầu Hoàng Tổ.
权命以木匣盛贮，待回江东祭献于亡父灵前。 重赏三军，升甘宁为都尉。	Quyền sai bỏ vào hòm gỗ, đợi khi về Giang Đông sẽ đặt lên tế bố rồi trọng thưởng cho ba quân, và thăng Cam Ninh lên chức đô úy.
商议欲分兵守江夏。 张昭曰：“孤城不可守，不如且回江东。	Tôn Quyến bàn muốn chia quân giữ Giang Hạ, Trương Chiêu nói: - Không nên giữ cái thành trơ trọi ấy làm gì, hãy rút quân về Giang Đông.
刘表知我破黄祖，必来报仇；我以逸待劳，必败刘表；表败而后乘势攻之，荆襄可得也。”	Lưu Biểu được tin ta phá Hoàng Tổ, tất lại báo thù; ta đem quân nghỉ ngơi đánh quân khó nhọc, chắc thắng Lưu Biểu. Biểu thua, ta sẽ thừa thế đánh dấn đi, Kinh Tương nhất định về tay ta.
权从其言，遂弃江夏，班师回江东。	Quyền nghe lời, liền rút hết cả quân về Giang Đông.
苏飞在槛车内，密使人告甘宁求救。	Dọc đường Tô Phi ở trong xe tù mật sai người cầu cứu Cam Ninh.
宁曰：“飞即不言，吾岂忘之？”	Ninh nói: - Điều đó Phi chẳng nói, ta cũng đã nghĩ đến.
大军既至吴会，权命将苏飞袅首，与黄祖首级一同祭献。	Khi đại quân về đến Ngô Hội, Tôn Quyền sai đem chém Tô Phi, để lấy đầu Phi và đầu Tổ dâng lên tế bố.
甘宁乃入见权，顿首哭告曰：“某向日若不得苏飞，则骨填沟壑矣，安能效命将军麾下哉？	Cam Ninh vào ra mắt Tôn Quyền, rập đầu xuống lạy, kêu rằng: - Tôi trước kia không gặp được Tô Phi, thì xương thịt ngày nay đã lấp đầy rãnh rồi còn đâu được gắng sức hầu hạ dưới cờ của tướng quân.
今飞罪当诛，某念其昔日之恩情，愿纳还官爵，以赎飞罪。”	Tội Phi thực đáng chết, nhưng cũng vì chút nghĩa ấy, tôi xin đem nộp lại chức để chuộc tộicho Phi.
权曰：“彼既有恩于君，吾为君赦之。	Quyền nói: - Hắn từng ban ơn cho ngươi, nên ta vì ngươi mà tha cho hắn.
但彼若逃去奈何？	Nhưng nếu hắn trốn mất thì sao?
宁曰：“飞得免诛戮，感恩无地，岂肯走乎！	Ninh nói: - Phi được thoát chết sẽ đội ơn chúa công vô cùng, lẽ đâu còn trốn.
若飞去，宁愿将首级献于阶下。”	Nếu Phi trốn đi, tôi xin đem đầu nộp dưới thềm.
权乃赦苏飞，止将黄祖首级祭献。	Tôn Quyền bèn tha cho Tô Phi, chỉ đem đầu Hoàng Tổ làm lễ tế bố.
祭毕设宴，大会文武庆功。	Tế xong Quyền họp đại hội văn võ mở tiệc ăn mừng.
正饮酒间，忽见座上一人大哭而起，拔剑在手，直取甘宁。	Đương khi chén tạc chén thù, bỗng thấy một người đứng dậy khóc rống lên, rồi rút gươm toan chém Cam Ninh.
宁忙举坐椅以迎之。	Cam Ninh vội vác ghế đỡ.
权惊视其人，乃凌统也，因甘宁在江夏时，射死他父亲凌操，今日相见，故欲报仇。	Tôn Quyền giật mình, nhìn ra là Lạc Thống. Trước kia khi Cam Ninh ở Giang Hạ, bắn chết cha Thống; nay thấy mặt Ninh, Thống liền muốn báo thù.
权连忙劝住，谓统曰：“兴霸射死卿父，彼时各为其主，不容不尽力。	Quyền vội vàng ngăn lại bảo Thống rằng: - Hưng Bá bắn chết cha ngươi, bấy giờ ai cũng thờ chủ người nấy, không thể không gắng sức.
今既为一家人，岂可复理旧仇？	Nay đều là người một nhà, lại còn nhắc đến thù cũ làm gì?
万事皆看吾面。”	Muôn việc phải nể mặt ta mới được.
凌统即头大哭曰：“不共戴天之仇，岂容不报！”	Lạc Thống rập đầu khóc to, nói: Cái thù không đội trời chung này, không thể không báo!
权与众官再三劝之，凌统只是怒目而视甘宁。	Quyền và các quan khuyên can mãi, Lạc Thống chỉ trừng mắt nhìn Cam Ninh.
权即日命甘宁领兵五千、战船一百只，往夏口镇守，以避凌统。 宁拜谢，领兵自往夏口去了。	Ngay hôm ấy, Tôn Quyền sai Cam Ninh dẫn năm nghìn quân và một trăm chiếc thuyền ra trấn thủ Hạ Khẩu để tránh mặt Lạc Thống.
权又加封凌统为承烈都尉。 统只得含恨而止。	Lại phong thêm cho Thống làm đô úy; Thống phải nhịn, nhưng bụng vẫn căm.
东吴自此广造战船，分兵守把江岸；又命孙静引一枝军守吴会；孙权自领大军，屯柴桑；周瑜日于鄱阳湖教练水军，以备攻战。	Từ đó Đông Ngô đóng nhiều chiến thuyền, chia quân phòng thủ bờ sông, sai Tôn Tĩnh dẫn một đạo quân giữ Ngô Hội. Quyền tự lĩnh đại quân đóng ở Sái Tang. Chu Du hàng ngày luyện tập thủy quân ở hồ Phiên Dương để phòng khi đánh dẹp.
话分两头。 却说玄德差人打探江东消息，回报：“东吴已攻杀黄祖，现今屯兵柴桑。	Lại nói, Huyền Đức sai quân đi thăm dò tin tức Giang Đông, quân về báo: - Đông Ngô đã phá vỡ Hoàng Tổ rồi, nay đương đóng quân ở Sài Tang.
玄德便请孔明计议。	Huyền Đức mời Khổng Minh đến bàn bạc.
正话间，忽刘表差人来请玄德赴荆州议事。	Đang nói chuyện chợt có sứ của Lưu Biểu đến mời Huyền Đức sang Kinh Châu bàn việc.
孔明曰：“此必因江东破了黄祖，故请主公商议报仇之策也。	Khổng Minh nói: - Chắc là vì Giang Đông phá vỡ Hoàng Tổ, nên Lưu Biểu mới cho mời sứ quân sang bàn kế báo thù.
某当与主公同往，相机而行，自有良策。”	Tôi xin đi cùng, tùy cơ ứng biến sẽ có mẹo hay.
玄德从之，留云长守新野，令张飞引五百人马跟随往荆州来。	Huyền Đức nghe lời, để Quan Công ở lại giữ Tân Dã và sai Trương Phi dẫn năm trăm binh mã đi theo sang Kinh Châu.
玄德在马上谓孔明曰：“今见景升，当若何对答？”	Huyền Đức ngồi trên ngựa, hỏi Khổng Minh rằng: - Nay vào gặp Cảnh Thăng nên đối đáp thế nào?
孔明曰：“当先谢襄阳之事。	Khổng Minh nói: - Trước hết nên xin lỗi vụ Tương Dương đã.
他若令主公去征讨江东，切不可应允，但说容归新野，整顿军马。”	Nếu Biểu sai chúa công sang đánh Giang Đông không nên nhận lời ngay. Chỉ nói hãy về Tân Dã thu xếp quân mã đã.
玄德依言。	Huyền Đức nghe theo.
来到荆州，馆驿安下，留张飞屯兵城外，玄德与孔明入城见刘表。	Đến Kinh Châu, Huyền Đức vào nhà khách nghỉ ngơi, để Trương Phi đóng quân ngoài thành, rồi cùng Khổng Minh vào yết kiến Lưu Biểu.
礼毕，玄德请罪于阶下。	Làm lễ xong, Huyền Đức đứng đưới thềm xin lỗi.
表曰：“吾已悉知贤弟被害之事。	Biểu nói: - Ta đã biết rõ vụ hiền đệ bị mưu hại rồi.
当时即欲斩蔡瑁之首，以献贤弟；因众人告危，故姑恕之。 贤弟幸勿见罪。”	Lúc đó ta định chém ngay Sái Mạo để tạ hiền đệ, vì có nhiều người van xin, nên mới tạm tha, xin hiền đệ tha thứ cho ta.
玄德曰：“非干蔡将军之事，想皆下人所为耳。”	Huyền Đức nói: - Tôi nghĩ việc ấy không can gì đến Sái Tướng quân mà do người dưới đấy thôi!
表曰：“今江夏失守，黄祖遇害，故请贤弟共议报复之策。”	Lưu Biểu nói: - Nay Giang Hạ thất thủ, Hoàng Tổ bị giết, nên mời hiền đệ đến bàn kế báo thù.
玄德曰：“黄祖性暴，不能用人，故致此祸。	Huyền Đức nói: - Hoàng Tổ tính thô bạo, không biết dùng người, mới gặp vạ ấy.
今若兴兵南征，倘曹操北来，又当奈何？”	Nay nếu ta cất quân Nam chinh, lỡ Tào Tháo ở mặt bắc kéo đến thì làm thế nào?
表曰：“吾今年老多病，不能理事，贤弟可来助我。	Biểu nói: - Tôi nay tuổi già đau yếu, không làm việc được, hiền đệ nên lại đây giúp tôi.
我死之后，弟便为荆州之主也。”	Một mai tôi mất rồi, hiền đệ sẽ làm chủ Kinh Châu này.
玄德曰：“兄何出此言！	Huyền Đức nói: - Sao anh dạy thế?
量备安敢当此重任。”	Cái thế như Bị này gánh vác sao nổi việc lớn ấy?
孔明以目视玄德。 玄德曰：“容徐思良策。” 遂辞出。	Khổng Minh đưa mắt ra hiệu cho Huyền Đức, Huyền Đức nói: Hãy cho thư thả để Bị nghĩ một kế hay.
回至馆驿，孔明曰：“景升欲以荆州付主公，奈何却之？”	Nói rồi, liền cùng Khổng Minh về nhà khách. Khổng Minh nói: - Cảnh Thăng muốn trao Kinh Châu cho chúa công, sao lại từ chối?
