第五回发矫诏诸镇应曹公破关兵三英战吕布	HỒI 5 Phát hiệu triệu, các trấn hưởng ứng Tào Công; Phá cửa quan, ba anh hùng đánh Lã Bố
忽听朝门外发喊，人报李儒家奴已将李儒绑缚来献。	Chợt nghe có tiếng reo ngoài cửa triều rồi có người vào báo rằng: - Người nhà Lý Nho đã trói Lý Nho đem lại nộp.
王允命缚赴市曹斩之；又将董卓尸首，号令通衢。	Vương Doãn sai điệu Nho ra chợ chém; rồi lại sai đem đầu và thây Đổng Trác đi diễu, loan báo khắp các ngả đường cho mọi người cùng biết.
卓尸肥胖，看尸军士以火置其脐中为灯，膏流满地。百姓过者，莫不手掷其头，足践其尸。	Thây Trác to béo; quân sĩ lấy mồi cắm vào rốn đốt lửa làm đèn, mỡ chảy đầy cả ra đường cái; nhân dân ai đi qua cũng lấy gạch đá ném vào đầu, lấy chân đạp vào thây.
王允又命吕布同皇甫嵩、李肃领兵五万，至郿坞抄籍董卓家产、人口。	Vương Doãn lại sai Lã Bố cùng với Hoàng Phủ Tung, Lý Túc lĩnh năm vạn quân đến My Ổ bắt người nhà Đổng Trác và tịch biên gia sản.
却说李傕、郭汜、张济、樊稠闻董卓已死，吕布将至，便引了飞熊军连夜奔凉州去了。	Lý Thôi, Quách Dĩ, Trương Tế, Phàn Trù, nghe tin Trác đã chết, mà Lã Bố thì sắp đến My Ổ, liền dẫn quân phi hùng, ngay đêm hôm ấy chạy ra Lương Châu.
吕布至郿坞，先取了貂蝉。	Lã Bố đến My Ổ, trước hết tìm Điêu Thuyền.
皇甫嵩命将坞中所藏良家子女，尽行释放。	Hoàng Phủ Tung sai đem những con gái nhà lương thiện bị Đổng Trác bắt hiếp vào làm tỳ thiếp, tha cho về nhà cả.
但系董卓亲属，不分老幼，悉皆诛戮。	Còn bao nhiêu họ hàng thân thuộc nhà Đổng Trác, không cứ lớn bé già trẻ đều đem ra giết sạch.
卓母亦被杀。卓弟董旻、侄董璜皆斩首号令。	Mẹ Trác cũng bị giết, em Trác là Đổng Mân, cháu Trác là Đổng Huy cũng bị chém, đầu bêu đi các ngã ba.
收籍坞中所蓄，黄金数十万，白金数百万，绮罗、珠宝、器皿、粮食，不计其数。	Lại tịch thu những của cải chứa ở trong nhà, vàng vài mươi vạn lạng, bạc vài trăm vạn lạng; vóc, nhiễu, châu báu, đồ đạc không biết bao nhiêu mà kể.
回报王允。	Xong rồi Tung về báo để Vương Doãn biết.
允乃大犒军士，设宴于都堂，召集众官，酌酒称庆。	Doãn khao thưởng quân sĩ thực to, mở tiệc yến ở lễ đường tướng phủ, họp cả các quan lại uống rượu ăn mừng.
正饮宴间，忽人报曰：“董卓暴尸于市，忽有一人伏其尸而大哭。”	Đang ăn bỗng có người vào báo rằng: - Thây Đổng Trác đang phơi ở chợ, bỗng có một người đến cúi xuống thây khóc vang lên.
允怒曰：“董卓伏诛，士民莫不称贺；此何人，独敢哭耶！”	Doãn giận lắm, quát rằng: - Giết được Đổng Trác, quan dân ai ai cũng mừng cả, đứa nào lại dám khóc?
遂唤武士：“与吾擒来！”	Võ sĩ đâu, ra trói cổ nó điệu vào đây ta hỏi!
须臾擒至。众官见之，无不惊骇：原来那人不是别人，乃侍中蔡邕也，允叱曰：“董卓逆贼，今日伏诛，国之大幸。	Một lát quân dẫn người khóc vào, tưởng là ai, hóa ra quan thị trung Sái Ung, Doãn tức giận nói: - Nay trừ được thằng giặc Đổng Trác đi, là may cho xã tắc lắm.
汝为汉臣，乃不为国庆，反为贼哭，何也？”	Người là bề tôi nhà Hán, đã không mừng cho xã tắc, lại khóc thằng giặc là cớ làm sao?
邕伏罪曰：“邕虽不才，亦知大义，岂肯背国而向卓？	Ung xin nhận tội nói rằng: - Tôi tuy chẳng ra gì, cũng có biết đôi điều nghĩa lớn lẽ đâu lại theo Đổng Trác.
只因一时知遇之感，不觉为之一哭，自知罪大。	Nhưng vì tôi với Trác có chút ơn tri ngộ nên tôi tự cảm xúc thương khóc. Tôi cũng biết như thế là có tội nặng.
愿公见原：倘得黥首刖足，使续成汉史，以赎其辜，邕之幸也。”	Nhưng xin ngài hãy rộng thứ cho: Nếu bị thích chữ vào mặt, vào chân nhưng vẫn được sống chép nốt pho Hán sử để chuộc tội, thì may cho tôi quá!
众官惜邕之才，皆力救之。太傅马日磾亦密谓允曰：“伯喈旷世逸才，若使续成汉史，诚为盛事。	Các quan tiếc Ung là người tài, ai cũng cố sức nói hộ, Quan thái phó là Mã Nhật Đê cũng ghé vào tai Doãn nói thầm rằng: - Sái Ung là người tài, không mấy đời có được. Để cho hắn sống làm nốt pho Hán sử cũng là một điều hay!
且其孝行素著，若遽杀之，恐失人望。”	Vả lại Ung là một người hiếu hạnh, nay đem giết đi, e mất lòng thiên hạ.
允曰：“昔孝武不杀司马迁，后使作史，遂致谤书流于后世。	Doãn nói: - Ngày xưa, vua Hiếu Vũ không giết Tư Mã Thiên, sau để cho Tư Mã Thiên chép nốt sách sử, vì thế cho nên mới có sách sử gièm pha truyền đến bây giờ.
方今国运衰微，朝政错乱，不可令佞臣执笔于幼主左右，使吾等蒙其讪议也。”	Nay đang lúc vận nước suy yếu, chính sự nhầm lẫn, không nên để kẻ nịnh thần cầm bút ở bên mình ấu chúa, chúng ta sẽ bị nó chê cười.
日磾无言而退，私谓众官曰：“王允其无后乎！	Mã Nhật Đế không nói gì nữa, đi trở ra, nói riêng với các quan rằng: - Vương Doãn cũng không toàn mệnh được đâu!
善人，国之纪也；制作，国之典也。	Người hiền là rường mối nhà nước, sách sử là điển cố nhà nước.
灭纪废典，岂能久乎？”	Bỏ cả rường mối, dứt cả điển cố, bền lâu làm sao được?
当下王允不听马日磾之言，命将蔡邕下狱中缢死。	Doãn không nghe lời Mã Nhật Đế, sai bỏ Sái Ung vào ngục, bắt phải thắt cổ chết.
一时士大夫闻者，尽为流涕。	Các sĩ phu bấy giờ nghe thấy chuyện, ai cũng thương khóc.
后人论蔡邕之哭董卓，固自不是；允之杀之，亦为已甚。	Người đời sau bàn rằng Ung khóc Đổng Trác đã là không phải, nhưng Doãn giết Ung thì cũng là quá lắm.
有诗叹曰：“董卓专权肆不仁，侍中何自竟亡身？	Có thơ than Ung rằng: Đổng Trác chuyên quyền bất nhân Ung sao rước lấy vạ vào thân?
当时诸葛隆中卧，安肯轻身事乱臣。”	Bây giờ Gia Cát nằm trong túi Đâu chịu ra thờ kẻ loạn thần?
且说李傕、郭汜、张济、樊稠逃居陕西，使人至长安上表求赦。	Lý Thôi, Quách Dĩ, Trương Tế, Phàn Trù trốn sang Thiểm Tây, sai người đến Trường An, dâng biểu xin tạ tội.
王允曰：“卓之跋扈，皆此四人助之；今虽大赦天下，独不赦此四人。”	Vương Doãn nói: - Đổng Trác làm loạn, là bởi bốn đứa giúp cả. Nay tuy đại xá thiên hạ, duy bốn đứa ấy, không thể tha được.
使者回报李傕。傕曰：“求赦不得，各自逃生可也。”	Sứ giả về báo Lý Thôi, Thôi nói: - Xin tha không được, thì cùng đi trốn cả là xong!
谋士贾诩曰：“诸君若弃军单行，则一亭长能缚君矣。	Mưu sĩ là Giả Hủ bàn rằng: - Các ông bỏ quân mà đi trốn một mình thì chỉ một người đình trưởng, cũng bắt trói lại được.
不若诱集陕人并本部军马，杀入长安与董卓报仇。	Chi bằng ta tụ tập người Thiểm Tây và quân mã của mình, kéo thẳng vào Trường An đánh báo thù cho Đổng Công.
事济，奉朝廷以正天下；若其不胜，走亦未迟。”	Được ra thì lấy danh nghĩa triều đình mà hiệu lệnh thiên hạ. Ngộ thua, bấy giờ sẽ chạy cũng chưa muộn.
傕等然其说，遂流言于西凉州曰：“王允将欲洗荡此方之人矣！”众皆惊惶。	Bọn Lý Thôi lấy làm phải, liền nói phao lên ở Tây Lương rằng: - Vương Doãn muốn giết sạch cả người Tây Lương Dân chúng đều sợ hãi.
乃复扬言曰：“徒死无益，能从我反乎？”	Lũ Lý Thôi lại nói khích rằng: - Chịu chết uổng công vô ích, có ai theo ta làm phản không?
众皆愿从。	Dân chúng xin theo cả.
于是聚众十余万，分作四路，杀奔长安来。	Bởi thế lũ Lý Thôi một được hơn mười vạn quân, chia làm bốn đường, kéo vào Trường An.
路逢董卓女婿中郎将牛辅，引军五千人，欲去与丈人报仇，李傕便与合兵，使为前驱。四人陆续进发。	Đi đường lại gặp con rể Đổng Trác là trung lang tướng Ngưu Phụ, đem năm nghìn quân đi báo thù cho bố vợ. Lý Thôi hợp hai toán làm một, sai Phụ làm tiền khu đi trước, bốn tướng dần dẫn kéo đi sau.
王允听知西凉兵来，与吕布商议。布曰：“司徒放心。	Vương Doãn nghe thấy binh Tây Lương kéo đến bèn bàn với Lã Bố, Bố nói: - Tư đồ đừng lo.
量此鼠辈，何足数也！”	Tôi coi chúng nó như đàn chuột.
遂引李肃将兵出敌。	Rồi cùng với Lý Túc đem quân ra.
肃当先迎战，正与牛辅相遇，大杀一阵。	Túc đi trước nghênh địch, cùng Ngưu Phụ đánh nhau một trận.
牛辅抵敌不过，败阵而去。	Phụ chống không nổi thua chạy.
不想是夜二更，牛辅乘肃不备，竟来劫寨。	Chẳng ngờ canh hai đêm hôm ấy, nhân lúc Túc không phòng bị, Ngưu Phụ kéo quân đến cướp trại Lý Túc.
肃军乱窜，败走三十余里，折军大半，来见吕布，布大怒曰：“汝何挫吾锐气！”	Quân Túc rối rít bỏ chạy ra hơn ba mươi dặm, chết mất quá nửa. Túc vào ra mắt Lã Bố. Bố nổi giận mắng rằng: - Sao mày dám làm mất nhuệ khí của ta?
遂斩李肃，悬头军门。	Nói rồi liền chém Lý Túc, treo đầu ở cửa quân.
次日吕布进兵与牛辅对敌。	Hôm sau Lã Bố tiến binh, cùng Ngưu Phụ đối địch.
量牛辅如何敌得吕布，仍复大败而走。	Phụ địch sao nổi được Bố, cho nên lại thua chạy.
是夜牛辅唤心腹人胡赤儿商议曰：“吕布骁勇，万不能敌；不如瞒了李傕等四人，暗藏金珠，与亲随三五人弃军而去。”	Đêm hôm ấy Ngưu Phụ gọi tướng tâm phúc tên là Hồ Xích Nhi bảo rằng: - Lã Bố kiêu dũng lắm, thế khó địch nổi. Sao bằng ta không cho bọn Lý Thôi biết, ngầm giấu vàng bạc, châu báu đem dăm ba người thân tín bỏ trốn đi.
胡赤儿应允。	Hồ Xích Nhi ưng thuận.
是夜收拾金珠，弃营而走，随行者三四人。	Ngay đêm hôm ấy Ngưu Phụ nhặt nhanh vàng bạc, châu báu, bỏ trại đi, chỉ đem ba bốn người đi theo.
将渡一河，赤儿欲谋取金珠，竟杀死牛辅，将头来献吕布。	Đi đến một con sông, lúc súc qua đò, Xích Nhi trông thấy của cải ngốt mắt, muốn chiếm lấy một mình, liền giết Ngưu Phụ đem đầu Phụ đến dâng Lã Bố.
布问起情由，从人出首：“胡赤儿谋杀牛辅，夺其金宝。”布怒，即将赤儿诛杀。	Bố hỏi đầu đuôi người đi theo khai rằng: "Xích Nhi giết Phụ để lấy của", Bố giận, lập tức giết ngay Xích Nhi.
领军前进，正迎着李傕军马。	Lã Bố dẫn quân tiến lên, gặp ngay quân mã Lý Thôi kéo đến.
吕布不等他列阵，便挺戟跃马，麾军直冲过来。傕军不能抵当，退走五十余里，依山下寨，请郭汜、张济、樊稠共议，曰：“吕布虽勇，然而无谋，不足为虑。	Bố không đợi cho bày trận, vác kích tế ngựa thúc quân xông vào, quân Lý Thôi không chống được, lui hơn năm mươi dặm, dựa vào sườn núi cắm trại. Lý Thôi cho mời Quách Dĩ, Trương Tế, Phàn Trù lại bàn rằng: - Lã Bố tuy khỏe nhưng vô mưu, không lo sợ mấy.
我引军守住谷口，每日诱他厮杀，郭将军可领军抄击其后，效彭越挠楚之法，鸣金进兵，擂鼓收兵。	Nay ta đóng quân ở cửa hang, mỗi ngày ra khiêu chiến một lần. Quách tướng quân thì lĩnh quân đánh ở mặt sau, bắt chước lối Bành Việt quấy rối Sở ngày xưa. Nghe khua chiêng thì tiến binh, nghe đánh trống thì rút quân.
张、樊二公，却分兵两路，径取长安。	Trong khi ấy thì hai ông chia quân ra hai đường, đi tắt vào lấy Trường An.
彼首尾不能救应，必然大败。”	Bên nó đầu cuối không tiếp ứng được nhau, tất nhiên sẽ thua.
众用其计。	Mọi người dùng kế ấy.
却说吕布勒兵到山下，李傕引军搦战。	Lã Bố dẫn quân đến dưới núi, Lý Thôi đem binh ra đánh.
布忿怒冲杀过去，傕退走上山。	Bố hầm hầm xông vào trận. Thôi lui chạy lên núi.
山上矢石如雨，布军不能进。	Trên núi tên đá bắn xuống như mưa. Bố không lên được.
忽报郭汜在阵后杀来，布急回战。	Chợt có người báo rằng: - Quách Dĩ ở đằng sau đánh lại.
只闻鼓声大震，汜军已退。布方欲收军，锣声响处，傕军又来。	Bố vội vàng quay lại đánh, nhưng nghe thấy tiếng trống vang lên, quân Dĩ đã lui rồi. Bố vừa toan thu quân, thì một chiêng khua, quân Thôi trên núi lại đánh xuống.
未及对敌，背后郭汜又领军杀到。	Bố chưa kịp đối địch, đằng sau Quách Dĩ lại tiến lên đánh.
及至吕布来时，却又擂鼓收军去了。	Khi Lã Bố trở lại thì Dĩ lại đánh trống rút quân về.
激得吕布怒气填胸。一连如此几日，欲战不得，欲止不得。	Lã Bố tức đầy ruột, ròng rã bốn hôm. Bố muốn đánh không đánh được, muốn thôi cũng không thôi được.
正在恼怒，忽然飞马报来，说张济、樊稠两路军马，竟犯长安，京城危急。	Đang lúc tức mình có thám mã lại báo rằng: - Trương Tế, Phàn Trù, hai cánh quân mã kéo vào Trường An, kinh thành nguy cấp lắm!
布急领军回，背后李傕、郭汜杀来。	Bố vội vàng thu quân về. Lý Thôi, Quách Dĩ nhân thế đánh dấn lại.
布无心恋战，只顾奔走，折了好些人马。	Bố vội quá không tham đánh nữa chỉ tháo đường chạy về kinh cho nhanh, người ngựa xốn xáo tổn thất khá nhiều.
比及到长安城下。贼兵云屯雨集，围定城池，布军与战不利。	Khi Bố về đến Trường An, thấy quân giặc đông nghịt, Bố đánh không được.
军士畏吕布暴厉，多有降贼者，布心甚忧。	Quân sĩ thấy Bố hung bạo, bỏ đi theo giặc khá nhiều, Bố lo lắm.
数日之后，董卓余党李蒙、王方在城中为贼内应，偷开城门，四路贼军一齐拥入。	Vài hôm sau, dư đảng của Đổng Trác là Lý Mông, Vương Phương ở trong thành làm nội công cho giặc, mở trộm cửa thành, bốn mặt giặc kéo ùa cả vào.
吕布左冲右突，拦挡不住，引数百骑往青琐门外，呼王允曰：“势急矣！请司徒上马，同出关去，别图良策。”	Lã Bố hết sức chống cự không nổi, dẫn vài trăm quân kỵ mã đến trước cửa Thanh Tòa, gọi Vương Doãn bảo rằng: - Thế nguy cấp lắm rồi, xin Tư đồ lên ngựa, cùng ra cửa quan với tôi, ta sẽ tìm kế khác.
允曰：“若蒙社稷之灵，得安国家，吾之愿也；若不获已，则允奉身以死。	Doãn cứ vững vàng nghiêm chỉnh như không, nói rằng: - May ra nhờ thần linh xã tắc, nhà nước được yên, là sở nguyện của tôi; nếu không tôi xin đem thân cùng chết với nước.
临难苟免，吾不为也。	Gặp hoạn nạn mà bỏ trốn tránh để thoát lấy thân, thì tôi không làm.
为我谢关东诸公，努力以国家为念！”	Xin Ôn Hầu vì tôi mà nói với các bạn ở Quan Đông hết sức lo tính việc nước.
吕布再三相劝，王允只是不肯去。	Lã Bố hai ba lần giục, Doãn nhất định không đi.
不一时，各门火焰竟天，吕布只得弃却家小，引百余骑飞奔出关，投袁术去了。	Được một lúc, các cửa thành lửa cháy ngùn ngụt, Lã Bố phải bỏ cả vợ con, dẫn hơn một trăm quân kỵ mã, chạy ra ngoài cửa ải, đi theo Viên Thuật.
李傕、郭汜纵兵大掠。太常卿种拂、太仆鲁馗、大鸿胪周奂、城门校尉崔烈、越骑校尉王颀皆死于国难。	Lý Thôi, Quách Dĩ thả cho quân tha hồ cướp bóc, Quan thái thường khanh Chủng Phất, quan thái bộc Lỗ Quỳ, quan đại hồng lô Chu Hoàn, thành môn hiệu úy Thôi Liệt, việt kỵ hiệu úy Vương Kỳ đều chết vì nạn nước.
贼兵围绕内庭至急，侍臣请天子上宣平门止乱。	Quân giặc vây kín nội đình. Các thị thần xin vua lên cửa Tuyên Bình để dẹp loạn.
李傕等望见黄盖，约住军士，口呼“万岁”。	Lúc vua lên cửa, lũ Lý Thôi trông thấy lọng vàng, liền dừng ngựa lại, miệng hô vạn tuế.
献帝倚楼问曰：“卿不候奏请，辄入长安，意欲何为？”	Vua Hiến Đế đứng lên lầu hỏi rằng: - Các ngươi chưa tâu xin, dám tự tiện vào Trường An, ý các ngươi muốn làm gì?
李傕、郭汜仰面奏曰：“董太师乃陛下社稷之臣，无端被王允谋杀，臣等特来报仇，非敢造反。	Thôi, Dĩ ngẩng lên tâu rằng: - Muôn tâu bệ hạ, Đổng thái sư là bầy tôi nhà vua, tự dưng bị Vương Doãn mưu giết. Nay chúng tôi đến tìm Vương Doãn để báo thù cho Đổng công, chứ không dám làm phản.
但见王允，臣便退兵。”	Chúng tôi được trông thấy Vương Doãn xin rút quân ngay.
王允时在帝侧，闻知此言，奏曰：“臣本为社稷计。	Vương Doãn bấy giờ đứng ở cạnh vua, nghe thấy nói thế tâu rằng: - Tôi nguyện vì nước giết Trác.
事已至此，陛下不可惜臣，以误国家。	Nay chẳng may sự đến thế này, xin bệ hạ đừng tiếc tôi mà lỡ việc nước ra.
臣请下见二贼。”	Tôi xin xuống gặp hai tên giặc.
帝徘徊不忍。	Vua dùng dằng không nỡ.
允自宣平门楼上跳下楼去，大呼曰：“王允在此！”	Doãn từ trên lầu Tuyên Bình nhảy xuống đất, quát to rằng: - Vương Doãn đây!
李傕、郭汜拔剑叱曰：“董太师何罪而见杀？”	Lý Thôi, Quách Dĩ rút gươm ra mắng rằng: - Đổng thái sư tội tình gì mà mày giết?
允曰：“董贼之罪，弥天亘地，不可胜言！	Doãn nói: - Tội Đổng Trác đầy trời suốt đất, nói sao cho xiết.
受诛之日。长安士民，皆相庆贺，汝独不闻乎？”	Hôm nó chết ở Trường An, từ quan chí dân, ai là không mừng, chúng bay lại không biết à?
傕、汜曰：“太师有罪；我等何罪，不肯相赦？”	Thôi, Dĩ lại hỏi rằng: - Ừ, như thái sư có tội đã đành, chúng tao có tội gì, sao xin tha cũng không được?
王允大骂：“逆贼何必多言！	Vương Doãn chửi rầm lên mà mắng rằng: - Nghịch tặc nói làm chi cho lắm!
我王允今日有死而已！”	Vương Doãn tao chỉ chờ chết mà thôi.
二贼手起，把王允杀于楼下。	Thôi, Dĩ giết Doãn ngay dưới lầu.
史官有诗赞曰：“王允运机筹，奸臣董卓休。	Sử quan có thơ khen Vương Doãn rằng: Vương Doãn bày mưu hay, Gian thần bị giết ngay.
心怀家国恨，眉锁庙堂忧。英气连霄汉，忠诚贯斗牛。	Thương dân nên tức ruột. Xót nước lại chau mày, Sao to, lòng trung giải, Mây cao, khí nghĩa đầy.
至今魂与魄，犹绕凤凰楼。”	Đến nay hồn vía ấy. Quanh quất Phượng lâu này.
众贼杀了王允，一面又差人将王允宗族老幼，尽行杀害。	Lũ Lý Thôi giết Vương Doãn xong rồi, một mặt sai người bắt cả họ hàng nhà Doãn giết sạch.
士民无不下泪。当下李傕、郭汜寻思曰：“既到这里，不杀天子谋大事，更待何时？”	Sĩ dân ai nấy đều thương khóc, Lý, Quách lại bàn nhau rằng: - Đã đến thế này, còn vua không giết nốt để mưu việc lớn, còn đợi đến bao giờ?
便持剑大呼，杀入内来。	Hai đứa cầm gươm reo to, kéo vào trong cung.
正是：巨魁伏罪灾方息，从贼纵横祸又来。	Thế rõ thực: Đầu xỏ tạ tội, tai nạn hết Gặp quân tặc đảng lại sinh nguy.
未知献帝性命如何，且听下文分解。	Chưa biết tính mạng vua Hiến Đế ra sao, xem hồi sau sẽ rõ.
第十回勤王室马腾举义报父仇曹操兴师	HỒI 10 Giúp nhà vua, Mã Đằng khởi nghĩa; Báo thù bố, Tào Tháo cất quân
却说李、郭二贼欲弑献帝。	Lý Thôi, Quách Dĩ hai đứa muốn giết vua Hiến Đế.
张济、樊稠谏曰：“不可。	Trương Tế, Phàn Trù can rằng: - Không nên!
今日若便杀之，恐众人不服，不如仍旧奉之为主，赚诸侯入关，先去其羽翼，然后杀之，天下可图也。”	Nay ta vội giết vua như thế, tôi e rằng thiên hạ không phục. Không bằng cứ để đấy, rồi dụ chư hầu vào trong cửa quan: Trước hết trừ hết vây cánh, rồi sau ta sẽ liệu, như thế mới tính xong được việc thiên hạ.
李、郭二人从其言，按住兵器。	Lý Thôi, Quách Dĩ nghe lời bèn đóng quân lại.
帝在楼上宣谕曰：“王允既诛，军马何故不退？”	Vua ở trên lầu phán hỏi rằng: - Vương Doãn đã bị giết rồi, sao quân mã chưa rút?
李傕、郭汜曰：“臣等有功王室，未蒙赐爵，故不敢退军。”	Lý Thôi, Quách Dĩ thưa rằng: - Muôn tâu bệ hạ, chúng tôi có công với nhà vua, chưa được phong tước, cho nên chưa dám lui quân.
帝曰：“卿欲封何爵？”	Vua phán hỏi: - Các người muốn được phong tước gì?
李、郭、张、樊四人各自写职衔献上，勒要如此官品，帝只得从之。	Lý, Quách, Trương, Phàn bốn đứa cầu phong chức hàm gì, đều tự tay viết ra dâng lên, đòi vua phải phong như thế. Vua bắt buộc phải nghe theo:
封李傕为车骑将军池阳侯领司隶校尉假节钺，郭汜为后将军美阳侯假节钺，同秉朝政；樊稠为右将军万年侯，张济为骠骑将军平阳侯，领兵屯弘农。	 1. Lý Thôi làm sa kỵ tướng quân, Trì dương hầu, lĩnh chức tư lệ hiệu úy, được dùng cờ tiết, lưỡi phủ việt. 2. Quách Dĩ, làm hậu tướng quân, Mỹ dương hầu cũng được dùng cờ tiết, lưỡi phủ việt. Hai người cùng giữ quyền chính trong triều. 3. Phàn Trù, làm hữu tướng quân, Vạn niên hầu. 4. Trương Tế, làm phiêu kỵ tướng quân, Binh dương hầu. Trương, Phàn hai người lĩnh binh ra đóng đồn ở Hoàng Nông.
其余李蒙、王方等，各为校尉。	Còn lũ Lý Mông, Vương Phương đều được phong làm hiệu úy.
然后谢恩，领兵出城。	
又下令追寻董卓尸首，获得些零碎皮骨，以香木雕成形体，安凑停当，大设祭祀，用王者衣冠棺椁，选择吉日，迁葬郿坞。	Bọn ấy lại sai người đi tìm đầu và thây Đổng Trác. Tìm được ít nhiều da xương vụn nát, chúng lấy gỗ thơm, khắc thành hình thể, chắp ghép đâu vào đấy, cúng tế thực to, áo mũ quan quách, dùng theo đám ma nhà vua, chọn ngày tốt làm lễ cất đám rước sang táng ở My Ổ.
临葬之期，天降大雷雨，平地水深数尺，霹雳震开其棺，尸首提出棺外。	Táng xong, bỗng nhiên trời nổi sấm sét, mưa to gió lớn, mặt đất ngập sâu vài thước. Một tiếng sét đánh vào áo quan Đổng Trác, đầu và thây bật cả ra ngoài.
李傕候晴再葬，是夜又复如是。三次改葬，皆不能葬，零皮碎骨，悉为雷火消灭。天之怒卓。可谓甚矣！	Lý Thôi đợi tạnh mưa, lại đem táng lại. Đêm hôm ấy trời lại mưa to, sấm sét lại đánh vào áo quan Trác như trước; ba lần cải táng không xong, da xương thịt vụn Đổng Trác bị mấy lần sét đánh tan tành.
且说李傕、郭汜既掌大权，残虐百姓；密遣心腹侍帝左右，观其动静。	Lý Thôi, Quách Dĩ cầm được quyền chính, tàn đãi dân chúng, trăm họ khổ sở điêu đứng. Chúng lại mật sai những người tâm phúc hầu bên cạnh vua để dò la ý tứ.
献帝此时举动荆棘。	Vua Hiến Đế bấy giờ như ngồi trên chông gai.
朝廷官员，并由二贼升降。	Các quan trong triều thăng giáng đều do hai đứa Thôi, Dĩ cả.
因采人望，特宣朱儁入朝封为太仆，同领朝政。	Muốn thu phục lòng người, chúng mời Chu Tuấn vào triều, phong làm chức thái bộc, cho dự triều chính.
一日，人报西凉太守马腾；并州刺史韩遂二将引军十余万，杀奔长安来，声言讨贼。	Một hôm có người báo rằng: - Thái thú Tây Lương là Mã Đằng, thái sự Tịnh Châu là Hàn Toại, hai người dẫn hơn mười vạn quân, kéo đến Trường An, nói rằng vào để đánh giặc.
原来二将先曾使人入长安，结连侍中马宇、谏议大夫种邵、左中郎将刘范三人为内应，共谋贼党。	Hai người ấy vốn đã có sai người vào Trường An, mật kết với thị trung là Mã Vũ, gián nghị đại phu là Chủng Thiệu, tá trung lang tướng là Lưu Phạm, để ba người ấy làm nội ứng.
三人密奏献帝，封马腾为征西将军、韩遂为镇西将军，各受密诏，并力讨贼。	Ba người mật tâu với vua phong cho Mã Đằng làm chỉnh tây tướng quân, Hàn Toại làm chấn tây tướng quân, trao cho mỗi người một tờ mật chiếu, sai hợp sức nhau lại để đánh giặc.
当下李傕、郭汜、张济、樊稠闻二军将至，一同商议御敌之策。	Lý, Quách, Trương, Phàn nghe tin hai cánh quân ấy sắp đến, họp nhau để bàn.
谋士贾诩曰：“二军远来，只宜深沟高垒，坚守以拒之。不过百日，彼兵粮尽，必将自退，然后引兵追之，二将可擒矣。”	Mưu sĩ là Giả Hủ nói rằng: - Hai đám quân ấy từ xa đến, chỉ nên đắp thành cao, hào sâu, cố thủ để chống lại, bất quá chỉ độ trăm ngày, chúng cạn lương là phải rút. Bấy giờ ta sẽ kéo quân đuổi theo, chắc chắn bắt được.
李蒙、王方出曰：“此非好计。	Lý Mộng, Vương Phương nói rằng: - Kế ấy không hay.
愿借精兵万人，立斩马腾、韩遂之头，献于麾下。”	Chúng tôi xin lĩnh một vạn tinh binh ra đánh, lập tức chém đầu Mã Đằng, Hàn Toại dâng dưới cờ.
贾诩曰：“今若即战，必当败绩。”	Gia Hủ nói: - Hễ mà đánh nhau, tất ta thua!
李蒙、王方齐声曰：“若吾二人败，情愿斩首；吾若战胜，公亦当输首级与我。”	Hai người bảo Hủ rằng: - Nếu hai chúng tôi thua, xin chịu chém đầu. Nhưng nếu chúng tôi được, ông cũng phải nộp đầu cho chúng tôi.
诩谓李傕、郭汜曰：“长安西二百里盩厔山，其路险峻，可使张、樊两将军屯兵于此，坚壁守之；待李蒙、王方自引兵迎敌，可也。”	Hủ mới bảo Lý Thôi, Quách Dĩ rằng: - Ở phía tây Trường An, ngoài hai trăm dặm, có núi Trập Chất, đường ấy hiểm trở, nên sai Trương Tế, Phàn Trù hai tướng ra đóng đồn ở đấy giữ cho vững, rồi hãy để mặc Lý Mông, Vương Phương lĩnh quân ra đánh.
李傕、郭汜从其言，点一万五千人马与李蒙、王方。	Lý, Quách nghe lời, điểm một vạn rưỡi quân mã giao cho Lý Mông, Vương Phương.
二人忻喜而去，离长安二百八十里下寨。	Hai người mừng rỡ, đem quân đi, ra khỏi Trường An hai trăm tám mươi dặm hạ trại đóng quân ở đó.
西凉兵到，两个引军迎去。	Quân Tây Lương đến, hai người dẫn quân ra đánh.
西凉军马拦路摆开阵势。马腾、韩遂联辔而出，指李蒙、王方骂曰：“反国之贼！谁去擒之？”	Lúc hai bên dàn trận rồi, Mã Đằng, Hàn Toại sóng ngựa cùng ra trước trận, trỏ Lý Mông, Vương Phương nói rằng: - Giặc phản nước kia, ai ra bắt lấy nó!
言未绝，只见一位少年将军，面如冠玉，眼若流星，虎体猿臂，彪腹狼腰；手执长枪，坐骑骏马，从阵中飞出。	Nói chưa dứt lời, có tướng trẻ tuổi, mặt đẹp như ngọc, mắt sáng như sao, mình hổ tay vượn, bụng beo lưng sói, tay cầm một ngọn giáo dài, mình cưỡi con ngựa đẹp đẽ từ trong trận tế ra.
原来那将即马腾之子马超，字孟起，年方十七岁，英勇无敌。	Tướng ấy vốn là con Mã Đằng, tên Mã Siêu, tự là Mạnh Khởi, mới có mười bảy tuổi, khỏe mạnh không ai bằng.
