第四十一回刘玄德携民渡江赵子龙单骑救主	HỒI 41 Lưu Huyền Đức đưa dân qua sông; Triệu Tử Long một ngựa cứu chúa.
次日，水军都督毛玠、于禁诣帐下，请曰：“大小船只，俱已配搭连锁停当。	Hôm sau, thủy quân đô đốc Mao Giới và Vu Cấm vào bẩm rằng: - Các thuyền lớn nhỏ đã ghép đâu vào đấy, tinh kỳ khí giới cũng đủ cả.
旌旗战具，一一齐备。 请丞相调遣，克日进兵。”	Xin thừa tướng điều khiển cho quân sĩ luyện tập để nay mai cất quân.
操至水军中央大战船上坐定，唤集诸将，各各听令。	Tháo ra trại thủy, ngồi trên một chiến thuyền to ở chính giữa đòi các tướng đến nghe lệnh.
水旱二军，俱分五色旗号：水军中央黄旗毛玠、于禁，前军红旗张郃，后军皂旗吕虔，左军青旗文聘，右军白旗吕通；马步前军红旗徐晃，后军皂旗李典，左军青旗乐进，右军白旗夏侯渊。 水陆路都接应使：夏侯惇、曹洪；护卫往来监战使：许褚、张辽。	Quân thủy và quân bộ đều chia làm năm hiệu cờ. Quân thủy, tướng trung quân cờ vàng là Mao Giới, Vu Cấm; tướng tiền quân cờ đỏ là Trương Cáp; tướng hậu quân cờ đen là Lã Kiền; tướng tả quân cờ xanh là Văn Sính; tướng hữu quân cờ trắng là Lã Thông. Quân mã bộ thì Từ Hoảng làm tướng tiền quân, cờ đỏ; Lý Điển làm tướng hậu quân, cờ đen; Nhạc Tiến làm tướng tả quân, cờ xanh; Hạ hầu Uyên làm tướng hữu quân, cờ trắng; Hạ Hầu Đôn, Tào Hồng thì tiếp ứng cả hai đường thủy lục; Hứa Chử, Trương Liêu hộ vệ và đi lại đốc chiến.
其余骁将，各依队伍。	Còn bao nhiêu tướng tá, đội nào cứ theo đội ấy mà đi.
令毕，水军寨中发擂三通，各队伍战船，分门而出。	Lệnh truyền vừa dứt, trong trại thủy nổi ba hồi trống, các đội thuyền buồm lần lượt theo từng cửa tiến ra.
是日西北风骤起，各船拽起风帆，冲波激浪，稳如平地。	Hôm ấy nổi gió Tây Bắc, buồm vải kéo lên, các thuyền xông pha sóng gió vững chắc như đi trên mặt đất.
北军在船上，踊跃施勇，刺枪使刀。 前后左右各军，旗幡不杂。	Quân sĩ trên thuyền nhảy nhót ra oai, kẻ phóng giáo, người múa gươm tả hữu, trước sau, đội nào cơ ấy, rất là nghiêm chỉnh.
又有小船五十余只，往来巡警催督。	Lại có hơn năm chục chiếc thuyền nhỏ ở ngoài, đi lại tuần phòng, đốc thúc.
操立于将台之上，观看调练，心中大喜，以为必胜之法；教且收住帆幔，各依次序回寨。	Tháo đứng trên tường đài quan sát quân tập luyện, trong bụng vui mừng, cho rằng quân tướng thế này đánh đâu chẳng được. Liền sai hạ buồm, thuyền nào lại theo đội ấy kéo về trại.
操升帐谓众谋士曰：“若非天命助吾，安得凤雏妙计？	Tháo lên trướng, nói với các mưu sĩ: Nếu không có trời giúp, thì sao ta được diệu kế của Phượng Sồ?
铁索连舟，果然渡江如履平地。”	Dây xích ghép thuyền thành cụm, quả nhiên đi dưới nước như đi trên đất bằng!
程昱曰：“船皆连锁，固是平稳；但彼若用火攻，难以回避。 不可不防。”	Trình Dục thưa: - Thuyền ghép cả lại làm một tuy vững chắc thật, nhưng nếu bị đánh hỏa công thì khó bề xoay xở, không thể không đề phòng được.
操大笑曰：“程仲德虽有远虑，却还有见不到处。”	Tháo cười lớn, nói: - Ngươi tuy cũng đã lo xa, nhưng chưa hiểu biết đầy đủ.
荀攸曰：“仲德之言甚是。 丞相何故笑之？”	Tuân Du, nói: - Trọng Đức nói phải đấy, sao thừa tướng còn cười?
操曰：“凡用火攻，必藉风力。	Tháo nói: - Phép đánh hỏa công phải nhờ sức gió.
方今隆冬之际，但有西风北风，安有东风南风耶？	Đang mùa này, chỉ có gió tây bắc, làm gì có gió đông nam.
吾居于西北之上，彼兵皆在南岸，彼若用火，是烧自己之兵也，吾何惧哉？	Nếu nó dùng hỏa công tức là nó lại đốt quân nó, đây ta có sợ gì?
若是十月小春之时，吾早已提备矣。”	Giả thử vào tiết tiểu xuân tháng mười thì ta đã phòng bị từ lâu rồi!
诸将皆拜伏曰：“丞相高见，众人不及。”	Các tướng đều phục lắm nói: - Thừa tướng cao kiếm lắm, chúng tôi còn kém xa!
操顾诸将曰：“青、徐、燕、代之众，不惯乘舟。	Tháo ngoảnh lại bảo các tướng: Quân các châu Thanh, Từ, Yên, Đại, xưa nay không quen cưỡi thuyền.
今非此计，安能涉大江之险！”	Nay không dùng kế ấy, thì qua thế nào được đại Trường Giang hiểm trở?
只见班部中二将挺身出曰：“小将虽幽、燕之人，也能乘舟。	Tiểu tướng tuy sinh trưởng ở U, Yên, nhưng ngồi thuyền đánh thủy cũng được.
今愿借巡船二十只，直至江口，夺旗鼓而还，以显北军亦能乘舟也。”	Nay xin thừa tướng cho mượn hai chục chiếc thuyền tuần tiễu, bơi thẳng sang bờ nam, cướp lấy cờ trống đem về, để mọi người biết quân miền bắc đánh thuyền cũng giỏi.
操视之，乃袁绍手下旧将焦触、张南也。 操曰：“汝等皆生长北方，恐乘舟不便。	Tháo nhìn xem thì là Tiêu Súc và Trương Nam tướng cũ Viên Thiệu, Tháo nói: - Các ngươi sinh trưởng miền bắc, e đánh htuyền không quen.
江南之兵，往来水上，习练精熟，汝勿轻以性命为儿戏也。”	Quân Giang Nam qua lại trên mặt nước, luyện tập thành thạo, chớ nên khinh thường mà đùa với tính mạng.
焦触、张南大叫曰：“如其不胜，甘受军法！”	Hai người kêu to rằng: - Nếu không đánh được, xin chịu thi hành quân pháp.
操曰：“战船尽已连锁，惟有小舟。 每舟可容二十人，只恐未便接战。”	Tháo nói: - Chiến thuyền đã ghép liền cả rồi, chỉ còn thuyền nhỏ, chở độ vài chục người, e đánh nhau không tiện.
触曰：“若用大船，何足为奇？	Tiêu Súc bẩm: Nếu dùng thuyền to, sao gọi là tài?
乞付小舟二十余只，某与张南各引一半，只今日直抵江南水寨，须要夺旗斩将而还。”	Chúng tôi chỉ xin lĩnh hai chục chiếc thuyền nhỏ, chia đôi mỗi người dẫn một nửa, sang thẳng trại thủy Giang Nam, cướp được cờ chém được tướng trở về mới nghe.
操曰：“吾与汝二十只船，差拨精锐军五百人，皆长枪硬弩。 到来日天明，将大寨船出到江面上，远为之势。 更差文聘亦领三十只巡船接应汝回。”	Tháo nói: - Ta trao cho các ngươi hai chục chiếc thuyền và năm trăm quân tinh tráng, mang toàn giáo dài nỏ cứng; sáng mai sẽ huy động các thuyền trong trại thủy ra giữa sông làm thanh thế và sai Văn Sinh dẫn ba chục chiếc thuyền đi tuần để tiếp ứng cho hai người về.
焦触、张南欣喜而退。	Tiêu Súc, Trương Nam mừng rỡ lui ra.
次日，四更造饭，五更结束已定，早听得水寨中擂鼓鸣金。	Hôm sau, canh tư thổi cơm, canh năm nai nịt gọn gàng, trong trại thủy chiến trống nổi lên thuyền bè ùa ra, dàn trên mặt sông.
船皆出寨，分布水面，长江一带，青红旗号交杂。	Một dải trường Giang, cờ hiệu xanh đỏ rợp trời.
焦触、张南领哨船二十只，穿寨而出，望江南进发。	Tiêu Súc và Trương Nam dẫn hai chục chiếc thuyền tuần tiễu, xuyên qua trại tiến lên, nhắm Giang Nam lướt tới.
却说南岸隔夜听得鼓声喧震，遥望曹操调练水军，探事人报知周瑜。	Nói về bên Giang Nam, từ hôm trước nghe tiếng trống đánh ầm ầm; ở xa trông sang thấy Tào Tháo điểm duyệt quân thủy; quân sĩ vào báo với Chu Du.
瑜往山顶观之，操军已收回。	Du trèo lên núi cao quan sát, nhưng quân Tào đã thu cả về trại rồi.
次日，忽又闻鼓声震天，军士急登高观望，见有小船冲波而来，飞报中军。	Hôm sau trống lại thúc ầm ĩ, quân sĩ trèo lên gò cao nhòm sang thấy một số thuyền nhỏ rẽ sóng bơi đến.
周瑜问帐下：“谁敢先出？” 韩当、周泰二人齐出曰：“某当权为先锋破敌。”	Du hỏi các tướng ai dám ra địch, thì Hàn Đương, Chu Thái, hai người cùng đứng ra nói: - Tôi xin tạm làm tiên phong phá địch!
瑜喜，传令各寨严加守御，不可轻动。	Du mừng rỡ truyền lệnh cho các trại phải giữ gìn cẩn thận, không đâu được khinh động.
韩当、周泰各引哨船五只，分左右而出。	Hàn Đương, Chu Thái, mỗi người lĩnh năm chiếc thuyền tuần tiễu chia làm hai ngả kéo ra.
却说焦触、张南凭一勇之气，飞棹小船而来。	Lại nói Tiêu Súc, Trương Nam cậy có sức mạnh, chèo thuyền như bay sang bờ Nam.
韩当独披掩心，手执长枪，立于船头。	Hàn Đương chỉ mặc một áo giáp che ngực, tay cầm giáo dài, đứng trên đầu thuyền.
焦触船先到，便命军士乱箭望韩当船上射来。	Thuyền Tiêu Súc đến trước, sai quân bắn tới tấp sang thuyền Đông Ngô.
当用牌遮隔。 焦触捻长枪与韩当交锋。 当手起一枪，刺死焦触。	Đương giơ lá mộc lên đỡ, Tiêu Súc khoa giáo dài đâm Hàn Đương, bị Đương đâm lại một mũi, chết gục ngay xuống.
张南随后大叫赶来。	Trương Nam ở phía sau, thét lên ruổi tới.
隔斜里周泰船出。	Chu Thái chèo thuyền ra địch.
张南挺枪立于船头，两边弓矢乱射。	Trương Nam vác giáo đứng trên mũi thuyền, hai bên cung nỏ bắn nhau tới tấp.
周泰一臂挽牌，一手提刀，两船相离七八尺，泰即飞身一跃，直跃过张南船上，手起刀落，砍张南于水中，乱杀驾舟军士。	Chu Thái tay mộc tay đao, khi hai thuyền còn cách nhau độ bảy tám thước, Chu Thái nhảy ngay sang thuyền Trương Nam, chém một nhát: Nam ngã lăn xuống nước.
众船飞棹急回。	Thái múa đao chém lia lịa, thuyền địch tan chạy.
韩当、周泰催船追赶，到半江中，恰与文聘船相迎。 两边便摆定船厮杀。	Hàn Đương, Chu Thái thúc thuyền đuổi đánh, ra đến giữa sông vừa gặp thuyền Văn Sinh đến, hai bên lại dàn thuyền kịch chiến.
却说周瑜引众将立于山顶，遥望江北水面艨艟战船，排合江上，旗帜号带，皆有次序。	Chu Du dẫn các tướng trèo lên đỉnh núi trông sang bờ bắc, thấy thuyền to dàn khắp mặt nước, cờ hiệu phấp phới, hàng ngũ chỉnh tề.
回看文聘与韩当、周泰相持，韩当、周泰奋力攻击，文聘抵敌不住，回船而走，韩、周二人，急催船追赶。	Lại ngoảnh xem Hàn Đương, Chu Thái cầm cự với Văn Sinh; hai người dốc toàn lực ra đánh, Văn Sinh phải bỏ chạy. Hai người thúc thuyền đuổi theo.
周瑜恐二人深入重地，便将白旗招飐，令众鸣金。	Du sợ đuổi vào nơi nguy hiểm, liền phất cờ trắng, và sai khua chiên thu quân.
二人乃挥棹而回。	Hai người mới quay thuyền về trại.
周瑜于山顶看隔江战船，尽入水寨。 瑜顾谓众将曰：“江北战船如芦苇之密，操又多谋，当用何计以破之？”	Chu Du vẫn còn đứng trên núi, nhìn chiến thuyền bên kia vào cả thủy trại, ngoảnh lại bảo các tướng rằng: - Chiến thuyền Giang Bắc nhiều hơn lá tre, Tào Tháo lại nhiều mưu kế, ta tìm cách gì phá cho được?
众未及对，忽见曹军寨中，被风吹折中央黄旗，飘入江中。	Mọi người chưa kịp thưa lại, bỗng thấy lá cờ vàng giữa trại Tào bị cơn gió to thổi gẫy gục, bay ra giữa ông.
瑜大笑曰：“此不祥之兆也！”	Du cười lớn, nói: - Đó là điềm không hay rồi!
正观之际，忽狂风大作，江中波涛拍岸。	Du đang mải quan sát, bỗng một trận gió đùng đùng thổi đến, sóng vật tới bờ.
一阵风过，刮起旗角于周瑜脸上拂过。	Cái dải cờ bay tạt vào mặt Chu Du.
瑜猛然想起一事在心，大叫一声，往后便倒，口吐鲜血。	Du sực nghĩ tới điều gì, bỗng kêu rú lên một tiếng rồi ngã vật ra phía sau, miệng thổ máu tươi.
诸将急救起时，却早不省人事。	Các tướng vội vàng vực Du đứng dậy, thì Du đã mê man không biết gì nữa rồi.
正是：一时忽笑又忽叫，难使南军破北军。	Rõ là: Vừa mới cười xong sao bỗng ngất, Quân nam đâu dễ phá quân Tào?
毕竟周瑜性命如何，且看下文分解。	Chưa biết tính mạng Chu Du thế nào, xem đến hồi sau sẽ rõ.
第四十九回七星坛诸葛祭风三江口周瑜纵火	HỒI 49 Đàn thất tinh, Gia Cát cầu phong; Cửa Tam Giang, Chu Du phóng hỏa.
却说周瑜立于山顶，观望良久，忽然望后而倒，口吐鲜血，不省人事。	Lại nói Chu Du đứng trên đỉnh núi, quan sát hồi lâu, bỗng nhiên ngã vật về phía sau, miệng thổ máu tươi, bất tỉnh nhân sự.
左右救回帐中诸将皆来动问，尽皆愕然相顾曰：“江北百万之众，虎踞鲸吞。	Tả hữu vực vào trướng, các tướng đến thăm; ai nấy đều ngơ ngác nhìn nhau, nói: - Quân Tào hàng trăm vạn, khác nào hổ rình kình đớp.
不争都督如此，倘曹兵一至，如之奈何？”	Không may, đô đốc lại bị tai nạn thế này, nếu quân Tào kéo đến, thì làm thế nào?
慌忙差人申报吴侯，一面求医调治。	Lập tức một mặt sai người về báo với Ngô hầu; một mặt tìm thấy thuốc điều trị.
却说鲁肃见周瑜卧病，心中忧闷，来见孔明，言周瑜卒病之事。	Lỗ Túc thấy Chu Du nằm một chỗ, trong lòng buồn bã, đến chơi Khổng Minh, thuật chuyện Chu Du bị bịnh bất ngờ.
孔明曰：“公以为何如？”	Khổng Minh nói: - Theo ý ông thì ra làm sao?
肃曰：“此乃曹操之福，江东之祸也。”	Túc nói: - Đó cũng là phúc Tào Tháo mà ra Đông Ngô thôi!
孔明笑曰：“公瑾之病，亮亦能医。”	Khổng Minh cười, nói: Bệnh Công Cẩn, tôi có thể chữa được.
肃曰：“诚如此，则国家万幸！”	Túc nói: - Nếu được như thế, thì may cho Đông Ngô quá!
即请孔明同去看病。	Liền mời Khổng Minh cùng đến thăm Chu Du.
肃先入见周瑜。 瑜以被蒙头而卧。	Lỗ Túc vào trước ra mắt Chu Du, thấy Du trùm chăn kín đầu.
肃曰：“都督病势若何？”	Túc hỏi: - Bệnh tình đô đốc ra sao?
周瑜曰：“心腹搅痛，时复昏迷。”	Du nói: - Ruột gan đau quặn, thỉnh thoảng lại mê mẩn.
肃曰：“曾服何药饵？”	Túc hỏi: - Đô đốc đã dùng thuốc gì rồi?
瑜曰：“心中呕逆，药不能下。”	Du nói: Uống vào lại nôn oẹ ra, không thuốc nào chịu.
肃曰：“适来去望孔明，言能医都督之病。	Túc nói: Tôi vừa đến chơi Khổng Minh, Khổng Minh nói có thể chữa được bệnh đô đốc.
现在帐外，烦来医治，何如？”	Ông ta đang ở ngoài trướng, xin cho mời vào khám chữa?
瑜命请入，教左右扶起，坐于床上。	Du sai mời vào, rồi bảo tả hữu đỡ dậy ngồi trên giường.
孔明曰：“连日不晤君颜，何期贵体不安！”	Khổng Minh nói: - Mấy bữa nay không đến hầu, ngờ đâu ngọc thể bất an!
瑜曰：“人有旦夕祸福，岂能自保？”	Du nói: - Người ta họa phúc sớm tối khôn lường, biết đâu mà giữ cho xuể!
孔明笑曰：“天有不测风云，人又岂能料乎？”	Khổng Minh cười, nói: - Trời kia gió mưa bất thường, người ta có liệu trước được không?
瑜闻失色，乃作呻吟之声。	Du nghe nói tái mặt đi, rên khừ khừ.
孔明曰：“都督心中似觉烦积否？”	Khổng Minh hỏi: - Trong bụng đô đốc, nghe như hơi đầy có phải không?
瑜曰：“然，”孔明曰：“必须用凉药以解之。”	Du đáp: - Phải. Khổng minh nói: - Nên uống những vị thuốc mát mới được.
瑜曰：“已服凉药，全然无效。”	Du nói: - Tôi đã uống nhưng đều vô hiệu.
孔明曰：“须先理其气；气若顺，则呼吸之间，自然痊可。”	Khổng Minh nói: - Trước hết phải chữa cái khí, nếu khí thuận, thì thở hít cũng dễ, rồi tự nhiên sẽ khỏi bệnh.
瑜料孔明必知其意，乃以言挑之曰：“欲得顺气，当服何药？”	Du tin chắc Khổng Minh hiểu được ý mình, liền hỏi thử rằng: - Muốn cho thuận được khí, nên uống thuốc gì?
孔明笑曰：“亮有一方，便教都督气顺。”	Khổng Minh cười, nói: - Tôi có một phương thuốc, làm cho đô đốc thuận được khí.
瑜曰：“愿先生赐教。”	Du hỏi: - Phương thuốc gì, xin tiên sinh cho biết.?
孔明索纸笔，屏退左右，密书十六字曰：“欲破曹公，宜用火攻；万事俱备，只欠东风。”	Khổng Minh mượn giấy bút, bảo tả hữu lui ra ngoài rồi viết mười sáu chữ như sau: "Muốn đánh Tào công. Phải dùng hỏa công. Muôn việc đủ cả. Chỉ thiếu gió đông"
写毕，递与周瑜曰：“此都督病源也。”	Viết xong, đưa cho Chu Du và nói: - Căn bệnh của đô đốc ở đây!
瑜见了大惊，暗思：“孔明真神人也！ 早已知我心事！	Du xem xong giật mình, nghĩ rằng: - Khổng Minh thật là thần thánh, biết hết cả ruột gan ta!
只索以实情告之。”	Cần phải nói rõ sự thật mới xong!
乃笑曰：“先生已知我病源，将用何药治之？	Rồi cười, nói với Khổng Minh: - Tiên sinh đã biết gốc bệnh của tôi, vậy phải dùng thuốc gì trị được?
事在危急，望即赐教。”	Việc gấp đến nơi rồi, xin dạy cho.
孔明曰：“亮虽不才，曾遇异人，传授奇门遁甲天书，可以呼风唤雨。	Khổng Minh nói: - Tôi tuy rằng bất tài, nhưng có gặp được một dị nhân truyền cho quyển "Kỳ môn độn giáp thiên thư" có thể gọi được gió, bảo được mưa.
都督若要东南风时，可于南屏山建一台，名曰七星坛：高九尺，作三层，用一百二十人，手执旗幡围绕。	Đô đốc muốn cần đến gió đông nam, thì phải lập đàn tại núi Nam Bình, gọi là đàn thất tinh, bề cao chín thước, chia làm ba tầng, dùng một trăm hai chục người cầm cờ đứng xung quanh.
亮于台上作法，借三日三夜东南大风，助都督用兵，何如？”	Tôi xin lên đàn, dùng phép, mượn gió đông nam thật to ba ngày ba đêm để đô đốc dùng binh. Đô đốc nghĩ thế nào?
瑜曰：“休道三日三夜，只一夜大风，大事可成矣。	Du nói: - Chẳng cần đến ba ngày ba đêm, chỉ một đêm gió to là xong việc.
只是事在目前，不可迟缓。”	Nhưng xin tiên sinh phải làm ngay cho, chớ để chậm chạp.
孔明曰：“十一月二十日甲子祭风，至二十二日丙寅风息，如何？”	Khổng Minh nói: - Ngày 20 tháng 11 là ngày giáp tý, bắt đầu tế gió, đến ngày 22 là ngày bính dần thì gió im, có được không?
瑜闻言大喜，矍然而起。 便传令差五百精壮军士，往南屏山筑坛；拨一百二十人，执旗守坛，听候使令。	Du nghe nói mừng lắm, đứng choàng dậy, lập tức sai quân đến núi Nam Bình đắp đàn, và điều một trăm hai mươi tên lính cầm cờ giữ đàn, sẵn sàng nghe lịnh.
孔明辞别出帐，与鲁肃上马，来南屏山相度地势，令军士取东南方赤土筑坛。	Khổng Minh từ biệt Chu Du, cùng với Lỗ Túc lên ngựa đến núi Nam Bình, xem xét địa thế.
方圆二十四丈，每一层高三尺，共是九尺。	Rồi sai quân sĩ lấy đất đỏ ở phương đông nam đắp đàn, chu vi rộng 24 trượng mỗi tầng cao ba thước, cả thảy là chín thước. Tầng dưới cắm 28 lá cờ sao.
下一层插二十八宿旗：东方七面青旗，按角、亢、氏、房、心、尾、箕，布苍龙之形；北方七面皂旗，按斗、牛、女、虚、危、室、壁，作玄武之势；西方七面白旗，按奎、娄、胃、昴、毕、觜、参，踞白虎之威；南方七面红旗，按井、鬼、柳、星、张、翼、轸，成朱雀之状。	Phương đông 7 lá cờ xanh, theo hình chòm sao Thương Long là: Giốc, cang, đê, phòng, tâm, vĩ, cơ. Phương Bắc 7 lá cờ đen, theo hình chòm sao Huyền vũ là: đẩu, ngưu, nữ, hư nguy, thất, bích. Phương tây 7 lá cờ trắng, theo hình chòm sao Bạch hổ là: Khuê, lâu, vị, mão, tất, thủy, sâm. Phương nam 7 lá cờ đỏ, theo hình chòm sao Chu tước là: Tỉnh, quỷ, liễu, tính, trương, dực, trẩn.
第二层周围黄旗六十四面，按六十四卦，分八位而立。	Tầng thứ hai 64 lá cờ cắm xung quanh, theo phương vị 64 quẻ, đứng dàn ra tám mặt.
上一层用四人，各人戴束发冠，穿皂罗袍，凤衣博带，朱履方裾。	Tầng trên nữa dùng bốn người; người nào cũng phải đội mũ bịt tóc, mặc áo the thâm, áo dài đai rộng, giầy đỏ quần vuông.
前左立一人，手执长竿，竿尖上用鸡羽为葆。 以招风信；前右立一人，手执长竿，竿上系七星号带，以表风色；后左立一人，捧宝剑；后右立一人，捧香炉。	Mé trước, một người đứng bên tả, cầm cái cần dài, trên đầu cầm cắm lông gà, để chiêu gió; một người đứng bên hữu cũng cầm cái cần dài, trên đầu cần buộc cờ hiệu thất tinh., để khiến chiều gió. Mé sau, một người bên tả cắp thanh bảo kiếm, một người bên hữu bưng cái lư hương.
坛下二十四人，各持旌旗、宝盖、大戟、长戈、黄钺、白旄、朱幡、皂纛，环绕四面。	Ở dưới chân đàn lại có 24 người vác cờ xí và khí giới đứng quanh bốn phía.
孔明于十一月二十日甲子吉辰，沐浴斋戒，身披道衣，跣足散发，来到坛前。 分付鲁肃曰：“子敬自往军中相助公瑾调兵。 倘亮所祈无应，不可有怪。”	Đến ngày 20 giáp tý, tháng 11, giờ tốt, Khổng Minh tắm gội sạch sẽ, mặc áo phù thủy, xõa tóc đi chân không đến trước đàn, dặn Lỗ Túc: - Ông về giúp Chu Du điều quân, nếu tôi cầu không được gió cũng đừng nên trách.
鲁肃别去。	Lỗ Túc từ biệt ra về.
孔明嘱付守坛将士：“不许擅离方位。 不许交头接耳。 不许失口乱言。 不许失惊打怪。	Khổng Minh dặn các tướng sĩ coi đàn: - Không ai được tự tiện bỏ chỗ đứng mà đi chỗ khác: Không ai được quay đầu ghé tai, nói năng bậy bạ; không ai được thất kinh sợ hãi.
如违令者斩！”	Ai trái lệnh sẽ bị chém đầu!
众皆领命。 孔明缓步登坛，观瞻方位已定，焚香于炉，注水于盂，仰天暗祝。	Chúng đều tuân lệnh răm rắp: Khổng Minh khoan thai bước lên đàn, quan sát phương hướng đâu đấy, đốt hương rót nước, ngẩng mặt lên trời khấn thầm một hồi, rồi xuống đàn vào trướng nghỉ.
下坛入帐中少歇，令军士更替吃饭。	Lại truyền cho quân sĩ thay đổi nhau ăn uống.
孔明一日上坛三次，下坛三次。 却并不见有东南风。	Mỗi ngày Khổng Minh lên đàn ba lần, xuống đàn ba lần, mà mãi vẫn không thấy có gió đông nam.
且说周瑜请程普、鲁肃一班军官，在帐中伺候，只等东南风起，便调兵出；一面关报孙权接应。	Đây nói Chu Du mời Trình Phổ, Lỗ Túc và các tướng chực sẵn dưới trướng, chỉ đợi có gió đông nam là cất quân đi. Một mặt báo tin cho Tôn Quyền để tiếp ứng.
黄盖已自准备火船二十只，船头密布大钉；船内装载芦苇干柴，灌以鱼油，上铺硫黄、焰硝引火之物，各用青布油单遮盖；船头上插青龙牙旗，船尾各系走舸：在帐下听候，只等周瑜号令。	Hoàng Cái đã dự sẵn hai chục chiếc hỏa thuyền, mũi thuyền cắm chông sắt, trong thuyền chứa đầy lau sậy, củi khô tẩm dầu mỡ, trên rắc lưu hoàng, diêm tiêu, dùng vải xanh che kín. Trên mũi thuyền cắm cờ xanh, đuôi thuyền đóng sẵn một cái xuồng dự bị, sẵn sàng đợi lệnh Chu Du.
甘宁、阚泽窝盘蔡和、蔡中在水寨中，每日饮酒，不放一卒登岸；周围尽是东吴军马，把得水泄不通：只等帐上号令下来。	Cam Ninh, Hám Trạch kèm riết Sái Trung, Sái Hòa trong thủy trại, ngày nào cũng uống rượu, không cho một tên lính nào lên đến bờ; xung quanh toàn là quân mã Đông Ngô bao vây chặt chẽ, chờ lệnh cấp trên.
周瑜正在帐中坐议，探子来报：“吴侯船只离寨八十五里停泊，只等都督好音。”	Chu Du đang ngồi bàn việc trong trướng, có thám tử vào báo rằng: Thuyền của Ngô Hầu đã bỏ neo cách trại 85 dặm, chỉ đợi tin lành của đô đốc.
瑜即差鲁肃遍告各部下官兵将士：“俱各收拾船只、军器、帆橹等物。 号令一出，时刻休违。 倘有违误，即按军法。”	Du liền sai Lỗ Túc truyền báo cho quan quân, tướng sĩ: Ai nấy đều phải thu xếp thuyền bè, khí giới cho đủ; khi nào có lệnh xuống, không được chậm chạp một phút nào, nếu ai lầm lỡ, lập tức chiếu quân pháp trị tội.
众兵将得令，一个个磨拳擦掌，准备厮杀。	Các tướng được lệnh ấy, ai nấy khoa chân múa tay, sẵn sàng chiến đấu.
是日，看看近夜，天色清明，微风不动。	Hôm ấy, trời gần tối, bầu trời sáng sủa, không phe phẩy một tí gió nào.
瑜谓鲁肃曰：“孔明之言谬矣。 隆冬之时，怎得东南风乎？”	Du nói với Lỗ Túc: - Khổng Minh nói sai rồi, trời đông tháng rét thế này, làm gì có được gió đông nam?
肃曰：“吾料孔明必不谬谈。”	Túc nói: Tôi chắc Khổng Minh không là người nói bậy.
将近三更时分，忽听风声响，旗幡转动。	Gần đến canh ba, bỗng nhiên nghe thấy tiếng gió thổi, cờ quạt tung bay.
瑜出帐看时，旗脚竟飘西北。	Du ra trướng xem, thấy đuôi cờ bay về phía tây bắc.
霎时间东南风大起，瑜骇然曰：“此人有夺天地造化之法、鬼神不测之术！	Một lát, gió đông nam nổi lên ầm ầm, Du giật mình nói: - Người này có phép đoạt được trời đất, có thuật tài hơn quỷ thần.
若留此人，乃东吴祸根也。 及早杀却，免生他日之忧。”	Nếu để sống thì thế nào cũng gây vạ lớn cho Đông Ngô, chi bằng giết trước để khỏi lo về sau.
急唤帐前护军校尉丁奉、徐盛二将：“各带一百人。 徐盛从江内去，丁奉从旱路去，都到南屏山七星坛前，休问长短，拿住诸葛亮便行斩首，将首级来请功。”	Nói rồi, lập tức gọi hai tướng bộ quân đô úy là Đinh Phụng, Từ Thịnh, đến bảo rằng: - Hai người dẫn một trăm quân, Từ Thịnh đi đường thủy, Đinh Phụng đi đường bộ, cùng đến cả đàn Thất Tinh ở núi Nam Bình, không hỏi han chi cả, cứ việc chặt phăng ngay đầu Gia Cát Lượng, đem về đây lấy thưởng.
二将领命。	Hai tướng lĩnh mệnh.
徐盛下船，一百刀斧手荡开棹桨；丁奉上马，一百弓弩手各跨征驹：往南屏山来。	Từ Thịnh dẫn một trăm tay đao phủ, nhổ thuyền đi trước, Đinh Phụng dẫn một trăm tay cung nỏ lên ngựa đi sau, đến cả núi Nam Bình.
于路正迎着东南风起。	Dọc đường thấy gió đông nam đang nổi to lắm.
后人有诗曰：“七星坛上卧龙登，一夜东风江水腾。	Người đời sau có thơ rằng: Xoã tóc lên đàn khấn gió đông.
不是孔明施妙计，周郎安得逞才能？”	Gió đâu phút chốc nổi đùng đùng, Ví không Gia Cát dùng mưu lạ, Công Cẩn khôn ngoan luống uổng công?
丁奉马军先到，见坛上执旗将士，当风而立。	Quân mã Đinh Phụng đến trước; trông lên thấy tướng sĩ đang cầm cờ đứng đón gió trên đàn.
丁奉下马提剑上坛，不见孔明，慌问守坛将士。 答曰：“恰才下坛去了。”	Phụng xuống ngựa, cắp gươm lên đàn, không thấy Khổng Minh đâu, đâm hoảng, hỏi các tướng sĩ ở đó, thì họ nói Khổng Minh vừa xuống đàn đi rồi.
丁奉忙下坛寻时，徐盛船已到。	Phụng vội vàng xuống đàn đi tìm thì thuyền Từ Thịnh cũng vừa đến.
二人聚于江边。	Hai người tụ ở bờ sông.
小卒报曰：“昨晚一只快船停在前面滩口。 适间却见孔明披发下船，那船望上水去了。”	Tiểu tốt báo rằng chiều hôm qua, có một chiếc thuyền đỗ ở bến trước mặt và mới rồi thấy Khổng Minh xõa tóc xuống thuyền, thuyền ấy vừa ngược sông.
丁奉、徐盛便分水陆两路追袭。	Hai tướng lập tức chia làm hai đường thủy lục đuổi theo.
