第四十一回刘玄德携民渡江赵子龙单骑救主	HỒI 41 Lưu Huyền Đức đưa dân qua sông; Triệu Tử Long một ngựa cứu chúa.
最为紧要。 公子便请回，率领所部之兵，陈于岸口。	Vân Trường không sao nhịn được, nói to lên rằng: - Tôi từ khi theo anh tôi đi đánh dẹp đến nay kể cũng đã lâu, chưa khi nào tôi phải lùi lại sau.
操一败必有逃来者，就而擒之，却不可轻离城郭。” 刘琦便辞玄德、孔明去了。 孔明谓玄德曰：“主公可于樊口屯兵，凭高而望，坐看今夜周郎成大功也。”	Nay gặp trận đánh to thế này, không thấy quân sư hỏi han gì đến là ý làm sao?
时云长在侧，孔明全然不睬。	Khổng Minh cười, nói: - Vân Trường đừng trách, tôi muốn nhờ tướng quân giữ cho một chỗ hiểm yếu, nhưng còn hơi ngại một chút, chưa dám phiền đến.
云长忍耐不住，乃高声曰：“关某自随兄长征战，许多年来，未尝落后。 今日逢大敌，军师却不委用，此是何意？” 孔明笑曰：“云长勿怪！	Vân Trường nói: - Nghi ngại điều gì, xin cho tôi biết?
某本欲烦足下把一个最紧要的隘口，怎奈有些违碍，不敢教去。” 云长曰：“有何违碍？	Khổng Minh nói: - Khi xưa, Tào Tháo đãi tướng quân hậu lắm, thế nào tướng quân chẳng nhớ ơn. Nay Tào Tháo thua trận, tất chạy qua đường Hoa Dung.
愿即见谕。” 孔明曰：“昔日曹操待足下甚厚，足下当有以报之。	Nếu sai Túc Hạ đi, tất nhiên Túc Hạ tha cho hắn thoát, bởi thế, chưa dám phiền tới.
今日操兵败，必走华容道；若令足下去时，必然放他过去。	Vân Trường nói: - Quân sư nghĩ thế, thật là có bụng tốt. Khi xưa Tào Tháo có trọng đãi tôi.
因此不敢教去。”	Nhưng tôi đã chém Nhan Lương, Văn Sú, giải vây thành Bạch Mã để báo ơn rồi.
云长曰：“军师好心多！	Nay nếu có gặp y, tôi đâu dám dễ dàng tha y được. Khổng minh nói: - Nếu tướng quân tha thì làm sao? Vân Trường nói: - Xin theo quân luật.
当日曹操果是重待某，某已斩颜良，诛文丑，解白马之围，报过他了。 今日撞见，岂肯放过！”	Khổng Minh nói: - Nếu thế, phải làm giấy cam đoan. Vân Trường xin ký giấy cam đoan, rồi hỏi lại rằng: - Tào Tháo không chạy qua đường ấy, thì quân sư dạy thế nào?
孔明曰：“倘若放了时，却如何？” 云长曰：“愿依军法！” 孔明曰：“如此，立下文书。”	Khổng Minh nói: - Tướng quân nên tìm trái núi nào cao ở đường hẻm Hoa Dung, chất cỏ đốt lửa lên, để dử quân Tào đến.
云长便与了军令状。” 云长曰：“若曹操不从那条路上来，如何？” 孔明曰：“我亦与你军令状。	Vân Trường nói: - Tào Tháo thấy có lửa, biết có mai phục, sao hắn chịu đến? Khổng Minh cười, nói: - Tướng quân không nhớ trong binh pháp có câu "Hư hư thực thực" đó ư?
云长大喜。 孔明曰：“云长可于华容小路高山之处，堆积柴草，放起一把火烟，引曹操来。”	Tháo giỏi dùng binh, có thể mới lừa được hắn.
云长曰：“曹操望见烟，知有埋伏，如何肯来？”	Hắn trông thấy lửa, cho là ta hư trương thanh thế, tất nhiên tìm đến lối đó. Tướng quân không được thả cho hắn đi!
孔明笑曰：“岂不闻兵法虚虚实实之论？ 操虽能用兵，只此可以瞒过他也。 他见烟起，将谓虚张声势，必然投这条路来。 将军休得容情。”	Vân Trường lĩnh mệnh dẫn Chu Thương, quan Bình và năm trăm quân đao phủ ra đường Hoa Dung mai phục.
云长领了将令，引关平、周仓并五百校刀手，投华容道埋伏去了。	Huyền Đức nói nhỏ với Khổng Minh rằng: - Em tôi là người nghĩa khí lắm.
玄德曰：“吾弟义气深重，若曹操果然投华容道去时，只恐端的放了。”	Nếu Tào Tháo quả nhiên đi qua đó, chỉ sợ em tôi lại tha mất thôi!
孔明曰：“亮夜观乾象，操贼未合身亡。 留这人情，教云长做了，亦是美事。”	Khổng Minh thưa: - Tôi xem thiên văn, biết số Tào Tháo chưa chết, nên mới để một mối tình nghĩa ấy cho Vân Trường làm, cũng là một việc hay.
玄德曰：“先生神算，世所罕及！”	Huyền Đức nói: - Tiên sinh mưu kế như thần, trên đời hiếm có!
孔明遂与玄德往樊口，看周瑜用兵，留孙乾、简雍守城。	Khổng Minh cùng Huyền Đức sang cả Phàn Khẩu xem Chu Du đánh trận, để Tôn Càn, Giản Ưng ở lại giữ thành.
却说曹操在大寨中，与众将商议，只等黄盖消息。	Nói về Tào Tháo ở trong thủy trại, cùng tướng tá bàn bạc, chỉ đợi tin Hoàng Cái. Hôm ấy gió đông nam nổi to, Trình Dục vào bẩm rằng: Hôm nay có gió đông nam, xin thừa tướng đề phòng mới được.
当日东南风起甚紧。 程昱入告曹操曰：“今日东南风起，宜预提防。” 操笑曰：“冬至一阳生，来复之时，安得无东南风？	Tháo cười, nói: - Hôm nay là ngày đông chí, khí nhất dương mới sinh ra, trách nào chẳng có gió đông nam, có gì lạ! Chợt quân sĩ vào báo có thuyền Giang Đông đưa mật thư của Hoàng Cái đến.
何足为怪！” 军士忽报江东一只小船来到，说有黄盖密书。 操急唤入。	Tháo gọi vào.
其人呈上书。 书中诉说：“周瑜关防得紧，因此无计脱身。	Người ấy dâng thư lên, trong thư nói: "Chu Du phòng bị cẩn mật lắm, chưa tìm được kế thoát thân.
今有鄱阳湖新运到粮，周瑜差盖巡哨，已有方便。 好歹杀江东名将，献首来降。 只在今晚二更，船上插青龙牙旗者，即粮船也。”	Nay nhân có lương thảo ở hồ Phiên Dương mới tải đến, Chu Du sai tôi đi ra tiếp nhận, dịp may đã tới, sớm tối gì tôi cũng giết được danh tướng Giang Đông, đem thủ cấp sang hàng. Chỉ vào khoảng canh hai đêm nay hễ thấy thuyền nào cắm cờ xanh thì chính là thuyền lương".
操大喜，遂与众将来水寨中大船上，观望黄盖船到。	Tháo mừng lắm, họp các tướng trên thuyền to, đợi xem thuyền Hoàng Cái đến.
且说江东，天色向晚，周瑜唤出蔡和，令军士缚倒。	Lại nói bên Giang Đông, chiều tối hôm ấy, Chu Du gọi Sái Hòa ra, sai quân trói lại.
和叫：“无罪！”	Hòa kêu là vô tội.
瑜曰：“汝是何等人，敢来诈降！	Du mắng rằng: - Mày là thằng nào, dám đến đây trá hàng?
吾今缺少福物祭旗，愿借你首级。”	Nay ta đang thiếu một thứ lễ vật tế cờ, hãy mượn cái đầu mày đấy!
和抵赖不过，大叫曰：“汝家阚泽、甘宁亦曾与谋！”	Hòa cố cãi không được, kêu to lên rằng: - Cam Ninh, Hám Trạch cũng đồng mưu với tôi!
瑜曰：“此乃吾之所使也。”	Du nói: - Đó là do ta sai khiến đấy!
蔡和悔之无及。 瑜令捉至江边皂纛旗下，奠酒烧纸，一刀斩了蔡和，用血祭旗毕，便令开船。 黄盖在第三只火船上，独披掩心，手提利刃，旗上大书“先锋黄盖”。	Nói đoạn, sai điệu Sái Hòa ra bờ sông dưới cột cờ đèn, rót rượu đốt vàng, chém đầu lấy máu tế cờ, xong dong thuyền kéo đi.
盖乘一天顺风，望赤壁进发。	Hoàng Cái ngồi trên chiếc hỏa thuyền thứ ba, chỉ mặc một áo giáp che bụng, tay cầm đao cực sắc, trên cờ hiệu để bốn chữ "Tiên phong Hoàng Cái", thuận gió giương buồm đến thẳng núi Xích Bích.
是时东风大作，波浪汹涌。 操在中军遥望隔江，看看月上，照耀江水，如万道金蛇，翻波戏浪。	Bấy giờ, gió đông thổi mạnh, sóng cuốn ầm ầm. Tháo ngồi trên thuyền, trông sang phía nam, mặt trăng lấp ló, tỏa sáng dòng sông, tựa hồ muôn vạn rắn vàng giỡn trên mặt nước.
操迎风大笑，自以为得志。	Tháo đón gió vui cười, tỏ vẻ đắc chí lắm.
忽一军指说：“江南隐隐一簇帆幔，使风而来。”	Chợt một tên quân chỉ tay nói: - Phía nam sông có cánh buồm nhấp nhô xuôi gió tiến lại.
操凭高望之。	Tháo lên cao đứng trông.
报称：“皆插青龙牙旗。	Quân nói: - Thuyền cắm toàn cờ xanh, giữa có một lá cờ to đề mấy chữ lớn "Tiên phong Hoàng Cái". Tháo mừng, nói: - Công Phúc lại hàng, thật là trời giúp ta! Thuyền Đông Ngô lướt tới gần.
内中有大旗，上书先锋黄盖名字。” 操笑曰：“公覆来降，此天助我也！”	Trình Dực đứng ngắm hồi lâu, bỗng bảo Tháo: - Thuyền này khả nghi lắm, không nên cho vào gần trại.
来船渐近。 程昱观望良久，谓操曰：“来船必诈。	Tháo hỏi: - Sao ngươi biết?
且休教近寨。” 操曰：“何以知之！” 程昱曰：“粮在船中，船必稳重；今观来船，轻而且浮。	Dực thưa: - Thuyền tải lương thì nặng mới phải, thuyền này đã nhẹ lại nổi bồng bềnh. Vả lại, đêm nay gió đông nam to lắm, nếu có âm mưu gì, thì làm thế nào?
更兼今夜东南风甚紧，倘有诈谋，何以当之？”	Tháo nghe ra liền hỏi các tướng: - Ai dám ra cản thuyền ấy lại cho ta?
操省悟，便问：“谁去止之？” 文聘曰：“某在水上颇熟，愿请一往。”	Văn Sinh nói:
言毕，跳下小船，用手一指，十数只巡船，随文聘船出。	Nói xong, lập tức nhảy xuống chiếc thuyền nhỏ, tay vẫy vài mươi chiếc thuyền tuần tiểu đi ra.
聘立于船头，大叫：“丞相钧旨：南船且休近寨，就江心抛住。”	Sinh đứng đầu thuyền, gọi to lên rằng: - Thừa tướng truyền cho các thuyền kia không được vào gần trại vội, hãy thả neo đậu cả lại giữa sông!
众军齐喝：“快下了篷！”	Quân sĩ cũng đều quát lớn: - Hạ buồm xuống cho mau! Quân nói chưa dứt lời, cung nỏ đã bắn sang rào rào, Văn Sinh bị tên trúng cánh tay trái, ngã ngay xuống thuyền.
言未绝，弓弦响处，文聘被箭射中左臂，倒在船中。 船上大乱，各自奔回。	Quân Tào rối loạn chạy về. Thuyền bên này còn cách trại Tào độ hai dặm, Hoàng Cái cầm đao vẫy một cái, các thuyền mé trước nhất tề đốt lửa.
南船距操寨止隔二里水面。 黄盖用刀一招，前船一齐发火。	Lửa được gió, gió bốc lửa, thuyền bay vùn vụt như tên, rực cháy ngút trời: Hai chục chiếc hỏa thuyền tràn vào thủy trại.
火趁风威，风助火势，船如箭发，烟焰涨天。 二十只火船，撞入水寨，曹寨中船只一时尽着；又被铁环锁住，无处逃避。	Thuyền trong trại Tào Tháo bén lửa bốc cháy tứ tung, lại bị xích sắt khóa chặt, không sao chạy thoát. Bên kia sông, pháo nổ đùng đùng, bốn mặt hỏa thuyền ùa đến. Trên mặt sông Tam Giang gió cuốn lửa bay, trên trời dưới nước đỏ rực như mặt trời mọc.
隔江炮响，四下火船齐到，但见三江面上，火逐风飞，一派通红，漫天彻地。	Tào Tháo trông lên các trại trên bờ lại thấy mấy chỗ bốc cháy.
曹操回观岸上营寨，几处烟火。 黄盖跳在小船上，背后数人驾舟，冒烟突火，来寻曹操。 操见势急，方欲跳上岸，忽张辽驾一小脚船，扶操下得船时，那只大船，已自着了。	Hoàng Cái ngồi trên chiếc thuyền nhỏ với vài thủy thủ bơi thuyền, xông vào trong đám lửa, tìm bắt Tào Tháo. Tháo thấy thế nguy cấp lắm, định bỏ thuyền to chạy lên bờ; chợt có Trương Liêu chở một chiếc thuyền con đến, đỡ Tháo xuống; Tháo vừa xuống được thì chiếc thuyền to đã bắt lửa cháy rồi.
张辽与十数人保护曹操，飞奔岸口。	Trương Liêu và vài chục người bảo vệ Tào Tháo chạy lên bờ.
黄盖望见穿绛红袍者下船，料是曹操，乃催船速进，手提利刃，高声大叫：“曹贼休走！ 黄盖在此！”	Hoàng Cái thấy có người mặc áo cẩm bào đỏ xuống thuyền, biết là Tào Tháo, sai bơi mau ngay thuyền đến, tay cầm dao sắc gọi to lên rằng: - Tào tặc chớ chạy, Hoàng Cái đã đến đây!
操叫苦连声。 张辽拈弓搭箭，觑着黄盖较近，一箭射去。 此时风声正大，黄盖在火光中，那里听得弓弦响？”	Tào Tháo luôn miệng kêu khổ, Trương Liêu giương cung lắp tên, đợi Hoàng Cái tới gần, bắn ra một phát. Lúc này gió thổi vù vù, Hoàng Cái đang ở trong đám lửa, nghe sao thấy tiếng tên bắn, nên bị trúng ngay vào giữa vai, ngã lăn xuống sông.
正中肩窝，翻身落水。	Ấy là: Vạ lửa đang nguy lây vạ nước.
正是：火厄盛时遭水厄，棒疮愈后患金疮。 未知黄盖性命如何，且看下文分解。	Đau đớn chưa khỏi lại đau tên Chưa biết tính mệnh Hoàng Cái sống thác thế nào, xem đến hồi sau sẽ rõ.
第五十回诸葛亮智算华容关云长义释曹操	HỒI 50 Gia Cát Lượng khéo tình đường Hoa Dung; Quan Vân Trường vì nghĩa tha Tào Tháo.
却说当夜张辽一箭射黄盖下水，救得曹操登岸，寻着马匹走时，军已大乱。 韩当冒烟突火来攻水寨，忽听得士卒报道：“后梢舵上一人，高叫将军表字。” 韩当细听，但闻高叫“义公救我？”	Lại nói đang đêm hôm ấy Trương Liêu bắn trúng Hoàng Cái ngã xuống sông, cứu được Tào Tháo chạy lên bờ, tìm được ngựa thì quân sĩ đã rối loạn cả rồi. Hàn Đương xông vào đánh thủy trại, bỗng quân sĩ báo tin có một người ở dưới bánh lái đang gọi tên mình.
当曰：“此黄公覆也！” 急教救起。	Hà Đương lắng nghe, thấy tiếng gọi: - Công Nghĩa cứu ta với!
见黄盖负箭着伤，咬出箭杆，箭头陷在肉内。 韩当急为脱去湿衣，用刀剜出箭头，扯旗束之，脱自己战袍与黄盖穿了，先令别船送回大寨医治。	Đương nhận đúng là tiếng Hoàng Cái, vội vàng vớt lên, thấy Hoàng Cái bị tên bắn trúng, bèn ghé răng cắn rút tên ra, nhưng đầu tên mắc trong thịt, Đương vội vàng cởi áo ướt của Cái ra, lấy gươm khoét thịt lấy đầu tên, rồi xé vải cờ buộc chặt lại; lại cởi chiến bào của mình thay cho Hoàng Cái, sai thuyền đưa về trại chữa thuốc.
原来黄盖深知水性，故大寒之时，和甲堕江，也逃得性命。	Hoàng Cái xưa nay bơi lội đã quen, cho nên đang lúc đại bàn, ngã xuống sông cũng không việc gì.
却说当日满江火滚，喊声震地。	Đêm hôm ấy, lửa đỏ rực trời, tiếng reo dậy đất.
左边是韩当、蒋钦两军从赤壁西边杀来；右边是周泰、陈武两军从赤壁东边杀来；正中是周瑜、程普、徐盛、丁奉大队船只都到。 火须兵应，兵仗火威。	Bên tả, hai đội quân của Hàn Đương, Tưởng Khâm, từ mé tây núi Xích Bích đánh đến. Bên hữu, hai đội quân của Chu Thái, Trần Vũ từ mé đông núi Xích Bích đánh vào; ở giữa đại đội chiến thuyền của Chu Du, Trình Phổ, Từ Thịnh, Đinh Phụng xốc tới. Trong thì lửa đốt, ngoài thì quân đánh.
此正是：三江水战，赤壁鏖兵。	Đó thật là: Thủy chiến của Tam Giang, dàn quân núi Xích Bích.
曹军着枪中箭、火焚水溺者，不计其数。 后人有诗曰：“魏吴争斗决雌雄，赤壁楼船一扫空。 烈火初张照云海，周郎曾此破曹公。”	Quân Tào người bị giáo đâm, kẻ trúng tên bắn, chết cháy, chết đuối, không biết bao nhiêu mà kể... Đời sau có thơ rằng: Chiến tranh, Ngô, Ngụy quyết thư hùng.
又有一绝云：“山高月小水茫茫，追叹前朝割据忙。 南士无心迎魏武，东风有意便周郎。” 不说江中鏖兵。	Xích Bích thuyền bè phút sạch không!
且说甘宁令蔡中引入曹寨深处，宁将蔡中一刀砍于马下，就草上放起火来。 吕蒙遥望中军火起，也放十数处火，接应甘宁。 潘璋、董袭分头放火呐喊，四下里鼓声大震。 曹操与张辽引百余骑，在火林内走，看前面无一处不着。	Lửa bốc đùng đùng mây biển đó.
正走之间，毛玠救得文聘，引十数骑到。 操令军寻路。	Chu Du nhờ đó phá Tào công!
张辽指道：“只有乌林地面，空阔可走。”	Lại có bài thơ tứ tuyệt rằng: Non cao, trăng quạnh nước mênh mông.
操径奔乌林。 正走间，背后一军赶到，大叫：“曹贼休走！”	Chinh chiến thời xưa khéo lạ lùng. Quân sĩ Giang Đông, không đón Ngụy. Gió đông có ý giúp Chu Lang.
火光中现出吕蒙旗号。 操催军马向前，留张辽断后，抵敌吕蒙。	Lại nói Cam Ninh sai Sái Trung đưa đường vào cướp trại Tào Tháo; đến nơi Ninh chém chết ngay Sái Trung, rồi đốt lửa lên làm hiệu.
却见前面火把又起，从山谷中拥出一军，大叫：“凌统在此！” 曹操肝胆皆裂。 忽刺斜里一彪军到，大叫：“丞相休慌！ 徐晃在此！”	Lã Mông thấy trung quân có hiệu lửa, liền đốt luôn vài chục nơi để tiếp Cam Ninh, Đổng Tập, Phan Chương cũng chia nhau đốt lửa hò reo, trống đánh rộn rã.
彼此混战一场，夺路望北而走。 忽见一队军马，屯在山坡前。 徐晃出问，乃是袁绍手下降将马延、张顗，有三千北地军马，列寨在彼；当夜见满天火起，未敢转动，恰好接着曹操。 操教二将引一千军马开路，其余留着护身。	Tào Tháo cùng với Trương Liêu dẫn hơn chục quân kỵ mã chạy trong rừng lửa, nhìn ra phía trước chẳng chỗ nào là chỗ không có lửa cháy.
操得这枝生力军马，心中稍安。 马延、张顗二将飞骑前行。	Đang chạy, thì thấy Mao Giới cứu được Văn Sinh, dẫn vài chục quân vừa chạy đến.
不到十里，喊声起处，一彪军出。	Tháo sai quân tìm đường, Trương Liêu chỉ tay nói: - Chỉ còn có đường Ô Lâm rộng rãi để chạy thôi.
为首一将，大呼曰：“吾乃东吴甘兴霸也！” 马延正欲交锋，早被甘宁一刀斩于马下；张顗挺枪来迎，宁大喝一声，顗措手不及，被宁手起一刀，翻身落马。 后军飞报曹操。 操此时指望合淝有兵救应；不想孙权在合淝路口，望见江中火光，知是我军得胜，便教陆逊举火为号，太史慈见了，与陆逊合兵一处，冲杀将来。	Tháo chạy tắt ra đường Ô lâm.
操只得望彝陵而走。	Bỗng có một toán quân đuổi tới, gọi to lên rằng: - Giặc Tào đừng chạy nữa!
路上撞见张郃，操令断后。	Trong ánh lửa, hiện ra lá cờ hiệu Lã Mông. Tháo thúc quân cứ việc chạy, để Trương Liêu đi sau đánh nhau với Lã Mông. Một lát, lại thấy trước mặt có lửa bốc, một toán quân ở trong hang núi kéo ra, gọi to lên rằng: - Lăng Thống ở đây!
纵马加鞭，走至五更，回望火光渐远，操心方定，问曰：“此是何处？”	Tào Tháo rụng rời hồn vía, may đâu có một toán quân cũng vừa chạy đến, kêu lớn: - Thừa tướng đừng sợ, có Từ Hoảng ở đây!
左右曰：“此是乌林之西，宜都之北。”	Và xốc vào đánh Lăng Thống một chập, rồi tháo đường chạy cả về phía bắc. Lại thấy một toán quân mã đóng trên sườn núi, Từ Hoảng ra hỏi, thì là Mã Diên và Trương Khải, tướng cũ Viên Thiệu đã hàng Tào. Hai tướng ấy có ba nghìn quân mã, cắm trại ở đó. Đêm hôm ấy, trông thấy lửa sáng rực trời, chưa dám khinh động, vừa may gặp Tào Tháo.
操见树木丛杂，山川险峻，乃于马上仰面大笑不止。	Tháo sai hai tướng dẫn một nghìn quân đi trước mở đường, còn bao nhiêu bắt đi kèm để bảo vệ.
诸将问曰：“丞相何故大笑？”	Tháo được toán quân dồi dào sinh lực ấy, trong bụng hơi vững.
操曰：“吾不笑别人，单笑周瑜无谋，诸葛亮少智。 若是吾用兵之时，预先在这里伏下一军，如之奈何？”	Mã Diên, Trương Khải hai tướng tế ngựa đi trước, chưa được mười dặm, bỗng nghe tiếng quát ầm ĩ, một toán quân đổ ra, tướng đi đầu thét lên rằng: - Tao là Cam Hưng Bá ở Đông Ngô đây!
说犹未了，两边鼓声震响，火光竟天而起，惊得曹操几乎坠马。	Mã Diên đang chực giao chiến thì đã bị Cam Ninh đưa một nhát dao, lăn ngay xuống ngựa. Trương Khải vác giáo xông tới.
刺斜里一彪军杀出，大叫：“我赵子龙奉军师将令，在此等候多时了！”	Ninh quát to một tiếng, Khải trở tay không kịp, bị một nhát dao chết nốt. Hậu quân phi báo Tào Tháo. Tháo lúc đó chỉ mong quân Hợp Phì đến cứu; không ngờ Tôn Quyền chặn ở đường Hợp Phì, trông thấy lửa sáng dưới sông, biết là quân mình thắng trận, liền sai Lục Tốn đốt lửa làm hiệu. Thái Sử Từ thấy có hiệu lửa, liền hợp quân với Lục Tốn đánh bừa vào, Tào Tháo phải chạy rẽ ra Di Lăng.
操教徐晃、张郃双敌赵云，自己冒烟突火而去。	Giữa đường, gặp Trương Cáp, Tháo sai Cáp đi chặn hậu. Tháo ra roi tế ngựa chạy mãi đến canh năm, ngoảnh lại trông thấy khói lửa đã xa, mới tạm yên tâm, và hỏi: - Đây là xứ nào? Tả hữu bẩm: - Đây là phía tây rừng Ô Lâm, phía bắc đất Nghi Đô. Tháo ngồi trên ngựa, nhìn thấy cây cối um tùm, núi non trùng điệp, bỗng nhiên cười sằng sặc mãi không thôi.
子龙不来追赶，只顾抢夺旗帜。	Các tướng hỏi: - Thừa tướng cười gì? Tháo nói: - Ta không cười ai, chỉ cười Chu Du ít mưu. Gia Cát Lượng kém mẹo. Nếu phải ra tay, ta cho phục sẵn một đạo quân ở chỗ này, thì sẽ ra sao nhỉ?
	Tháo nói chưa dứt lời, đã thấy trống đánh thùng thùng, lửa bốc ngùn ngụt.
曹操得脱。	Tháo sợ hãi quá, suýt nữa ngã ngựa. Một toán quân xông ra, rồi một tướng thét lên: - Ta là Triệu Tử Long, phụng mệnh quân sư, đợi ở đây đã lâu rồi! Tháo sai Từ Hoảng, Trương Cáp hai người ra địch Triệu Vân, còn mình cứ việc cắm cổ chạy. Tử Long không đuổi theo, chỉ cố cướp đoạt tinh kỳ, khí giới thôi.
	Tháo thoát nạn.
天色微明，黑云罩地，东南风尚不息。 忽然大雨倾盆，湿透衣甲。 操与军士冒雨而行，诸军皆有饥色。	Lúc này, trời đã gần sáng, mây đen phủ kín cả bầu trời, gió đông nam vẫn chưa tắt.
操令军士往村落中劫掠粮食，寻觅火种。 方欲造饭，后面一军赶到。	Bỗng nhiên một trận mưa đổ xuống như trút nước, ướt cả áo giáp.
操心甚慌。 原来却是李典、许褚保护着众谋士来到，操大喜，令军马且行，问：“前面是那里地面？” 人报：“一边是南彝陵大路，一边是北彝陵山路。”	Tào Tháo và quân sĩ đội trời mà chạy, người nào người nấy bụng đói như cào, Tháo thả quân vào các làng mạc cướp gạo và tìm lửa để thổi cơm ăn.
操问：“那里投南郡江陵去近？” 军士禀曰：“取南彝陵过葫芦口去最便。”	Sắp thổi cơm, thì một toán quân đuổi đến.
操教走南彝陵。 行至葫芦口，军皆饥馁，行走不上，马亦困乏，多有倒于路者。 操教前面暂歇。	Tháo hoảng quá, trông ra thì là Lý Điển, Hứa Chử, đưa một bọn mưu sĩ vừa chạy tới. Tháo mừng rỡ, thúc quân đi luôn không ăn vội, và hỏi: - Phía trước mặt kia là địa phận nào?
马上有带得锣锅的，也有村中掠得粮米的，便就山边拣干处埋锅造饭，割马肉烧吃。 尽皆脱去湿衣，于风头吹晒；马皆摘鞍野放，咽咬草根。	Quân sĩ bẩm: - Một bên là đường to đi nam Di Lăng, một bên là đường núi đi bắc Di Lăng. Tháo lại hỏi: - Đi đường nào về Nam Quận, Giang Lăng cho gần? Quân sĩ thưa: - Đi đường nam Di Lăng, qua cửa hang Hồ Lô, về Nam Quận gần hơn.
操坐于疏林之下，仰面大笑。 众官问曰：“适来丞相笑周瑜、诸葛亮，引惹出赵子龙来，又折了许多人马。	Tháo bảo ngay đi đường nam Di Lăng.
如今为何又笑？” 操曰：“吾笑诸葛亮、周瑜毕竟智谋不足。	Đến cửa hang Hồ Lô, quân sĩ đã đói lả cả rồi, không nhấc chân được nữa. Ngựa cũng kiệt sức, lắm con ngã lăn ra dọc đường.
若是我用兵时，就这个去处，也埋伏一彪军马，以逸待劳；我等纵然脱得性命，也不免重伤矣。 彼见不到此，我是以笑之。”	Tháo cho quân tạm nghỉ. Quân sĩ khi nãy vào các làng mạc, kẻ thì cướp được gạo củi, người thì giật được nồi niêu, liền đem cả ra tìm chỗ khô ráo, bắc bếp thổi cơm, cắt cả thịt ngựa nướng ăn.
正说间，前军后军一齐发喊、操大惊，弃甲上马。	Rồi người nào người nấy cởi áo ra hóng gió cho khô; ngựa tháo yên cho gặm cỏ.
众军多有不及收马者。	Tháo ngồi trong rừng, bỗng dưng lại ngẩng mặt cười sằng sặc. Các tướng hỏi: - Vừa rồi thừa tướng cười Chu Du, Gia Cát Lượng, đã xuất hiện ngay một đám Triệu Tử Long, tổn hại bao nhiêu quân mã. Sao bây giờ thừa tướng lại cười?
早见四下火烟布合，山口一军摆开，为首乃燕人张翼德，横矛立马，大叫：“操贼走那里去！”	Tháo nói: - Ta vẫn cười Gia Cát Lượng, Chu Du là kém mưu trí, nếu ta dùng binh, thì phục sẵn quân ở chỗ này, ngồi chơi ăn sẵn, chúng ta chẳng chết cũng bị trọng thương.
诸军众将见了张飞，尽皆胆寒。 许褚骑无鞍马来战张飞。	Họ không tính đến nước đó, nên ta cười. Tháo đang cười cười nói nói, bỗng phía trước phía sau tiếng hò reo nổi lên ầm ĩ.
张辽、徐晃二将，纵马也来夹攻。	Tháo giật mình, bỏ cả giáp, nhảy lên ngựa, phần; lớn quân sĩ chưa kịp thu ngựa về, đã thấy bốn mặt lửa cháy đùng đùng, một đạo quân dàn trước cửa hang, tướng đi đầu là Trương Dực Đức, cắp mâu kìm ngựa, hét lớn: - Bớ giặc Tháo, mi định chạy đi đâu? Tướng sĩ trông thấy Trương Phi, đều rụng rời hết vía. Hứa Chử vội vàng cưỡi ngựa không yên ra địch Trương Phi; Trương Liêu, Từ Hoảng cũng tế ngựa xúm vào đánh.
两边军马混战做一团。	Quân sĩ hai bên đánh nhau lộn bậy. Tháo tế ngựa chạy thoát.
操先拨马走脱. ，诸将各自脱身。	Các tướng cũng dần dần rút cả. Trương Phi đuổi theo.
张飞从后赶来。 操迤逦奔逃，追兵渐远，回顾众将多已带伤。	Tháo cắm cổ chạy. Khi chạy đã xa. Tháo ngoảnh nhìn các tướng, thấy bị thương rất nhiều.
正行时，军士禀曰：“前面有两条路，请问丞相从那条路去？” 操问：“那条路近？”	Đang đi, quân sĩ bẩm rằng: - Trước mặt là ngã ba đường, xin hỏi thừa tướng đi đường nào? Tháo hỏi: - Đi đường nào cho gần?
军士曰：“大路稍平，却远五十余里。 小路投华容道，却近五十余里；只是地窄路险，坑坎难行。” 操令人上山观望，回报：“小路山边有数处烟起；大路并无动静。”	Quân sĩ bẩm: - Con đường lớn phẳng phiu lắm, nhưng xa hơn năm chục dặm; con đường nhỏ sang Hoa Dung gần năm chục dặm, nhưng hẹp và gồ ghề khó đi.
操教前军便走华容道小路。 诸将曰：“烽烟起处，必有军马，何故反走这条路？”	Tháo sai người lên núi quan sát, người ấy trở xuống báo rằng: - Trong đường nhỏ có mấy chỗ khói bốc nghi ngút, đường lớn thì không thấy gì.
操曰：“岂不闻兵书有云：虚则实之，实则虚之。	Tháo truyền cho các tướng đi theo đường nhỏ Hoa Dung. Các tướng hỏi: - Có khói lửa, tất có mai phục, sao lại đi đường ấy? Tháo nói: - Các tướng không biết trong binh thư có câu "Hư là thực, thực là hư" à?
诸葛亮多谋，故使人于山僻烧烟，使我军不敢从这条山路走，他却伏兵于大路等着。	Gia Cát Lượng khôn ngoan, cho nên sai người đốt lửa ở sườn núi hẻo lánh để ta không dám đi qua núi, rồi phục binh sẵn ở đường lớn.
吾料已定，偏不教中他计！” 诸将皆曰：“丞相妙算，人不可及。”	Ta đã biết tỏng rồi, khi nào còn mắc mẹo hắn.
遂勒兵走华容道。 此时人皆饥倒，马尽困乏。	Các tướng đều nói: - Thừa tướng mưu cơ giỏi lắm, khó ai bì kịp!
