趙紀.	Kỷ nhà triệu.
丁紀.	Kỷ nhà đinh.
先皇帝.	Tiên hoàng đế.
[姓丁,諱部領,大皇華閭洞人,驩州刺史丁公著之子也,削平使君,自立爲帝,在位十二年,爲内五十六,塟長安山陵.	Họ đinh, tên huý là bộ lĩnh, người động hoa lư, châu đại hoàng con của thứ sử châu hoan đinh công trứ, dẹp yên các sứ quân, tự lập làm đế, ở ngôi mười hai năm, bị nội nhân là đỗ thích giết, thọ năm mươi sáu tuổi, tán ở sơn lăng trường yên.
人杜釋所弑而崩,壽帝才明過人,勇畧盖世,掃盡群䧺,統繼趙武,然失於預防,不保其終,惜夫!	Vua tài năng sáng suốt hơn người, dũng cảm mưu lược nhất đời, quét sạch các hùng trưởng, tiếp nối quốc thống của triệu vũ, song không biết dự phòng, không giữ được trọn đời, tiếc thay !
初,帝父丁公著爲楊廷藝牙將,廷藝授攝歡州刺史,後歸吳王,遣還舊任卒.	Xưa, cha của vua là đinh công trứ làm nha tướng của dương đình nghệ, được đình nghệ giao giữ chức quyền thứ sử châu hoan, sau theo về với ngô vương, vẫn được giữ chức cũ, rồi mất.
帝少孤,母譚氏與其徒入居洞山神祠側.	Vua mồ côi cha từ bé, mẹ họ đàm đưa gia thuộc vào ở cạnh đền sơn thần trong động.
爲兒童時,與群童牧牛于也.	Vào tuổi nhi đồng, vua thường cùng bọn trẻ con chăn trâu ngoài đồng.
群童自知識量不及,.	Bọn trẻ tự biết kiến thức không bằng vua,
相與推爲眾長.	Cùng nhau suy tôn làm trưởng.
凣遊戲,必率眾交手爲乘輿捧之,及以蘆花左右引之,象天子儀仗.	Phàm khi chơi đùa, thường bắt bọn chúng chéo tay làm kiệu khiêng và cầm hoa lau đi hai bên để rước như nghi trượng thiên tử.
暇日,往擊別村兒童,所至皆懾服,相率日供樵爨以充課役.	Ngày rỗi, thường kéo nhau đi đánh trẻ con thôn khác, đến đâu bọn trẻ đều sợ phục, hàng ngày rủ nhau đến phục dịch kiếm củi thổi cơm.
母見之喜,爲烹家䐁饗之.	Bà mẹ thấy vậy mừng lắm, mổ lợn nhà cho chúng ăn.
諸󰀋父老轉相吿曰:"此兒噐量若是必能濟事,我背荀不來附異,日悔之晚矣".	Phụ lão các sách bảo nhau: " đứa bé này khí lượng như thế ắt làm nên sự nghiệp, bọn ta nếu không theo về, ngày sau hối thì đã muộn ".
遂率子弟往從之,與立爲長,居陶澳󰀋.	Bèn dẫn con em đến theo, rồi lập làm trưởng ở sách đào áo.
其叔父㨿󱖮󰀋與帝拒戰.	Người chú của vua giữ sách bông chống đánh với vua.
時帝年幼,兵勢未振,因奔比.	Bấy giờ, vua còn ít tuổi, thế quân chưa mạnh, phải thua chạy.
過譚家娘灣橋,橋折,陷于淖[音泥也].	Khi qua cầu ở đàm gia nương loan, cầu gãy, vua rơi xuống bùn,
叔欲刺之,見二皇龍擁之,懼而退.	Người chú toan đâm, bỗng thấy hai con rồng vàng hộ vệ vua, nên sợ mà lui.
帝收餘卒復戰,叔乃降.	Vua thu nhặt quân còn sót, quay lại đánh, người chú phải hàng.
由是人人畏服,凡征戰所過易如破竹,號萬勝王.	Từ đấy ai cũng sợ phục, phàm đi đánh đến đâu đều dễ như chẻ tre, gọi là vạn thắng vương.
時十二使君自相䧺長,割據土宇.	Bấy giờ mười hai sứ quân đều tự xưng hùng trưởng, cát cứ đất đai.
吳昌熾,㨿平橋,吳日慶㨿,唐林,矯三制㨿峯州,阮太平㨿,阮家,灣,杜景碩據杜洞江,阮令公㨿西扶烈細江,則有吕佐唐僊遊,則有,阮守㨗超類,則有李郎公洄湖則有矯令公藤州,則有范防遏布海則有陳公.	Ngô xương xí chiếm bình kiều, ngô nhật khánh chiếm đường lâm, kiểu tam chế chiếm phong châu, nguyễn thái bình chiếm nguyễn gia loan, đỗ cảnh thạc chiếm miền sông đỗ động, nguyễn lệnh công chiếm tây phù liệt, tế giang thì có lữ tá đường, tiên du có nguyễn thủ tiệp, siêu loại có lý lãng công, hồi hồ có kiểu lệnh công, đằng châu có phạm phòng át, bố hải có trần minh công.
王一舉平之,遂自立爲帝.	Vua một phen cất quân là dẹp yên, bèn tự lập làm đế.
擇得潭村華地建.	Chọn được chỗ đất đẹp ở đàm thôn, vua muốn dựng
都居之,以其世狹隘,又無設險之利,復都華閭.	Đô ở đó, nhưng vì thế đất chật hẹp lại không có lợi về việc đặt hiểm, nên vẫn đóng đô ở hoa lư (nay là phủ trường yên).
戊辰,元年[宋開寳元年].	Mậu thìn, năm thứ nhất, (tống khai bảo năm thứ nhất).
帝即位,建國號大瞿越,徙京邑華閭洞,肇新都,築城鑿池,起宫殿,制朝儀.	Vua lên ngôi, đặt quốc hiệu là đại cồ việt, dời kinh ấp về động hoa lư, bắt đầu dựng đô mới, đắp thành đào hào, xây cung điện, đặt triều nghi.
羣臣上尊號曰大勝明皇帝.	Bầy tôi dâng tôn hiệu là đại thắng minh hoàng đế.
帝欲以威制天下,乃置大鼎于庭,養猛虎于檻,下令曰:"有違者受烹齧之罪".	Vua muốn dùng uy chế ngự thiên hạ, bèn đặt vạc lớn ở sân triều, nuôi hổ dữ trong cũi, hạ lệnh rằng: " kẻ nào trái phép phải chịu tội bỏ vạc dầu, cho hổ ăn ".
人皆畏服,無有犯者.	Mọi người đều sợ phục, không ai dám phạm.
黎文休曰:先皇以過人之才明,盖世之勇畧,當我越無主,羣䧺割㨿之時,一舉而十二使君盡服.	Lê văn hưu nói: tiên hoàng nhờ có tài năng sáng suốt hơn người, dũng cảm mưu lược nhất đời, đương lúc nước việt ta không có chủ, các hùng trưởng cát cứ, một phen cất quân mà mười hai sứ quân phục hết.
其開國建都,改稱皇帝,置百官,設六.	Vua mở nước dựng đô, đổi xưng hoàng đế, đặt trăm quan, lập sáu
軍,制度畧備,殆天意而我越復生聖哲以接趙王之綂也歟?	Quân, chế độ gần đầy đủ, có lẽ ý trời vì nước việt ta mà lại sinh bậc thánh triết để tiếp nối quốc thống của triệu vương chăng?
己巳,二年[宋開寳二年].	Kỷ tỵ, năm thứ hai, (tống khai bảo năm thứ hai).
閏五月,封長子璉爲南越王.	Tháng năm nhuận, phong con trưởng là liễn làm nam việt vương.
庚午,太平元年[宋開寳三年].	Canh ngọ, thái bình năm thứ nhất, (tống khai bảo năm thứ ba).
春,正月,建元[舊云我越年號始此.	(sử cũ nói rằng nước việt ta có niên hiệu bắt đầu từ đây.
因李南帝建元天德].	Nhưng lý nam đế đã đặt niên hiệu là thiên đức.
遣使如宋結好.	Sai sứ sang nhà tống giao hảo.
時宋命大將潘美平嶺南[劉鋹也],故有是命.	Bấy giờ nhà tống sai đại tướng phan mỹ dẹp yên lĩnh nam (chỉ lưu xưởng), cho nên mới có mệnh ấy.
立五皇后,[一曰舟嘉,二曰貞明,三曰矯國,四曰瞿國,五曰歌翁].	Lập năm hoàng hậu (một là đan gia, hai là trinh minh, ba là kiểu quốc, bốn là cồ quốc, năm là ca ông).
黎文休曰:天地並其覆載,日月並其照臨,故能生城萬物,發育庶類,亦猶皇后配儷宸極,故能.	Lê văn hưu nói: trời đất cùng che chở, mặt trời mặt trăng cùng chiếu soi, mới sinh thành muôn vật, nảy nở mọi loài, cũng như hoàng hậu sánh với ngôi vua, cho nên mới có thể
表率宫中,化成天下.	Đứng đầu tiêu biểu cho nội cung, tác thành cho thiên hạ.
自古秪立一人以主内治而已,未聞有五其名者.	Từ xưa chỉ lập một người để chủ việc nội trị mà thôi, chưa từng nghe nói lập đến năm người.
先皇無稽古學,而當時帬臣又無匡正之者,𦤶使溺私,並立五后.	Tiên hoàng không kê cứu cổ học, mà bầy tôi đương thời lại không có ai biết giúp sửa cho đúng, để đến nổi chìm đắm trong tình riêng, cùng lập năm hoàng hậu sau đến hai triều lê, lý cũng phần nhiều bắt chước làm theo, ấy là do tiên hoàng khởi xướng sự rối loạn thứ bậc vậy.
辛未,二年[宋開寳四年].	Tân mùi, năm thứ hai, (tống khai bảo năm thứ bốn).
初定文武,僧道.	Bắt đầu quy định cấp bật văn võ, tăng đạo.
以阮匐爲定國公;劉基爲都護府士師;黎桓爲十道將軍;僧綂,吳真流賜號匡越大師;張麻尼爲僧錄;道士鄧玄光授崇真威儀.	Lấy nguyễn bặc làm định quốc công, lưu cơ làm đô hộ phủ sĩ sư, lê hoàn làm thập đạo tướng quân, tăng thống, ngô chân lưu được ban hiệu là khuông việt đại sư, trương ma ni làm tăng lục, đạo sĩ đặng huyền quang được trao chức sùng chân uy nghi.
壬申,三年[宋開寳五年].	Nhâm thân, năm thứ ba, (tống khai bảo năm thứ năm).
遣南越王璉聘于宋.	Sai nam liệt vương liễn sang sứ thăm nhà tống.
癸酉,四年[宋開寳六年].	Quý dậu, năm thứ bốn, (tống khai bảo năm thứ sáu).
南越王璉使桓.	Nam việt vương liễn đi sứ về.
宋遣使封帝爲交趾郡王,璉檢校太師靜海軍節度使安南都護.	Nhà tống sai sứ sang phong cho vua làm giao chỉ quận vương, liễn làm kiểm hiệu thái sư tỉnh hải quân tiết độ sứ an nam đô hộ.
[制詞畧曰:"世爲右族,能保遐方,志慕華風,常思内附.	(lời chế đại lược nói: " đời làm vọng tộc, gìn giữ được phương xa, chí hâm mộ phong hoá trung hoa, thường nghĩ đến việc nội phụ.
九州混一,五嶺廓清,遂達梯航,乃輸聀貢.	Nay chín châu hợp một, miền ngũ lĩnh sạch quang, bèn trèo non vượt biển đến dâng đồ cống.
嘉令子稱藩之意,賜乃父裂土之封,秩以維師,疇之"井賦".	Khen người làm con biết giữ lễ phiên thần, vậy ban cho cha ngươi theo lối cắt đất phong tước, xếp phẩm trật cho vào hạng được cầm quân, được hưởng mức " tỉnh phú ".
用褒耆德,𡸈限彛章].	Như thế là để khen thưởng đức tốt của người già, há chỉ hạn chế trong điển chương thường lệ đâu?
甲戌,五年[宋開寳七年].	Giáp tuất, năm thứ năm, (tống khai bảo năm thứ bảy).
春,二月,定十道軍,一道十軍,一軍十旅,一旅十卒,一卒十伍,一伍十人,各戴四方平頂帽.	Mùa xuân, tháng hai, quy định về quân mười đạo: mỗi đạo có mười quân, một quân mười lữ, một lữ mười tốt, một tốt mười
乙亥,六年[宋開寳八年].	Ất hợi, năm thứ sáu, (tống khai bảo năm thứ tám).
遣鄭琇遺金帛,犀象于宋.	Sai trịnh tú đem vàng lụa, sừng tê, ngà voi sang nhà tống.
秋,宋遣鴻臚卿高保緒率王彦符齎󰀋加授南越王璉開府儀同三司,檢校太師,交趾郡王.	Mùa thu, nhà tống sai hồng lô tự khanh cao bảo tự dẫn đầu bọn vương ngạn phù đem chế sách sang gia phong cho nam việt vương liễn làm khai phủ nghi đồng tam ty, kiểm hiệu thái sư, giao chỉ quận vương.
是後,遣使如宋以璉爲主.	Từ đó về sau, sai sứ sang nhà tống đều lấy liễn làm chủ.
丙子,七年[宋開寳九年.	Bính tý, năm thứ bảy, (tống khai bảo năm thứ chín.
十月以後,宋太宗匡義,太平興國元年].	Từ tháng mười trở về sau thuộc về tống thái tông khuông nghĩa, niên hiệu thái bình hưng quốc năm thứ nhất).
春,海外諸國商舶來献方物.	Mùa xuân, thuyền buôn của các nước ngoài đến dâng sản vật của nước họ.
遣陳元泰如宋報聘.	Sai trần nguyên thái sang đáp lễ nhà tống.
冬,十月,宋太組崩.	Mùa đông, tháng mười, tống thái tổ băng.
丁丑,八年[宋太平興國二年].	Đinh sửu, năm thứ tám, (tống thái bình hưng quốc năm thứ hai).
遣使如宋賀太宗即位.	Sai sứ sang nhà tống mừng thái tông lên ngôi.
戊寅,九年[宋太平興國三年].	Mậu dần, năm thứ chín, (tống thái bình hưng quốc năm thứ ba).
春,正月,地震.	Mùa xuân, tháng giêng
爲皇太子,封次子璿爲衛王.	Làm hoàng thái tử, phong con thứ là toàn làm vệ vương.
二月,雨雹.	Tháng hai, mưa đá.
夏,六月,旱.	Mùa hạ, tháng sáu, nắng hạn.
己卯,十年[宋太平興國四年].	Kỷ mão, năm thứ mười, (tống thái bình hưng quốc năm thứ bốn).
春,南越王璉殺皇太子項郎.	Mùa xuân, nam việt vương liệt giết hoàng thái tử hạng lang.
璉帝長子,微時常預難苦,及定天下,帝意欲傳位,即封爲南越王,又賞請命受封于宋.	Liễn là con trưởng của vua, thuở hàn vi cùng chịu gian khổ, đến khi định yên thiên hạ, ý vua muốn truyền ngôi cho, mới phong làm nam việt vương, lại từng xin mệnh và nhận tước phong của nhà tống.
後帝生少子項郎,尤鍾愛之,立爲太子.	Sau vua sinh con nhỏ là hạng lang, rất mực yêu quý, lập làm thái tử.
璉以是不平,使人陰殺之.	Liễn vì vậy bất bình, sai người ngầm giết đi.
史臣吳士連曰:繼世以嫡,萬世常經,拂是經者,未有不𦤶亂也.	Sử thần ngô sĩ liên nói: nối ngôi dùng con đích là đạo thường muôn đời, bỏ đạo ấy, chưa từng không gây loạn.
間因世亂立太子,則先有功,其.	Cũng có khi nhân thời loạn mà lập thái tử, thì trước hết chọn người có công,
或嫡長過惡廢之,然後立次.	Hoặc con đích trưởng quá ác phải bỏ thì sau mới lập con thứ.
此處變而得其宜也,古人皆已行之矣.	Thế là xử việc lúc biến mà vẫn được đúng đắn, người xưa vẫn từng làm.
南越王璉,長且有功,未聞過矣.	Nam việt vương liễn là con trưởng, lại có công, chưa thấy lầm lỗi gì.
先皇乃愛少子而忘其嫡,謂足以伸鍾愛之情,不知適以害之也.	Tiên hoàng yêu con thứ mà quên con trưởng, cho như thế mới đủ tỏ tình yêu quý, không biết như thế là làm hại con.
而璉之忍心,至殺其弟,天倫滅矣,其禍至於殞身,以及其父,𡸈不烈矣哉!	Liễn lại nhẫn tâm, đến nỗi giết em, thiên đạo nhân luân mất hết, chuốc hoạ chết thiệt thân, còn liên luỵ cả cha nữa, há chẳng rùng rợn lắm thay !
不然杜釋大恶,何由而萌以符讖語也?	Không thế thì tội đại ác của đỗ thích do đâu nảy ra để hợp với lời sấm được?
冬,十月,秪候内人杜釋弑帝于宫庭.	Mùa đông, tháng mười, chi hậu nội nhân đỗ thích giết vua ở sân cung.
定國公阮匐等誅之.	Bọn đinh quốc công nguyễn bặc bắt được đem giết.
先是釋爲桐䦕吏,夜卧橋上,忽流星入口,釋以爲休徵,遂萌弑心.	Trước đó đỗ thích làm chức lại ở đồng quan, đêm nằm trên cầu, bỗng thấy sao sa rơi vào miệng, thích cho là điềm tốt, bèn nảy ra ý định giết vua.
至是,乘帝夜宴,醉卧庭.	Đến đây, nhân lúc vua ăn yến ban đêm, say rượu nằm trong sân,
中,遂殺之,害及南越王璉.	Thích bèn giết chết, lại giết luôn cả nam việt vương liễn.
時捕賊甚急,釋潜伏于宮霤,踰三日渴甚,遇雨以手盛水而飲,宫女見之以吿.	Khi ấy lệnh lùng bắt hung thủ rất gấp, thích phải lén núp ở máng nước trong cung qua ba ngày, khác lắm, gặp lúc trời mưa thò tay hứng nước uống, cung nữ trông thấy liền đi báo.
定國公阮匐使人收斬之,碎其骨,臠其肉,分與國人食之,不争啖焉.	Đinh quốc công nguyễn bặc sai người bắt đem chém, đập nát xương, băm thịt ra từng mảnh, chia cho người trong nước ăn, chẳng ai không tranh lấy mà nhai nuốt.
初帝微時,嘗漁于膠水江,綱得大圭,觸頭闕其角.	Ngày trước, khi vua còn hàn vi, thường đánh cá ở sông giao thuỷ, kéo lưới được viên ngọc khuê to nhưng va vào mũi thuyền, sứt mất một góc.
是夜投膠水寺宿,藏圭于魚筥底,待明是賣魚.	Đêm ấy vào ngũ nhờ ở chùa giao thuỷ, giấu ngọc ở dưới đáy giỏ cá, đợi sáng ra chợ bán cá.
時帝方熟睡,其筥有異光,寺僧起問故,帝言乃以圭示之.	Bấy giờ vua đang ngũ say, trong giỏ có ánh sáng lạ, nhà sư chùa ấy gọi dậy hỏi duyên cớ, vua nói thực và lấy ngọc khuê cho xem.
僧嘆曰:"吾子他日富貴不可言,但長耳".	Sư than rằng: " anh ngày sau phú quý không thể nói hết, chỉ tiếc phúc không được dài ".
又於太平五年,得讖文曰:"杜弑弑丁丁,黎家出聖明,兢頭多宏兒,道路絶人行.	Lại vào năm thái bình thứ năm, có lời sấm ngữ: " đỗ thích thí đinh đinh, lê gia xuất thánh minh, cạnh đầu đa hoành nhi, đạo lộ tuyệt nhân hành.
十八子登僊,計都二十天".	Thập bát tử đăng tiên, kế đô nhị thập thiên " (đỗ thích giết hai đinh, nhà lê nỗi thánh minh, tranh nhau nhiều hoành nhi, đường sá người vắng tanh.
人以爲天數自定云.	Người ta cho là số trời đã định như thế.
時定國公阮匐,外甲丁佃,與十道將軍黎桓奉衛王璿即皇帝位,尊帝曰先皇帝,尊親生母楊氏爲皇太后.	Khi ấy định quốc công nguyễn bặc, ngoại giáp đinh điền, cùng thập đạo tướng quân lê hoàn rước vệ vương toàn lên ngôi hoàng đế, tôn gọi vua là tiên hoàng đế, tôn mẹ đẻ là dương thị làm hoàng thái hậu.
奉先皇帝柩塟長焉山陵.	Rước linh cữu tiên hoàng đế về táng ở sơn lăng trường yên.
史臣吳士連曰:帝王之興,未有不本於天者也.	Sử thần ngô sĩ liên nói: đế vương dấy nghiệp không ai không nhờ ở trời.
然聖人不恃其命之在天,而尤盡其事之在我.	Nhưng thánh nhân không cậy có mệnh trời mà làm hết phận sự của mình.
事既濟矣,尤思患而豫防之.	Việc đã thành, lại càng lo nghĩ đề phòng.
禮樂刑政之脩,所以防人心也.	Sửa sang lể nhạc hình án chính sự là để phòng giữ lòng người.
重門擊析之設,所以待暴客也.	Đặt nhiều lần cửa, đánh hiệu canh là đề phòng kẻ hung bạo.
盖.	Bởi vì
大行皇帝.	Đại hành hoàng đế.
姓黎,諱桓,愛州人也,仕丁爲十道將軍;宋師來侵,領兵出拒,遂代丁而有天長春殿.	Họ lê, tên huý là hoàn, người ái châu, làm quan nhà đinh đến chức thập đạo tướng quân; quân tống xâm lược đem quân ra chống cự, rồi thay nhà đinh làm vua; ở ngôi hai mươi bốn năm, thọ sáu mươi lăm tuổi, băng ở điện trường xuân.
下;在位二十四年,壽六十五,崩于帝乘内姦而取國,却外寇以安民,海内晏然,北南無事.	Vua trừ nội gian mà lấy được nước, đuổi giặc ngoài để yên dân, trong nước thanh bình, bắc nam vô sự.
惜其見儲不早,使後嗣内訌,以至於亡;其於夫婦之倫,多有慚德].	Tiếc rằng không sớm chọn con nối, khiến cho con cái tranh nhau bên trong, dẫn đến mất ngôi; về đạo vợ chồng có nhiều điều đáng thẹn.
先是帝父覔,母鄧氏,初懷娠夢腹中生蓮花,俄而結實,取之分與人,而己獨不食,及覺莫察其故.	Trước kia cha vua là mịch, mẹ là đặng thị, khi mới có thai chiêm bao thấy trong bụng nở hoa sen, chỉ chốc lát đã kết hạt, bèn lấy chia cho mọi người, còn mình thì không ăn, tỉnh dậy không hiểu nguyên do thế nào.
以晋天福六年,辛丑,秋,七月,十五日,誕生.	Đến khi năm thiên phúc thứ sáu thời tấn là năm tân sửu, mùa thu, tháng bảy, ngày mười lăm, sinh ra vua.
鄧氏見丰好異常,示人曰:"此兒長成,恐吾不及享其祿".	Đặng thị thấy tướng mạo khác thường, bảo với mọi người rằng: " thằng bé này lớn lên, ta sợ không kịp hưởng lộc của nó ".
數年母亡,父亦.	Được vài năm thì mẹ chết, sau đó cha
尋卒,惸[音煢獨也]然一身,孤寒萬状.	Cũng qua đời, trơ trọi một thân, muôn vàn cô đơn đói rét.
本州有黎觀察者,見而異之曰:"此兒資格,非庸人比".	Trong thôn có viên quan sát họ lê trông thấy lấy làm lạ, nói: " tư cách đứa trẻ này, người thường không sánh được ".
復以同姓之故,養以爲子,朝夕撫育,不啻己出常遇.	Lại thấy là cùng họ nên nhận làm con nuôi, sớm chiều chăm sóc dạy dỗ, không khác gì con đẻ.
冬寒帝覆舂[擣米噐也].	Có đêm mùa đông trời rét, vua úp cối mà ngũ.
是夜,祥光盈室,觀察潜往觀之,乃黃龍擁其上也,由是愈噐之.	Đêm ấy ánh sáng đẹp đầy nhà, viên quan sát lén đến xem, thì thấy con rồng vàng che ấp bên trên, vì thế lại càng thêm quý trọng.
及長往事南越王璉,倜儻有大志.	Lớn lên theo giúp nam việt vương liễn, phóng khoáng, có chí lớn.
先皇嘉其智勇,度必能濟事,遂以士卒二千人與之,累迁至十道將軍殿前都指揮𣐳.	Tiên hoàng khen là người trí dũng, chắc thế nào cũng làm được việc, bèn giao cho cai quản một nghìn quân sĩ, thăng dần đến chức thập đạo tướng quân điện tiền đô chỉ huy sứ.
至是代丁氏爲帝,乃都華閭.	Đến đây thay họ đinh làm vua, đóng đô ở hoa lư.
辛巳,二年,[宋太平𦥷國六年,按歴代年紀諸本皆以是年爲天福元年,今改之].	Tân tỵ, thiên phúc ] năm thứ hai, (tống thái bình hưng quốc năm thứ sáu, xét các bản chép niên kỷ các triều đều ghi năm này là năm thiên phúc thứ nhất, nay sửa lại).
春,三月,侯仁保,孫全興至諒山,陳欽祚至西結,劉澄至白虅江.	Mùa xuân, tháng hai, hầu nhân bảo, tôn hoàng hưng đến lạng sơn, trần khâm tộ đến tây kết, lưu trừng đến sông bạch đằng.
帝自將禦之,使士卒植樁捍江宋兵退復至支陵江.	Vua tự làm tướng đi chặn giặc, sai quân sĩ đóng cọc ngăn sông chi lăng.
帝令士卒詐降以誘仁寳,因擒斬之.	Vua sai quân sĩ trá hàng để dụ nhân bảo, đem chém.
欽祚等聞水軍敗,引兵還.	Nghe tin quân thuỷ thua trận, dẫn quân về.
帝出諸將擊之,欽祚軍大敗,死者太半,屍填原野,擒其將郭君辨,趙奉勳歸華閭.	Vua đem các tướng danh, quân của khâm tộ thua to, chết đến quá nửa, thây chết đầy đồng, bắt được tướng giặc là quách quân biện, triệu phụng huân đem về hoa lư.
由是海内大定,群臣上尊號曰明乾應運神武昇平至仁廣孝皇帝.	Bầy tôi dâng tôn hiệu là minh càn ứng vận thần vũ thăng bình chí nhân quảng hiếu hoàng đế.
黎文休曰:黎大行之誅丁佃,執阮匐,擒君辨,虜.	Lê văn hưu nói: lê đại hành giết đinh điền, bắt nguyễn bặc, tóm quân biện,
奉勳如驅小兒,如役奴󰒜,曾不數年而疆土大定,其戰勝攻取之功,雖漢唐無以過也.	Phụng huân dễ như lùa trẻ con, như sai nô lệ, chưa đầy vài năm mà bờ cõi định yên, công đánh dẹp chiến thắng dẫu là nhà hán, nhà đường cũng không hơn được.
或問:大行與李太祖,孰優?	Có người hỏi: đại hành với lý thái tổ ai hơn?
曰:自其削平内奸,攘挫外寇,以状我越,以威宋人而言,則李太祖不如大行之功爲難.	Thưa rằng: kể về mặt trừ dẹp gian trong, đánh tan giặc ngoài, làm mạnh nước việt ta, ra oai với người tống thì lý thái tổ không bằng lê đại hành có công lao gian khổ hơn.
自其素著恩威,人樂推戴,延長國祚,垂裕後昆而言,則大行不如李太祖之慮爲長.	Nhưng về mặt tỏ rõ ân uy, lòng người suy tôn, hưởng nước lâu dài, để phúc cho con cháu thì lê đại hành không bằng lý thái tổ lo tính lâu dài hơn.
然則太祖優歟?	Thế thì lý thái tổ hơn ư?
曰:優則不知,但以李德󰗯黎爲厚爾,當從李.	Đáp: hơn thì không biết, chỉ thấy đức của họ lý dày hơn họ lê, vì thế nên nói theo họ lý.
史臣吳士連曰:三綱之道,萬世常經,不可一日.	Sử thần ngô sĩ liên nói: tam cương là đạo thường của muôn đời, không thể một ngày
紊.	Rối loạn.
大行居攝之時,衛王雖幼其君也,乃稱副王,將有不利.	Khi đại hành giữ chức nhiếp chính, vệ vương tuy còn nhỏ nhưng vẫn là vua, thế mà đại hành tự xưng là phó vương, rắp tâm làm điều bất lợi.
春秋之法,人人皆得舉行之.	Đó là phép của sách xuân thu, người người điều được nêu lên mà thi hành.
阮匐,丁佃安得恝然忍視之哉?	Nguyễn bặc, đinh điền sao có thể nhẫn tâm điềm nhiên mà nhìn?
於是退而起兵聲罪,𦤶討圖存社稷,忠義之臣也.	Rồi lui về dấy quân hỏi tội, mưu giữ xã tắc, thế là bầy tôi trung nghĩa đấy.
事不濟而死,則謂死節之神.	Việc không xong mà chết, thế là bề tôi tử tiết đấy.
文休之論,乃儕諸亂賊,使人倫之道不明於後世,將啓篡奪之萌,凣有權力者,争慕效之,綱常掃地矣,不得不辨.	Lời bàn của văn hưu lái đánh đồng với hàng loạn tặc, khiến cho đạo nhân luân không được sáng tỏ với đời sau, gây mầm mống tiếm đoạt, để cho những kẻ có quyền lực tranh nhau bắt chước, quét sạch cương thường, vì thế không thể không biện bác.
宋江南轉運使許仲宣以仁寳敗死事聞.	Giang nam chuyển vận sứ của nhà tống là hứa trọng tuyên đem việc nhân bảo thua chết tâu lên.
宋帝詔𤤻師,遣使讓劉澄,賈湜,王僎等.	Vua tống xuống chiếu rút quân về, sai sứ quở trách bọn lưu trừng, giả thực, vương soạn.
澄病死,󰱓戮于.	Trùng ốm chết, soạn bị giết ở
邕州,孫全興亦坐棄市.	Ung châu, tôn hoàng hưng cũng bị giết bêu ở chợ.
壬午,三年,[宋太平國七年].	Nhâm ngọ, thiên phúc năm thứ ba, (tống thái bình hưng quấc năm thứ bảy).
興立丁朝皇太后楊氏爲大勝明皇后.	Lập hoàng thái hậu nhà đinh là dương thị làm đại thắng minh hoàng hậu.
后先皇配,衛王璿母也.	Hậu là vợ của tiên hoàng, mẹ đẻ của vệ vương toàn.
帝得國時,納之宫中,至是立爲后,與奉乾至理皇后,順聖明道皇后,鄭國皇后,范皇后並爲五皇后.	Khi vua lấy được nước, đem vào cung, đến đây lập làm hoàng hậu, cùng với phụng càn chí lý hoàng hậu, thuận thánh minh đạo hoàng hậu, trịnh quấc hoàng hậu, phạm hoàng hậu là năm hoàng hậu (về sau, tục dân lập đền thờ, tô tượng hai vua tiên hoàng và đại hành và tượng dương hậu cùng ngồi, hồi quốc sơ vẫn còn như thế.
安撫使黎叔顯始革去].	Sau an phủ sứ lê thúc hiển mới bỏ).
史臣吳士連曰:夫婦人倫之首,王化之端.	Sử thần ngô sĩ liên nói: đạo vợ chồng là đầu của nhân luân, dây mối của vương hoá.
易下經首,󰦭,恒示取女必以正也.	Hạ kinh của kinh dịch nêu quẻ hàm và quẻ hằng lên đầu, là để tỏ cái ý lấy đàn bà tất phải chính đáng.
大行通滛君后,至於偃然立以爲后,羞惡之心忘矣.	Đại hành thông dâm với vợ vua, đến chỗ nghiễm nhiên lập làm hoàng hậu, mất cả lòng biết hổ thẹn.
子效之,滛佚取亡,𡸈無󰧉禍之端哉?	Con mình bắt chước mà dâm dật đến nỗi mất nước, há chẳng phải là mở đầu mối hoạ đó sao?
帝親征占城,克之.	Vua thân đi đánh chiêm thành, thắng được.
先是,帝遣辭穆,吳子庚使占城,爲其所執.	Trước đó vua sai từ mục, ngô tử canh sang sứ chiêm thành, bị người chiêm bắt giữ.
帝怒,繕戰船,治戈甲,自將討之,斬其篦眉税于陣.	Vua giận, sai đóng chiến thuyền sửa binh khí, tự làm tướng đi đánh, chém bê mi thuế tại trận.
占城大敗.	Chiêm thành thua to.
俘獲士卒不可勝計,獲宫妓百人及天竺僧一人,遷其重噐,收金銀寳貨以萬數,夷其城池,毀其宗廟,朞月還京師.	Bắt sống được quân sĩ của chúng nhiều vô kể, cùng là kỹ nữ trong cung trăm người và một nhà sư người thiên trúc, lấy các đồ quý đem về, thu được vàng bạc của báu kể hàng vạn, san phẳng thành trì, phá huỷ tông miếu, vừa một năm thì trở về kinh sư.
是歲大饑.	Năm ấy đói to.
癸未,四年,宋太平國八年].	Quý mùi, năm thứ bốn, (tống thái bình hưng quấc năm thứ tám).
興春,遣使通好于宋.	Mùa xuân, sai sứ sang thông hiếu với nhà tống.
初帝征占城,管甲劉繼宗遁居其國.	Trước kia vua đi đánh chiêm thành, quảng giáp lưu kế tông trốn ở lại nước ấy.
