趙紀.	Kỷ nhà triệu.
當使人奉書詣行在𢪒禀,督集財賦以供國用則以功凖過,朝廷自有典憲,而舅之前日勳業得以復全,累世勳各事業永永不替.	Nên sai người mang thư đến hành tại lạy trình, rồi đốc nộp tiền thuế để cung việc chi dùng của nhà nước thì lấy công trừ lỗi, triều đình đã có pháp điển, mà công lao ngày trước của cậu lại được toàn vẹn, huân danh sự nghiệp bao đời, bền lâu mãi mãi.
若其不爾,則以順攻逆,朝廷用兵有各矣,舅之各節當如何耶?	Nếu không thế, thì lấy thuận đánh nghịch, triều đình dùng binh đã có cớ rồi, danh tiết của cậu sẽ ra làm sao?
舅在兵務常以經史留心,其審思之,毋貽後悔".	Cậu trong việc quân thường vẫn lưu ý đến kinh sử, xin hãy nghĩ kỹ, đường để hối hận về sau ".
義澤行至境内,揣知黄素多謀,自貯詔書于筒,置于野外叢處,使舍人移來.	Nghĩa trạch vào trong cõi, do biết hoàng vốn là người đa mưu, liền bỏ chiếu thư vào ống, giấu ở bụi rậm ngoài đồng rồi sai xá nhân chuyển báo.
黄聞之,謀奪詔書,圖辱使者.	Hoàng nghe tin nghĩa trạch tới, lập mưu cướp chiếu thư, làm nhục sứ gả.
夜令勇士就于住處刼奪囊槖罄尽,回㸔不見詔書,又使就于住舘悉焚之.	Đêm sai dũng sĩ đến chỗ trọ cướp hết hòm xiểng đem về, thấy không có chiếu thư, lại sai tới đốt hết cả quán trọ.
黄.	Hoàng
以爲書文尽焚扵烈焰之中.	Cho là giấy tờ đều bị cháy hết trong đám lửa rồi.
明日親率将佐,整飭象馬,儀衛來迎,望見義澤两手捧書而至,乃自駭愕顧謂将佐曰:"天生主将,朝廷有人".	Hôm sau, hoàng thân dẫn tướng tá chỉnh đốn voi ngựa, nghi vệ ra đón, trông thấy nghĩa trạch hai tay bưng thư đi đến, lấy làm kinh ngạc, bảo với tướng tá rằng: " trời sinh chủ tướng, triều đình có người giỏi ".
自是,無復有睥睨之志.	Từ đấy, không có ý ngấp nghé gì nữa.
率本道兵船艘三百隻,自稱海陽大将.	Người địa phương miền đông là nguỵ uy vũ hầu (không rõ tên) thống xuất ba trăm binh thuyền đạo đó, tự xưng là hải dương đại tướng.
莫宗親僞祁惠王招山南兵,自稱南土節制.	Người họ mạc là nguỵ kỳ huệ vương chiêu mộ quân ở sơn nam, tự xưng là nam thổ tiết chế.
時,莫茂洽母僞稱國母,代居尊位.	Bấy giờ, mẹ mạc mậu hợp nguỵ xưng là quốc mẫu, lên thay ngôi báu.
莫氏宗室及餘黨前避山林者,至是𭁈茂洽長子[缺名].	Người tông thất họ mạc và dư đảng khi trước tránh vào rừng núi, đến đây cùng với con trưởng của mậu hợp (không rõ tên) đều đến kính lạy chào.
茂洽母使人迎敬恭,自推恩賞,上自官員,下至庶民,不拘.	Mẹ mậu hợp sai người đi đón kính cung, tự ban ân thưởng, trên từ quan viên, dưới đến thứ dân, không kể
新舊勳勞,各封爲都指揮使,同知,僉事,左右校點等聀.	Công lao mới hay cũ, đều phong làm các chức đô chỉ huy sứ, đồng tri, thiêm sự, tả hữu hiệu điểm.
秋七月,敬恭在関門,𭛁行至武寕,市橋,吳廷峩等各率本属縣兵往迎之,敬恭皆仍其爵.	Mùa thu, tháng bảy, kính cung khởi hành từ cửa quan, đến thị cầu, huyện vũ ninh, bọn ngô đình nga đều đem quân huyện mình ra đón.
扵是,天下官員将士共迎敬恭至京師.	Thế rồi, quan viên tướng sĩ trong nước cùng rước kính cung tới kinh sư.
時,帝在清華,留鎮郡公鄭林扶駕,遣尚父平安王出兵拜頂處駐營.	Bấy giờ, vua ở thanh hoa, lưu trấn quận công trịnh lân ở lại hộ giá, sai thượng phụ bình an vương đem quân ra đóng ở xứ bái đính.
僞雲郡[缺名]來降,令饒其罪.	Quân vân nguỵ (không rõ tên) đến hàng, hạ lệnh tha tội cho.
八月,進兵出長安.	Tháng tám, tiến quân ra phủ trường yên.
捉得茂洽母在中都城.	Bắt được mẹ mậu hợp ở thành trung đô.
船出喝門,直進至京.	Thuyền ra cửa sông hát, tiến thẳng đến kinh.
莫兵大敗,溺死者不可勝計.	Quân mạc thua to, chết đuối nhiều không kể xiết.
由是尽復京城.	Từ đấy thu phục hết kinh thành.
数日,潘彦弟瓊郡出首,亦饒其罪.	Vài ngày sau, em phan ngạn là quận quỳnh ra thú, cũng tha tội cho.
時僞西道将涯郡[缺名],髙郡[缺名],㨿兵于日昭地方.	Bấy giờ, tướng tây đạo nguỵ là quận nhai (không rõ tên), quận cao (không rõ tên) đóng quân ở mạn nhật chiêu.
夜時,大兵潜至日昭營.	Ban đêm, đại quân bí mật tiến đến dinh nhật chiêu.
涯郡驚走.	Quận nhai sợ chạy.
收獲船四十隻;象七隻,來献營門.	Thu được bốn mươi chiếc thuyền và bảy con voi, đem dâng ở cửa dinh.
王大喜.	Vương mừng lắm.
九月,捕得吳廷峩于天德江献營門,令斬之.	Tháng chín, bắt được ngô đình nga ở sông thiên đức dâng nộp ở cửa dinh, sai đem chém.
僞威武侯,南陽侯[缺名]将船二百隻至青池縣,翁莫處𭁈官軍交戦,大敗;威武侯走㨿海門.	Uy vũ hầu và nam dương hầu nguỵ (đều không rõ tên) đem hai trăm chiếc thuyền đến xứ ông mạc, huyện thanh trì giao chiến với quan quân, thua to; uy vũ hầu chạy ra chiếm giữ cửa biển.
禁遏鹹盐買賣.	Ngăn cấm việc mua bán muối.
冬,十月,平安王差海郡公阮廷倫領兵南征.	Mùa đông, tháng mười, bình an vương sai hải quận công nguyễn đình luân đem quân đi đánh phương nam.
船至黄江口,𭁈南陽交戦,敗走,棄船四十餘隻,收兵回京.	Thuyền đến cửa sông hoàng giang, giao chiến với nam dương hầu, bị thua chạy, bỏ lại hơn bốn mươi chiếc thuyền, thu quân trở về kinh sư.
王大怒,遂罷其聀.	Vương nổi giận, liền bãi chức của luân.
十一月,大赦,改元,以是年爲弘定元年.	Tháng mười một, đại xá, đổi niên hiệu, lấy năm ấy làm hoằng định năm thứ nhất.
立浮橋過大江于翁莫津.	Bắc cầu phao qua sông cái ở bến ông mạc.
十二月,殺萬郡公[缺名]在草津.	Tháng mười hai, giết vạn quận công (không rõ tên) ở thảo tân.
莫敬恭走至金城縣,使南郡[缺名]㨿南昌縣,立營寨水步,日夜廵守.	Mạc kính cung chạy đến huyện kim thành, sai quận nam (không rõ tên) giữ huyện nam xang, lập doanh trại thuỷ bộ, ngày đêm tuần hành phòng giữ.
南郡殺威武侯取其粮食.	Quận nam giết uy vũ hầu để cướp lương thực.
山西将涯郡,髙郡等避居大同,土官隂毒殺之.	Các tướng ở sơn tây là bọn quận nhai, quận cao lánh về ở đại đồng, bị viên thổ quan ở đó ngầm đánh thuốc độc giết chết.
辛丑,弘定二年,[明萬曆春,二十九年].	Tân sửu, năm thứ hai, (minh vạn lịch năm thứ hai mươi chín).
正月,平安王大兵進𭛁,𭁈賊黨南陽交戦.	Mùa xuân, tháng giêng, đại quân của bình an vương tiến phát, giao chiến với đảng giặc là nam dương.
官軍前鋒振郡公[缺名]亡于陣.	Tiền phong của quan quân là chấn quận công (không rõ tên) chết tại trận.
會賊黨南郡,峩郡俱死,官軍大勝,收󰱐船艘,婦.	Vừa khi quận nam và quận nga của giặc đều chết, quan quân đại thắng, thu được thuyền bè, phụ
女,牛畜,財物以千数還京.	Nữ, trâu bò súc vật và tiền của kể hàng nghìn đem về kinh.
梟南郡,峩郡二首于長安以令眾.	Bêu hai thủ cấp của quận nam và quận nga ở trường yên để thị uy.
後又擒得南郡季弟漕郡渭郡來献軍門,悉斬之.	Sau lại bắt được em của quận nam là quận tào và quận vị đem nộp ở cửa quân, đều chém cả.
令下招安,人民悅服.	Hạ lệnh chiêu an, dân chúng vui vẻ thuận phục.
三月,平安王差兵畧定海陽.	Tháng ba, bình an vương sai quân đi dẹp miền hải dương.
莫敬恭聞之,自棄兵馬而走.	Mạc kính cung nghe tin, bỏ cả binh mã mà chạy.
大兵進至,悉燒毀營寨而還.	Đại quân đến nơi, đốt hết doanh trại rồi về.
夏,四月,擒得僞勇郡,誅之.	Mùa hạ, tháng bốn, bắt được quận dũng nguỵ đem giết.
[勇郡青池人也].	(quận dũng người huyện thanh trì).
天雨石.	Trời mưa đá.
五月,修築堤路自彰德至羙良以待迎接乘輿.	Tháng năm, sửa đắp đê đường từ huyện chương đức đến huyện mỹ lương để đón rước xa giá.
秋,八月,帝自清華進至京師,登御正殿.	Mùa thu, tháng tám, vua từ thanh hoa tiến về kinh sư, ngự lên chính điện.
有黄竜之瑞.	Có điềm rồng vàng.
冬,十一月,始開鄕試科取士.	Mùa đông, tháng mười một, bắt đầu mở khoa thi hương chọn học trò.
十二月,命登郡公阮啓領兵畧定山西,京北地方.	Tháng mười hai, sai đăng quận công nguyễn khai đem quân đi dẹp các vùng sơn nam, kinh bắc.
明年二月還京.	Đến tháng hai năm sau trở về kinh.
壬寅三年,[明萬曆三十年].	Nhâm dần, năm thứ ba, (minh vạn lịch năm thứ ba mươi).
春,二月,會試天下士人.	Mùa xuân, tháng hai, thi hội các sĩ nhân trong nước.
取中格阮登等十名.	Lấy đỗ bọn nguyễn đăng mười người.
及廷試,上御敬天殿,親策.	Đến khi thi đình, vua ngự điện kính thiên, thân hành ra đầu đề văn sách.
賜阮登等二名進士出身,阮珙等八名同進士出身.	Cho bọn nguyễn đăng hai người đỗ tiến sĩ xuất thân, bọn nguyễn cung tám người đỗ đồng tiến sĩ xuất thân.
閏二月,大同土将淳郡公[缺名]來降.	Tháng hai nhuận, viên thổ tướng đại đồng là thuần quận công (không rõ tên) về hàng.
三月,天雨雹.	Tháng ba, trời mưa đá.
夏,四月,俘獲僞惠武王檻送京師斬之.	Mùa hạ, tháng bốn, bắt được huệ vũ vương nguỵ đóng cũi giải về kinh sư đem chém.
是月,望,月有食之.	Tháng này, ngày mười lăm, có nguyệt thực a }.
秋,八月,平安王觀兵于草津.	Mùa thu, tháng tám, bình an vương duyệt quân ở thảo tân.
癸卯,四年[明萬曆十一年].	Quý mão, năm thứ bốn, (minh vạn lịch năm thứ ba mươi mốt).
三春,三月,月中有黒子三點.	Mùa xuân, tháng ba, trong mặt trăng có ba điểm đen.
副使范鴻儒,阮名世,阮郁,阮惟時等二部如明歳貢.	, các phó sứ phạm hồng nho, nguyễn danh thế, nguyễn úc, nguyễn duy thì sang tuế cống nhà minh.
丁未,八年,[明,萬曆十五年].	Đinh mùi, năm thứ tám, (minh vạn lịch năm thứ ba mươi lăm).
取中格吳仁澈等五名.	Lấy đỗ bọn ngô nhân triệt năm người.
及殿試,賜劉廷質進士出身,吳仁澈等四各同進士出身.	Đến khi thi điện, cho lưu đình chất đỗ tiến sĩ xuất thân, bọn ngô nhân triệt đỗ đồng tiến sĩ xuất thân.
戊申,九年[明,萬曆十六年].	Mậu thân, năm thứ chín, (minh vạn lịch năm thứ ba mươi sáu).
三春,二月,初三日,日中有暈两重.	Mùa xuân, tháng hai, ngày mồng ba, mặt trời có hai lớp quầng.
是歳,天下飢.	Năm ấy, trong nước bị đói.
秋,冬粟米大貴,人多餓死.	Mùa thu, mùa đông thóc gạo quá đắt, nhiều người chết đói.
庚戌,十一年,[明,萬曆十八年].	Canh tuất, năm thứ mười một, (minh vạn lịch năm thứ ba mươi tám).
取中格阮進用等七名.	Lấy đỗ bọn nguyễn tiến dụng bảy người.
及廷試,賜阮文奎進士出身,阮.	Đến khi thi đình, cho nguyễn văn khuê đỗ tiến sĩ xuất thân, bọn nguyễn
進用等六名同進士出身.	Tiến dụng sáu người đỗ đồng tiến sĩ xuất thân.
冬,十月,户部左侍郎衍嘉侯黎弼四啓言扵平安王,其一:定世子預付兵權以固人心;其二:處置強藩以一制度:"夫王者,以天下爲一家,卧榻之側,𡸈容他人鼾睡?	Mùa đông, tháng mười, hộ bộ tả thị lang diễn gia hầu lê bật tứ khai với bình an vương về việc thứ nhất là lập thế tử, dự trao binh quyền để cố kết lòng người; việc thứ hai là xử trí bọn phiên trấn mạnh để thống nhất chế độ: " bậc vương giả coi cả nước là một nhà, bên giường nằm, lẽ nào để cho kẻ khác nằm ngáy?
兹太原,諒山,廣南,順化等處,本是先王境土,曠年積弊,任彼自爾強梁.	Nay các xứ thái nguyên, lạng sơn, quảng nam, thuận hoá vốn là bờ cõi của tiên vương, thế mà lâu năm chứa tệ, để mặc cho họ ngoan ngạnh.
若不處置,恐爲異日之患.	Nếu không xử trí, sợ thành mối lo sau này.
今聖上濟英雄之志,百戦百勝以有天下.	Nay thánh thượng gắng chí anh hùng, trăm trận trăm thắng mà lấy được cả thiên hạ.
将佐雲集,士勇技精.	Tướng tá đông như mây vần, quân sĩ dũng mãnh, kỹ thuật tinh nhuệ.
飲馬則河水乾,磨劎則山石缺,戦船千艘,雄象百数.	Ngựa uống thì nước sông cạn, mài dao thì đá núi lở, thuyền chiến nghìn chiếc, voi khoẻ hàng trăm.
下精兵悉聚京師而縱賊不擊,此所謂養虎遺患也.	Quân tinh nhuệ trong nước đều họp cả ở kinh sư mà nuông giặc không đánh, thế là nuôi hổ để mối lo về sau vậy.
昔唐憲宗從黄裳之請,以法度裁制藩鎮,卒成中興之功.	Ngày xưa, đường hiến tông nghe lời bàn của hoàng thường, lấy pháp độ mà kiềm chế phiên trấn, rồi làm nên công nghiệp trung hưng.
由唐以來,𡸈無忠言以啓之乎?	Từ đời đường đến nay há lại không còn những lời trung thành nào để trình lên nữa hay sao?
恭乞裁斷行之.	Kính xin quyết đoán thi hành.
國家之億萬年無疆之業其在扵此".	Cơ nghiệp ức vạn năm vô cùng của nước nhà là do ở đấy ".
辛亥,十二年,[明,萬曆十九年].	Tân hợi, năm thứ mười hai, (minh vạn lịch năm thứ ba mươi chín).
三冬,十月,十六日,傘圓山崩凣十二丈餘.	Mùa đông, tháng mười, ngày mười sáu, núi tản viên bị lở đến hơn mười hai trượng.
十八日,安越縣,天雨血凣一日夜壬子,十三年,[明,萬曆四十年].	Nhâm tý, năm thứ mười ba, (minh vạn lịch năm thứ bốn mươi).
秋,八月,御史󰱑僉都御史芳泉伯阮惟時𭁈十三道監察御史范珍等啓言扵平安王以爲:"民者,國之本,治國之道,爱民而.	Mùa thu, tháng tám, ngự sử đài thiêm đô ngự sử phương tuyền bá nguyễn duy thì cùng giám sát ngự sử mười ba đạo là bọn phạm trân khải lên bình an vương rằng: " dân là gốc của nước, đạo trị nước chỉ là yêu dân mà
已.	Thôi.
又聞,天𭁈民一理,民心悅則天意得矣.	Lại nghĩ rằng trời với dân cùng một lẽ, lòng dân vui thích tức là được ý trời rồi.
是以,善爲國者,爱民如父母爱子,聞其飢寒爲之哀,見其勞苦爲之恤,禁其苛暴,止其擅賦,使民皆遂其生養而無愁恨嘆息之聲.	Cho nên người giỏi trị nước, yêu dân như cha mẹ yêu con, thấy họ đói rét thì thương, thấy họ lao khổ thì xót, cấm hà khắc bạo ngược, ngăn thuế khoá bừa bãi, để cho dân được thoả sống mà không còn tiếng sầu hận oán than.
此所謂知治國之道,使民之誼也.	Thế mới là biết đạo trị nước, biết cách sai dân.
今聖上有意於民,一政之施務在養民,一令之行深戒擾民.	Nay thánh thượng để ý tới dân, thi hành một chính sách cốt để nuôi dân, ban ra một mệnh lệnh, cũng nghiêm răn nhiễu dân.
其爱民之心,真天地父母之爲量者.	Lòng yêu dân đó, thực là lượng cả của trời đất, cha mẹ vậy.
第奉行者,未能仰體德意,務行苛虐,𧡟爲奢侈,該一縣則困一縣之民,該一社則困一社之民,凣其擾民之事,無所不爲,.	Nhưng kẻ thừa hành thì chưa biết thể theo đức ý của bề trên, chỉ chăm làm điều hà khắc bạo ngược, đua nhau xa xỉ, coi một huyện thì làm khổ dân một huyện, coi một xã thì làm khổ dân một xã, mọi việc nhiễu dân, không điều gì không làm,
使天下之民,男或無衣,女或無裳,𰙔唱之席不復置,婚姻之禮不復備,養生送死無所資,飲食日用無所給,貧弱氓隷昆虫草木俱不得遂其生.	Khiến dân trong nước, con trai thì không có áo, con gái thì không có váy, tiệc hát xướng không còn, lễ cưới xin không đủ, sống nuôi chết đưa không trông cậy vào đâu, ăn uống chi dùng hàng ngày mọi bề đều thiếu, dân mọn nghèo hèn cho đến sâu bọ cỏ cây đều không sống nổi.
是以,感動天地,致天心未上順,洪水之灾泛溢過常,得非時政所䦕,其可不恐惧,脩省,思所以致此之𠧨乎?	Vì thế, cảm động đến đất trời, khiến cho lòng trời ở trên không thuận, tai hoạ lũ lụt tràn ngập quá mức thường, chắc là có quan hệ với chính sự hiện nay, há chẳng nên sợ hãi, tu tỉnh, nghĩ đến tội lỗi gây nên thế sao?
必䏻行保民之政則下順民心,上合天意,而轉灾爲祥,年榖屡登,家人給足,海内昇平,國家億萬年之基業今其自是有永矣".	Nếu biết thi hành chính sách bảo vệ dân thì dưới thuận lòng người, trên hợp ý trời, và chuyển tai hoạ thành điềm lành, lúa được mùa luôn, người người no đủ, trong nước thái bình, cơ nghiệp ức muôn năm của nước nhà từ nay cũng do đó mà bền vững lâu dài vậy ".
冬,十月,太傅清郡公鄭𭫨擒得僞蕭國于天健.	Mùa đông, tháng mười, thái phó thanh quận công trịnh tráng bắt được tiêu quốc nguỵ ở núi thiên kiện.
山[蕭國金榜,不奪人也].	(tiêu quốc người xã bất đoạt, huyện kim bảng).
癸丑,十四年,[明,萬曆十一年].	Quý sửu, năm thứ mười bốn, (minh vạn lịch năm thứ bốn mươi mốt).
取中格裴必勝等七名.	Lấy đỗ bọn bùi tất thắng bảy người.
至廷試,賜阮俊等七名並同進士出身.	Đến khi thi đình, cho bọn nguyễn tuấn bảy người đều đỗ đồng tiến sĩ xuất thân.
夏,四月,遣正使劉廷質,阮登,副使阮德澤,黄琦,阮政,阮師卿等二部如明歳貢.	Mùa hạ, tháng bốn, sai hai đoàn sứ bộ gồm chánh sứ lưu đình chất và nguyễn đăng, cùng phó sứ nguyễn đức trạch, hoàng kỳ, nguyễn chính, nguyễn sư khanh sang tuế cống nhà minh.
五月,望,月有食之.	Tháng năm, ngày rằm, có nguyệt thực.
八月,命太傅清郡公鄭𭫨經畧安廣等處恢拓境土.	Tháng tám, sai thái phó thanh quận công trịnh tráng đi dẹp các xứ yên quảng để mở rộng bờ cõi.
所至,人民㱕附,留属将鎮守而還.	Đi đến đâu, nhân dân quy phụ đến đấy.
冬,十一月,命朝臣分行各處問民疾苦.	Mùa đông, tháng mười một, sai triều thần chia nhau đi các xứ xét hỏi nỗi đau khổ của dân gian.
漂流者饒役三年使得安居復業.	Người phiêu giạt thì tha tạp dịch ba năm để về yên cư phục nghiệp.
甲寅,十五年,[明,萬曆十二年].	Giáp dần, năm thứ mười lăm, (minh vạn lịch năm thứ bốn mươi hai).
四夏,六月,勑封王孫鄭杖爲廉郡公,鄭柞爲荣郡公,鄭梌爲香郡公,鄭榜爲會郡公,鄭榛爲普郡公,鄭廉爲朗郡公,鄭栻爲倫郡公,鄭棣爲和郡公.	Mùa hạ, tháng sáu, sắc phong các vương tôn là trịnh trượng làm liêm quận công, trịnh tạc làm vinh quận công, trịnh đồ làm hương quận công, trịnh bảng làm hội quận công, trịnh trân là phổ quận công, trịnh liêm làm lãng quận công, trịnh thức làm luân quận công, trịnh lệ làm hoà quận công.
秋,九月,封王子鄭棣爲瓊郡公.	Mùa thu, tháng chín, phong vương tử là trịnh lệ làm quỳnh quận công.
以刑科都給事中阮有作爲海陽參政.	Lấy hình khoa đô cấp sự trung nguyễn hữu tác làm tham chính hải dương.
冬,十一月,雷嗚.	Mùa đông, tháng mười một, có tiếng sấm.
乙卯,十六年,[明,萬曆十三年].	Ất mão, năm thứ mười sáu, (minh vạn lịch năm thứ bốn mươi ba).
四春,二月,朝堂阮澧等啓陳時弊凣八條.	Mùa xuân, tháng hai, quan triều đường là bọn nguyễn lễ dâng khải trình bày thói tệ đương thời gồm tám điều.
平安王嘉納之,特厚賞賜.	Bình an vương khen nhận, đặc cách ban thưởng rất hậu.
三月,朔,日有食之.	Tháng ba, ngày mồng một, có nhật thực.
二十八日,申時,弘烈,盛烈等社陂無故水涸,當五刻後復如故.	Ngày hai mươi tám, giờ thân, nước đầm các xã hoằng liệt, thịnh liệt bỗng dưng khô cạn, sau năm khắc lại đầy như cũ.
秋,閏八月,遣少尉舒郡公阮景堅等𭁈刑部尚書兼東閣𭓇士羙溪侯阮澧等迎接使臣回還.	Mùa thu, tháng tám nhuận, sai bọn thái uý thư quận công nguyễn cảnh kiên cùng với bọn hình bộ thượng thư kiêm đông các học sĩ mỹ khê hầu nguyễn lễ đón tiếp sứ thần trở về.
丙辰,十七年,[明萬曆十四年].	Bính thìn, năm thứ mười bảy, (minh vạn lịch năm thứ bốn mươi bốn).
四春,正月,二十六日,月有食之是月,會試天下士人.	Mùa xuân, tháng giêng, ngày hai mươi sáu, có nguyệt thực.
取中格武勉等四名.	Lấy đỗ bọn vũ miễn bốn người.
及廷試,賜黎致用等同進士出身.	Đến khi thi đình, cho bọn lê trí dụng đỗ đồng tiến sĩ xuất thân.
二月,以吏部右.	Tháng hai, lấy lại bộ hữu
侍郎春陽伯阮名世爲户部左侍郎;工部右侍郎禮川伯阮克寬爲刑部左侍郎;御史󰱑僉都御史芳泉伯阮惟時爲副都御史.	Thị lang xuân dương bá nguyễn danh thế làm hộ bộ tả thị lang; công bộ hữu thị lang lễ xuyên bá nguyễn khắc khoan làm hình bộ tả thị lang; ngự sử đài thiêm đô ngự sử phương tuyền bá nguyễn duy thì làm phó đô ngự sử.
又論奉使功,陞寺卿仁嶺伯劉廷質爲吏部右侍郎;福岩伯阮登爲户部右侍郎,並加侯爵;參政唐川子阮政爲太僕寺卿伯爵.	Lại bàn công đi sứ, thăng tự khanh nhân lĩnh bá lưu đình chất làm lại bộ hữu thị lang; phúc nham bá nguyễn đăng làm hộ bộ hữu thị lang, đều gia tước hầu; tham chính đường xuyên tử nguyễn chính làm thái bộc tự khanh, tước bá.
三月,二十七日,陞署衛事東陽侯阮文祚爲沔郡公,花陽侯王珠爲浦郡公.	Tháng ba, ngày hai mươi bảy, thăng thự vệ sự đông dương hầu nguyễn văn tộ làm miện quận công, hoa dương hầu vương châu làm phố quận công.
秋,九月,户部左侍郎衍嘉侯黎弼四,吏部右侍.	Mùa thu, tháng chín, bọn hộ bộ tả thị lang diễn gia hầu lê bật tứ và lại bộ hữu thị
郎仁嶺侯劉廷質等啓言於平安王以爲:"天心仁爱,必形於譴告之中,或不知自省天又出灾異以警惧之.	Lang nhân lĩnh hầu lưu đình chất dâng khải lên bình an vương rằng: " lòng trời nhân ái, tất tỏ điềm trong khiển trách bảo ban, nếu không biết tự sửa mình thì trời lại xuất hiện tai biến khác thường để cảnh cáo, răn đe.
以此見天心仁爱人君如此其至.	Qua đó đủ biết lòng trời nhân ái vào người làm vua đã đến hết mức vậy.
本年五六月間,農務正殷,天既作旱熯,耕農觖望.	Khoảng tháng năm tháng sáu năm nay, đương mùa cày cấy, trời đã làm hạn hán, nhà nông thất vọng.
兹八月日,禾榖方成,天又降旱灾遠被郡國.	Nay ngày tháng tám, lúa má đương làm đòng, trời lại giáng đại hạn khắp cả mọi nơi.
一年二旱,灾異間見屡出,閭里之民多有嗟怨,得非時政所䦕使之然󰊹.	Một năm hai lần hạn, tai dị xuất hiện liền liền, dân thôn quê bao người ta oán, chắc là có quan hệ đến chính sự hiện nay mà xảy ra như thế.
兹聞令催清華處各縣社逐項選益另兵.	Nay nghe có lệnh thúc các huyện, xã xứ thanh hoa theo từng hạng tuyển thêm binh lính.
恐非閲選之時.	Sợ rằng bây giờ không phải là lúc duyệt tuyển.
若此令一行其諸權勢所該隨而效之,更加選補,民命将.	Nếu lệnh ấy thi hành thì những người quyền thế cai quản cũng theo thế mà bắt chước, lại tuyển bổ thêm, dân
恭乞以敬天恤民爲心,酌停益兵以爲仁政之事.	Kính xin lấy lòng kính trời thương dân, tạm dừng việc đòi thêm lính để làm điều nhân chính.
如此則民心悅,天意得,和氣致祥耳,雨降嘉禾興黎民陶給足之休,國勢奠泰磐之壮而祚胤永無窮矣".	Như thế thì đẹp lòng dân, được ý trời, khí hoà đem đến điềm lành, mưa móc thuận thời, lúa má tươi tốt, nhân dân được hưởng phúc lành no đủ, thế nước vững vàng như bàn thạch, thái sơn, mà con cháu được hưởng phúc mãi không cùng ".
丁巳十八年,[明萬曆十五年].	Đinh tỵ, năm thứ mười tám, (minh vạn lịch năm thứ bốn mươi lăm).
四春,正月,望,月有食之.	Mùa xuân, tháng giêng, ngày rằm, có nguyệt thực.
以郎中裴秉彛爲安廣道監察御史,以其󰁮宗忠義始終全節故也.	Lấy lang trung bùi bỉnh di làm giám sát ngự sử đạo yên quảng vì cớ là cả họ trung nghĩa, trước sau vẹn tiết.
又以郎中杜世隆爲廣南道監察御史,以其父有功於國故擢用之.	Lại lấy lang trung đỗ thế long làm giám sát ngự sử đạo quảng nam vì cha long có công với nước cho nên cất nhắc.
秋,八月,十五日,有颶風大起,水潦淹浸,禾榖盡.	Mùa thu, tháng bảy, ngày mười lăm, có bão lớn, nước lụt tràn ngập, thóc lúa mất
空.	Hết.
十六日,月有食之.	Ngày mười sáu, có nguyệt thực.
加吏部尚書掌六部事兼御史󰱑都御史澧郡公阮文階爲少傅.	Gia phong lại bộ thượng thư chưởng lục bộ sự kiêm ngự sử đài đô ngự sử lễ quận công nguyễn văn giai làm thiếu phó.
九月,時五榖當熟,颶風大起,鹹水破潰,近海之民多被其害.	Tháng chín, bấy giờ lúa đương chín, có bão to, nước mặn vỡ vào, dân gần biển bị hại nhiều.
山西處大蝗.	Xứ sơn tây có nhiều sâu lúa.
戊午十九年,[明,萬曆十六年].	Mậu ngọ, năm thứ mười chín, (minh vạn lịch năm thứ bốn mươi sáu).
四春,正月,望,月有食之.	Mùa xuân, tháng giêng, ngày rằm, có nguyệt thực.
二月,命太傅清郡公鄭𭫨率属将舒郡公阮景堅,澧郡公阮文階,拔郡公[缺名],右郡公謝世福,登郡公阮啓,附郡公阮潶𭁈督視禮部左侍郎芳蘭侯阮實,又命太保萬郡公鄭椿率属将𣹟郡.	Tháng hai, sai thái phó thanh quận công trịnh tráng đem thuộc tướng là bọn thư quận công nguyễn cảnh kiên, lễ quận công nguyễn văn giao, bạt quận công (không rõ tên), hữu quận công tạ thế phúc, đặng quận công nguyễn khải, phụ quận công nguyễn hắc cùng với đốc thị lễ bộ tả thị lang phương lan hầu nguyễn thực; lại sai thái bảo vạn quận công trịnh xuân đem thuộc tướng là bọn cống quận
公黄廷逢,倫郡公鄭栻,普郡公鄭榛,朗郡公鄭稴𭁈督視副都御史芳泉伯阮惟時等分爲二道進兵會擊莫慶王及僞智水等.	Công hoàng đình phùng, luân quận công trịnh thúc, phổ quận công trịnh trân, lãng quận công trịnh liêm cùng với đốc thị là phó đô ngự sử phương tuyền bá nguyễn duy thì, chia thành hai đạo tiến quân hợp đánh khánh vương họ mạc và bọn trí thuỷ nguỵ.
賊黨聞之皆遠遁.	Đảng giặc nghe tin, đều trốn xa.
太傅清郡公鄭𭫨密差富禄侯[缺名]斬得僞立郡公.	Thái phó thanh quận công trịnh tráng mật sai phú lộc hầu (không rõ tên) chém được lập quận công nguỵ.
三月,命太保鎮郡公鄭林率属将禄郡公[缺名],會郡公鄭榜等往伐武崖僞黨.	Tháng ba, sai thái bảo trấn quận công trịnh lâm đem bọn thuộc tướng là bọn lộc quận công (không rõ tên), hội quận công trịnh bảng đi đánh đảng nguỵ ở vũ nhai.
以刑部左侍郎禮川伯阮克寬爲督視.	Lấy hình bộ tả thị lang lễ xuyên bá nguyễn khắc khoan làm đốc thị.
又添差左軍營将士一千,前軍營将士一千𭁈俱進擊.	Lại sai thêm một nghìn tướng sĩ dinh tả quân và một nghìn tướng sĩ dinh tiền quân cùng tiến đánh.
