第六回。	Hồi thứ sáu.
壤曰：「仆会诸公，亦正为此，仆欲奏请行之，诸公叶否？」	Nhưỡng nói: - Tôi họp các ông cũng chính vì việc đó. Bây giờ tôi muốn làm tờ tâu để xin với nhà vua, vậy các ông có hiệp ý không?
众咸曰：「不叶者不来，来者自无不叶。」	Mọi người đều đáp: - Không hiệp ý thì đã chẳng đến đây; đã đến đây tức là không ai không hiệp ý.
壤曰：「诸公既叶，可修奏本，令臣上进，上虽欲不许，臣强请要得成命始休。」	Nhưỡng nói: - Nếu các ông đã hiệp ý, thì nên thảo ngay tờ tâu để tôi đem dâng hoàng thượng. Hoàng thượng dẫu muốn chẳng cho, tôi cũng cứ cố xin, đến bao giờ được mệnh lệnh nhất định thì mới thôi.
武班阮嘉权曰：「济等未尝无奏本，只待得请，故卒败事，今文武在会，如此直入府中，便成朝廷，朝廷成，自然大势归，看看左右店空还空，到此复何待请？」	Một viên quan võ là Nguyễn Gia Quán nói rằng: - Thần trung hầu, Dương Trọng Tế cũng có tờ tâu hẳn hoi, vậy mà chỉ đợi xin mệnh, cho nên rốt cuộc mới hỏng việc. Nay có đủ cả quan văn, quan võ cùng hội họp như thế này, cứ kéo tuột vào trong phủ là tự khắc thành triều đình. Triều đình đã thành, thế lớn ắt phải trở về với nhà chúa. Kìa hãy thử nhìn hai điếm tả hữu (trước kia Trịnh Cương đặt tả điếm và hữu điếm ở ngoài cửa phủ đường, để làm chỗ trăm quan tra xét kiện tụng), không lại vẫn hoàn không. Đã đến nước ấy, cần gì còn phải đợi xin mệnh nữa?
壤曰：「仆为此诚不难，但念王不受于帝，顺则未顺焉！	Nhưỡng đáp: - Tôi muốn làm thế, kể cũng không khó. Nhưng thiết nghĩ chúa không chịu mệnh của nhà vua, bảo là thuận thì chưa lấy gì làm thuận.
且谚曰：「谁能穿衣而越于头。」	Vả lại tục ngữ đã nói: "Chẳng ai mặc áo qua đầu".
故欲以正道顺之，臣不比济等乌合，为人所弃，若奏请时，想坐朝中的诸老师挠臣也不得。」	Vì vậy, tôi muốn cứ theo con đường ngay thẳng cho phải lẽ. Tôi không phải là quân ô hợp như bọn Thần trung hầu và Trọng Tế, để đến nỗi bị người ta bỏ rơi. Nếu tôi đã tâu xin, hẳn là mấy ông thầy già ngồi trong triều có muốn làm rầy tôi cũng không thể được.
乃修奏本曰：「今钦奉皇上陛下轸念王家，存其宗祀，赐以公爵，世守蒸尝，臣民莫不感慨！	Sau đó, mọi người bèn thảo tờ tâu, đại ý nói rằng: "Nay kính vâng hoàng đế bệ hạ đoái nghĩ đến nhà chúa, muốn cho được bảo tồn dòng dõi, phong làm tước công, đời đời giữ việc cúng tế. Thần dân thấy vậy, chẳng ai không cảm kích.
第王家自太王以后，蒙天子赐以王爵，顷遭国变，先主端王既以身殉国，国难清夷，奉皇上圣德包含，诸臣皆不失官爵，独王家更被降封，臣庶心且不安，伏乞赐琨国公加封王爵，以慰臣民之望。」	Nhưng nhà chúa từ đức Thái vương về sau vẫn được thiên tử ban cho tước vương. Mới rồi gặp cơn quốc biến, tiên chúa Đoan nam vương đã phải đem thân chết theo nước. Bây giờ nạn nước đã qua, vâng được thánh thượng bao dong, các bề tôi đều không ai bị mất quan tước, riêng có nhà chúa lại phải giáng phong. Như thế, thần dân nghĩ không đành lòng. Vậy dám cúi xin cho Côn quốc công được phong lên tước vương, cho thoả lòng mong mỏi của thần dân".
上览奏怒曰：「必要王以胁制我，然后快耶！	Hoàng thượng xem xong tờ tâu liền nói: - Cứ nằng nặc đòi phong vương để ăn hiếp ta mới sướng hay sao?
若安于臣道，公与王何择？	Nếu yên phận làm tôi, thì công với vương phỏng có khác gì?
且命才下而遽欲改之，天子不是儿戏！」	Vả lại, mệnh vừa mới ban xuống mà đã muốn đổi, mệnh thiên tử đâu phải là trò trẻ con?
朝臣自思扶王无舆，赞帝不成能，各欲捧身而去，泗川侯入奏曰：「以王胁帝，乱根所生，乱已至此，彼犹蹈而行之，亦是天心使然！	Các viên quan triều thấy vậy, tự nghĩ phò chúa đã không dự, giúp vua lại không xong, ai nấy đều muốn tháo thân mà đi. Tứ xuyên hầu vào tâu với vua: - Lấy chúa hiếp vua, đó là cái gốc sinh loạn. Loạn đã đến thế, họ vẫn còn noi theo vết cũ mà làm, chẳng qua cũng là lòng trời xui khiến ra như vậy.
壤武夫，不可以义理晓，请奉旨诣琨郡，使自降心逊让，国事犹或可为。	Nhưỡng là kẻ vũ phu, không thể lấy nghĩa lý mà nói cho hiểu. Thần xin vâng chỉ đến nói thẳng với quận Côn, khuyên y hãy từ bỏ chuyện xin phong vương, may ra việc nước còn có thể làm được.
不然，此回一乱，非臣等所能回斡，皇上幸赦臣罪。」上许之。	Nếu không, phen này mà loạn thì lũ thần không sao xoay chuyển nổi. Dám xin hoàng thượng hãy tha tội cho thần!
泗川侯乃往说琨国公曰：「臣受王家深恩，非不欲厚于公，但此回国变，乃乾坤开阖一大机，凡事不可胶固，今以继传而立，强天子所不欲而行之，无道莫此为甚！	Hoàng thượng bằng lòng, Tứ xuyên hầu bèn đến phủ nói với Côn quốc công rằng: - Tôi chịu ơn sâu của nhà chúa, không phải là không muốn hậu với ông. Nhưng mà biến cố của nước nhà lần này, chính là một cơ khép mở rất lớn của trời đất; do đó, mọi việc đều không câu nệ vào nếp cũ. Nay nếu theo lệ nối ngôi ngày trước mà lập, để ép thiên tử phải làm cái việc không muốn làm, thì thật là quá ư vô đạo.
臣等义当言，故为公言之，公若忽略臣言，后回之乱，将不可救。	Lũ chúng tôi, nghĩa không thể nín, cho nên phải nói với ông. Ông nếu bỏ qua lời nói của tôi, thì loạn lạc sau này, sẽ không thể cứu được nữa.
传曰：『国有道则仕，无道则隐。	Trong sách đã nói: "Nước có đạo thì làm quan, nước vô đạo thì ở ẩn."
』臣等从此去矣！」	Lũ chúng tôi đành xin đi từ nay.
琨国公曰：「仆自知庸常，何敢至望？	Côn quốc công đáp: - Tôi vẫn tự biết là kẻ hèn mọn, đâu dám mong những điều quá đáng?
这是壤等唱率，仆本不与，惟上裁断之，诸公可为仆奏闻，皇上烛照此心！」	Việc này là do Liễn trung hầu gây ra, tôi thật không dự, xử trí thế nào tuỳ lượng bề trên. Xin ông hãy vì tôi tâu lên hoàng thượng, soi xét cho tấm lòng ấy của tôi.
泗川侯见其言推托，归奏曰：「此事臣不能斡旋，用臣无益！」	Tứ xuyên hầu thấy lời lẽ Côn quốc công có ý thoái thác, bèn về tâu với vua rằng: - Việc này thần không thể nào xoay chuyển được nữa. Hoàng thượng dùng thần cũng là vô ích!
乃辞去。	Rồi Tứ xuyên hầu từ biệt mà đi.
壤闻之曰：「深眼长髯即去矣！省一老唆。」	Nhưỡng nghe tin ấy, nói với mọi người: - Lão rậm râu sâu mắt bỏ đi rồi, thế là bớt được một tên cáo già!
至是两店一空，在会几个来坐朝一般人，皆壤之党。	Lúc ấy, hai điếm tả hữu đều bỏ không. Những kẻ hội họp trước kia nay về ngồi trong triều, đều là bè đảng của Nhưỡng.
上谓家臣曰：「吾无助矣！	Hoàng thượng thấy vậy, than thở với bọn gia thần rằng: - Ta nay không còn ai giúp rập nữa rồi!
虽然彼亦岂能将众胁我，我不听，看他奈何？」	Tuy vậy, nó cũng không thể cậy đông người mà ăn hiếp ta được. Ta cứ không nghe, thử xem nó làm thế nào?
时泗川侯已去，亦依前命，凡兵民皆无所增益，内翰文属在左右者，恐壤见罪，多劝帝许之，帝皆不听，壤亦惶恐为密奏，请假以王号而权归皇家，表内辞极婉媚，壤复面请，上始回心许之，封琨郡为元帅辅国政晏都王。	Thế rồi, sau khi Tứ xuyên hầu đã đi khỏi, hoàng thượng vẫn cứ giữ nguyên mệnh cũ, ngay cả số quân dân, cũng đều không cấp thêm cho Côn quốc công một người nào cả. Các quan văn trong toà nội hàn ở luôn bên cạnh vua sợ bị Nhưỡng quở trách, nhiều người khuyên vua nên ưng cho lời xin của hắn. Nhưng vua đều không nghe. Nhưỡng thấy nhà vua cương quyết, cũng có ý chờn, bèn làm một tờ tâu kín, xin vua cứ cho Côn quốc công mang danh hiệu tước vương, còn các quyền bính thì vẫn thuộc về nhà vua.
命朝官阮瑜赍诸晏都王，王受命亲上拜谢，归府使人打府堂鼓三通九点，即王位，时九月十九日也。	Trong tờ tâu ấy, lời lẽ của Nhưỡng cực kỳ mềm mỏng. Rồi Nhưỡng lại thân vào chầu để xin với vua. Vì thế, nhà vua mới nguôi lòng mà nghe theo, phong cho Côn quốc công làm nguyên soái phụ quốc chính, tước án đô vương. Rồi vua sai viên quan trong triều là Nguyễn Du (Nguyễn Du quê ở xã Văn Xá, huyện Thanh Oai, Hà Đông, đỗ tiến sĩ khoa Ất tỵ (1785) năm Cảnh Hưng) đem sắc chỉ đến ban cho Côn quốc công. Côn quốc công vâng mệnh, thân hành vào triều lạy tạ; đoạn về phủ sai người đánh ba hồi chín tiếng trống, làm lễ lên ngôi chúa. Hôm ấy là ngày mười chín tháng chín. Sau khi án đô vương được lập, các quan tả hữu khuyên vương nên theo lệ cũ, đặt ra các viên tham tụng, bồi tụng, chưởng phủ, thự phủ, để dựng riêng một triều đình. Rồi họ lại trông mặt mấy viên đến họp ở cung Tây long hôm nọ mà chỉ định người này làm chức này, người kia làm chức kia, sắp đặt rõ đâu vào đấy. Nhưng Nhưỡng tự nghĩ hôm trước mình tâu với hoàng thượng như thế, mà nay đã vội tự ý tráo trở, lật lọng, e rằng như vậy là lừa gạt bề trên quá chừng.
王既立后，其左右劝王照故事，置参从、陪从、掌府、置署府诸员，以做朝廷，看前日会西龙诸员面上，请某人为某职，分布已定，壤自以前日奏言如此，而骤自翻覆，恐为罔上太过，迟回未敢出命，上亦执前命改参从为平章，陪从为参知，添差为签封，而左右店为议事堂，责壤以急择官，请旨刻日会议事分设，但壤意未定，于是逡巡不决者累日，忽报硕郡公自山西镇尽发诸县兵，有众数万，兼带兴化藩目丁公相、丁公贞等土兵来，正是：强中更有强中手，意外须防意外虞。	Vì vậy, Nhưỡng vẫn còn trù trừ, chưa dám xin vương ra mệnh. Còn hoàng thượng, thì cứ giữ theo mệnh cũ, đổi chức tham tụng làm bình chương, bồi tụng làm tham tri, thiêm sai làm thiêm thư, hai điếm tả hữu làm hai nhà nghị sự. Rồi bắt Nhưỡng phải kíp chọn lựa các quan, xin chỉ hoàng thượng, rồi định ngày họp ở nhà nghị sự để chia đặt mọi việc. Nhưng ý Nhưỡng chưa quả quyết, thành ra công việc cứ dùng dằng, lẩn quẩn luôn trong mấy hôm. Đang khi ấy, chợt có tin báo Thạc quận công ở trấn Sơn Tây đã thu thập hết binh lính các huyện, đông đến vài vạn người, lại đem cả thổ binh của bọn phiên mục đất Phù Sùng ở vùng Hưng Hoá là Đinh Công Hồ và Đinh Công Trinh đi theo, nay mai sẽ tới kinh sư. Thật là: Đã mạnh lại còn tay mạnh nữa, Bất ngờ phòng chuyện bất ngờ hơn.
未知硕郡来意如何，且看下回分解。	Chưa biết quận Thạc đến kinh sư làm gì? Hãy xem hồi sau phân giải.
