第八十一回急兄仇张飞遇害雪弟恨先主兴兵	HỒI 81 Vội báo thù, Trương Phi bị hại; Mong rửa hận, tiên chủ cất quân
直赶到阳平关，却被姜维用武侯所传连弩法，于两边暗伏连弩百余张，一弩发十矢，皆是药箭，两边弩箭齐发，前军连人带马射死不知其数。	Nhưng Khương Duy dùng phép liên nỏ của Võ Hầu để lại, phục sẵn hơn trăm nỏ hai bên cửa ải, mỗi nỏ bắn luôn mười tên một phát, đầu tên có thuốc độc. Bởi thế quân Ngụy trúng phải tên, người ngựa chết hại rất nhiều.
司马师于乱军之中，逃命而回。	Tư Mã Sư trốn thoát.
却说麴山城中蜀将句安，见援兵不至，乃开门降魏。	Tướng Thục là Cẩu An ở trong thành Khúc Sơn, chờ mãi không thấy quân đến cứu, phải cửa ra hàng Ngụy.
姜维折兵数万，领败兵回汉中屯扎。	Khương Duy thiệt vài vạn quân, còn bao nhiêu đem về đóng ở Hán Trung.
司马师自还洛阳。	Tư Mã Sư cũng dẫn quân về Lạc Dương.
至嘉平三年秋八月，司马懿染病，渐渐沉重，乃唤二子至榻前嘱曰：“吾事魏历年，官授太傅，人臣之位极矣；人皆疑吾有异志，吾尝怀恐惧。	Đến năm Gia Bình thứ ba, mùa thu tháng tám, Tư Mã Ý mắc bệnh nặng, gọi hai con đến trước giường dặn rằng: - Cha thờ nhà Ngụy đã lâu, làm quan đến thái phó, chức vị như thế đã là cực phẩm rồi. Người ta thường nghi cho cha có bụng khác, cha lấy làm lo sợ lắm.
吾死之后，汝二人善理国政。 慎之！ 慎之！”	Sau khi cha mất rồi, hai con coi việc nước cho khéo; phải cẩn thận lắm mới được!
言讫而亡。	Nói xong thì mất.
长子司马师，次子司马昭，二人申奏魏主曹芳。	Tư Mã Sư, Tư Mã Chiêu tâu với ngụy chủ Tào Phương.
芳厚加祭葬，优锡赠谥；封师为大将军，总领尚书机密大事，昭为骠骑上将军。	Ngụy chủ sai làm lễ tang cực hậu, phong tặng, đặt tên thụy tử tế. Rồi phong cho Tư Mã Sư làm đại tướng quân, tổng lĩnh các việc cơ mật. Tư Mã Chiêu được phong làm phiêu kỵ tướng quân.
却说吴主孙权，先有太子孙登，乃徐夫人所生，于吴赤乌四年身亡，遂立次子孙和为太子，乃琅琊王夫人所生。	Nói về Ngô chủ Tôn Quyền, có con đầu là thái tử Tôn Đăng, Từ phu nhân sinh ra. Năm Xích Ô thứ tư, thái tử mất, Quyền mới lập con thứ hai là Tôn Hòa làm thái tử.
和因与全公主不睦，被公主所谮，权废之，和忧恨而死，又立三子孙亮为太子，乃潘夫人所生。	Hòa vốn do Vương phu nhân sinh ra, vì không hòa với Toàn công chúa, bị nàng dèm pha. Tôn Quyền bèn phế đi, Hòa tức giận mà chết. Quyền lại lập con thứ ba là Tôn Lượng làm thái tử. Lượng do Phan phu nhân sinh ra.
此时陆逊、诸葛瑾皆亡，一应大小事务，皆归于诸葛恪。	Bấy giờ Lục Tốn, Gia Cát Cẩn mất cả rồi, nhất thiết công việc lớn nhỏ, về cả tay Gia Cát Khác.
太元元年秋八月初一日，忽起大风，江海涌涛，平地水深八尺。	Năm Thái Hòa thứ nhất, giữa ngày mồng một tháng tám, bỗng nhiên nỗi cơn bão to, nước sông nước bể tràn lên bờ, mặt đất nước ngập tám thước.
吴主先陵所种松柏，尽皆拔起，直飞到建业城南门外，倒卓于道上。	Các thông bách cổ thụ ở nơi lăng mộ tiên tổ Ngô chủ, đổ bật cả rễ lên, bay dạt đến ngoài cửa nam thành Kiến Nghiệp, ngổn ngang khắp đường.
权因此受惊成病。 至次年四月内，病势沉重，乃召太傅诸葛恪、大司马吕岱至榻前，嘱以后事。	Tôn Quyền vì thế lo sợ thành bệnh, đến tháng tư năm sau, bệnh tình mỗi ngày một nặng, mới đòi thái phó Gia Cát Khác, đại tư mã Lã Đại đến trước giường nằm, dặn dò việc sau rồi mất.
嘱讫而薨。 在位二十四年，寿七十一岁，乃蜀汉延熙十五年也。	Tôn Quyền ở ngôi được hai mươi bốn năm, thọ bảy mươi mốt tuổi. Bấy giờ là năm Diên Hi thứ mười lăm nhà Thục Hán.
后人有诗曰：“紫髯碧眼号英雄，能使臣僚肯尽忠。 二十四年兴大业，龙盘虎踞在江东。”	Đời sau có thơ khen Tôn Quyền rằng: Mắt xanh, râu đỏ, chí anh hùng, Khéo khiến thân liêu chịu hết lòng, Hăm bốn năm giời gây nghiệp lớn, Hố ngồi, rồng cuộn xứ Giang Đông.
孙权既亡，诸葛恪立孙亮为帝，大赦天下，改元建兴元年；谥权曰大皇帝，葬于蒋陵。	Tôn Quyền mất rồi, Gia Cát Khác lập Tôn Lượng lên làm vua, đại xá cho thiên hạ, cải nguyên làm năm Đại Hưng thứ nhất; đặt tên thụy Tôn Quyền là Đại Hoàng Đế, táng ở Tưởng Láng.
早有细作探知其事，报入洛阳。 司马师闻孙权已死，遂议起兵伐吴。	Có quân do thám báo tin về Lạc Dương, Tư Mã Sư nghe tin Tôn Quyền mất, muốn cất quân sang đánh Ngô.
尚书傅嘏曰：“吴有长江之险，先帝屡次征伐，皆不遂意；不如各守边疆，乃为上策。”	Thượng thư Phó Hỗ can rằng: - Ngô có sông Trường giang hiểm trở, tiên đế mấy phen sang đánh, cũng không được thỏa chí. Chi bằng nước nào giữ bờ cõi nước ấy là hơn.
师曰：“天道三十年一变，岂得常为鼎峙乎？	Sư nói: - Đạo trời cứ ba mươi năm biến đổi một khác, có lẽ đâu giữ thế chân vạc mãi ru?
吾欲伐吴。”	Ta muốn đánh Ngô phen này.
昭曰：“今孙权新亡，孙亮幼懦，其隙正可乘也。”	Tư Mã Chiêu nói: - Nay Tôn Quyền mới mất, Tôn Lượng còn thơ ấu, chính nên ngay dịp này đánh dấn ngay đi.
遂令征南大将军王昶引兵十万攻南郡，征东将军胡遵引兵十万攻东兴，镇南都督毋丘俭引兵十万攻武昌：三路进发。	Sư bèn sai chính nam đại tướng quân Vương Sưởng dẫn mười vạn quân đánh mặt Nam Quận; trấn nam đô đốc Vô Kỳ Kiệm dẫn mười vạn quân đánh quận Đông Hưng. Cả ba mặt đều tiến quân.
又遣弟司马昭为大都督，总领三路军马。	Sư lại sai em là Tư Mã Chiêu làm đại đô đốc, tổng lĩnh cả ba mặt.
是年冬十二月，司马昭兵至东吴边界，屯住人马，唤王昶、胡遵、毋丘俭到帐中计议曰：“东吴最紧要处，惟东兴郡也。	Tháng mười hai, mùa đông năm ấy, Tư Mã Chiêu tiến quân đến sát cõi Đông Ngô, đóng quân lại, gọi Vương Sưởng, Hồ Tuân, Vô Kỳ Kiệm đến bàn bạc rằng: - Quận Đông Hưng là nơi rất hiểm yếu của Ngô.
今他筑起大堤，左右又筑两城，以防巢湖后面攻击，诸公须要仔细。”	Nay họ đắp một dãy đê dài, lại thêm hai thành tả hữu, là có ý phòng ta đánh mé sau Sào Hồ đó, các ông phải cẩn thận mới được.
遂令王昶、毋丘俭各引一万兵，列在左右：“且勿进发；待取了东兴郡，那时一齐进兵。” 昶、俭二人受令而去。	Liền sai Vương Sưởng, Vô Kỳ Kiệm, mỗi người dẫn một vạn quân dàn sẵn hai bên tả hữu, nhưng không được tiến binh vội, đợi khi nào phá xong quận Đông Hưng thì sẽ kéo tràn sang một thể.
昭又令胡遵为先锋，总领三路兵前去：“先搭浮桥，取东兴大堤；若夺得左右二城，便是大功。” 遵领兵来搭浮桥。	Chiêu lại sai Hồ Tuân làm tiên phong, tổng lĩnh cả quân mã ba đường đi trước, bắc một nhịp cầu nổi, tiếp đến bờ đê quận Đông Hưng, dặn rằng: - Nếu ngươi cướp được hai thành tả hữu, ấy là công to đệ nhất. Hồ Tuân lĩnh mệnh, dẫn quân đi trước bắc cầu.
却说吴太傅诸葛恪，听知魏兵三路而来，聚众商议。	Thái phó Gia Cát Khác ở Đông Ngô, nghe tin Ngụy chia làm ba hưng nhi lai. mặt kéo đến, hội các tướng bàn bạc.
平北将军丁奉曰：“东兴乃东吴紧要处所，若有失，则南郡、武昌危矣。”	Bình bắc tướng quân Đinh Phụng nói: - Quận Đông Hưng là xứ hiểm yếu của bên Ngô ta, nếu để mất thì Nam Quận, Võ Xương nguy cả.
恪曰：“此论正合吾意。	Khác nói: - Ông nói hợp ý ta lắm!
公可就引三千水兵从江中去，吾随后令吕据、唐咨、留赞各引一万马步兵，分三路来接应。	Ông hãy dẫn ba nghìn quân thủy, noi đường sông đi trước. Ta cho Lã cứ, Đường Tư, Lư Toản, mỗi người dẫn một vạn quân mã bộ chia làm ba đường, lại tiếp ứng ngay.
但听连珠炮响，一齐进兵。	Khi nào nghe tiếng pháo nổ liên thanh, thì nhất tề tiến lên.
吾自引大兵后至。”	Ta dẫn đại quân đến sau.
丁奉得令，即引三千水兵，分作三十只船，望东兴而来。	Đinh Phụng được lệnh, dẫn ba nghìn thủy quân, chia làm ba chục chiếc thuyền, từ sông Trường Giang kéo đến quận Đông Hưng.
却说胡遵渡过浮桥，屯军于堤上，差桓嘉、韩综攻打二城。	Tướng Ngụy là Hồ Tuân kéo quân sang khỏi cầu, đóng trên mặt đê, sai Hoàn Gia, Hàn Tổng đánh hai thành tả hữu.
左城中乃吴将全端守把，右城中乃吴将留略守把。	Trong thành tả có tướng Ngô là Toàn Dịch canh giữ, Trong thành hữu có tướng Ngô là Lưu Lược canh giữ.
此二城高峻坚固，急切攻打不下。	Hai thành cao kín, bề vững, quân Ngụy đánh mãi không đổ.
全、留二人见魏兵势大，不敢出战，死守城池。	Toàn, Lưu hai người thấy quân Ngụy to thế lắm, không dám ra đánh, chỉ cố sức giữ lấy thành trì.
胡遵在徐塘下寨。 时值严寒，天降大雪，胡遵与众将设席高会。	Hồ Tuân giữ trên mặt đê, bấy giờ trời đông tháng rét, hoa tuyết tơi bời. Hồ Tuân hội các tướng lại uống rượu.
忽报水上有三十只战船来到。	Sực có lính báo rằng trên mặt sông có ba chục chiếc chiến thuyền bơi đến.
遵出寨视之，见船将次傍岸，每船上约有百人。 遂还帐中，谓诸将曰：“不过三千人耳，何足惧哉！”	Tuân ra trại nhìn xem, thấy thuyền đã gần bờ, mỗi thuyền ước chừng có trăm người, liền trở vào báo với các tướng rằng: - Có độ ba nghìn người, chẳng hề chi mà ngại!
只令部将哨探，仍前饮酒。	Nói đoạn cho mấy viên tướng ra trông nom, còn mình thì cứ việc ung dung uống rượu với các tướng.
丁奉将船一字儿抛在水上，乃谓部将曰：“大丈夫立功名，取富贵，正在今日！”	Đinh Phụng dàn thuyền một dãy trên mặt sông, bảo với bộ tướng rằng: - Đại trượng phu gặp được dịp này, chính là dịp lập công danh đây!
遂令众军脱去衣甲，卸了头盔，不用长枪大戟，止带短刀。	Liền sai quân sĩ cỡi cả áo giáp và bỏ mũ đi, không dùng gì đến giáo dài kích lớn, chỉ mỗi người dắt một con dao găm, kéo vào bờ.
魏兵见之大笑，更不准备。	Quân Ngụy trông thấy nực cười, không coi ra mùi gì.
忽然连珠炮响了三声，丁奉扯刀当先，一跃上岸。	Bỗng pháo liên châu nổ luôn ba tiếng, rồi thấy Đinh Phụng cầm dao đi trước, nhảy vót lên bờ, quân sĩ cùng cầm dao ồ cả lên, đánh vào trại Ngụy.
众军皆拔短刀，随奉上岸，砍入魏寨，魏兵措手不及。	Quân Ngụy trở tay không kịp, tan vỡ chạy trốn.
韩综急拔帐前大戟迎之，早被丁奉抢入怀内，手起刀落，砍翻在地。	Hàn Tổng vội vàng rút ngọn kích to ở trước trướng ra đánh, Đinh Phụng lăn xả vào trước mặt, chém một nhát, Tổng ngã lăn xuống đất.
桓嘉从左边转出，忙绰枪刺丁奉，被奉挟住枪杆。	Hoàn Gia từ mé tả chạy ra, vội với ngọn giáo đâm Đinh Phụng, Phụng giơ tay bắt được ngọn giáo.
嘉弃枪而走，奉一刀飞去，正中左肩，嘉望后便倒。	Gia bỏ giáo ù té chạy, Phụng phóng dao chém theo, dính vào vai tả. Gia ngã gục xuống đất.
奉赶上，就以枪刺之。	Phụng sấn vào đâm một nhát nữa. Gia chết tươi.
三千吴兵，在魏寨中左冲右突。	Ba nghìn quân Ngô xông xáo, phá phách trong trại Ngụy.
胡遵急上马夺路而走。	Hồ Tuân kíp nhảy lên ngựa chạy trốn.
魏兵齐奔上浮桥，浮桥已断，大半落水而死；杀倒在雪地者，不知其数。	Quân Ngụy chạy cả lên cầu, thì cầu lại bị chặt đứt đôi, quân Ngụy lăn xuống sông chết già hết một nữa, còn thì bị giết ở trên mặt đất mưa tuyết, không biết bao nhiêu mà kể.
车仗马匹军器，皆被吴兵所获。	Xa trượng, ngựa nghẽo, khí giới bị quân Ngô cướp sạch.
司马昭、王昶、毋丘俭听知东兴兵败，亦勒兵而退。	Tư Mã Chiêu, Vương Xưởng, Vô Kỳ Kiệm thấy mặt đông quân Đông Hưng bị thua, cùng rút quân về.
却说诸葛恪引兵至东兴，收兵赏劳了毕，乃聚诸将曰：“司马昭兵败北归，正好乘势进取中原。”	Gia Cát Khác dẫn quân đến Đông Hưng, khao thưởng các tướng, rồi bàn rằng: - Tư Mã Chiêu thua trận về bắc, ta nên thừa thế tiến sang đánh Trung Nguyên.
遂一面遣人赍书入蜀，求姜维进兵攻其北，许以平分天下；一面起大兵二十万，来伐中原。	Liền sai sứ mang thư sang Thục, cầu Khương Duy tiến binh đánh mặt bắc, để chia đôi thiên hạ. Một mặt cất hai chục vạn đại quân đánh Trung Nguyên.
临行时，忽见一道白气，从地而起，遮断三军，对面不见。	Lúc quân Ngô khởi hành, bỗng có một luồng khí trắng, tự mặt đất bốc lên, tỏa ra mù mịt. Ba quân giáp mặt không trông thấy nhau.
蒋延曰：“此气乃白虹也，主丧兵之兆。	Tưởng Diên nói: - Khí này là do cầu vòng trắng đây, chủ về việc bại quân.
太傅只可回朝，不可伐魏。”	
恪大怒曰：“汝安敢出不利之言，以慢吾军心！”	Khác nổi giận quát rằng: - Ngươi sao dám gở mồm nói càn, làm ngã bụng quân ta?
叱武士斩之。	Bèn quát võ sĩ lôi ra chém.
众皆告免，恪乃贬蒋延为庶人，仍催兵前进。	Các quan kêu van thay cho Tưởng Diên, Khác mới tha chết cho, cách tuột chức giáng xuống làm thứ dân. Rồi cứ việc thúc quân tiến lên.
丁奉曰：“魏以新城为总隘口，若先取得此城，司马师破胆矣。”	Đinh Phụng nói: - Tân Thành là một ải khẩu trọng yếu nước Ngụy, nếu lấy được trước, thì Tư Mã Sư khắc phải vỡ mật.
恪大喜，即趱兵直至新城。	Khác mừng lắm, thúc quân đến thẳng Tân Thành.
守城牙门将军张特，见吴兵大至，闭门坚守。 恪令兵四面围定。	Tướng giữ thành là Trương Đặc thấy quân Ngô kéo đến đông lắm, chỉ đóng cửa giữ vững thành trì.
早有流星马报入洛阳。	Có ngựa lưu tin báo về Lạc Dương.
主簿虞松告司马师曰：“今诸葛恪困新城，且未可与战。	Chủ bộ là Ngô Tùng nói với Tư Mã Sư rằng: - Gia Cát Khác vây Tân Thành, ta không nên đánh vội.
吴兵远来，人多粮少，粮尽自走矣。	Quân Ngô tự xa đến đây, người nhiều lương ít. Lương cạn tự nhiên phải rút về.
待其将走，然后击之，必得全胜。	Đợi khi sắp chạy, ta sẽ đuổi theo mà đánh, chắc là được to.
但恐蜀兵犯境，不可不防。”	Nhưng còn ngại quân Thục đến xâm phạm cõi ta, không phòng trước không xong.
师然其言，遂令司马昭引一军助郭淮防姜维；毋丘俭、胡遵拒住吴兵。	Sư cho lời ấy là phải, bèn sai Tư Mã Chiêu dẫn quân ra giúp Quách Hoài để phòng quân Khương Duy; sai Vô Kỳ Kiệm, Hồ Tuân giữ mặt Đông Ngô.
却说诸葛恪连月攻打新城不下，下令众将：“并力攻城，怠慢者立斩。”	Gia Cát Khác đánh Tân Thành hơn hai tháng trời không đổ, bèn hạ lệnh sai các tướng phải hết sức đánh thành hễ ai lười nhác thì chém.
于是诸将奋力攻打。	Bởi vậy các tướng đều ra sức đánh.
城东北角将陷。	Góc Đông Bắc sắp đỗ.
张特在城中定下一计：乃令一舌辩之士，赍捧册籍，赴吴寨见诸葛恪，告曰：“魏国之法：若敌人困城，守城将坚守一百日，而无救兵至，然后出城降敌者，家族不坐罪。	Trương Đặc nghĩ ra một kế, sai người nói giỏi đem cả sổ sách đến trại Ngô, vào ra mắt Gia Cát Khác, kêu rằng: - Theo phép nước Ngụy, hễ có giặc đến vây thành, tướng giữ thành giữ vững được một trăm ngày mà không có quân cứu, thì dù ra hàng giặc, gia tộc cũng không phải tội gì.
今将军围城已九十余日；望乞再容数日，某主将尽率军民出城投降。	Nay tướng quân vây thành, hơn chín mươi ngày rồi, xin tướng quân thư cho mấy hôm nữa, chủ tôi xin đem hết cả quân dân trong thành ra hàng.
今先具册籍呈上。”	Nay hãy xin nộp sổ sách trước.
恪深信之，收了军马，遂不攻城。	Khác tin là thực, thu cả quân mã về, không đánh thành nữa.
原来张特用缓兵之计，哄退吴兵，遂拆城中房屋，于破城处修补完备，乃登城大骂曰：“吾城中尚有半年之粮，岂肯降吴狗耶！	Không ngờ Trương Đặc nói dối như thế, để cho Ngô rút quân, rồi lập tức dỡ các cửa nhà trong thành sắp đỗ, sửa chữa tươm tất đâu đấy, rồi lên mặt thành gọi to mắng rằng: - Trong thành tao còn lương thảo dùng được nửa năm nữa, há chịu hàng chó Ngô à?
尽战无妨！”	Tha hồ cho chúng mày đánh, tao đây không ngại!
恪大怒，催兵打城。	Khác giận lắm, thúc quân lại đánh.
城上乱箭射下。	Trên thành tên bắn xuống như mưa.
恪额上正中一箭，翻身落马。 诸将救起还寨，金疮举发。	Khác bị một mũi tên vào giữa trán ngã ngựa, các tướng vội vàng cứu đem về trại. Quân sĩ thấy chủ tướng bị thương, ngã lòng, không muốn đánh nữa.
众军皆无战心；又因天气亢炎，军士多病。	Lại nhân bây giờ trời hè nóng nực, quân sĩ đau ốm rất nhiều, nên đều có bụng muốn về cả.
恪金疮稍可，欲催兵攻城。	Chỗ bị thương Gia Cát Khác gần bớt, Khác lại muốn thúc quân vào đánh.
营吏告曰：“人人皆病，安能战乎？”	Các tướng kêu rằng: - Quân sĩ ốm cả, đánh làm sao được nữa?
恪大怒曰：“再说病者斩之！”	Khác nổi giận, nói: - Hễ ai còn nói đến ốm thì chém!
众军闻知，逃者无数。	Quân sĩ nghe truyền lệnh làm vậy, trốn đi nhiều lắm.
忽报都督蔡林引本部军投魏去了。	Chợt có tin báo đô đốc Sái Lâm dẫn quân bản bộ hàng Ngụy mất rồi.
恪大惊，自乘马遍视各营，果见军士面色黄肿，各带病容。 遂勒兵还吴。	Khác giật mình, cưỡi ngựa diễu xem các trại, quả nhiên thấy quân sĩ xanh xao võ vàng, gầy gò ốm yếu cả, mới chịu thu quân về Ngô.
早有细作报知毋丘俭。 俭尽起大兵，随后掩杀。	Có tế tác báo tin với Ngô Kỳ Kiệm, Kiệm liền cất đại binh đuổi theo,
吴兵大败而归，恪甚羞惭，托病不朝。	quân Ngô thua to rút chạy. Gia Cát Khác về đến Ngô, hổ thẹn quá, thác bệnh không vào chầu.
吴主孙亮自幸其宅问安，文武官僚皆来拜见。	Ngô chủ Tôn Lượng thân đến tận nhà hỏi thăm. Các quan văn võ, ai cũng đến bái kiến.
恪恐人议论，先搜求众官将过失，轻则发遣边方，重则斩首示众。	Khác sợ có người chê cười mình, mới bới móc tội lỗi các quan, tội nhẹ thì đầy ra ngoài biển, tội nặng thì chém.
于是内外官僚，无不悚惧。	Bởi thế các quan đều có bụng sợ hãi.
又令心腹将张约、朱恩管御林军。 以为牙爪。	Khác lại sai tướng tâm phúc là Trương Ước, Chu An cai quản quân ngự lâm, để làm nanh vuốt cho mình.
却说孙峻字子远，乃孙坚弟孙静曾孙，孙恭之子也；孙权存日，甚爱之，命掌御林军马。	Bấy giờ Tôn Tuấn, tự là Tử Viễn, nguyên là con Tôn Cung, cháu tằng tôn Tôn Tĩnh là em Tôn Kiên khi xưa. Khi Tôn Quyền còn sống, yêu mến Tôn Tuấn, cho cai quản quân ngự lâm.
今闻诸葛恪令张约、朱恩二人掌御林军，夺其权，心中大怒。	Nay thấy Gia Các Khác sai Trương Ước, Chu An giữ quân ngự lâm, cướp mất quyền mình, trong bụng giận lắm.
太常卿滕胤，素与诸葛恪有隙，乃乘间说峻曰：“诸葛恪专权恣虐，杀害公卿，将有不臣之心。	Thái thường khanh là Đằng Dận, vốn hiềm khích với Gia Cát Khác, nhân dịp báo với Tuấn rằng: - Gia Cát Khác chuyên quyền rông rỡ, giết hại công khanh, sắp có lòng lấn chúa.
公系宗室，何不早图之？”	Ông là người tôn thất, sao không tìm cách trừ đi?
峻曰：“我有是心久矣；今当即奏天子，请旨诛之。”	Tuấn nói: - Ta có bụng ấy đã lâu, nay tâu với thiên tử, xin chiếu chỉ mà giết đi mới được.
于是孙峻、滕胤入见吴主孙亮，密奏其事。	Tôn Tuấn, Đằng Dận mới vào mật tâu với Ngô chủ Tôn Lượng.
亮曰：“朕见此人，亦甚恐怖；常欲除之，未得其便。	Lượng nói: - Trẫm thấy người ấy cũng sợ, thường muốn trừ đi, nhưng chưa có dịp nào.
今卿等果有忠义，可密图之。”	Nay các ngươi đã có bụng trung nghĩa như thế, thì nên bí mật lo liệu đi cho khéo.
胤曰：“陛下可设席召恪，暗伏武士于壁衣中，掷杯为号，就席间杀之，以绝后患。”	Dận tâu rằng: - Bệ hạ nên mở tiệc mời Khác đến, ám phục võ sĩ ở trong màn vách, quẳng chén làm hiệu, giết luôn ngay trong tiệc, để trừ mối lo về sau.
亮从之。	Tôn Lượng nghe lời.
却说诸葛恪自兵败回朝，托病居家，心神恍惚。	Gia Cát Khác từ khi thua trận về triều, thác bệnh ở nhà, tinh thần hoảng hốt không yên.
一日，偶出中堂，忽见一人穿麻挂孝而入。	Một bữa ngẫu nhiên ra ngoài, bỗng thấy một người mặc áo xô trắng đi vào.
恪叱问之，其人大惊无措。 恪令拿下拷问，其人告曰：“某因新丧父亲，入城请僧追荐；初见是寺院而入，却不想是太傅之府。 却怎生来到此处也？”	Khác quát hỏi đi đâu, Người ấy thưa rằng: - Tôi nhân có cha mới mất, vào thành nhờ nhà sư làm chay. Tôi tưởng đây là chùa phật, không ngờ là phủ thái phó, không biết ai run rủi tôi vào đây thế này?
恪大怒，召守门军士问之。	Khác nổi giận, gọi quân canh cửa vào hỏi.
军士告曰：“某等数十人，皆荷戈把门，未尝暂离，并不见一人入来。” 恪大怒，尽数斩之。	Quân canh bẩm rằng: - Chúng tôi vài mươi người, vác giáo canh cửa, không dám rời xa lúc nào, tịnh không ai vào cả. Khác nổi giận sai chém cả người ấy cùng vài mươi tên lính canh cửa.
是夜，恪睡卧不安，忽听得正堂中声响如霹雳。 恪自出视之，见中梁折为两段。	Đêm hôm ấy, Khác trong lòng trằn trọc, ngủ không yên giấc. Bỗng nghe giữa nhà ầm một tiếng như sét, Khác ra trông xem, té ra cây gỗ nóc nhà chính gian giữa gẫy làm hai doạn đỗ xuống.
恪惊归寝室，忽然一阵阴风起处，见所杀披麻人与守门军士数十人，各提头索命。	Khác giật mình, vào nhà trong nằm nghỉ. Bỗng lại thấy nổi cơn gió lạnh, rồi có người mặc áo xô cùng vài mươi tên quân sĩ, mỗi người xách một cái đầu đến đòi mạng.
恪惊倒在地，良久方苏。	Khác khiếp sợ, ngã gục xuống đất, nửa giờ sau mới tỉnh.
次早洗面，闻水甚血臭。	Sáng hôm sau, Khác sai lấy chậu nước rửa mặt, nước sặc những mùi máu tanh hôi.
恪叱侍婢，连换数十盆，皆臭无异。	Khác quát nàng hầu đòi lấy chậu khác, đổi hơn chục chậu cũng đều tanh như thế cả.
恪正惊疑间，忽报天子有使至，宣太傅赴宴。	Khác lấy làm kinh hãi lắm. Chợt có sứ đến mời thái phó vào dự yến.
恪令安排车仗。	
方欲出府，有黄犬衔住衣服，嘤嘤作声，如哭之状。 恪怒曰：“犬戏我也！”	Khác dàn xa trượng sắp ra cửa phủ. Bỗng có con chó vàng chạy đến, cắn áo lôi lại, ăng ẳng như tiếng can ngăn.
叱左右逐去之，遂乘车出府。	Khác giận, sai tả hữu đuổi đi, rồi lên xe ra phủ.
行不数步，见车前一道白虹，自地而起，如白练冲天而去。	Đi chưa được vài bước, bỗng có một luồng khí trắng từ mặt đất bốc lên ở trước xe, trông như hình tấm lụa, bay vụt lên trời đi mất.
恪甚惊怪，心腹将张约进车前密告曰；“今日宫中设宴，未知好歹，主公不可轻入。”	Khác lấy làm kinh quái lắm. Tướng tâm phúc là Trương Ước bước đến gần xe nói nhỏ rằng: - Hôm nay trong cung mở tiệc, chưa biết hay dở thế nào, chủ công chớ nên đi nữa.
恪听罢，便令回车。	Khác nghe lời, sai quay xe trở về.
行不到十余步，孙峻、滕胤乘马至车前曰：“太傅何故便回？”	Đi chưa được mười bước, có Tôn Tuân, Đằng Dận cưỡi ngựa đến thẳng trước xe, nói rằng: - Thái Phó sao lại trở về?
恪曰：“吾忽然腹痛，不可见天子。”	Khác nói: - Tôi bỗng nhiên đau bụng, không vào chầu thiên tử được.
胤曰：“朝廷为太傅军回，不曾面叙，故特设宴相召，兼议大事。	Dận nói: - Triều đình vì cớ thái phó mang quân về, chưa được gặp mặt chuyện trò, nên mở tiệc này mời thái phó, nhân tiện để bàn việc lớn.
太傅虽感贵恙，还当勉强一行。”	Thái phó dù hơi đau bụng, cũng nên guợng đi cho một lúc.
恪从其言，遂同孙峻、滕胤入宫，张约亦随入。	Khác không sao từ được, phải đi với Tôn Tuấn, Đằng Dận vào cung, Trương Ước cũng theo vào.
恪见吴主孙亮，施礼毕，就席而坐。	Khác vào ra mắt Ngô chủ Tôn Lượng, lễ xong, ngồi dự tiệc.
亮命进酒，恪心疑，辞曰：“病躯不胜杯酌。”	Lượng sai mời rượu, Khác nghi tình tâu rằng: - Tôi lâu nay mệt yếu, không uống được rượu.
孙峻曰：“太傅府中常服药酒，可取饮乎？”	Tôn Tuấn nói: - Tướng phủ thái phó thường có rượu thuốc uống, nên đem lại thái phó uống có được không?
恪曰：“可也。”	Khác nói: - Được.
遂令从人回府取自制药酒到，恪方才放心饮之。	Khác bèn sai người về phủ lấy rượu đến, lúc đó mới yên tâm ngồi uống rượu.
酒至数巡，吴主孙亮托事先起。	Rượu được vài tuần, Ngô chủ thác việc dậy trước.
孙峻下殿，脱了长服，着短衣，内披环甲，手提利刃，上殿大呼曰：“天子有诏诛逆贼！”	Tôn Tuấn xuống điện, cởi áo dài ra, trong mình chỉ mặc áo ngắn và khoác áo giáp, cầm một thanh gươm cực sắc, bước lên điện, hô to rằng: - Thiên tử có chiếu sai đánh giặc!
诸葛恪大惊，掷杯于地，欲拔剑迎之，头已落地。	Gia Cát Khác giật mình, quẳng chén rượu xuống đất, rút gươm ra đỡ, nhưng đỡ chưa kịp, thì đầu đã rơi xuống đất rồi.
张约见峻斩恪，挥刀来迎。	Trương Ước thấy Tôn Tuấn chém Gia Cát Khác, khoa đao vào đánh.
峻急闪过，刀尖伤其左指。	Tuấn vội vàng tránh mũi đao, bị thương một ngón tay trỏ bên trái.
峻转身一刀，砍中张约右臂。	Tuấn quay mình lại chém vào cánh tay hữu Trương Ước.
武士一齐拥出，砍倒张约，剁为肉泥。	Võ sĩ kéo ồ ra, băm Trương Ước nát nhừ như bún.
孙峻一面令武士收恪家眷，一面令人将张约并诸葛恪尸首，用芦席包裹，以小车载出，弃于城南门外石子岗乱冢坑内。	Tuấn một mặt sai võ sĩ về bắt gia quyến Gia Cát Khác, một mặt sai đem thây Gia Cát Khác, Trương Ước dùng chiếc cói bó lại, bỏ lên chiếc xe, kéo ra ngoài cửa nam thành, quảng xuống bãi tha ma.
