匈奴，其先祖夏后氏之苗裔也，曰淳维。	Hung Nô, tiên tổ là con cháu của họ Hạ Hậu, gọi là Thuần Duy.
孝文帝後二年，使使遗匈奴书曰：“皇帝敬问匈奴大单于无恙。 使当户且居雕渠难、 郎中韩辽遗朕马二匹，已至，敬受。先帝制：长城以北， 引弓之国，受命单于；长城以内，冠带之室，朕亦制之。使万民耕织 射猎衣食，父子无离，臣主相安，俱无暴逆。今闻渫恶民贪降其进取 之利，倍义绝约，忘万民之命，离两主之驩，然其事已在前矣。书 曰：‘二国已和亲，两主驩说，寝兵休卒养马，世世昌乐，闟然更 始。’朕甚嘉之。圣人者日新， 改作更始，使老者得息，幼者得长，各保其首领而终其天年。朕与单 于俱由此道，顺天恤民，世世相传，施之无穷，天下莫不咸便。汉与 匈奴邻国之敌，匈奴处北地，寒，杀气早降，故诏吏遗单于秫糵金帛 丝絮佗物岁有数。今天下大安，万民熙熙，朕与单于为之父母。朕追 念前事，薄物细故，谋臣计失，皆不足以离兄弟之驩。朕闻天不颇 覆，地不偏载。朕与单于皆捐往细故，俱蹈大道，堕坏前恶，以图长 久，使两国之民若一家子。元元万民，下及鱼鳖，上及飞鸟，跂行喙 息 蠕动之类， 莫不就安利而辟危殆。故来者不止，天之道也。俱去前事：朕 释逃虏民，单于无言章尼等。 朕闻古之帝王，约 分明而无食言。单于留志，天下大安，和亲之後，汉过不先。单于其 察之。”	Năm Hậu Nguyên thứ hai thời Hiếu Văn đế, nhà Hán sai sứ đưa thư sang Hung Nô, thư viết: “Hoàng đế kính cẩn vấn an Đại Thiền vu Hung Nô. Thiền vu sai Đương hộ thư cư là Điêu Cừ Nan, Lang trung Hàn Liêu tặng trẫm hai con ngựa, đã đưa đến, xin kính nhận. Tiên đế quy định: Trường thành về bắc, là nước giương cung, chịu mệnh Thiền vu; Trường thành vào trong, là nhà mũ đai, thuộc trẫm thống trị. Khiến cho muôn dân được cày cấy, dệt vải, săn bắn, có cái ăn mặc, cha con không bị xa lìa, tôi chúa cùng yên, thảy không bị bạo ngược. Nay nghe nói bọn tà ác tham đánh cướp lợi, bội nghĩa phụ ước, quên cả tính mệnh muôn dân, ly gián niềm vui của hai chúa, mà việc ấy đã xảy ra từ trước. Thư đến có viết: 'Hai nước đã hòa thân, hai chúa vui vẻ, bãi binh cho sĩ tốt ngơi nghỉ nuôi ngựa, đời đời thịnh vượng an lạc, đổi mới từ đầu.' Trẫm rất vui về điều đó. Thánh nhân đổi mới hằng ngày, sửa đổi từ đầu, khiến người già được nghỉ ngơi, trẻ nhỏ được khôn lớn, thảy giữ được đầu cổ mà hưởng trọn tuổi trời. Trẫm với Thiền vu đều theo con đường đó, thuận theo trời, thương xót dân, đời đời truyền nhau, dài mãi vô cùng, thiên hạ không ai không được lợi. Nhà Hán với Hung Nô là nước láng giềng, Hung Nô ở đất phương bắc, lạnh, khí hậu khắc nghiệt đến sớm, cho nên sai quan lại đưa tặng Thiền vu rượu nếp, vàng, tơ lụa, bông, cùng các thứ khác, hằng năm tặng theo số lượng nhất định. Nay thiên hạ cực yên định, muôn dân vui sướng, trẫm và Thiền vu là cha mẹ họ. Trẫm nhớ lại việc trước kia, vì những nguyên do nhỏ nhặt, mưu thần thất sách, đều không đủ để ly gián niềm vui của anh em. Trẫm nghe nói trời không che một chỗ, đất không chở một phương. Trẫm với Thiền vu hãy cùng bỏ chuyện nhỏ nhoi đã qua, chung theo đạo lớn, trừ bỏ oán hận trước đây, để toan tính lâu dài, khiến dân chúng hai nước như con một nhà. Tính từ muôn dân, dưới tới cá rùa, trên đến chim bay, những loài biết đi biết mổ biết thở biết bò, không loại nào không được yên ổn lợi lạc mà tránh khỏi nguy hại. Cho nên người đến không ngừng, là đạo trời vậy. Cũng bỏ những việc trước đây: trẫm tha cho dân chúng đã trốn đi, Thiền vu cũng không nói đến bọn Chương Ni nữa. Trẫm nghe bậc đế vương thời xưa, giao ước rõ ràng mà không nuốt lời. Thiền vu hãy lưu tâm, thiên hạ an định, sau khi hòa thân, Hán không phụ trước. Thiền vu xét kỹ việc đó.”
单于既约和亲，於是制诏御史曰：“匈奴大单于遗朕书，言和亲 已定，亡人不足以益众广地，匈奴无入塞，汉无出塞，犯约者杀之， 可以久亲，後无咎，俱便。朕已许之。其布告天下，使明知之。”	Sau khi Thiền vu đã được định hòa thân, Văn đế hạ chiếu cho Ngự sử rằng: “Đại Thiền vu Hung Nô gửi thư cho trẫm, nói đã định việc hòa thân, dân bỏ trốn không đủ để dân nhiều, đất rộng thêm, Hung Nô không được vào biên tái, Hán không được ra khỏi biên tái, kẻ nào phạm phải ước định sẽ bị giết, có thể hòa thân lâu dài, về sau không còn tai họa, đều có lợi. Trẫm đã đồng ý việc đó. Hãy bố cáo cho thiên hạ, để ai nấy đều biết rõ.”
汉使马邑下人聂翁壹 奸兰出 物与匈奴交， 详为卖马邑城以诱单于。	Nhà Hán sai Nhiếp Ông Nhất người huyện Mã Ấp vi phạm lệnh cấm, ngầm mang của cải sang buôn bán với Hung Nô, và bán thành Mã Ấp để dụ Thiền vu.
汉伏兵三十馀万马 邑旁，御史大夫韩安国为护军，护四将军以伏单于。	Nhà Hán mai phục hơn ba mươi vạn quân bên cạnh Mã Ấp, Ngự sử đại phu Hàn An Quốc làm Hộ quân, chỉ huy bốn tướng quân phục kích Thiền vu.
然匈奴贪，尚乐关市，嗜汉财物，汉亦尚关市不绝以中之。	Nhưng Hung Nô tham, vẫn thích thông quan buôn bán, thích tài vật của nhà Hán, nhà Hán vẫn luôn thông quan buôn bán, nhằm đón ý của Hung Nô.
汉囚敖、广，敖、广赎为庶人。	Nhà Hán bỏ tù Ngao và Quảng, Ngao và Quảng chuộc tội, làm dân thường.
信教单于益北绝幕， 以诱罢汉 兵，徼极而取之， 无近塞。	Tín dạy Thiền vu lên mạn bắc, vượt sa mạc, dẫn dụ khiến quân Hán mệt mỏi cực độ rồi đánh lấy, không áp sát biên giới.
浑邪王与休屠王恐，谋降汉，汉使 骠骑将军往迎之。	Hồn Da vương và Hưu Chư vương sợ, toan mưu hàng Hán, nhà Hán sai Phiêu kỵ tướng quân đến nghinh đón.
乃粟马发十万骑，私从 马凡十四万匹，粮重不与焉。	Bèn cho ngựa ăn thóc, phát động mười vạn quân kỵ, tự nguyện cưỡi ngựa mang theo quân nhu gồm mười bốn vạn, chưa kể xe lương.
令大将军青、骠骑将军去病中分军，大 将军出定襄，骠骑将军出代，咸约绝幕击匈奴。	Lệnh đại tướng quân Vệ Thanh, Phiêu kỵ tướng quân Hoắc Khứ Bệnh chia đôi số quân, đại tướng quân ra Định Tường, Phiêu kỵ tướng quân ra Đại Quận, đều ước định vượt qua sa mạc tiến đánh Hung Nô.
单于闻之，远其辎 重，以精兵待於幕北。 与汉大将军接战一日，会暮，大风起，汉兵纵 左右翼围单于。	Thiền vu nghe tin, bèn đem xe lương chuyển đến nơi xa, dẫn quân tinh nhuệ chờ ở phía bắc sa mạc, cùng đại tướng quân nhà Hán giao chiến một ngày, đến chiều tối, gió lớn nổi lên, quân Hán từ hai bên tả hữu bao vây Thiền vu.
丞相长史任敞曰：“匈奴新破，困，宜可使为外臣，朝请於 边。”	Thừa tướng trưởng sử Nhâm Sưởng nói: “Hung Nô mới bị đánh phá, khốn quẫn, chính là lúc có thể khiến họ làm ngoại thần, triều kiến biên giới.”
而 单于终不肯为寇於汉边，休养息士马，习射猎，数使使於汉，好辞甘 言求请和亲。	Rốt cuộc Thiền vu cũng không chịu làm giặc cướp ở biên giới nhà Hán, cho quân sĩ và ngựa được nghỉ ngơi, tập săn bắn, sai sứ sang nhà Hán, dùng lời ngon ngọt để xin hòa thân.
单于 曰：“非故约。故约，汉常遣翁主，给缯絮食物有品，以和亲，而匈 奴亦不扰边。今乃欲反古，令吾太子为质，无几矣。”	Thiền vu nói: “Đó không phải ước định từ trước. Ước định trước đây, nhà Hán thường gả công chúa cho, cung cấp tơ sợi, đồ ăn để hòa thân, còn Hung Nô không quấy rối ở biên giới. Nay lại muốn làm ngược lại, bắt Thái tử của ta làm con tin, vậy không còn trông mong gì nữa rồi.”
杨信既归，汉使王乌，而单于复(cid:0)以甘言，欲多得汉财物，绐谓 王乌曰：“吾欲入汉见天子，面相约为兄弟。”	Dương Tín về nước, nhà Hán sai Vương Ô đi sứ, còn Thiền vu lại dùng lời ngon ngọt, muốn được nhiều của cải nhà Hán, bèn lừa bảo Vương Ô rằng: “Tôi muốn vào nhà Hán gặp thiên tử, cùng nhau kết làm anh em.”
而汉使路充国佩二千石 印绶往使，因送其丧，厚葬直数千金，曰“此汉贵人也”。	Rồi nhà Hán sai Lộ Sung Quốc đeo ấn hai nghìn thạch đi sứ sang Hung Nô, nhân đưa linh cữu quý nhân kia về, hậu táng mấy nghìn vàng, nói: “Đây là bậc quý nhân của nhà Hán vậy.”
汉乃拜郭昌为拔胡 将军，及浞野侯屯朔方以东，备胡。	Nhà Hán liền phong Quách Xương làm Bạt Hồ tướng quân, cùng Trác Dã hầu đồn quân từ Sóc Phương sang đông, phòng bị giặc Hồ.
浞野侯行捕首虏得数千 人。	Trác Dã hầu trên đường đi bắt giết được mấy nghìn người.
呴犁湖单于立一岁死。	Thiền vu Câu Lê Hồ lên ngôi được một năm thì chết.
匈奴乃立其弟左大都尉且鞮 侯为单于。	Hung Nô bèn lập người em trai là Tả đại đô úy Tư Đê hầu làm Thiền vu.
匈奴大围贰师将军，几不脱。	Hung Nô dẫn đại quân bao vây Nhị sư tướng quân, cơ hồ không thể thoát.
彊弩都尉 路博德将万馀人，与贰师会。	Cường nỗ đô úy Lộ Bác Đức đem hơn vạn quân, hội quân với Nhị sư.
贰师闻其家以巫蛊族灭，因并众 降匈奴， 得来还千人一两人耳。	Nhị sư nghe tin cả nhà mình bị giết vì tội vu cổ, nhân đó đem hết quân binh đầu hàng Hung Nô, nghìn người đi chỉ một hai người trở về.
世俗之言匈奴者，患其徼一时之权， 而务(cid:0)纳其说，以便偏指，不参 彼己；将率 席中国广 大，气奋，人主因以决策，是以建功不深。	Thế tục nói về người Hung Nô, bệnh của họ nhờ cầu may để có quyền nhất thời, chuộng lời nịnh bợ cho hợp ý mình, chỉ dựa vào điều phiến diện, không xét thực lực đôi bên; tướng soái cậy đất nước rộng lớn, sĩ khí hăng hái, người làm vua dựa vào đó để ra quyết sách, nên không dựng được công nghiệp rộng sâu.
其送死，有棺椁金银衣 裘，而无封树丧服；近幸臣妾从死 者，多至数千百人。	Đưa tiễn người chết, có quan quách, vàng bạc, áo cừu, nhưng không có mồ mả, tang phục; những cận thần, hầu thiếp bị tuẫn táng chết theo đến hàng trăm hàng nghìn người.
今帝即位，明和亲约束，厚遇，通关市，饶给之。	Đương kim Hoàng đế lên ngôi, làm rõ ước định hòa thân, tặng đãi trong hậu, thông quan buôn bán, cấp nhiều cho Hung Nô.
是岁，汉使贰师将军广利西伐大宛，而令因杅将军敖 筑受降城。	Năm ấy, nhà Hán sai Nhị sư tướng quân Quảng Lợi sang tây đánh Đại Uyển, rồi lệnh Nhân Vu tướng quân là Ngao đắp thành Thụ Hàng.
呴犁湖单于立，汉使光禄徐自为出五原塞 数百里，远者千馀里，筑城鄣列亭 至庐朐， 而使游击将军韩说、长平侯卫伉屯其 旁，使彊弩都尉路博德筑居延泽上。	Thiền vu Câu Lê Hồ lên ngôi, nhà Hán sai Quang lộc Từ Tự Vi ra ngoài ải Ngũ Nguyên mấy trăm dặm, lúc xa đến trên nghìn dặm, đắp thành lũy, chòi canh đến tận Lư Cù, rồi sai Du kích tướng quân Hàn Duyệt, Trường Bình hầu Vệ Kháng đồn quân bên cạnh, sai Cường nỗ đô úy là Lộ Bác Đức đắp thành phía trên đầm Cư Diên.
汉遣中郎将苏武厚币赂遗单于。	Nhà Hán sai Trung lang tướng Tô Vũ đem hậu lễ sang cho Thiền vu.
有诏捕太医令随但，言贰师将军家室族灭，使广利得降匈奴。	Có chiếu bắt Thái y lệnh là Tùy Đãn, tội nói việc cả nhà Nhị sư tướng quân bị giết, khiến Quảng Lợi đầu hàng Hung Nô.
太史公曰：孔氏著春秋，隐桓之间则章，至定哀之际则微， 为其 切当世之文而罔襃，忌讳之辞也。	Thái sử công bàn rằng: Họ Khổng làm sách Xuân thu, đoạn về thời Lỗ Ẩn công, Hoàn công thì rõ ràng, đến đoạn Định công, Ai công lại kín đáo, vì liên quan đến văn vẻ đương thời, không thể khen mà phải kiêng tránh đi.
骠骑封於狼居胥山，禅姑衍，临翰海 而还。	Phiêu kỵ tế trời ở núi Lang Cư Tư, tế đất ở Cô Diễn, đến tận Hàn Hải rồi về.
尧虽贤，兴事业不成，得 禹而九州宁。	Nghiêu dẫu hiền năng cũng không thể gây dựng sự nghiệp, sau nhờ Hạ Vũ nên chín châu mới được yên.
且欲兴圣统，唯在择任将相哉！ 唯在择任将相哉！	Vả muốn dấy lên mối rường của thánh nhân, chỉ ở chỗ chọn dùng tướng võ tướng văn thôi!
