赵氏之先，与秦共祖。	Tổ tiên họ Triệu cùng gốc với nước Tần.
公子成再拜稽首曰：“臣固闻王之胡服也。臣不佞，寝疾，未 能趋走以滋进也。王命之，臣敢对，因竭其愚忠。曰：臣闻中国者， 盖聪明徇智之所居也，万物财 用之所聚也，贤圣之所教也，仁义之所施也，诗书礼乐之所用也，异 敏技能之所试也，远方之所观赴也，蛮夷之所义行也。今王舍此而袭 远方之服，变古之教，易古人道，逆人之心，而怫学者，离中国，故 臣原王图之也。”	Công tử Thành vái hai vái, dập đầu nói: “Thần vốn đã nghe việc nhà vua mặc trang phục người Hồ. Thần kém cỏi, bệnh tật nằm nhà, chưa thể rảo bước chạy đến thưa trình. Nhà vua ra lệnh như thế, thần xin thưa, nhân đó dốc lòng ngu trung của mình. Rằng: Thần nghe, Trung nguyên là chỗ ở của bậc thông minh trí tuệ, là nơi tụ hội của muôn vật của cải, là chỗ giáo hóa của thánh hiền, là nơi thi hành nhân nghĩa, nơi dùng Thi Thư lễ nhạc, nơi thử nghiệm các kỹ năng kỳ lạ, nơi phương xa về quan chiêm, nơi làm khuôn phép về đạo nghĩa cho man di. Nay nhà vua bỏ những điều đó mà mặc trang phục của phương xa, thay giáo hóa thời xưa, đổi đạo lý thời cổ, trái với lòng người, khiến bậc thức giả phẫn nộ, xa rời [truyền thống] của Trung nguyên, cho nên thần xin nhà vua hãy suy nghĩ về điều đó.”
王遂往之公子成家，因自请之，曰：“夫服者，所以便用也；礼 者，所以便事也。圣人观乡而顺宜，因事而制礼，所以利其民而厚其 国也。夫翦发文身，错臂左衽， 瓯越之民也。 黑齿雕 题， 卻冠秫绌， 大吴之国也。故礼服莫同，其便一也。 乡异而用变，事异而礼易。是以圣人果可以利其国，不一其用；果可 以便其事，不同其礼。儒者一师而俗异，中国同礼而教离，况於山谷 之便乎？故去就之变，智者不能一；远近之服，贤圣不能同。穷乡多 异，曲学多辩。不知而不疑，异於己而不非者，公焉而众求尽善也。 今叔之所言者俗也，吾所言者所以制俗也。吾国东有河、薄洛之水， 与齐、中山同之， 东有燕、东胡之 境，而西有楼烦、秦、韩之边，今无骑射之备。故寡人无舟楫之用， 夹水居之民，将何以守河、薄洛之水；变服骑射，以备燕、三胡、 秦、韩之边。且昔者简主不塞晋阳以 及上党，而襄主并戎取代以攘诸胡，此愚智所明也。先时中山负齐之 彊兵，侵暴吾地，系累吾民，引水围鄗，微 社稷之神灵，则鄗几於不守也。先王丑之，而怨未能报也。今骑射之 备，近可以便上党之形，而远可以报中山之怨。而叔顺中国之俗以逆 简、襄之意，恶变服之名以忘鄗事之丑，非寡人之所望也。”	Vũ Linh vương liền đến nhà công tử Thành, đích thân đề nghị ông, nói: “Xét lẽ, y phục thì cốt ở tiện dụng; lẽ là để tiện cho công việc. Thánh nhân quan sát địa phương mà thuận hợp từng nơi, nhân sự việc mà chế định lễ nghi, cốt nhằm lợi cho dân mà bồi đắp thêm cho đất nước. Cắt tóc xăm mình, xăm vẽ lên cánh tay và mặc áo vạt hướng về phía trái, là [phong tục của] dân Âu Việt. Răng đen khắc trán, đội mũ da cá, mặc áo khâu bằng chỉ to, là [phong tục của] nước Đại Ngô. Cho nên lễ tiết và y phục không giống nhau, nhưng đều cốt sao cho tiện. Địa phương khác nhau thì cách dùng thay đổi, sự việc khác nhau thì lễ tiết thay đổi. Cho nên thánh nhân thấy thực sự làm lợi cho quốc gia thì không chỉ làm theo một cách; quả có thể khiến công việc thuận tiện thì lễ tiết không cần giống nhau. Nhà nho chỉ theo một thầy nhưng phong tục lại khác, Trung nguyên chung một lễ tiết nhưng giáo hóa khác nhau, huống chi là để thuận tiện cho nơi suối hang? Cho nên thay đổi trong việc giữ hay bỏ, bậc trí giả không thể chỉ theo một cách; y phục của nơi xa nơi gần, bậc hiền thánh cũng không thể khiến cho giống nhau. Vùng xa xôi hẻo lánh thì nhiều khác biệt, học thức nông cạn thì nhiều ngụy biện. Không biết thì không ngờ, thấy khác với mình thì không thể không dị nghị, công khai trưng cầu hết thảy chúng nhân thì kết quả tốt đẹp. Nay chú nói về phong tục, còn cái mà ta nói là để chế định phong tục. Nước ta phía đông có sông Hà và Bạc Lạc, chung nhau với Tề và nước Trung Sơn, nhưng không dùng đến thuyền bè. Từ Thường Sơn đến đất Đại, Thượng Đảng, phía đông có biên cảnh nước Yên và Đông Hồ, còn phía tây có biên cảnh của Lâu Phiền, Tần và Hàn, nay lại không coi trọng việc phòng bị bằng cách cưỡi ngựa bắn cung. Cho nên quả nhân thấy không dùng thuyền bè, dân hai bên sông lấy gì để giữ sông Hà và Bạc Lạc; thay đổi trang phục, cưỡi ngựa bắn cung là nhằm phòng bị vùng biên giới với các nước Yên, Tam Hồ, Tần và Hàn. Vả lại trước đây Giản chúa không chặn đường từ Tấn Dương đến Thượng Đảng, còn Tương chúa thôn tính đất Nhung, chiếm đất Đại để đuổi các tộc người Hồ, là điều kẻ ngu hay người trí đều thấy rõ. Hồi trước, Trung Sơn cậy quân binh hùng mạnh của Tề, xâm chiếm đất ta, bắt nhân dân ta, dẫn nước vây khốn thành Hạo, nhờ thần linh của xã tắc, nếu không đã không giữ được thành Hạo vậy. Tiên vương hổ nhục về điều đó, mà oán hận chưa sao báo được. Nay trang bị quân cưỡi ngựa bắn cung, gần có thể thuận tiện với địa hình Thượng Đảng, còn xa có thể phục thù Trung Sơn. Nhưng chú thuận theo phong tục Trung nguyên mà làm trái ý của Giản chúa, Tượng chúa, ghét cái danh nghĩa thay đổi y phục mà quên đi nỗi nhục ở thành Hạo, đó không phải điều quả nhân trông mong đâu.”
公字成 再拜稽首曰：“臣愚，不达於王之义，敢道世俗之闻，臣之罪也。今 王将继简、襄之意以顺先王之志，臣敢不听命乎！”	Công tử Thành vái hai vái, dập đầu nói: “Thần ngu muội, không hiểu ý của nhà vua, dám nói về thế tục, đó là tội của thần. Nay đại vương kế thừa ý nguyện của Giản chúa, Tương chúa để thuận theo chí hướng tiên vương, thần đâu dám không nghe lệnh!”
於是始出胡服令也。	Thế là [Vũ Linh vương] bắt đầu ra lệnh mặc y phục người Hồ.
王曰：“先王不同俗，何古之法？帝 王不相袭，何礼之循？虙戏、神农教而不诛，黄帝、尧、舜诛而不 怒。及至三王，随时制法，因事制礼。法度制令各顺其宜，衣服器械 各便其用。故礼也不必一道，而便国不必古。圣人之兴也不相袭而 王，夏、殷之衰也不易礼而灭。然则反古未可非，而循礼未足多也。 且服奇者志淫，则是邹、鲁无奇行也； 俗辟者民易，则 是吴、越无秀士也。 且圣人利身谓之服，便事谓 之礼。夫进退之节，衣服之制者，所以齐常民也，非所以论贤者也。 故齐民与俗流，贤者与变俱。故谚曰‘以书御者不尽马之情，以古制 今者不达事之变’。循法之功，不足以高世；法古之学，不足以制 今。子不及也。”	Vũ Linh vương nói: “Tiên vương có các tục lệ khác nhau, theo khuôn phép thời cổ nào? Đế vương không dựa theo nhau, biết phải theo lễ nào? Phục Hy, Thần Nông giáo hóa mà không dùng hình; Hoàng Đế, Nghiêu, Thuấn dùng hình mà không tàn bạo. Đến thời Tam Dương, tùy thời mà đặt khuôn phép, nhân việc mà chế lễ nghi. Pháp độ, chế lệnh đều cốt sao cho phù hợp, y phục và vật dụng thảy đều cốt sao cho tiện dụng. Cho nên lễ không nhất thiết theo một lối, thuận tiện cho đất nước thì không buộc phải theo xưa. Thánh nhân dấy lên cũng không phải nương theo nhau rồi xưng vương, nhà Hạ nhà Ân suy vi cũng không phải do đổi lễ tiết mà bị diệt. Vậy thì, làm trái thời xưa vị tất đã là sai, mà noi theo lễ cũng chưa đủ để được khen ngợi vậy. Vả lại, nói mặc trang phục lạ khiến tâm trí trở nên dâm đãng, vậy thì nước Trâu nước Lỗ đã không có hành vi kỳ lạ, phong tục nơi xa xôi khiến dân hay khinh mạn, vậy thì nước Ngô nước Việt đã không có kẻ sĩ hiền năng. Hơn nữa, thánh nhân thấy lợi cho thân thì gọi là y phục, tiện cho việc thì gọi là lễ tiết. Xét lẽ, lễ tiết trong việc tiến lui, khuôn phép chế định y phục, là để người dân bình ổn, không phải thứ để bàn về bậc hiền giả. Cho nên người dân thì noi theo thói tục, hiền nhân thì phải biết thay đổi. Do đó ngạn ngữ nói: 'Người dùng sách vở để học đánh xe sẽ không hiểu hết tâm tính của ngựa, người theo xưa để áp vào nay sẽ không hiểu được sự biến.' Noi theo khuôn phép, không đủ để lập công lao hơn đời; học phép thời cổ, không đủ để áp dụng vào đời nay. Các ông không hiểu được lẽ đó.”
代相赵固主胡， 致其兵。	Tướng quốc nước Đại là Triệu Cố quản việc liên quan đến người Hồ, chiêu mộ quân người Hồ.
王庙 见礼毕，出临朝。	Vua đến hành lễ ở tông miếu xong, lâm triều [giải quyết chính sự].
惠文王，惠后吴娃子也。	Huệ Văn vương là con của Huệ hậu Ngô Oa vậy.
主父欲令子主治国，而身胡服将士大夫西北略胡地，而欲从云 中、九原直南袭秦，於是诈自为使者入秦。	Chủ Phụ muốn sai con chủ việc trị quốc, còn mình mặc trang phục người Hồ thống lãnh sĩ đại phu sang phía tây bắc chiếm đất của người Hồ, rồi định từ Vân Trung, Cửu Nguyên thẳng tiến xuống nam đánh úp nước Tần, thế là bèn đóng giả làm sứ giả sang Tần.
章素 侈，心不服其弟所立。	Chương vốn phóng túng, thấy em lên ngôi thì trong lòng không phục.
李兑谓肥义曰：“公子章彊壮而志骄，党众而欲大，殆有私乎？ 田不礼之为人也，忍杀而骄。二人相得，必有谋阴贼起，一出身徼 幸。夫小人有欲，轻虑浅谋，徒见其利而不顾其害，同类相推，俱入 祸门。以吾观之，必不久矣。子任重而势大，乱之所始，祸之所集 也，子必先患。仁者爱万物而智者备祸於未形，不仁不智，何以为 国？子奚不称疾毋出，传政於公子成？毋为怨府，毋为祸梯。”	Lý Đoài nói với Phì Nghĩa rằng: “công tử Chương cường tráng mà tâm trí kiêu căng, bè đảng đông mà ham muốn lớn, e có tính toán riêng chăng? Điền Bất Lễ là người tàn nhẫn, hiếu sát lại ngạo mạn. Hai người này hợp tính nhau, ắt có âm mưu làm loạn, một khi ra tay sẽ hy vọng may mắn và thành công. Xét lẽ, tiểu nhân có ham muốn sẽ suy nghĩ hời hợt mà mưu tính nông cạn, chỉ thấy cái lợi mà không xét đến hại, giống nhau thì thúc đẩy nhau, sẽ cùng vào cửa tai họa. Theo tôi thấy, nhất định không lâu nữa đâu. Ngài gánh trọng trách mà quyền thế lớn, là chỗ khởi đầu của loạn, là chỗ tai họa dồn vào, ngài ắt bị tai họa trước. Người có lòng nhân thì yêu muôn vật còn bậc trí giả thì phòng bị tai họa từ khi chưa hình thành, bất nhân bất trí thì sao trị quốc được? Sao ngài không thác bệnh không ra ngoài, trao lại chính sự cho công tử Thành? Đừng làm kho chứa oán hận, đừng làm thang cho họa leo lên.”
肥义 曰：“不可，昔者主父以王属义也，曰：‘毋变而度，毋异而虑，坚 守一心，以殁而世。’义再拜受命而籍之。 今畏不礼之难而忘吾籍，变孰大焉。进受严命，退而不 全，负孰甚焉。变负之臣，不容於刑。谚曰‘死者复生，生者不 愧’。 吾言已在前 矣，吾欲全吾言，安得全吾身！且夫贞臣也难至而节见，忠臣也累至 而行明。子则有赐而忠我矣，虽然，吾有语在前者也，终不敢 失。”	Phì Nghĩa đáp: “Không được. Trước đây Chủ Phụ đem nhà vua ủy thác cho Nghĩa này, dặn rằng: Không đổi pháp độ, không thay suy nghĩ, giữ vững một lòng, đến chết mới thôi.' Nghĩa vái hai vái nhận mệnh rồi ghi lại. Nay sợ họa của Bất Lễ mà quên điều mình ghi chép, thay đổi nào lớn hơn thế. Tiến thì nhận nghiêm lệnh, lui lại không làm được vẹn toàn, có sai trái nào hơn thế. Kẻ bề tôi thay đổi và sai trái, hình pháp không dung. Ngạn ngữ nói: 'Người chết sống lại, người sống không thấy hổ thẹn.' Tôi đã nói trước rồi, tôi muốn hoàn thành điều mình đã hứa, đâu thể chỉ vì sự an toàn của bản thân! Vả lại, bề tôi kiên trinh dẫu họa nạn xảy đến sẽ càng bền tiết tháo, bậc trung thần dẫu họa loạn đến thì đức hạnh càng rạng tỏ. Điều ông chỉ giáo cho thấy lòng trung hậu với tôi, nhưng tôi đã nói trước rồi, rốt cuộc không dám làm trái.”
涕泣而出。	Rồi khóc lóc trở ra.
异日肥义谓信期曰：“公子与 田不礼甚可忧也。其於义也声善而实恶，此为人也不子不臣。吾闻之 也，奸臣在朝，国之残也；谗臣在中，主之蠹也。此人贪而欲大，内 得主而外为暴。矫令为慢，以擅一旦之命，不难为也，祸且逮国。今 吾忧之，夜而忘寐，饥而忘食。盗贼出入不可不备。自今以来，若有 召王者必见吾面，我将先以身当之，无故而王乃入。”	Hôm khác, Phì Nghĩa nói với Thân Kỳ rằng: “Công tử và Điền Bất Lễ thực đáng lo ngại. Về danh nghĩa, họ có tiếng tốt mà thực lại xấu, hai người họ không trọn đạo làm con, làm tôi. Tôi nghe nói, gian thần trong triều, là nguy hại của đất nước; bề tôi siểm nịnh trong cung, là mối mọt của quân chúa. Hai người này tham lam mà dã tâm lớn, trong triều thì được lòng chúa, bên ngoài thì làm việc tàn ngược. Giả lệnh vua để làm việc ngạo mạn, để một ngày kia nắm riêng mệnh lệnh, điều đó không khó khăn gì, sẽ nguy hại cho đất nước. Nay ta lo lắng về việc đó, đêm mà quên ngủ, đói mà quên ăn. Trộm cướp ra vào không thể không phòng bị. Từ rày về sau, nếu có ai triệu kiến nhà vua, nhất định phải gặp ta trước, ta sẽ lấy thân mình gánh vác trước, không có vấn đề gì thì nhà vua mới vào.”
信期曰：“善 哉，吾得闻此也！”	Thân Kỳ nói: “Tốt lành thay, tôi được nghe những lời này!”
四年，朝群臣，安阳君亦来朝。	Năm thứ tư, [Chủ Phụ] triệu kiến quần thần, An Dương quân cũng vào triều.
主父令王听朝，而自从旁观窥群 臣宗室之礼。	Chủ Phụ lệnh Triệu vương nghe chính sự, còn mình đứng bên quan sát lễ nghi của quần thần và tông thất.
主父及王游沙丘，异宫，公子章 即以其徒与田不礼作乱，诈以主父令召王。	Chủ Phụ cùng Triệu vương du lãm Sa Khâu, ở chỗ khác nhau, công tử Chương liền sai đồ đảng của mình cùng Điền Bất Lễ làm loạn, giả lệnh của Chủ Phụ truyền triệu Triệu vương.
公子成为相，号安平君，李兑为司寇。	Công tử Thành làm Tướng quốc, hiệu là An Bình quân, Lý Đoài làm Tư khấu.
公子章死，公子成、李 兑谋曰：“以章故围主父，即解兵，吾属夷矣。”	Công tử Chương chết, công tử Thành và Lý Đoài bàn mưu rằng: “Vì việc của Chương mà bao vây Chủ Phụ, nếu bãi binh, họ hàng ta sẽ bị diệt hết đấy.”
令宫 中人“後出者夷”，宫中人悉出。	Lệnh cho người trong cung “Ai ra sau sẽ bị giết cả họ”, người trong cung thảy đều ra ngoài.
主父欲出不得，又不得食，探爵鷇 而食之， 三月馀而饿死沙丘宫。	Chủ Phụ muốn ra không được, lại không có gì ăn, phải bắt chim sẻ non để ăn, hơn ba tháng thì chết đói trong cung Sa Khâu.
吴娃死，爱弛，怜故太子，欲两王之，犹豫未决，故乱起，以至 父子俱死，为天下笑，岂不痛乎！	Ngô Da chết, [Chủ Phụ] bớt sủng ái [Hà], thương Thái tử trước, định lập cả hai làm vương, còn chần chừ chưa quyết, cho nên sinh loạn, đến nỗi cha con đều chết, bị thiên hạ cười, há không đau buồn !
苏厉为齐遗赵王书曰： 臣闻古之贤君，其德行非布於海内也，教顺非洽於民人也，祭祀 时享非数常於鬼神也。 甘露降，时雨至，年穀丰孰，民不疾疫，众人 善之，然而贤主图之。 今足下之贤行功力，非数加於秦也；怨毒积怒，非素深於齐也。 秦赵与国，以彊徵兵於韩，秦诚爱赵乎？	Tô Lệ vì Tề gửi thư cho Triệu vương rằng: “Thần nghe bậc vua hiền ngày xưa, đức hạnh không ban bố khắp bốn biển, giáo hóa không thấm khắp chúng dân, tế tự theo thời không cử hành thường xuyên với quỷ thần. Móc ngọt rơi xuống, mưa thuận theo thời, lúa má bội thu, dân không dịch bệnh, chúng nhân khen ngợi, thế nhưng bậc chúa hiền vẫn suy xét về những điều đó. Nay đức hạnh và công sức của túc hạ không thường ban bố cho Tần; chứa oán tích giận không nước nào sâu như với Tề. Tần và Triệu liên kết, nhằm ép để trưng dụng quân đội nước Hàn. Tần thực sự yêu quý Triệu ư? Thực sự ghét Tề ư? Sự việc đã đến mức thái quá, bậc hiền chúa cần xem xét điều đó. Tần không phải yêu Triệu mà ghét Tề vậy, muốn khiến Hàn diệt vong rồi thôn tính hai Chu, cho nên dùng Tề để nhử thiên hạ. Sợ làm thế người ta không theo, nên xuất binh uy hiếp Ngụy và Triệu. Lo thiên hạ sợ mình cho nên phái người sang làm con tin để được tín nhiệm. Sợ thiên hạ kíp phản lại, nên trưng dụng quân Hàn để ra oai với thiên hạ. Đánh tiếng là ban đức cho nước người, kỳ thực là đánh nước Hàn trống không, thần cho rằng Tần ắt đưa ra kế sách nhằm vào đó. Xét lẽ, sự vật có hình thế khác biệt mà họa nạn giống nhau, Sở bị đánh lâu mà Trung Sơn bị diệt, nay Tề bị đánh lâu mà Hàn ắt diệt vong. Phá Tề, đại vương cùng sáu nước phân chia lợi ích. Diệt Hàn, chỉ riêng Tần chiếm lấy. Thu được hai Chu, phía tây lấy đồ tế khí, mình Tần chiếm làm của riêng. Thuế khóa, ruộng đất hãy thử tính xem, đại vương và Tần nước nào được lợi nhiều hơn? Kế của kẻ sĩ du thuyết là: 'Hàn mất đất Tam Xuyên, Ngụy mất đất cũ nước Tấn, chợ búa chưa tan mà họa nạn đã đến.’ Yên chiếm hết đất phía bắc nước Tề, cách Sa Khâu và Cự Lộc ba trăm dặm, Thượng Đảng của Hàn cách Hàm Đan trăm dặm, Yên và Tần mưu đoạt non sông của đại vương, qua ba trăm dặm có thể tiến đến rồi. Thượng Quận của Tần gần với Đĩnh Quan, đến Du Trung còn một nghìn năm trăm dặm, Tần đem quân ba quận tấn công Thượng Đảng của đại vương, phía tây Dương Trường, phía nam Cú Chú không còn là đất của đại vương nữa. Qua Cú Chú, cắt lấy Thường Sơn rồi chiếm giữ lấy, ba trăm dặm là thông đến Yên, thì ngựa của đất Đại, chó của người Hồ không còn xuống phía đông, ngọc quý ở Côn Sơn không chuyển ra, ba vật báu ấy cũng không còn của đại vương nữa. Đại cương đánh Tề lâu ngày, theo Tần hùng mạnh đánh Hàn, tai họa nhất định kéo đến đây. Xin đại vương hãy nghĩ cho kỹ. Huống nữa, sở dĩ Tề bị đánh là vì phụng sự đại vương; thiên hạ theo Tần hành động, là mưu nhắm vào đại dương. Minh ước giữa Yên và Tần hoàn thành thì đã định được ngày xuất quân. Năm nước chia đất của đại vương làm ba phần, Tề phản bội minh ước giữa năm nước mà hy sinh thân mình vì họa nạn của đại vương, đem quân sang tây chống quân Tần mạnh, Tần bỏ đế hiệu rồi xin khôi phục, trả lại Cao Bình và Căn Nhu cho Ngụy, trả Hình Phân và Tiên Du cho Triệu. Tề phụng sự đại vương, đứng vào hạng nhất, mà nay lại bị trị tội, thần e những nước sau này phụng sự đại vương sẽ không dám hết lòng vậy. Xin đại vương hãy suy tính thấu đáo. Nay đại vương không cùng thiên hạ đánh Tề, thiên hạ ắt cho đại vương có nghĩa. Nước Tề sẽ ôm xã tắc mà hết lòng phụng sự đại vương, thiên hạ ắt thảy coi trọng chính nghĩa của đại vương. Đại vương dùng thiên hạ đối tốt với Tần, Tần bạo ngược, đại vương dùng thiên hạ ngăn Tần, như thế thanh danh là sự tôn sùng một đời đều dồn về đại vương.”
大潦，漳水出。	Lụt lớn, nước Chương Thủy tràn lên.
封赵豹为平阳君。	Phong Triệu Báo làm Bình Dương quân.
河水出，大潦。	Hoàng Hà dâng nước, lụt lớn.
太后不肯，大臣彊谏。	Thái hậu không chịu, đại thần cố can.
太后 明谓左右曰：“复言长安君为质者，老妇必唾其面。”	Thái hậu nói rõ với tả hữu rằng: “Ai còn nói đưa Trường An quân sang làm con tin, mụ già này nhất định phỉ nhổ vào mặt kẻ đó.”
入， 徐趋而坐，自谢曰：“老臣病足，曾不能疾走，不得见久矣。 窃自恕，而恐太后体之有所苦也，故原望见太后。”	[Xúc Long] vào cung, đi bước nhỏ khoan thai đến chỗ ngồi, tự tạ lỗi rằng: “Lão thần đau chân, không thể đi nhanh được, lâu không được yết kiến Thái hậu. Trộm tự khoan thứ, nhưng sợ ngọc thể Thái hậu có chỗ khó chịu, cho nên mong được yết kiến Thái hậu.”
太后曰：“老妇 恃辇而行耳。”	Thái hậu nói: “Già này ngồi xe mà đi thôi.”
曰：“食得毋衰 乎？”	Hỏi: “Ăn có kém đi không?”
曰：“老臣间者殊不欲食，乃彊步，日三四 里，少益嗜食，和於身也。”	Xúc Long nói: “Lão thần thi thoảng thực sự không muốn ăn, bèn gượng đi bộ, ngày đi ba bốn dặm, thấy muốn ăn hơn một chút, thân thể dễ chịu.”
太后曰：“老妇不能。”	Thái hậu nói: “Già này không thể.”
太后不和之色 少解。	Sắc mặt tức giận của Thái hậu bớt đi chút ít.
左师公曰：“老臣贱息舒祺最少，不肖，而臣衰，窃怜爱之， 原得补黑衣之缺以卫王宫，昧死以闻。”	Tả sự công nói: “Con mọn của lão thần là Thư Kỳ nhỏ tuổi nhất, kém cỏi, còn thần già rồi, trộm thương yêu nó, mong nó được bổ vào chỗ khuyết trong đám túc vệ áo đen làm hộ vệ trong vương cung, xin mạo muội liều chết bẩm cáo.”
太后曰：“敬诺。年几何 矣？”	Thái hậu nói: “Kính vâng. Tuổi tác bao nhiêu?”
对曰：“十五岁矣。虽少，原及未填沟壑而讬之。”	Đáp rằng: “Mười lăm tuổi rồi. Tuy nhỏ, xin nhân lúc thần chưa bị vứt nơi ngòi rãnh mà gửi gắm nó.”
太后 曰：“丈夫亦爱怜少子乎？”	Thái hậu nói: “Đàn ông mà cũng yêu thương con nhỏ vậy ư?”
太后笑曰：“妇 人异甚。”	Thái hậu cười nói: “Đàn bà càng yêu hơn.”
对曰：“老臣窃以为媪之爱燕后贤於长安君。”	Đáp rằng: “Lão thần trộm cho là người yêu Yên hậu hơn Trường An quân.”
太后 曰：“君过矣，不若长安君之甚。”	Thái hậu nói: “Ông nhầm rồi, kém xa Trường An quân.”
左师公曰：“父母爱子则为之计 深远。媪之送燕后也，持其踵，为之泣，念其远也，亦哀之矣。已 行，非不思也，祭祀则祝之曰‘必勿使反’，岂非计长久，为子孙相 继为王也哉？”	Tả sư công nói: “Cha mẹ yêu con thì vì con mà lo tính sâu xa. Người đưa tiễn Yên hậu xuất giá thì níu gót chân mà khóc, nghĩ con lấy chồng xa, cũng đau buồn vì chuyện đó. Sau khi đã đi, không lúc nào không nhớ, khi tế tự thì khấn rằng 'Nhất định đừng để cho về', há không phải tính lâu dài, cho con cháu nối nhau làm vương ư?”
曰：“微独赵， 诸侯有在者乎？”	Hỏi: “Không chỉ nước Triệu, chư hầu có còn ai tại vị không?”
曰：“老妇不闻也。”	Đáp: “Già không nghe nói.”
曰：“此其近者祸及其身， 远者及其子孙。岂人主之子侯则不善哉？位尊而无功，奉厚而无劳， 而挟重器多也。今媪尊长安君之位，而封之以膏腴之地，多与之重 器，而不及今令有功於国，一旦山陵崩，长安君何以自讬於赵？老臣 以媪为长安君之计短也，故以为爱之不若燕后。”	Xúc Long nói: “Những người đó gần thì chuốc họa vào mình, xa thì họa cho con cháu. Há con cháu của nhà vua [được phong hầu] là những người bất thiện ư? Địa vị cao mà không có công lao, bổng lộc hậu mà không phải khó nhọc, lại còn có nhiều của báu nữa. Nay, Thái hậu cho Trường An quân địa vị tôn quý, phong cho đất đai màu mỡ, ban nhiều đồ quý báu, nay không sớm sai lập công với nước, một sớm kia Thái hậu băng, Trường An quân dựa vào đâu ở Triệu? Lão thần cho Thái hậu tính kế cho Trường An quân còn nông, vì vậy cho [Thái hậu] yêu Trường An quân không bằng Yên hậu.”
子义闻之，曰：“人主之子， 骨肉之亲 也，犹不能持无功之尊，无劳之奉，而守金玉之重也，而况於予 乎？”	Tử Nghĩa nghe chuyện đó, nói: “Con của bậc vua chúa, là chỗ thân thiết cốt nhục, còn không thể giữ được địa vị tôn quý nếu không có công lao, không thể hưởng được bổng lộc nếu không phải khó nhọc, cũng như giữ đồ vàng ngọc quý báu, huống chi những người như chúng ta ư?”
明日，王召筮史敢占之，曰：“梦衣偏裻之衣者，残也。乘 飞龙上天不至而坠者，有气而无实也。见金玉之积如山者，忧 也。”	Hôm sau, Triệu vương vời viên phụ trách bói toán là Cảm đến xem bói về giấc mộng đó, Cảm nói: “Mặc áo bên trái và bên phải hai màu khác nhau, tượng sự tàn khuyết không vẹn toàn. Cưỡi rồng bay lên trời, chưa đến mà đã rơi xuống, tượng cho việc có khí thế mà không đủ thực lực. Thấy vàng ngọc chất như núi, tượng cho sự lo lắng.”
王大喜，召平阳君豹告之曰：“冯亭入城市邑十 七，受之何如？”	Triệu vương cả mừng, triệu Bình Dương quân là Báo đến nói rằng: “Phùng Đình hiến mười bảy thành ấp, nếu nhận thì sao?”
对曰：“圣人甚祸无故之利。”	Đáp rằng: “Thánh nhân suy xét sâu xa về tai họa khi vô cớ được lợi.”
王曰：“人怀吾 德，何谓无故乎？”	Triệu vương hỏi: “Người ta nghĩ đến đức của ta, sao nói là vô cớ?”
对曰：“夫秦蚕食韩氏地，中绝不令相通，固自 以为坐而受上党之地也。韩氏所以不入於秦者，欲嫁其祸於赵也。秦 服其劳而赵受其利，虽彊大不能得之於小弱，小弱顾能得之於彊大 乎？岂可谓非无故之利哉！且夫秦以牛田之 水通粮 蚕食，上乘倍战者， 裂上国之地， 其政行，不可与为难，必勿受也。”	Đáp rằng: “Xét lẽ, Tần chiếm dần đất của Hàn như tằm ăn lá dâu, nửa đường thì cắt đứt đường đi, khiến hai bên không thông, vốn tự cho rằng chỉ cần ngồi mà có được đất Thượng Đảng. Nước Hàn sở dĩ không muốn hiến Thượng Đảng cho Tần, vì muốn giá họa của mình sang Triệu vậy. Tần phải vất vả mà Triệu được hưởng lợi, dẫu nước lớn mạnh cũng không thể giành mối lợi đó từ nước nhỏ yếu, thì nước nhỏ yếu có thể lấy được mối lợi đó từ nước lớn mạnh chăng? Há có thể cho không phải là cái lợi vô cớ ! Hơn nữa, Tần dùng đường thủy Ngưu Điền để vận lương rồi xâm chiếm dần nước Hàn như tằm ăn lá dâu, dùng chiến xa tốt nhất ra sức tấn công, phân cắt đất đai nước Hàn, chính lệnh họ đã thi hành, không thể làm khó được họ, nhất định không được nhận.”
王曰：“今发百万之军 而攻，逾年历岁未得一城也。今以城市邑十七币吾国， 赵豹出，王召平原君与赵禹而告之。对曰：“发百万之军而攻， 逾岁未得一城，今坐受城市邑十七，此大利，不可失也。”	Triệu vương nói: “Nay phát động trăm vạn quân để đánh, hết năm này sang năm khác mà chưa được một thành. Giờ đây, [Phùng Đình] đem mười bảy thành ấp dâng cho nước ta, đó là lợi lớn vậy.” Triệu Báo đi khỏi, Triệu vương triệu Bình Nguyên quân cùng Triệu Vũ đến, rồi nói về việc đó. Họ đáp rằng: “Phát trăm vạn quân mà đánh, năm này sang năm khác chưa chắc được một thành, nay ngồi mà nhận được mười bảy thành ấp, đó là lợi lớn, không thể để mất.”
