秦之先，帝颛顼之苗裔孙曰女脩。	Tổ tiên nhà Tần là Nữ Tu, hậu duệ của Để Chuyên Húc.
九月壬戌，与晋惠公夷吾合战於韩 地。	Ngày Nhâm Tuất tháng Chín, cùng Tấn Huệ công Di Ngô giao chiến ở đất Hàn.
二老曰：“臣非敢沮君军。军行，臣子与 往；臣老，迟还恐不相见，故哭耳。”	Hai ông già nói: “Chúng thần không dám ngăn trở quân vua. Quân đội khởi hành, con chúng thần cùng đi. Chúng thần già cả, nếu chúng về chậm e không gặp nhau được nên khóc thôi.”
韩、赵、魏、燕、齐帅匈 奴共攻秦。	Hàn, Triệu, Ngụy, Yên, Tề dẫn Hung Nô cùng đánh Tần.
十三年，庶长章击楚於丹阳，虏其将屈匄，斩 首八万；又攻楚汉中，取地六百里，置汉中郡。	Năm thứ mười ba, Thứ trưởng Chương tấn công Sở ở Đan Dương, bắt tướng nước ấy là Khuất Cát, chém tám vạn thủ cấp, lại đánh Hán Trung của Sở, chiếm sáu trăm dặm đất, đặt quận Hán Trung.
任鄙为汉 中守。	Nhâm Bỉ làm Quận thú Hán Trung.
五十一年，将军摎攻韩，取阳城、负黍， 斩首四万。	Năm thứ năm mươi mốt, tướng quân Cưu đánh Hàn, chiếm Dương thành, Phụ Thử, chém bốn vạn thủ cấp.
韩王入 朝，魏委国听令。	Hàn vương vào chầu, Ngụy ủy thác đất nước (cho Tần), xin nghe mệnh lệnh.
使蒙骜伐 韩，韩献成皋、巩。	Sai Mông Ngao đánh Hàn, Hàn dâng đất Thành Cao và huyện Củng.
四月日食。	Tháng Tư, nhật thực.
其语在 始皇本纪中。	Chuyện này chép trong Tần Thủy Hoàng bản kỷ.
吕、郤等疑丕郑有间，乃言夷吾杀丕 郑。	Bọn Lã, Khích ngờ Phi Trịnh có trò gian, bèn bảo Di Ngô giết Phi Trịnh.
晋旱，来请粟。	Nước Tấn hạn hán, đến xin thóc.
晋君谋之群臣。	Vua Tấn bàn với quần thần.
六年，魏纳阴晋， 阴晋更名宁秦。	Năm thứ sáu, Ngụy nộp đất Âm Tấn, Âm Tấn được đổi tên thành Ninh Tần.
十一年，县义渠。 归魏焦、曲沃。	Năm thứ mười một, đặt Nghĩa Cừ làm huyện, trả Ngụy đất Tiêu và Khúc Ốc.
韩、魏、齐、楚、越 皆宾从。	Hàn, Ngụy, Tề, Sở, Việt đều quy thuận.
张仪、魏章皆东出之魏。	Trương Nghi, Ngụy Chương đều đi về đông tới Ngụy.
十二月，益发卒军汾城旁。	Tháng Mười hai, điều thêm quân đóng ở gần Phần thành.
二月馀攻晋军，斩首六千，晋楚流死河二万人。	(Sau đó) đánh quân Tấn, chém sáu nghìn thủ cấp. Quân Tấn, Sở chết trôi trên Hoàng Hà đến hai vạn người.
初作河桥。	Bắt đầu làm cầu Hoàng Hà.
二老退，谓其子 曰：“汝军即败，必於殽(cid:0)厄矣。”	Hai ông già lui, nói với con rằng: “Quân người mà bại, ắt ở đất hiểm Hào Sơn.”
薛文以金受免。	Tiết Văn vì Kim Thụ mà bị bãi chức.
由余数谏不听，缪公又数使人间要由 余，由余遂去降秦。	Do Dư mấy lần can gián không nghe. Mục công lại mấy lần sai người ngầm mời Do Dư. Do Dư bèn bỏ về Tần.
丹、犁臣，蜀 相壮杀蜀侯来降。	Nước Đan, nước Lê xưng thần. Quan Tướng nước Thục là Tráng giết Thục hầu đến hàng.
二年，初置丞相， 醿里疾、甘茂为左右丞相。	Năm thứ hai, bắt đầu đặt chức thừa tướng. Sư Lý Tật, Cam Mậu làm tả hữu thừa tưởng.
南公揭卒，醿里疾相 韩。	Nam Công Yết mất, Sư Lý Tật làm chức Tướng nước Hàn.
齐使章子，魏 使公孙喜，韩使暴鸢共攻楚方城，取唐眛。	Tề sai Chương Tử, Ngụy sai Công Tôn Hỷ, Hàn sai Bạo Diên cùng đánh Phương Thành nước Sở, bắt được Đường Muội.
楼缓为丞相。	Lâu Hoãn làm thừa tướng.
左更白起攻新城。 五大夫礼出亡奔魏。	Tả canh Bạch Khởi đánh Tân Thành, Ngũ đại phu Lễ chạy trốn đến Ngụy.
白起攻赵，取代 光狼城。 又使司 马错发陇西，因蜀攻楚黔中，拔之。	Bạch Khởi đánh Triệu, chiếm thành Quang Lang của đất Đại, lại sai Tư Mã Thố cất quân Lũng Tây, qua Thục đánh chiếm Kiềm Trung của Sở.
司马梗北定太原，尽有韩上 党。	Tư Mã Ngạnh phía bắc dẹp yên Thái Nguyên, chiếm hết đất Thượng Đảng của Hàn.
其十月，将军张唐攻 魏，为蔡尉捐弗守，还斩之。	Tháng Mười năm ấy, tướng quân Trường Đường đánh Ngụy, (tướng Ngụy) Sái Úy không giữ được thành, về bị chém.
龁攻邯郸，不拔，去，还奔汾军。	Hột đánh Hàm Đan, không chiếm được, lui quân, chạy về đóng ở Phần thành hơn hai tháng.
三年，卫鞅说孝公变法修刑，内务耕稼，外劝战死之赏罚，孝公 善之。	Năm thứ ba, Vệ Ưởng thuyết phục Hiếu công sửa đổi hình pháp, trong thì coi trọng cày cấy, ngoài thì khuyến khích (quân binh) cảm tử, định rõ thưởng phạt.
败韩岸门，斩首万，其将犀首 走。	Đánh bại Hàn ở Ngạn Môn, chém một vạn thủ cấp, tướng Hàn là Tê Thủ tháo chạy.
攻汾城，即从唐拔 宁新中， 宁新中更名安阳。	Đánh Phần thành, rồi theo Trương Đường đánh hạ Ninh Tân Trung. Ninh Tân Trung được đổi tên thành An Dương.
予楚粟五万石。	Cho Sở năm vạn thạch thóc.
魏厓免相。	Ngụy Nhiễm bị bãi chức thừa tướng.
金祠白帝，龙祚水德。 祥应陈宝，妖除丰特。 里奚致 霸，卫鞅任刻。	Lục khanh: sáu nhà họ Triệu, Hàn, Ngụy, Trí, Phạm, Trung Hành. Phủ Phất: hai dạng hoa văn thêu trên lễ phục áo Cổn.
