第一回宴桃园豪杰三结义斩黄巾英雄首立功	HỒI 1 Tiệc vườn đào, anh hùng kết nghĩa; Chém Khăn Vàng, hào kiệt lập công.
正惊讶间，忽然狂风大作，白浪滔天，江水溅湿龙袍，大船将覆。	Còn đang kinh ngạc, bỗng nổi cơn gió to, sóng cuộn ngất trời, nước sông bắn lên thuyền ướt cả áo long bào, thuyền rồng chòng chành sắp lật.
曹真慌令文聘撑小舟急来救驾。	Tào Chân vội vàng sai Văn Sính bơi chiếc thuyền nhỏ lại cứu giá.
龙舟上人立站不住。	Người trên thuyền nghiêng ngả.
文聘跳上龙舟，负丕下得小舟，奔入河港。	Văn Sính nhảy lên thuyền rồng cõng Tào Phi xuống thuyền nhỏ, bơi vào trong lạch sông.
忽流星马报道：“赵云引兵出阳平关，径取长安。”	Chợt có ngựa lưu tinh chạy lại báo rằng: - Triệu Vân dẫn quân ra cửa Dương Bình, đi đường tắt lấy Trường An.
丕听得，大惊失色，便教回军。	Tào Phi nghe tin, giật mình mất vía, liền hạ lệnh rút về.
众军各自奔走。 背后吴兵追至。	Quân sĩ tranh nhau mà chạy, quân Ngô thừa thế đuổi theo.
丕传旨教尽弃御用之物而走。	Phi truyền bỏ đồ ngự dụng chạy thục mạng.
龙舟将次入淮，忽然鼓角齐鸣，喊声大震，刺斜里一彪军杀到：为首大将，乃孙韶也。	Khi thuyền sắp vào đến sông Hoài, bỗng trống, tù và nổi rầm rĩ, tiếng hò reo vang trời, một toán quân bất chợt đánh ra, đại tướng đi đầu là Tôn Thiều.
魏兵不能抵当，折其大半，淹死者无数。	Quân Ngụy không đương nổi, tổn hại mất quá nửa, lăn xuống sông chết đuối rất nhiều.
诸将奋力救出魏主。	Các tướng lăn xả vào đánh mới cứu được Ngụy chủ.
魏主渡淮河，行不三十里，淮河中一带芦苇，预灌鱼油，尽皆火着；顺风而下，风势甚急，火焰漫空，绝住龙舟。 丕大惊，急下小船傍岸时，龙舟上早已火着。	Ngụy chủ sang qua sông Hoài, đi chưa được ba mươi dặm, bỗng đâu trong đám lau niễng giữa dòng sông không biết dầu mỡ vẫy vào lúc nào, bỗng cháy bùng cả lên, thuận gió trôi xuống, tràn cả vào đám thuyền rồng.
丕慌忙上马。 岸上一彪军杀来；为首一将，乃丁奉也。 张辽急拍马来迎，被奉一箭射中其腰，却得徐晃救了，同保魏主而走，折军无数。	Phi tất tả lên ngựa, chợt lại thấy một toán quân kéo đến, đại tướng đi đầu là Đinh Phụng, Trương Liêu quất ngựa lại đón, bị Đinh Phụng bắn một phát tên tin vào lưng, may có Từ Hoảng cứu được. Mấy người cùng nhau giữ gìn Ngụy chủ mà chạy.
背后孙韶、丁奉夺得马匹、车仗、船只、器械不计其数。	Quân sĩ thiệt hại rất nhiều. Tôn Thiều, Đinh Phụng ở mặt sau, cướp được xe, ngựa, khí giới, không biết bao nhiêu mà kể.
魏兵大败而回。	Quân Ngụy thua liểng xiểng chạy về.
吴将徐盛全获大功，吴王重加赏赐。	Ngô tướng Từ Thịnh thu được toàn thắng, Ngô vương thưởng cho rất hậu.
张辽回到许昌，箭疮迸裂而亡，曹丕厚葬之，不在话下。	Trương Liêu về đến Hứa Xương, nhọt tên vỡ ra rồi mất.
却说赵云引兵杀出阳平关之次，忽报丞相有文书到，说益州耆帅雍闿结连蛮王孟获，起十万蛮兵，侵掠四郡；因此宣云回军，令马超坚守阳平关，丞相欲自南征。	Tào Phi sai làm ma cực hậu. Nay nói về Triệu Vân, vừa dẫn quân ra khỏi ải Dương Bình, thì có giấy của Khổng Minh đến đòi về, vì có Úng Dĩ ở Ích Châu, kết liên với Mạnh Hoạch, đem mười vạn quân rợ, cướp bóc bốn quận.
赵云乃急收兵而回。 此时孔明在成都整饬军马，亲自南征。	Khổng Minh sai Mã Siêu giữ vững ải Dương Bình tự mình cầm quân sang đánh dẹp phương nam.
正是：方见东吴敌北魏，又看西蜀战南蛮。	Đó là: Vừa thấy Đông Ngô lui Bắc Ngụy, Lại xem Tây Thục đánh nam Man.
未知胜负如何，且看下文分解。	Chưa biết việc đánh Man được thua thế nào, xem hồi sau sẽ biết.
第八十七回征南寇丞相大兴师抗天兵蛮王初受执	HỒI 87 Đánh nam khấu, thừa tướng cất quân; Chống thiên binh, Man vương bị bắt
. 却说诸葛丞相在于成都，事无大小，皆亲自从公决断。	Nói về thừa tướng Gia Cát Lượng ở Thành Đô, bao nhiêu việc lớn nhỏ đều tự mình xử đoán.
两川之民，忻乐太平，夜不闭户，路不拾遗。	Dân trong hai Xuyên, vui vẻ thái bình, đêm không phải đóng cửa, ngoài đường không ai thèm nhặt của rơi.
又幸连年大熟，老幼鼓腹讴歌，凡遇差徭，争先早办。	Lại luôn mấy năm được mùa to, già trẻ sung sướng ca hát.
因此军需器械应用之物，无不完备；米满仓廒，财盈府库。	Gặp có việc sai dịch thì tranh nhau ứng biện, bởi thế đồ quân nhu, khí giới đủ cả, thóc lúa của cải kho nào cũng đầy.
建兴三年，益州飞报：蛮王孟获，大起蛮兵十万，犯境侵掠。	Năm Kiến Hưng thứ ba (226), ở Ích Châu có tin báo rằng: - Man vương là Mạnh Hoạch, cất mười vạn quân, xâm phạm vào cõi.
建宁太守雍闿，乃汉朝什方侯雍齿之后，今结连孟获造反。 牂牁郡太守朱褒、越嶲郡太守高定，二人献了城。	Quan thái thú Kiến Ninh là Úng Dĩ, nguyên dòng dõi Thập Phương hầu Úng Xỉ nhà Hán khi xưa, nay kết liên với Mạnh Hoạch làm phản, thái thú quận Tường Kha là Chu Bao và thái thú quận Việt Tuấn là Cao Định, hai người dâng mất thành trì hàng giặc rồi.
止有永昌太守王伉不肯反。	Chỉ còn thái thú quận Vĩnh Xương là Vương Can không chịu làm phản.
现今雍闿、朱褒、高定三人部下人马，皆与孟获为向导官，攻打永昌郡。	Hiện nay quân mã của Úng Dĩ, Chu Bao, Cao Định đều dẫn đường cho Mạnh Hoạch đánh quận Vĩnh Xương.
今王伉与功曹吕凯，会集百姓，死守此城，其势甚急。	Vương Cang cùng với quan công tào Lã Khải, tụ hội nhân dân, cố chết giữ lấy thành trì, thế nguy cấp lắm.
孔明乃入朝奏后主曰：“臣观南蛮不服，实国家之大患也。	Khổng Minh liền vào chầu, tâu với hậu chủ rằng: - Nay rợ phương nam không phục, thật là mối tai họa lớn của nhà nước.
臣当自领大军，前去征讨。”	Tôi xin lĩnh một đạo đại quân đi đánh mới xong.
后主曰“东有孙权，北有曹丕，今相父弃朕而去，倘吴、魏来攻，如之奈何？”	Hậu chủ nói: - Nước ta, mé đông có Tôn Quyền, mé bắc có Tào Phi, nay tướng phụ bỏ trẫm mà đi, phỏng Ngô, Ngụy lại đánh, thì làm thế nào?
孔明曰：“东吴方与我国讲和，料无异心；若有异心，李严在白帝城，此人可当陆逊也。	Khổng Minh tâu rằng: - Đông Ngô mới giảng hòa với nước ta, chắc không có bụng gì, nếu có thì Lý Nghiêm ở thành Bạch Đế, đủ chống chọi được Lục Tốn.
曹丕新败，锐气已丧，未能远图；且有马超守把汉中诸处关口，不必忧也。	Tào Phi mới thua, nhuệ khí đã nhụt, chưa thể nghĩ đến việc xa xôi. Vả lại có Mã Siêu giữ các ải Hán Trung, thì cũng không phải lo lắm.
臣又留关兴、张苞等分两军为救应，保陛下万无一失。	Tôi lại để Quan Hưng, Trương Bào ở lại, chia làm hai đạo quân để cứu ứng, giữ gìn bệ hạ, chắc chắn muôn phần.
今臣先去扫荡蛮方，然后北伐，以图中原，报先帝三顾之恩，托孤之重。”	Nay tôi xin ra dẹp yên quân rợ trước, rồi sẽ đánh mặt bắc để thu phục Trung Nguyên, may ra báo được ơn tiên đế ba lần hạ cố đến tôi, và việc lớn của tiên đế phó thác bệ hạ cho tôi.
后主曰：“朕年幼无知，惟相父斟酌行之。”	Hậu chủ nói: - Trẫm còn ít tuổi chưa biết gì, nội công việc tùy ý tướng phụ châm chước mà làm.
言未毕，班部内一人出曰：“不可！	Hậu chủ chưa dứt lời, trong đám quan một người bước ra nói: - Không được!
不可！”	Không được!
众视之，乃南阳人也，姓王，名连，字文仪，现为谏议大夫。	Ai nấy trông xem thì là Vương Liên, tự Văn Nghi, quê ở Nam Dương, đang làm gián nghị đại phu.
连谏曰：“南方不毛之地，瘴疫之乡；丞相秉钧衡之重任，而自远征，非所宜也。	Liên can rằng: - Phương nam là xứ ma thiêng nước độc, cây cối không mọc được. Thừa tướng cầm quyền to nhà nước, không nên đem thân vào đó.
且雍闿等乃疥癣之疾，丞相只须遣一大将讨之，必然成功。”	Vả lại bọn Úng Dĩ phản nghịch, chẳng qua như bệnh đau ghẻ mà thôi, thừa tướng chỉ nên sai một đại tướng đi đánh, chắc chắn cũng thành công.
孔明曰：“南蛮之地，离国甚远，人多不习王化，收伏甚难，吾当亲去征之。 可刚可柔，别有斟酌，非可容易托人。”	Khổng Minh nói: - Đất nam Man xa cách, nhân dân không biết vương hóa là gì, thu phục thật khó. Ta phải xuất thân ra đánh, nên mềm, nên cứng, liệu cơ mà làm, không có khinh thường mà ủy thác cho người được.
王连再三苦劝，孔明不从。	Vương Liên can hai ba lần, Khổng Minh nhất định không nghe.
是日，孔明辞了后主，令蒋琬为参军，费祎为长史，董厥、樊建二人为掾史；赵云、魏延为大将，总督军马；王平、张翼为副将；并川将数十员：共起川兵五十万，前望益州进发。	Ngay hôm ấy, Khổng Minh từ hậu chủ, cất quân đi. Sai Tưởng Uyển làm tham quân; Phí Vĩ làm trưởng sử, Đổng Quyết, Phàn Kiến làm duyện sử, Vương Bình, Trương Dực làm phó tướng, cùng mấy chục viên tướng Xuyên, khởi năm mươi vạn quân, nhắm phía Ích Châu tiến tới.
忽有关公第三子关索，入军来见孔明曰：“自荆州失陷，逃难在鲍家庄养病。 每要赴川见先帝报仇，疮痕未合，不能起行。	Chợt có Quan Sách là con thứ ba Quan Công vào ra mắt Khổng Minh thưa rằng: - Từ khi Kinh Châu bị mất, tôi lánh nạn ở Bảo Gia Trang dưỡng bệnh, chỉ mong muốn vào Xuyên ra mắt tiên đế để đi báo thù, nhưng thương tích chưa khỏi, không thể đi được.
近已安痊，打探得系吴仇人已皆诛戮，径来西川见帝，恰在途中遇见征南之兵，特来投见。”	Nay đã bình phục, dò biết được kẻ thù ở Đông Ngô đều bị giết cả rồi, bèn đi tắt vào Tây Xuyên với tiên đế, may giữa đường gặp đại quân nam chinh, nên đến đây ra mắt.
孔明闻之，嗟讶不已；一面遣人申报朝廷，就令关索为前部先锋，一同征南。	Khổng Minh nghe nói lấy làm ái ngại, một mặt cho người về báo với triều đình, một mặt, sai Quan Sách làm tiền bộ tiên phong, cùng đi đánh phương nam.
大队人马，各依队伍而行。 饥餐渴饮，夜住晓行；所经之处，秋毫无犯。	Đại đội nhân mã, cơ nào đội ấy, tề chỉnh kéo đi; đói ăn khát uống, đêm nghỉ ngày đi, đến đâu cũng không hề phạm một ly, một tý của dân.
却说雍闿听知孔明自统大军而来，即与高定、朱褒商议，分兵三路：高定取中路，雍闿在左，朱褒在右；三路各引兵五六万迎敌。	Lại nói Úng Dĩ nghe tin Khổng Minh đem đại quân đến, liền cùng Cao Định, Chu Bao bàn bạc, chia quân làm ba đường: Cao Định ở giữa, bên tả Úng Dĩ, bên hữu là Chu Bao; tất cả dẫn năm, sáu vạn quân ra nghênh địch.
于是高定令鄂焕为前部先锋。	Cao Định sai Ngạc Hoán làm tiền bộ tiên phong.
焕身长九尺，面貌丑恶，使一枝方天戟，有万夫不当之勇：领本部兵，离了大寨，来迎蜀兵。	Hoán mình cao chín thước, mặt mũi hung ác, dùng chiếc phương thiên kích, có sức khỏe muôn người khôn địch, lĩnh quân bản bộ, rời khỏi trại lớn, ra đón quân Thục.
却说孔明统大军已到益州界分。	Lại nói đại quân của Khổng Minh đã tiến đến địa phận Ích Châu.
前部先锋魏延，副将张翼、王平，才入界口，正遇鄂焕军马。	Tiền bộ tiên phong Ngụy Diên, phó tướng Trương Dực, Vương Bình vừa vào khỏi giới khẩu thì gặp quân Ngạc Hoán đến.
两阵对圆，魏延出马大骂曰：“反贼早早受降！”	Hai bên dàn trận, Ngụy Diên ra ngựa mắng rằng: - Phản tặc kia! Mau mau hàng đi cho sớm!
鄂焕拍马与魏延交锋。	Ngạc Hoán tế ngựa lại đánh nhau với Ngụy Diên.
战不数合，延诈败走，焕随后赶来。 走不数里，喊声大震。 张翼、王平两路军杀来，绝其后路。	Được vài hiệp, Diên giả thua chạy, Hoán đuổi theo, chưa được vài dặm, bỗng đâu tiếng reo nổi lên ầm ầm, Trương Dực, Vương Bình hai mặt đổ ra chặn mất đường về.
延复回，三员将并力拒战，生擒鄂焕。 解到大寨，入见孔明。	Diên quay lại đánh. Ba tướng hợp sức đánh dồn vào, bắt sống được Ngạc Hoán, giải về trại nộp Khổng Minh.
孔明令去其缚，以酒食待之。 问曰：“汝是何人部将？”	Khổng Minh sai cởi trói, cho ăn uống tử tế, rồi hỏi rằng: - Ngươi là bộ tướng của ai?
焕曰：“某是高定部将。”	Ngạc Hoán thưa rằng: - Tôi là tướng bộ hạ Cao Định.
孔明曰：“吾知高定乃忠义之士，今为雍闿所惑，以致如此。	Khổng Minh nói: - Ta biết Cao Định là người trung nghĩa, nay vì Úng Dĩ xui giục, mới đến nỗi thế.
吾今放汝回去，令高太守早早归降，免遭大祸。”	Ta tha cho mày về, bảo Cao Định mau lại hàng, kẻo mắc vạ to đấy!
鄂焕拜谢而去，回见高定，说孔明之德。 定亦感激不已。	Ngạc Hoán lạy tạ lui ra, về ra mắt Cao Định, thuật lại chuyện Khổng Minh nhân đức và ngỏ ý cảm ơn Khổng Minh không biết ngần nào.
次日，雍闿至寨。 礼毕，闿曰：“如何得鄂焕回也？”	Hôm sau, Úng Dĩ đến chơi trại Cao Định, hỏi rằng: - Ngạc Hoán làm sao mà về được thế?
定曰：“诸葛亮以义放之。”	Định nói: - Đó là Gia Cát Lượng tha cho về.
闿曰：“此乃诸葛亮反间之计：欲令我两人不和，故施此谋也。”	Dĩ nói: - Đấy là mẹo phản gián của Gia Cát Lượng, khiến hai chúng ta không hòa với nhau đó.
定半信不信，心中犹豫。	Cao Định trong bụng hồ nghi, chưa biết tin đường nào.
忽报蜀将搦战，闿自引三万兵出迎。	Bỗng có tin báo Thục tướng đến khiêu chiến. Úng Dĩ dẫn ba vạn quân ra nghênh địch.
战不数合，闿拨马便走。	Đánh nhau chưa được vài hiệp, Dĩ quay ngựa chạy mất.
延率兵大进，追杀二十余里。	Diên dẫn quân đuổi đánh hai mươi dặm mới rút về.
次日，雍闿又起兵来迎。 孔明一连三日不出。	Hôm sau, Úng Dĩ lại dẫn quân đến, Khổng Minh luôn ba hôm không cho ra quân.
至第四日，雍闿、高定分兵两路，来取蜀寨。	Đến hôm thứ tư, Úng Dĩ, Cao Định, chia quân làm hai đường, đến cướp trại Thục.
却说孔明令魏延两路伺候；果然雍闿、高定两路兵来，被伏兵杀伤大半，生擒者无数，都解到大寨来。	Khổng Minh đã sai Ngụy Diên phục quân sẵn từ lâu. Quả nhiên, quân hai người kéo lại bị quân phục đổ ra, giết mất quá nửa và bắt sống rất nhiều. Ngụy Diên giải cả về trại.
雍闿的人，囚在一边；高定的人，囚在一边。 却令军士谣说：“但是高定的人免死，雍闿的人尽杀。”	Khổng Minh sai giam quân Úng Dĩ một bên, quân Cao Định một bên, rồi cho quân sĩ nói phao lên rằng: - Nội là người của Cao Định thì tha, còn người của Úng Dĩ thì giết sạch.
众军皆闻此言。	Quân sĩ ai cũng nghe biết tin ấy cả.
少时，孔明令取雍闿的人到帐前，问曰：“汝等皆是何人部从？”	Một lát, Khổng Minh cho đòi bên quân Úng Dĩ lên trướng hỏi rằng: - Chúng bay là bộ hạ của ai?
众伪曰：“高定部下人也。”	Chúng bẩm dối rằng: - Chúng tôi là bộ hạ Cao Định.
孔明教皆免其死，与酒食赏劳，令人送出界首，纵放回寨。	Khổng Minh liền tha tội, lại cho ăn uống, rồi sai người đưa ra khỏi bờ cõi, tha về trại.
孔明又唤高定的人问之。 众皆告曰：“吾等实是高定部下军士。”	Khổng Minh lại đòi quân Cao Định lên hỏi, thì chúng bẩm rằng: - Chúng tôi mới thực là quân sĩ bộ hạ Cao Định.
孔明亦皆免其死，赐以酒食；却扬言曰：“雍闿今日使人投降，要献汝主并朱褒首级以为功劳，吾甚不忍。	Khổng Minh cũng tha, cho cơm rượu ăn uống và bảo rằng: - Hôm nay Úng Dĩ có sai người đến đầu hàng, muốn dâng đầu chủ chúng bây và đầu Chu Bao để lấy công nhưng ta không nỡ thế.
汝等既是高定部下军，吾放汝等回去，再不可背反。	Chúng bay có phải là bộ hạ Cao Định, thì ta thả cả cho về, không được làm phản nữa.
若再擒来，决不轻恕。”	Nếu ta lại bắt được, quyết không thứ cho đâu.
众皆拜谢而去；回到本寨，入见高定，说知此事。 定乃密遣人去雍闿寨中探听，却有一般放回的人，言说孔明之德；因此雍闿部军，多有归顺高定之心。	Chúng cùng lạy tạ đi ra, về đến trại nhà, thuật chuyện lại với Cao Định. Định liền sai người đến trại Úng Dĩ dò la xem sao, thấy quân Úng Dĩ được tha về, ai cũng có bụng cảm ân đức của Khổng Minh. Nhiều người muốn hàng theo Cao Định.
虽然如此，高定心中不稳，又令一人来孔明寨中探听虚实。 被伏路军捉来见孔明。	Nhưng Cao Định vẫn chưa yên tâm, lại sai người đến thăm trại Khổng Minh, xem hư thực thế nào, không ngờ bị quân canh bắt được đem vào nộp.
孔明故意认做雍闿的人，唤入帐中问曰：“汝元帅既约下献高定、朱褒二人首级，因何误了日期？ 汝这厮不精细，如何做得细作！”	Khổng Minh giả tảng không biết, cho là quân do thám của Úng Dĩ, mới gọi vào trong trướng hỏi rằng: - Nguyên suý mày đã hứa đem nộp đầu Cao Định, Chu Bao, làm sao lại để lỡ hẹn, không mang đến, thằng này hẳn lại sang do thám gì đây?
军士含糊答应。 孔明以酒食赐之，修密书一封，付军士曰：“汝持此书付雍闿，教他早早下手，休得误事。”	Tên quân ấy nói hàm hồ cho xong việc, Khổng Minh đãi cơm rượu, rồi viết một bức thư, giao cho và dặn rằng: - Mày cầm giấy này về đưa cho Úng Dĩ, bảo hắn làm mau đi, chớ để lỡ việc!
细作拜谢而去，回见高定，呈上孔明之书，说雍闿如此如此。	Tên quân lạy tạ trở về, vào ra mắt Cao Định, trình tờ thư của Khổng Minh lên.
定看书毕，大怒曰：“吾以真心待之，彼反欲害吾，情理难容！”	Cao Định xem xong thư, nổi giận nói: - Ta đem lòng thực đãi nó, nó lại muốn hại ta, dung thứ sao được!
使唤鄂焕商议。	Lập tức gọi Ngạc Hoán lên bàn định.
焕曰：“孔明乃仁人，背之不祥。 我等谋反作恶，皆雍闿之故；不如杀闿以投孔明。”	Ngạc Hoán nói: - Khổng Minh là người nhân đức, ta làm phản không nên. Vả lại, việc làm phản là tự Úng Dĩ gây ra cả, chi bằng giết quách hắn đi, về hàng với Khổng Minh là hơn.
定曰：“如何下手？”	Định nói: - Thế thì hạ thủ làm sao bây giờ?
焕曰：“可设一席，令人去请雍闿。	Hoán nói: - Chủ công nên mở một tiệc rượu, mời Úng Dĩ đến chơi.
彼若无异心，必坦然而来；若其不来，必有异心。	Nếu hắn không có bụng gì, tất đi lại như thường. Nhược bằng không đến, chắc là có bụng khác.
我主可攻其前，某伏于寨后小路候之；闿可擒矣。”	Chủ công nên đem quân đánh mặt trước, tôi xin phục quân ở đường nhỏ mặt sau trại, thế nào cũng bắt sống được hắn.
高定从其言，设席请雍闿。	Cao Định nghe lời, mở tiệc rượu mời Úng Dĩ.
闿果疑前日放回军士之言，惧而不来。	Dĩ quả nhiên nghi ngờ lời quân sĩ tha về hôm trước, không dám đến.
是夜高定引兵杀投雍闿寨中。	Đêm hôm ấy, Cao Định dẫn quân kéo đến trại Úng Dĩ.
原来有孔明放回免死的人，皆想高定之德，乘时助战。	Quân của Úng Dĩ được Khổng Minh tha về, đều nhớ ơn Cao Định, liền thừa cơ kéo cả về giúp quân Cao Định.
雍闿军不战自乱。	Quân Dĩ chưa kịp đánh nhau, đã tán loạn.
闿上马望山路而走。	Dĩ vội vàng lên ngựa chạy lẻn ra con đường sau núi.
行不二里，鼓声响处，一彪军出，乃鄂焕也：挺方天戟，骤马当先。 雍闿措手不及，被焕一戟刺于马下，就枭其首级。	Đi chưa được vài dặm, bỗng đâu trống nổi om sòm, một toán quân tràn ra. Ngạc Hoán cầm kích quất ngựa xông lên. Dĩ chưa kịp trở tay, đã bị Hoán đâm một nhát kích ngã lăn xuống ngựa, rồi chặt ngay lấy đầu.
闿部下军士皆降高定。	Quân bộ hạ của Dĩ đầu hàng cả.
定引两部军来降孔明，献雍闿首级于帐下。	Định dẫn hai toán quân, đem đầu Úng Dĩ lại hàng Khổng Minh.
孔明高坐于帐上，喝令左右推转高定，斩首报来。	Khổng Minh đang ngồi trong trướng, quát võ sĩ lôi Cao Định ra chém.
定曰：“某感丞相大恩，今将雍闿首级来降，何故斩也？”	Định kêu rằng: - Tôi cảm đại ân của thừa tướng, nên đem đầu Úng Dĩ về hàng, cớ sao lại chém?
孔明大笑曰：“汝来诈降。 敢瞒吾耶！”	Khổng Minh cười ầm lên nói rằng: - Ngươi lại trá hàng, dám che mắt ta ru?
定曰：“丞相何以知吾诈降？”	Định nói: - Thừa tướng lấy gì làm bằng, mà cho tôi là dối trá.
孔明于匣中取出一缄，与高定曰：“朱褒已使人密献降书，说你与雍闿结生死之交，岂肯一旦便杀此人？ 吾故知汝诈也。”	Khổng Minh mở tráp, lấy một phong thư, đưa cho và bảo rằng: - Chu Bao đã sai người dâng hàng thư đến đây, nói ngươi với Úng Dĩ, kết nghĩa sống chết với nhau, có lẽ đâu một chốc mà ngươi nỡ giết hắn, cho nên ta biết ngay ngươi đến trá hàng.
定叫屈曰：“朱褒乃反间之计也。 丞相切不可信！”	Định kêu lên rằng: - Chu Bao nó làm kế phản gián đấy, thừa tướng chớ có tin.
孔明曰：“吾亦难凭一面之词。 汝若捉得朱褒，方表真心。”	Khổng Minh nói: - Ta cũng chưa vội tin ngay một mảnh giấy đâu nhưng ngươi có bắt được nốt Chu Bao, thì ta mới cho là thực.
定曰：“丞相休疑。 某去擒朱褒来见丞相，若何？”	Định nói: - Thừa tướng chớ nghi, để tôi xin bắt nốt Chu Bao lại nộp có được không?
孔明曰：“若如此，吾疑心方息也。”	Khổng Minh nói: - Có vậy, ta mới khỏi nghi hoặc.
高定即引部将鄂焕并本部兵，杀奔朱褒营来。	Cao Định lập tức dẫn quân Ngạc Hoán đem quân bản bộ kéo đến trại Chu Bao.
比及离寨约有十里，山后一彪军到，乃朱褒也。	Gần đến nơi, Chu Bao cũng vừa dẫn quân đến mé sau núi.
褒见高定军来，慌忙与高定答话。	Bao thấy Định vội vàng ra hỏi chuyện.
定大骂曰：“汝如何写书与诸葛丞相处，使反间之计害吾耶？”	Định quát lên, mắng rằng: - Mày sao dám viết thư cho Gia Cát thừa tướng, dùng mẹo phản gián, muốn hại ta?
褒目瞪口呆，不能回答。	Bao trố mắt, cứng lưỡi, không biết đáp lại làm sao.
忽然鄂焕于马后转过，一戟刺朱褒于马下。	Ngạc Hoán ở sau ngựa, xông lại đâm một nhát kích, Bao chết liền.
定厉声而言曰：“如不顺者皆戮之！”	Định quát rằng: - Hễ quân sĩ thằng nào không hàng, sẽ giết chết hết.
于是众军一齐拜降。	Bởi vậy chúng đều lạy xin hàng.
定引两部军来见孔明，献朱褒首级于帐下。	Định dẫn quân lại ra mắt Khổng Minh và dâng đầu Chu Bao dưới trướng.
孔明大笑曰：“吾故使汝杀此二贼，以表忠心。”	Khổng Minh cười, nói: - Ta cố ý muốn cho ngươi giết hai thằng giặc ấy để tỏ cái bụng thực ra đó thôi.
遂命高定为益州太守，总摄三郡；令鄂焕为牙将。	Liền cho Cao Định làm thái thú ở Ích Châu và phong Ngạc Hoán làm nha tướng.
三路军马已平。	Quân mã ba đường ấy đều dẹp yên đâu đấy rồi,
于是永昌太守王伉出城迎接孔明。	thái thú quận Vĩnh Xương là Vương Cang ra đón rước Khổng Minh.
孔明入城已毕，问曰：“谁与公守此城，以保无虞？”	Khổng Minh vào thành, hỏi rằng: - Ai giữ thành này với ông mà được vững vàng làm vậy?
伉曰：“某今日得此郡无危者，皆赖永昌不韦人，姓吕，名凯，字季平。 皆此人之力。”	Cang nói: - Tôi giữ thành này được yên ổn, toàn nhờ sức của người ở Vĩnh Xương là Lã Khải cả.
孔明遂请目凯至。	Khổng Minh cho mời đến.
凯入见，礼毕。	Khải vào ra mắt.
孔明曰：“久闻公乃永昌高士，多亏公保守此城。	Thi lễ xong xuôi, Khổng Minh nói rằng: - Lâu nay vẫn nghe tiếng ông là bậc cao sĩ ở Vĩnh Xương; may nhờ có ông mới giữ được thành này vô sự.
今欲平蛮方，公有何高见？”	Nay tôi muốn dẹp yên phương nam, ông có cao kiến gì dạy bảo không?
吕凯遂取一图，呈与孔明曰：“某自历仕以来，知南人欲反久矣，故密遣人入其境，察看可屯兵交战之处，画成一图，名曰《平蛮指掌图》。 今敢献与明公。	Lã Khải liền dâng một bức địa đồ và nói: - Tôi tự khi làm quan đến giờ, biết rằng người rợ có bụng làm phản đã lâu, cho nên mật sai người vào tận tổ, xem xét chỗ nào có thể đóng đồn, chỗ nào nên giao chiến, vẽ ra một bản, gọi là bức đồ "Bình Man chi chưởng".
明公试观之，可为征蛮之一助也。”	Nay dâng lên ngài coi, có thể giúp ngài một phần nhỏ trong việc nam chinh này.
孔明大喜，就用吕凯为行军教授，兼向导官。	Khổng Minh mừng lắm, dùng ngay Lã Khải làm hàng quân giáo thụ, kiêm chức hướng đạo.
于是孔明提兵大进，深入南蛮之境。	Rồi Khổng Minh dẫn quân vào sâu cõi nam Man.
正行军之次，忽报天子差使命至。	Khi đang đi, bỗng có tin báo thiên tử sai sứ đến.
孔明请入中军，但见一人素袍白衣而进，乃马谡也——为兄马良新亡，因此挂孝。	Khổng Minh ra tiếp vào, thấy Mã Tốc mặc áo bào trắng, vì anh Mã Tốc là Mã Lương mới mất.
——谡曰：“奉主上敕命，赐众军酒帛。”	Tốc nói: - Tôi phụng mệnh chúa thượng, mang rượu và lụa đến khao thưởng binh sĩ.
孔明接诏已毕，依命一一给散，遂留马谡在帐叙话。	Khổng Minh vâng chỉ dụ, đem cấp phát cả cho ba quân, lưu Mã Tốc ở lại trong trướng nói chuyện.
孔明问曰：“吾奉天子诏，削平蛮方；久闻幼常高见，望乞赐教。”	Khổng Minh hỏi rằng: - Tôi phụng chiếu thiên tử, đánh dẹp phương nam, lâu nay vẫn nghe Ấu Thường cao kiến lắm, xin dạy bảo cho ít nhiều.
谡曰：“愚有片言，望丞相察之；南蛮恃其地远山险，不服久矣；虽今日破之，明日复叛。	Tốc nói: - Tôi có một lời này, xin thừa tướng xét cho: Nam Man cậy có đất xa, núi hiểm, không phục đã lâu; tuy hôm nay phá xong, ngày mai tất lại làm phản.
丞相大军到彼，必然平服；但班师之日，必用北伐曹丕；蛮兵若知内虚，其反必速。	Đại quân của thừa tướng đến đó, tất nhiên dẹp được, nhưng sau Man khi rút quân về, phải lên mặt bắc đánh Tào Phi, nếu quân biết trong nước bỏ ngỏ, quyết nhiên lại trở mặt ngay.
夫用兵之道：攻心为上，攻城为下；心战为上，兵战为下。	Phàm phép dùng binh đánh giặc, sao cho người ta tâm phục mới cao, chớ đánh lấy thành trì là thấp; đem bụng mình mà đánh mới giỏi, chớ đem quân mà đánh thì xoàng.
愿丞相但服其心足矣。”	Xin thừa tướng làm thế nào thu phục được bụng chúng là hơn.
孔明叹曰：“幼常足知吾肺腑也！”	Khổng Minh than rằng: - Ấu Thường thực là biết đến ruột gan ta!
