奉勅開載諸臣職名總裁	Vâng sắc khai chép tên chức và tên các quan trong Quốc sử quán: Tổng tài:
天賜歷陳失守之由上書待罪 上賜書寬免仍加稟給令調遣以兵送還鎭江道使招撫流亡再圖討賊	Thiên Tứ trình bày duyên do thất thủ và dâng thư xin chờ tội. Chúa ban thư rộng miễn, lại cấp thêm lương. Hạ lệnh cho điều khiển cho quân đưa về đạo Trấn Giang, khiến chiêu dụ dân lưu vong mà tính lại việc đánh giặc.
十二月黎鄭森絞殺黎太子維禕	Tháng 12, Trịnh Sâm nhà Lê thắt cổ giết Thái tử nhà Lê là Duy Vỹ.
維禕憤黎家失權慨然有自立之意 森疾之織以罪絞死	Duy Vỹ căm nỗi nhà Lê mất quyền, khảng khái có ý muốn tự lập. Sâm rất ghét, liều thêu dệt nên tội rồi thắt cổ giết.
以富安該隊阮雲爲平康營鎭守富安石碑山雷震内問黑石盡白 遠望石碑卓立色如白灰	Lấy Cai đội dinh Phú Yên là Nguyễn Vân làm Trấn thủ dinh Bình Khang. Núi Thạch Bi ở Phú Yên bị sét đánh, đá đen ở núi đều hóa ra trắng cả, xa trông như bia đá dựng đứng, sắc như tro trắng.
壬辰 七年春正月命掌奇尊室文世宗第三子閱選歸仁府	Nhâm thìn, năm thứ 7, mùa xuân, tháng giêng, sai Chưởng cơ Tôn Thất Văn (con thứ 3 Thế tông) làm duyệt tuyển ở phủ Quy Nhơn.
二月上以嘉定調遣阻兵不援 河僊城陷降 阮久魁爲該隊撤 阮承緡還命掌奇阮久潭阮久雲之子爲欽差正統率督戰廣南該簿陳福成爲欽差參贊領平康	Tháng 2, chúa cho rằng Điều khiển Gia Định giữ quân không đến cứu viện nên thành Hà Tiên bị hãm, bèn giáng Nguyễn Cửu Khôi [có sự nhầm lẫn của sử gia triều Nguyễn, ông này là Tống Văn Khôi (xem ghi chú của Đại Nam Liệt Truyện)] làm Cai đội và triệu Nguyễn Thừa Mân về.
平順二營水步兵一萬戰船三十艘行調遣事	Sai Chưởng cơ Nguyễn Cửu Đàm (con Nguyễn Cửu Vân) làm Khâm sai chánh thống suất đốc chiến, Cai bạ dinh Quảng Nam là Trần Phước Thành làm Khâm sai tham tán, lĩnh 10000 quân thủy và bộ thuộc hai dinh Bình Khang và Bình Thuận và 20 chiếc thuyền chiến để hành việc điều khiển.
夏六月阮久潭進兵前江路龍湖營該簿阮科詮領東口道官兵由堅江進畱守宋福洽由後江進據朱篤爲兩路策應	Mùa hạ, tháng 6, Nguyễn Cửu Đàm tiến quân theo đường Tiền Giang, cùng với Cai bạ dinh Long Hồ là Nguyễn Khoa Thuyên lĩnh quan quân đạo Đông Khẩu tiến theo đường Kiên Giang; Lưu thủ Tống Phước Hiệp theo đường Hậu Giang tiến đóng giữ Châu Đốc để tiếp ứng cho hai cánh quân trên.
時東口道該隊阮有仁病獨科拴將兵三千船五十艘與暹戰不克退回堅江 潭以眞臘椎瀝官最人爲先鋒進至南榮攻暹兵大破名名之	Bấy giờ Cai đội đạo Đông Khẩu là Nguyễn Hữu Nhân ốm, một mình Khoa Thuyên đem 3000 quân và 50 thuyền, đánh nhau với quân Xiêm không được, lui về đầm Kiên Giang, rồi dùng người Chân Lạp là Nhẫm Lạch (chức quan) Tối (tên người) làm tiên phong, tiến đến Nam Vang đánh phá được quân Xiêm.
暹王走河僊匿嫩走芹渤遂收復南榮 羅壁諸府匿尊復國	Vua Xiêm chạy sang Hà Tiên. Nặc Nộn chạy đến Cầu Vọt [Quân ta] bèn thu phục các phủ Nam Vang, La Bích. Nặc Tôn trở về nước.
潭收兵回營築新燕壘延袤十五里包繞屯營橫截陸路以備不虞	Đàm thu quân về dinh, đắp lũy Tân Hoa kéo dài 15 dặm bao quanh đồn dinh, chắn ngang đường bộ đề phòng bất trắc.
暹王旣至河僊致書求和于鄚天賜天賜却之	Vua Xiêm đến Hà Tiên, gởi thư cầu hòa với Mạc Thiên Tứ. Thiên Tứ từ chối.
暹王遂委陳聯守河僊而自率兵擄天賜子女及昭翠以歸 尋殺昭翠命嘉定閫臣以美湫處立長屯道即今定祥省置該奇書記以莅之	Vua Xiêm bèn ủy Trần Liên giữ Hà Tiên, tự mình đem quân đi bắt con trai con gái Thiên Tứ và Chiêu Thúy đem về, rồi giết Chiêu Thúy. Sai quan biên thần Gia Định lập đạo Trường Đồn (nay là tỉnh Định Tường) ở xứ Mỹ Tho, đặt Cai cơ và Thư ký để làm việc.
癸已 八年春二月上密令鄭天賜遣人如暹以講和爲名探其動靜	Quý tỵ, năm thứ 8, mùa xuân, tháng 2, chúa mật sai Mạc Thiên Tứ cho người sang Xiêm mượn tiếng giảng hòa để dò thăm tình hình động tĩnh.
天賜遣舍人鄭秀齎書及禮幣如暹 暹王大喜送回所擄子女召陳聯還	Thiền Tứ cho xá nhân là Mạc Tú đưa thư và đồ lễ sang Xiêm. Vua Xiêm rất mừng, đưa trả những con trai con gái đã bắt và triệu Trần Liên về.
時河僊城堡廬舍爲暹兵殘破殆盡 天賜乃畱鎭江先使其子黃回鎭整理西山賊阮文岳作亂據歸仁城岳歸仁符籬卽今符吉縣西山村人初爲下吏消沒巡稅遂與其弟呂惠共謀入山憑險爲盜黨夥日眾地方不能制	Bấy giờ thành lũy nhà cửa ở Hà Tiên đã bị quân Xiêm tàn phá hầu hết, Thiên Tứ bèn lưu lại Trấn Giang, sai con là Hoàng về trấn trước để sửa sang. Giặc Tây Sơn là Nguyễn Văn Nhạc nổi loạn, giữ thành Quy Nhơn. Nhạc là người thôn Tây Sơn, huyện Phù Ly (nay là Phù Cát) phủ Quy Nhơn, trước làm biện lại, tiêu mất thuế tuần, bèn cùng mưu với em là Lữ và Huệ vào núi dựa thế hiểm làm giặc, bè đảng ngày một đông, địa phương không thể ngăn giữ được.
至是幸黨襲歸仁府巡撫阮克宣潰走遂據其城放出囚徒驅民爲兵建西山旗號使其黨分行擾掠百姓爲之騷動	Đến đây đem đồ đảng đánh úp phủ Quy Nhơn. Tuần phủ Nguyễn Khắc Tuyên bỏ chạy. Nhạc bèn chiếm giữ lấy thành, thả tù ra, lùa dân làm binh, dựng cờ hiệu Tây Sơn và cho bè đảng chia nhau đi cướp bóc. Trăm họ náo động.
事聞上命掌奇阮入統院久通之子尚公主玉瑄 阮人策院久法之子尚公主玉瑛 該奇潘進 該隊阮衞總戎宋岽	Việc báo lên. Chúa sai bọn Chưởng cơ Nguyễn Cửu Thống (con Nguyễn Cửu Thông, lấy công chúa Ngọc Huyên), Nguyễn Cửu Sách (con Nguyễn Cửu Pháp, lấy công chúa Ngọc Anh), Cai cơ Phan Tiến, Cai đội Nguyễn Vệ, Tổng nhung Tống Sùng, Tán lý Đỗ Văn Hoảng đem quân đi đánh không được.
贊理杜文晃等將兵攻之不克崇晃俱死于陣 時承平日入將士不經戰陣每出征多托故求免 張福巒復納賄攺差眾皆憤怨臨陣輒走	Sùng và Hoảng đều chết ở trận. Bấy giờ bình tĩnh đã lâu, tướng sĩ không quen trận mạc, khi phải đi đánh, phần nhiều thác cớ cầu miễn. Trương Phước Loan thì lại ăn hối lộ mà sai thay người khác, mọi người đều căm oán, ra trận là chạy ngay.
集亭稱忠義軍李才稱和義軍又取丄人高大者剃頭辮髪裝爲淸人戰則醉飲裸身懸金銀紙衝陣以示必死我兵莫有當者	Tập Đình xưng là Trung nghĩa quân, Lý Tài xưng là Hòa nghĩa quân. [Nhạc] lại lấy những người thổ dân cao lớn, cho cạo đầu bím tóc, cải trang làm người Thanh, khi đánh thì uống rượu say, cởi trần, mình đeo giấy vàng bạc mà xông trận để tỏ ra là liều chết, quân ta không ai đương được.
夏六月張福巒殺掌奇尊室文	Mùa hạ, tháng 6, Trương Phước Loan giết Chưởng cơ Tôn Thất Văn.
時尊室大臣多怨巒欲害之密令翰林吳廷恕 知府陳佳盜用巒印詐爲巒通僞岳書棄于道參謀佐缺姓得之以吿文文言于上請治巒獄巒辨其誣上不之罪	Bấy giờ tôn thất đại thần nhiều người oán Loan, muốn hại, mật sai Hàn lâm Ngô Đình Thứ và Tri phủ Trần Giai dùng trộm ấn của Loan, làm mạo bức thư Loan thông với ngụy Nhạc, rồi bỏ ở đường. Tham mưu Tá (không rõ họ) bắt được, đem cáo với Văn. Văn nói với chúa, xin trị tội Loan.
巒疑此書爲佐所作囚而殺之復以此怨文詐爲賊書言文與賊通使人吿文反按治甚急	Loan cãi việc ấy là vu. Chúa không bắt tội. Loan ngờ bức thư ấy do Tá làm ra, bắt giam rồi giết. Lại vì thế mà oán Văn, giả thư của giặc nói Văn cùng giặc thông mưu, khiến người tố cáo Văn làm phản, xét trị rất gấp.
文懼而遯巒使該隊尊室香追獲沉於三江海兒人皆𡨚之	Văn sợ bỏ trốn. Loan sai Cai đội Tôn Thất Hương đuổi bắt được, dìm chết ở phá Tám Giang.
冬十一月吏部兼刑部阮有尊卒贈參議	Mùa đông, tháng 11, Lại bộ kiêm Hình bộ là Nguyễn Hữu Tôn chết, tặng Tham nghị.
十二月以尊室香爲節制率內軍及三技軍進至碧鷄山屬平定省爲賊將集亭 李才伏兵所殺餘眾皆潰	Tháng 12, lấy Tôn Thất Hương làm tiết chế, đem nội quân và quân Tam Kỹ tiến đến núi Bích Kê (thuộc tỉnh Bình Định), bị tướng giặc là Tập Đình và Lý Tài phục binh giết chết, dư chúng đều tan vỡ.
賊遂據廣義府 該奇尊室斌	Giặc bèn giữ phủ Quảng Ngãi.
尊室鯖之子拒戰不克引兵還 岳又使其黨攻掠延慶 平康諸府	Cai cơ Tôn Thất Bân (con Tôn Thất Tĩnh) chống đánh không được, đem quân về. Nhạc lại sai đồ đảng đánh cướp các phủ Diên Khánh, Bình Khang.
於是廣義以南至平順皆爲賊所有	Thế là từ Quảng Ngãi trở về Nam cho tới Bình Thuận đều bị giặc chiếm cả.
該隊阮久逸 阮久法之子大敗西賊于美市庫	Cai đội Nguyễn Cửu Dật (con Nguyễn Cửu Pháp) đánh bại lớn quân Tây Sơn ở kho Mỹ Thị.
時賊侵廣南我軍累戰不利久逸獨幸所部與賊抗夜令民夫多列火炬于林莽間以疑賊而率兵掩擊之賊以爲大兵至遂驚潰 甲午	Bấy giờ giặc lấn Quảng Nam, quân ta đánh mãi không lợi. Cửu Dật một mình đem quân sở bộ chống giặc, ban đêm cho dân phu đốt nhiều đuốc ở trong rừng để làm nghi binh, rồi đem quân đánh úp. Giặc cho là đại binh tiến đến, sợ chạy tan cả.
九年春正月命掌奇 尊室昇 尊室泗之子調撥諸軍往廣南營討賊	Giáp ngọ, năm thứ 9, mùa xuân, tháng giêng, sai Chưởng cơ Tôn Thất Thăng (con Tôn Thất Tứ) điều bát các quân đến dinh Quảng Nam đánh giặc.
昇畏賊勢大棄其師連夜奔回	Thăng sợ thế giặc lớn, bỏ quân, luôn đêm chạy về.
夏四月龍湖營畱守宋福洽該簿阮科詮董領五營將士嘉定謂遣阮人潭所領平康 平順 鎭邊藩鎭龍湖五營將士時委福洽督率討賊及檄募諸道應義兵水陸竝進與賊戰敗之克復平順 延慶 平康三府軍次煙圖屬慶和省與賊拒守	Mùa hạ, tháng 4, Lưu thủ dinh Long Hồ là Tống Phước Hiệp và Cai bạ Nguyễn Khoa Thuyên thống lĩnh tướng sĩ 5 dinh (tướng sĩ 5 dinh Bình Khang, Bình Thuận, Trấn Biên, Phiên Trấn, Long Hồ, do Điều khiển Gia Định Nguyễn Cửu Đàm thống lĩnh, bấy giờ ủy cho Phước Hiệp đốc suất đi đánh giặc) và đưa hịch mộ binh ứng nghĩa các đạo, thủy lục đều tiến, đánh bại quân giặc, thu lại được 3 phủ Bình Thuận, Diên Khánh, Bình Khang, rồi đóng quân ở Hòn Khói (thuộc tỉnh Khánh Hòa), cùng giặc chống giữ.
鄭天賜在鎭江聞西賊煽變使其屬載粟一船上京以供軍餉 船到歸仁洋外賊兵邀奪之命內右掌營尊室曮提大兵入廣南收諸道餘眾討賊	Mạc Thiên Tứ ở Trấn Giang nghe tin giặc Tây Sơn nổi loạn, sai thuộc hạ chở một thuyền thóc về kinh để giúp quân lương. Thuyền đến ngoài biển Quy Nhơn thì bị quân giặc đón cướp mất. Sai Nội hữu chưởng dinh Tôn Thất Nghiễm đem đại binh vào Quảng Nam, thu thập quân sót lại của các đạo để đánh giặc.
鄭又安守將裴世達探知廣南有事吿于鄭鄭森遂有南侵之議 一說曾室文尊室昱之子怨張福戀階往北京吿以國事鄭森知我國內有權臣外有西賊遂決意舉兵	Thủ tướng Nghệ An của Trịnh là Bùi Thế Đạt dò biết Quảng Nam có loạn, báo cáo với Trịnh. Trịnh Sâm bèn bàn việc lấn miền Nam (có thuyết nói Tôn Thất Văn, con Tôn Thất Dục, oán Trương Phước Loan, lẩn ra Bắc, mách bảo việc nước [ta]. Trịnh Sâm biết nước ta trong có quyền thần, ngoài có giặc Tây Sơn, bèn quyết ý cử binh).
五月鄭大舉來侵遣其將黃五福爲統將裴世達爲副將領二十三營將士及淸又東南諸道水步兵前往又安措置軍務黃馮基 黃廷體等皆屬焉	Tháng 5, Trịnh đem đại quân đến lấn. Sai tướng là Hoàng Ngũ Phúc làm thống tướng, Bùi Thế Đạt làm phó tướng, lĩnh tướng sĩ 23 dinh và binh thủy bộ các đạo Thanh Nghệ và Đông Nam, tiến đến Nghệ An để xếp đặt việc quân; bọn Hoàng Phùng Cơ, Hoàng Đình Thể đều thuộc quyền.
福進兵河中遺書言累世親勳以助兵滅賊爲名 上知其詐令爲書復之而命宋有長爲畱屯道統幸尊室捷爲布政營鎭守以禦鄭兵	Phước tiến binh đến Hà Trung, đưa thư nói lấy danh nghĩa vì thân thích nhiều đời có công nên đem quân giúp để diệt giặc. Chúa biết là dối, sai viết thư đáp lại, rồi sai Tống Hữu Trường làm Thống suất đạo Lưu Đồn, Tôn Thất Tiệp làm Trấn thủ dinh Bố Chính để chống quân Trịnh.
秋七月上以西山賊勢猖獗命掌營尊室曔世宗第七子時稱郡公權監國事御駕親征舟次思容海口命張福巒練兵于⿔山	Mùa thu, tháng 7, chúa thấy thế quân Tây Sơn mạnh tợn, sai Chưởng dinh Tôn Thất Cảnh (con thứ 7 của Thế tông, bấy giờ gọi là Quận công) quyền coi việc nước, để ngự giá thân chinh. Thuyền đóng ở cửa biển Tư Dung. Sai Trương Phước Loan luyện quân ở núi Quy Sơn.
八月朔日有食之	Tháng 8, ngày mồng 1, có nhật thực.
九月鄭兵至北布政州知府陳佳自投黃五福軍爲之嚮導	Tháng 9, quân Trịnh đến châu Bắc Bố Chính. Tri phủ Trần Giai chạy sang quân Hoàng Ngũ Phúc làm hướng đạo.
福使佳管後道兵 佳後爲西戝所獲數其罪殺之而令其屬阮吳瑤列寨于大丹社名以張聲勢	Phước sai Giai coi quân hậu đạo (Giai sau bị quân Tây Sơn bắt được, kể tội rồi giết), và sai thuộc hạ là Nguyễn Ngô Dao đóng trại ở xã Đại Đan để phô trương thanh thế. Thư ngoài biên cáo cấp.
邊書吿急上召尊室曮扈駕回京城以阮久逸爲左軍大都督時稱猷郡公領水步軍畱禦西賊久逸旣將料敵制勝累十餘戰皆克捷賊眾大驚	Chúa triệu Tôn Thất Nghiễm hộ giá về kinh thành và sai Nguyễn Cửu Dật làm Tả quân đại đô đốc (bấy giờ gọi là Du quận công) lĩnh quân thủy bộ ở lại chống cự quân Tây Sơn. Cửu Dật làm tướng, liệu thế địch mà tìm cách chế thắng, hơn mười trận đánh đều được. Quân giặc rất sợ.
冬十月順化大饑米一合直錢一陌途有餓莩人家或至相食	Mùa đông, tháng 10, Thuận Hóa bị đói to, mỗi lẻ gạo trị giá một tiền, ngoài đường có xác chết đói, người nhà có khi ăn thịt nhau.
鄭兵渡爧江上遣該隊貴祿缺姓勾稽兼隆缺姓犒黃五福軍 且言西山草寇當自斃也無勞鄭兵	Quân Trịnh qua sông Gianh. Chúa sai Cai đội Quý Lộc (không rõ họ), Câu kê Kiêm Long (không rõ họ) đến khao quân Hoàng Ngũ Phúc và nói: Giặc cỏ Tây Sơn tất phải tự chết, không phải nhọc đến quân Trịnh.
兼隆云路不行不到鐘不扣不鳴	Kiêm Long nói: "Đường không đi không đến, chuông chẳng gõ chẳng kêu".
福會其意遂進兵布政營鎭守尊室捷記錄葆光缺姓退守洞回壘 福遣别將黃廷體薄鎭寧壘馬軍黃文弼	Phước hiểu ý, bèn tiến quân đến dinh Bố Chính. Trấn thủ Tôn Thất Tiệp và Ký lục Bảo Quang (không rõ họ) lùi giữ lũy Đồng Hồi. Phước sai biệt tướng là Hoàng Đình Thể tiến sát lũy Trấn Ninh.
鄭兵鼓噪而入	Quân Trịnh dóng trống reo hò tiến vào.
鄭兵進據廣平營鎭守廉政缺姓與尊室捷皆遁走	Quân Trịnh tiến giữ dinh Quảng Bình. Trấn thủ Liêm Chính (không rõ họ) cùng Tôn Thất Tiệp đều trốn chạy.
十一月鄭森自率舟師入又安次河中營遙爲黃五福聲援 福至畱屯道統率宋有長亦遁走	Tháng 11, Trịnh Sâm tự đem thủy quân vào Nghệ An, đóng ở dinh Hà Trung để xa làm thanh viện cho quân Hoàng Ngũ Phúc. Phúc đến đạo Lưu Đồn, Thống suất Tống Hữu Trường cùng trốn chạy.
福進次胡舍檄言張福巒壅蔽聰明苛虐百姓此舉只爲除一巒寔無攘奪之意	Phước tiến đóng ở Hồ Xá, truyền hịch nói rằng Trương Phước Loan che lấp tai mắt thiên hạ, hà ngược trăm họ, lần này cất quân chỉ là để trừ một tên Loan, thực không có ý xâm đoạt.
其辭略日	Lời hịch đại lược rằng:
左相張福巒斗筲小器鬼蜮邪心夤縁閏闥之親叨竊樞機之任粜信奸慝陷害忠良離舊間親專爲植黨之計招權納黨自營肥已之謀	Tả tướng Trương Phước Loan khí cục nhỏ hẹp như cái thưng cái đấu, tâm địa gian tà như quỷ như ma. Vin bán khuê khổn tình thân, trộm lấy triều đình trọng chức. Tin dùng kẻ gian nịnh, hãm hại người trung lương. Ly gián người cũ người thân, chuyên kế gây bè lập đảng. Chiêu nạp thêm vây thêm cánh, tự tính mưu lợi riêng mình.
擅殺立則肘腋而豺狼逞荼毒則冠裳而禽犢重民稅而殫膏血減軍糧而削爪牙	Giết người nọ lập người kia, nguy hiểm như lang sói bên cạnh nách; thẳng tay làm khổ trăm họ, vẻ mũ xiêm mà hóa giống chim muông. Nặng thuế khóa nặn máu mủ dân; bớt lương quân để cắt nanh vuốt.
政急燃眉刑深剔目自招民怨翻激亂階致西再氓隸之徒蜂屯蟻聚占廣南膏腴之地豕突狠奔煽賊勢之滔天委邊氓於塗地	Chính sự cấp bách như lông mày bị đốt; hình phạt nặng nề nhường con mắt bị đâm. Chuốc oán với dân, gây ra mối loạn. Đến nỗi Tây Sơn là bọn dân hèn, tụ tập như đàn ong lũ kiến, chiếm đất Quảng Nam màu mỡ, nhanh chóng như lợn sổ lang rông. Quạt lửa giặc bùng ngất trời, khiến dân biên lầm bùn đất.
是用因篌蘇之眾驅生力之兵先去彊臣夫平黠賊除殘去暴捍國戚于多艱 續統固存延先王之世配赴難寔由義擧乘危非有貪心	Vậy nay, nhân dân chúng đương mong sống lại, kéo đội quân đương sẵn sức hăng. Trước trừ đứa cường thần, sau dẹp phường nghịch tặc. Diệt kẻ tàn bạo, để giúp nạn họ hàng; nối mối giữ giềng, để bảo tồn dòng dõi. Giúp nạn thực do nghĩa cử, không phải lòng tham thừa nguy".
尊室呪阮久法等因共執巒送福軍而囚其黨 户部蔡生于獄	Bọn Tôn Thất Huống, Nguyễn Cửu Pháp nhân thế cùng nhau bắt Loan đưa nộp cho quân Phước và giam đồng đảng là Hộ bộ Thái Sinh vào ngục. (Sau Thái Sinh chết).
蔡生尋死福旣得巒大喜偃旗息鼓而行至登昌有書生陳惟忠以詩謁福又言我兵不閑步戰獨水兵爲長技 鄭兵遠來勿可爭	Phước được Loan rất mừng, ngả cờ im trống mà đi. Đến Đăng Xương, có người học trò là Trần Duy Trung đem bài thơ đến yết kiến Phước và nói rằng quân ta không quen đánh bộ, chỉ giỏi thủy chiến, quân Trịnh ở xa đến đừng nên tranh đấu về món sở trường ấy.
其所長福善其言畱之軍許爲勾稽	Phước khen nói phải, lưu lại trong quân, cho làm chức Câu kê.
復致書言西賊未除請會兵富春以便策應 上不之信命尊室捷爲統兵屬丙 該隊鄧缺姓管禁衞軍禦之而使該隊宣政缺妣參謀誠德缺姓詐降以誘鄭兵 又使該隊品評缺姓往諭廣平布政諸營豪目應義分屯以撓敵後旣而品評爲鄭兵所獲 尊室捷又爲鄭别將阮進寬	Phước lại gửi thư nói rằng giặc Tây Sơn chưa trừ được, xin họp quân ở Phú Xuân để tiện sách ứng. Chúa không tin, sai Tôn Thất Hiệp làm Thống binh và Thuộc nội cai đội Đặng (không rõ họ) quản quân cấm vệ để chống giữ; rồi sai Cai đội Tuyên Chính (không rõ họ), Tham mưu Thành Đức (không rõ họ) trá hàng để dụ quân Trịnh. Lại sai Cai đội Phẩm Bình (không rõ họ) đi dụ hào mục ở các dinh Quảng Bình, Bố Chính hưởng ứng việc nghĩa, chia đóng đồn để quấy rối sau lưng địch. Thế rồi, Phẩm Bình bị quân Trịnh bắt được, Tôn Thất Tiệp lại bị biệt tướng của Trịnh là bọn Nguyễn Tiến Khoan, Hoàng Phùng Cơ đánh thua.
黃馮基等所敗鄧亦不戰自潰	Quân của Đặng thì không đánh mà cũng tự vỡ.
鄭兵進次拜答	Quân Trịnh tiến đóng ở Bái Đáp.
上命尊室晊世宗第六子節制步兵 尊室營節制水師阮登場參贊軍機 時稱井渫侯領海噵船二十艘分道拒戰不克	Chúa sai Tôn Thất Chí (con thứ 6 của Thế tông) tiết chế bộ binh, Tôn Thất Doanh tiết chế thủy binh, Nguyễn Đăng Trường tham tán quân cơ (bấy giờ gọi là Tỉnh Điệp hầu) lãnh 20 chiếc thuyền đi biển, chia đường chống đánh, nhưng không được.
阮文政時稱郡公調撥水步諸營	Sai Nội tả chưởng dinh Nguyễn Văn Chính (bấy giờ gọi là Quận công) điều bát các dinh thủy bộ.
文政至軍責該隊鄧退縮之罪立斬以徇	Văn Chính đến quân thứ, hỏi tội Cai đội Đặng về việc rút lui, lập tức đem chém để cảnh cáo mọi người.
時國內人心素怨張福巒專橫而諸營猛將精兵調八廣南討賊自賢士江以外兵將多是老弱不習征戰故鄭兵所至莫有與之抗者	Bấy giờ lòng người trong nước đều oán Trương Phước Loan chuyên quyền, mà bao nhiêu tướng giỏi quân mạnh các dinh thì đã điều vào Quảng Nam đánh giặc cả, từ sông Hiền Sĩ trở ra, binh tướng toàn là già yếu, không quen đánh trận, cho nên khi quân Trịnh đến thì chẳng ai chống giữ.
獨阮文政率所部兵拒戰兵威稍振黃五福亦戒心焉	Chỉ một mình Nguyễn Văn Chính đem quân sở bộ ra chống đánh, binh uy có hơi phấn chấn. Hoàng Ngũ Phúc cũng đã e sợ.
然文政不知將略飲酒高談別無攻守之策卒以取敗	Nhưng Văn Chính không biết mưu lược cầm quân, chỉ uống rượu nói suông, ngoài ra không có kế đánh giữ gì cả, rốt cuộc cũng thất bại.
十二月黃五福遣别將黃廷體 黃義樸等從山路渡沉磨灘屯守祥光	Tháng 12, Hoàng Ngũ Phúc sai tướng là bọn Hoàng Đình Thể, Hoàng Nghĩa Phác theo đường núi qua thác Trầm Ma.
允德二人名俱缺姓俱敗死	Đồn thủ là Tường Quan và Doãn Đức (hai người đều không rõ họ) đều thua chết.
鄭兵造浮橋渡軍乘我軍無備前後夾攻阮文政死之諸軍皆潰 丁未鄭兵犯我都城上命中營參謀宋福淡盡將餘眾出北門禦之 左水中水前水隊長阮谷武彝巍 張福頴整備船艘以待命	Quân Trịnh bắc cầu phao qua sông, thừa lúc quân ta không phòng bị, trước sau giáp đánh. Nguyễn Văn Chính chết, các quân đều tan vỡ. Ngày Đinh mùi, quân Trịnh phạm đô thành ta. Chúa sai Tham mưu Trung dinh là Tống Phước Đạm đem hết số quân còn lại ra cửa bắc chống giữ và sai các đội trưởng Tả thủy, Trung thủy, Tiền thủy là Nguyễn Cốc, Vũ Di Nguy, Trương Phước Dĩnh chỉnh bị thuyền ghe để đợi.
皇孫暘世子昊之子先行過海雲關 戊申上幸廣南舟出思容海口黃五福遂據順化	Sai hoàng tôn là Dương (con thế tử Hiệu) đi trước qua cửa Hai Vân. Ngày Mậu thân, chúa đi Quảng Nam, thuyền qua cửa Tư Dung.
大南寔錄前編總目	Tiền biên [Tổng Mục]
卷一太祖嘉裕皇帝在位五十六年 戊午元年黎正治元年明嘉靖三十七年已未庚申辛酉壬戌癸亥甲子乙丑丙寅丁卯 明隆慶元年戊辰已巳庚午辛未壬申	quyển I Thái tổ gia dụ hoàng đế [nguyễn hoàng] (ở ngôi 56 năm) Mậu ngọ, năm thứ 1 (Lê Đối với nhà Lê niên hiệu là Chính Trị năm 1, đối với nhà Minh, niên hiệu là Gia Tĩnh năm 39) Kỷ mùi Canh thân Tân dậu Nhâm tuất Quý hợi Giáp tý ất sửu Bính dần Đinh mão (Minh Long Khánh năm 1) Mậu thìn Kỷ tỵ Canh ngọ Tân mùi Nhâm thân (Nhà Lê đổi niên hiệu là Hồng Phước) Quý dậu (Lê Gia Thái năm thứ 1
黎改元洪福 癸酉黎嘉泰元年明萬曆元年甲戌乙亥丙子丁丑戊寅黎改元光興已卯庚辰辛已壬午癸未甲申乙酉丙戌丁亥戊子已丑庚寅辛卯壬辰癸巳甲午乙未丙申丁酉戊戌已亥庚子 黎愼德元年冬十月改元弘定辛丑壬寅癸卯甲辰乙已丙午丁未戊申已酉庚戌辛亥壬子癸丑	Minh Vạn Lịch năm 1) Giáp tuất ất hợi Bính tý Đinh sửu Mậu dần (Nhà Lê đổi niên hiệu là Quang Hưng) Kỷ Mão Canh thìn Tân tỵ Nhâm ngọ Quý mùi Giáp thân ất dậu Bính tuất Đinh hợi Mậu tý Kỷ sửu Canh dần Tân mão Nhâm thìn Quý tỵ Giáp ngọ ất mùi Bính thân Đinh dậu Mậu tuất Kỷ hợi Canh tý (Lê Thận Đức năm1, tháng 10 mùa đông đổi niên hiệu là Hoằng Định) Tân sửu Nhâm dần Quý mão Giáp thìn ất tỵ Bính ngọ Đinh mùi Mậu thân Kỷ dậu Canh tuất Tân hợi Nhâm tý Quý sửu.
卷二熙宗孝文皇帝在位二十二年 甲寅元年乙卯丙辰丁巳戊午已未黎永祚元年庚申	Quyển II.
明秦昌元年辛酉 明天啓元年壬戌癸亥甲子乙丑丙寅丁卯戊辰 明崇禎元年已已 黎改元德隆庚午辛未壬申癸酉甲戌乙亥	Hy Tông Hiếu Văn Hoàng đế [Phước nguyên] (ở ngôi 22 năm) Giáp dần, năm thứ 1 ất mão Bính thìn Đinh tỵ Mậu ngọ Kỷ mùi ( Lê Vĩnh Tộ năm 1) Canh thân (Minh Thái Xương năm 1) Tân dậu (Minh Thiên Khải năm 1) Nhâm tuất Quý hợi Giáp tý ất sửu Bính dần Đinh mão Mậu thìn (Minh Sùng Trinh năm thứ 1) Kỷ tỵ (nhà Lê đổi niên hiệu là Đức Long) Canh ngọ Tân mùi Nhâm thân Quý dậu Giáp tuất ất hợi (Nhà Lê đổi niên hiệu là Dương Hòa).
黎改元陽和	Quyển III.
卷三神宗孝昭皇帝在位十三年 丙子元年丁丑戊寅已卯	Thần Tông Hiếu chiêu hoàng đế [Phước lan] (ở ngôi 13 năm) Bính tý, năm thứ 1 Đinh sửu Mậu dần Kỷ mão Canh thìn Tân tỵ Nhâm ngọ Quý mùi (Lê Phước Thái năm 1) Giáp thân (Thanh Thuận Trị năm 1) ất dậu Bính tuất Đinh hợi Mậu tý.
