项籍者，下相人也， 字羽。 初起时，年二十 四。	Hạng Tịch, người Hạ Tương, tên tự là Vũ, khi mới khởi nghĩa, hai mươi tư tuổi.
汉欲西归，张良、陈平说曰：“汉有天下太半， 而诸侯皆附之。楚兵罢食尽，此天亡楚 之时也，不如因其机而遂取之。今释弗击，此所谓‘养虎自遗 患’也。”	Hán vương muốn về phía tây, Trương Lương, Trần Bình khuyên: “Hán đã có quá nửa thiên hạ, chư hầu đều quy phụ Hán. Quân ẳ Sở rệu rã, lương hết. Đây là lúc trời diệt Sở vậy. Chẳng bằng nhân thời cơ này mà đánh lấy Sở. Nay bỏ đi không đánh, đó gọi là nuôi hổ tự gieo họa vậy.”
汉王听之。 汉五年，汉王乃追项王至阳 夏 南，止军，与淮阴侯韩信、建成侯彭越期会而击楚军。	Hán vương nghe theo, Năm thứ năm nhà Hán, Hán vương bèn đuổi Hạng vương tới phía nam Dương Hạ, dừng lại đóng quân, cùng Hoài Âm hầu Hàn Tín, Kiến Thành hầu Bành Việt hẹn họp quân để đánh Sở.
汉王复入壁，深堑而自守。 谓张子房曰：“诸侯 不从约，为之柰何？”	Hán vương lại vào quân doanh, đào hào sâu cố thủ, bảo Trương Tử Phòng rằng: “Chư hầu không theo giao ước, phải làm sao đây?”
韩信乃从 齐往，刘贾军从寿春并行，屠城父， 至垓下。	Hàn Tín bèn từ đất Tề xuất phát, quân của Lưu Giả theo đường Thọ Xuân cùng tiến, làm cỏ Thành Phủ, đến Cai Hạ.
项王军壁垓下，兵少食尽，汉军及诸侯兵围之数重。	Quân Hạng vương dựng lũy ở Cai Hạ, binh ít, lương hết, quân Hán và quân chư hầu vây đến mấy vòng.
歌数阕，美人和之。	Hát mấy lượt, mỹ nhân xướng họa.
项王泣数行 下，左右皆泣，莫能仰视。	Hạng vương khóc, lệ rơi mấy hàng, tả hữu đều khóc, không ai ngẩng nổi mặt nhìn.
平 明，汉军乃觉之，令骑将灌婴以五千骑追之。	Rạng sáng, quân Hán mới biết, lệnh cho kỵ tướng Quán Anh đem năm nghìn kỵ binh đuổi theo.
汉骑追者数千人。	Kỵ binh Hán đuổi theo đến mấy ngàn người.
项王自度不得脱。 谓其骑曰：“吾起兵至今八 岁矣，身七十馀战，所当者破，所击者服，未尝败北，遂霸有天下。 然今卒困於此，此天之亡我，非战之罪也。今日 固决死，原为诸君快战，必三胜之，为诸君溃围，斩将，刈旗，令诸 君知天亡我，非战之罪也。”	Hạng vương tự lường không thoát được, nói với kỵ binh: “Ta dấy binh đến nay đã tám năm, trải hơn bảy mươi trận, kẻ chống đối đều bại, kẻ bị đánh đều phục, chưa từng thua chạy bao giờ, nên mới xưng bá thiên hạ. Song hôm nay rốt cuộc bị vây khốn ở đây, ấy là trời diệt ta, không phải lỗi chiến đấu của ta vậy. Hôm nay chắc quyết tử, ta mong đánh hả hê vì các ngươi, phải thắng ba lần, giải vây, chém tướng, chặt cờ cho các ngươi, khiến các ngươi biết rằng đây là trời diệt ta, chứ không phải lỗi chiến đấu của ta!”
汉军围之数 重。	Quân Hán vây đến mấy vòng.
令四面骑驰下，期山东为 三处。	Đoạn lệnh cho kỵ binh từ bốn phía phi xuống, hẹn ở ba nơi phía đông núi.
项王乃驰，复斩汉一都尉，杀数十百人，复聚其骑，亡其两骑 耳。	Hạng vương bèn phi ngựa, lại chém một đô úy của Hán, giết mấy trăm người, rồi họp các kỵ binh, chỉ mất hai kỵ binh mà thôi.
乃令骑皆下马步行，持短兵接 战。	Đoạn lệnh cho kỵ binh cùng xuống ngựa đi bộ, cầm vũ khí ngắn giao chiến.
项王乃曰：“吾闻汉购我头千金， 邑万户，吾为若德。”	Hạng vương liền nói: “Ta nghe nói Hán vương mua đầu ta ngàn vàng, phong ấp vạn hộ, ta ban ơn cho ngươi!”
最其後，郎中骑杨喜，骑司马吕马童，郎中 吕胜、杨武各得其一体。	Cuối cùng, Lang trung kỵ Dương Hỷ, Kỵ tư mã Lã Mã Đồng, Lang trung Lã Thắng, Dương Võ mỗi người lấy được một phần cơ thể.
桃侯、 平皋侯、 玄武侯 皆项氏，赐姓刘。 太史公曰：吾闻之周生曰 “舜目盖重瞳子”， 又闻项羽亦重瞳子。 羽岂其苗裔邪？ 何兴之暴也！	Đào hầu, Bình Cao hầu, Huyền Vũ hầu đều mang họ Hạng, sau ban họ Lưu.
嘉还战一日，嘉死，军降。	Gia quay lại giao chiến một ngày. Gia chết, quân lính đầu hàng.
景 驹走死梁地。	Cảnh Câu bỏ chạy, chết ở đất Lương.
章邯军至栗， 项梁使别将硃鸡石、馀樊君与战。	Quân Chương Hàm tới đất Lật, Hạng Lương sai biệt tướng Chu Kê Thạch, Dư Phan Quân giao chiến.
馀樊 君死。	Dư Phan Quân chết.
章邯令王 离、涉间围钜鹿，章邯军其 南，筑甬道而输之粟。	Chương Hàm lệnh cho Vương Ly, Thiệp Nhàn vây Cự Lộc. Chương Hàm đóng quân ở phía nam, xây đường ống để chuyển thóc.
诸别将皆属宋义，号为卿 子冠军。	Các biệt tướng đều dưới quyền Tống Nghĩa, hiệu là Khanh Tử Quán quân.
项羽乃悉 引兵渡河，皆沈船，破釜甑，烧庐舍，持三日粮，以示士卒必死，无 一还心。	Hạng Vũ bèn đem tất cả binh lính vượt Hoàng Hà, đều dìm thuyền, đập nồi, đốt trại, chỉ mang lương thực trong ba ngày, để tỏ rõ quân sĩ quyết tử, không ai có lòng quay về.
项羽乃与期洹水南殷虚上。	Hạng Vũ bèn hẹn gặp trên Ân Khư phía nam sông Hoàn Thủy.
齐将田都从共救赵，因从入关，故立都为齐 王，都临菑。	Tướng Tề là Điền Đô theo cùng cứu Triệu, nhân đó theo vào Quan Trung, nên lập Đô làm Tề vương, đóng đô ở Lâm Truy.
围汉王三匝。	Hán vương bị vây ba vòng.
田 荣立田儋子市为齐王。	Điền Vinh lập con của Điền Đam là Thị làm Tề vương.
乃遣其子宋襄相齐，身送之至无盐， 饮酒高会。	Đoạn đưa con là Tống Tương tới giúp nước Tề, đích thân tiễn con tới Vô Diêm, uống rượu linh đình.
天寒大雨，士卒冻饥。	Trời lạnh mưa to, quân sĩ đói rét.
令萧公角等 击彭越。 彭越败萧公角等。	Lệnh cho bọn Tiêu Công Giác đánh Bành Việt. Bành Việt đánh bại bọn Tiêu Công Giác.
纪信 乘黄屋车，傅左纛， 曰：“城中食尽，汉王降。”	Kỷ Tín ngồi xe nóc vàng, cắm cờ tả đạo, nói: “Trong thành lương hết, Hán vương hàng?”
到新安。	Đến Tân An.
沛公北乡坐，张良西乡 侍。	Bái công ngồi hướng bắc, Trường Lương ngồi hầu hướng tây.
徇齐至北海，多所残灭。	Quét sạch nước Tề tới tận Bắc Hải, tàn sát rất nhiều.
汉王道逢得孝惠、鲁元， 乃载行。	Hán vương gặp Hiếu Huệ, Lỗ Nguyên trên đường, bèn chở theo.
汉军荥阳，筑甬道属之 河，以取敖仓粟。	Hán đóng quân ở Huỳnh Dương, xây đường ống thóc ở Ngao Thương.
郑忠说汉王，乃止壁河内。	Trịnh Trung khuyên Hán vương, bèn dừng quân đóng ở Hà Nội.
交戟之卫士欲止不内，樊哙侧其盾 以撞，卫士仆地，哙遂入，披帷西乡立，瞋目视项王， 头发上指，目眦尽裂。	Đám vệ sĩ đan kích lại muốn chặn không cho vào trong, Phan Khoái nghiêng khiên thúc mạnh, vệ sĩ ngã nhào xuống đất, Khoái bèn vào trong, vén màn đứng ở phía tây, trừng mắt nhìn Hạng vương, tóc tai dựng đứng, kẽ mắt rách toác.
遂北烧夷齐城郭室屋，皆阬田荣 降卒，系虏其老弱妇女。	Hạng Vũ bèn lên phía bắc thiêu hủy, san bằng thành quách, nhà cửa nước Tề, chôn sống hết đám lính của Điền Vinh đầu hàng, trói bắt già trẻ phụ nữ.
楚汉久相持未决，丁壮苦军旅，老弱罢转漕。	Sở Hán giằng co lâu ngày chưa phân thắng bại, trai tráng khổ vì tòng quân, già trẻ mệt vì vận chuyển.
周苛骂曰：“若不趣降汉，汉今虏若，若非汉敌也。”	Chu Hà chửi rằng: “Ngươi không mau hàng Hán, Hán sẽ bắt ngươi, ngươi không địch được Hán đâu?”
於是项王乃悲歌慷慨，自为诗 曰：“力拔山兮气盖世，时不利兮骓不逝。骓不逝兮可柰何，虞兮虞 兮柰若何！”	Thế rồi Hạng vương bèn khảng khái hát khúc bi ca, tự làm thơ rằng: “Sức nhổ núi chừ khí trùm đời, thời chẳng lợi chừ Chuy chẳng rời. Chuy chẳng rời chứ biết làm sao? Ngu Cơ nàng ơi phải thế nào?”
汉有善骑射者楼烦， 楚挑战三合，楼烦辄射杀之。	Quân Hán có người giỏi cưỡi ngựa bắn tên là Lâu Phiền, quân Sở khiêu chiến ba phen, đều bị Lâu Phiền bắn chết.
