周后稷，名弃。	Chu Hậu Tắc tên là Khí.
代见韩相国曰： “楚围雍氏，期三月也，今五月不能拔，是楚病 也。今相国乃徵甲与粟於周，是告楚病也。”	Tô Đại gặp tướng quốc nước Hàn, nói rằng: “Sở vây Ung thị, hẹn trong ba tháng, nay năm tháng rồi vẫn không đánh được, chứng tỏ Sở khốn đốn vậy. Nay tướng quốc chiêu binh và lương thực ở Chu là nói với Sở rằng Hàn đang khốn đốn vậy.”
毛叔郑奉明水， 卫康叔封布兹， 召公奭赞 采，师尚父牵牲。 尹佚筴祝曰： “殷之末孙季纣， 殄废先王明德，侮蔑神祇不祀，昏暴商邑百姓，其章显闻 于天皇上帝。”	Mao Thúc Trịnh bưng nước trong, Vệ Khang Thức Phong trải chiếu cói, Thiệu Công Thích cầm lụa, Sư Thượng Phụ dắt con muông, Doãn Dật đọc chúc văn trên thẻ tre rằng: “Cháu đời mạt của nhà Ân là Quý Trụ, bỏ bê đức sáng của tiên vương, khinh miệt thánh thần không thờ cúng, bạo ngược với trăm họ đất Thương, tội ác rành rành, động tới thiên hoàng thượng đế.”
命南宫括散鹿台之财，发钜桥之粟，以 振贫弱萌隶。	Lệnh cho Nam Cung Quát phát của cải ở Lộc Đài, mở kho thóc Cự Kiều, để cứu lê dân nghèo khổ.
命闳夭封比干之墓。	Lệnh cho Hoành Yểu đắp mộ của Tỷ Can.
封 召公奭於燕。	Phong Thiệu Công Thích ở đất Yên.
昭王南巡狩不返， 卒於江上。	Chiêu vương đi tuần thú phương nam không về, chết trên Trường Giang.
厉王 出奔於彘。	Lệ vương bỏ chạy đến đất Trệ.
秦果出兵。	Tần quả nhiên xuất binh.
秦昭王 怒，使将军摎 攻西周。	Tần Chiêu vương nổi giận, sai tướng quân Cừu đánh Tây Chu.
命南宫括、史佚展九鼎保玉。	Lệnh cho Nam Cung Quát, Sử Dật bày chín đỉnh và ngọc báu.
馀各以次受封。	Còn lại đều theo thứ tự nhận phong.
秦取九鼎宝器，而迁西周公於{单心}狐。	Tần đoạt lấy chín đỉnh và báu vật, dời vua Tây Chu về Đạn Cô.
纵马於华山之阳， 放牛於桃林之虚； 偃干戈，振兵释旅：示天下 不复用也。	Ngài đuổi ngựa ở phía nam Hoa Sơn, thả trâu ở đồng hoang Đảo Lâm, cất giáo mác, chỉnh đốn binh lính, giải thể quân đội, cho thiên hạ thấy ngài sẽ không dùng lại nữa.
成王既伐东夷，息慎来贺，王赐荣伯作贿 息慎之命。	Thành vương sau khi thảo phạt Đông Di, Tức Thận tới mừng, ngài sai Vinh Bá viết thiên Hối Tức Thận chi mệnh.
伯阳甫曰：“周将亡矣。 夫天地之气，不失其序；若 过其序，民乱之也。阳伏 而不能出，阴迫而不能蒸， 於是有地震。今三川实震，是阳失其所而填阴也。 阳失而在阴， 原必塞；原塞，国必亡。夫水土演而民用也。 土无所演，民乏 财用，不亡何待！昔伊、洛竭而夏亡， 河竭而商亡。今 周德若二代之季矣，其川原又塞，塞必竭。夫国必依山川，山崩川 竭，亡国之徵也。川竭必山崩。 若国亡不过十年，数之纪也。 天之所弃，不过其纪。”	Bá Dương Phủ nói: “Nhà Chu mất rồi. Khí của trời đất không để mất trật tự; nếu mất trật tự là do người làm loạn vậy. Khí dương ẩn náu mà không thể phát xuất, khí âm chèn ép khiến khí dương không thể bốc lên, vậy nên có động đất. Nay ba sông đều động là do khí dương mất chỗ, bị khí âm chèn ép. Dương mất mà âm sinh, nguồn nước ắt bị tắc. Nguồn bị tắc, nước ắt mất. Đất nước tưới nhuần thì dân mới sử dụng được. Đất không tưới nhuần, dân thiếu vật dụng, nước không mất thì đợi đến lúc nào? Xưa sông Y, sông Lạc cạn mà nhà Hạ mất, Hoàng Hà cạn mà nhà Thương mất. Nay đức của nhà Chu giống như buổi cuối của hai nhà kia rồi, nguồn sống lại tắc, tắc ắt cạn kiệt. Ôi nước phải dựa vào núi sông, núi lở sông cạn, ấy là điểm mất nước vậy. Sông cạn ắt có núi lở. Không quá mười năm nữa nước sẽ mất, mười là số tột cùng vậy. Trời bỏ nhà Chu, không quá số ấy.”
幽王为烽燧 大鼓，有寇至则举烽火。	U vương cho đốt lửa báo hiệu trên đồi và gióng trống lớn, (vốn dĩ) có giặc tới thì đốt lửa.
五十九年，秦取韩阳城负黍， 西周恐，倍秦，与诸侯约从， 将天下锐师出伊 阙攻秦， 令秦无得通阳城。	Năm thứ năm mươi chín, Tần lấy đất Dương Thành, Phụ Thử của Hàn. Tây Chu sợ, phản bội Tần, hẹn ước hợp tung với chư hầu, đem quân tinh nhuệ của thiên hạ ra khỏi núi Y Khuyết đánh Tần, khiến Tần không thể thông tới Dương Thành.
